group,left,right,count
lr,-0.0078060855,-0.0071016666,4
lr,-0.0071016666,-0.0063972482,4
lr,-0.0063972482,-0.0056928294,0
lr,-0.0056928294,-0.0049884105,0
lr,-0.0049884105,-0.0042839916,0
lr,-0.0042839916,-0.0035795732,0
lr,-0.0035795732,-0.0028751544,0
lr,-0.0028751544,-0.0021707357,0
lr,-0.0021707357,-0.001466317,0
lr,-0.001466317,-0.00076189823,2
lr,-0.00076189823,-5.7479505e-05,125
lr,-5.7479505e-05,0.0006469392,8999
lr,0.0006469392,0.0013513579,54
lr,0.0013513579,0.0020557768,15
lr,0.0020557768,0.0027601954,5
lr,0.0027601954,0.003464614,2
lr,0.003464614,0.004169033,0
lr,0.004169033,0.004873452,0
lr,0.004873452,0.00557787,0
lr,0.00557787,0.006282289,0
lr,0.006282289,0.006986708,0
lr,0.006986708,0.0076911263,2
lr,0.0076911263,0.008395545,2
lr,0.008395545,0.009099964,2
lr,0.009099964,0.009804383,3
lr,0.009804383,0.010508802,0
lr,0.010508802,0.01121322,2
lr,0.01121322,0.011917639,2
lr,0.011917639,0.012622057,2
lr,0.012622057,0.013326476,1
lr,0.013326476,0.014030895,0
lr,0.014030895,0.014735314,0
lr,0.014735314,0.015439733,0
lr,0.015439733,0.01614415,0
lr,0.01614415,0.01684857,0
lr,0.01684857,0.017552989,1
lr,0.017552989,0.018257407,1
lr,0.018257407,0.018961826,0
lr,0.018961826,0.019666245,0
lr,0.019666245,0.020370664,1
lr,0.020370664,0.021075083,3
lr,0.021075083,0.021779502,1
lr,0.021779502,0.02248392,0
lr,0.02248392,0.023188338,0
lr,0.023188338,0.023892757,0
lr,0.023892757,0.024597175,0
lr,0.024597175,0.025301594,0
lr,0.025301594,0.026006013,0
lr,0.026006013,0.026710432,0
lr,0.026710432,0.02741485,1
ltf,-0.0035162673,-0.0034142074,1
ltf,-0.0034142074,-0.0033121475,1
ltf,-0.0033121475,-0.0032100875,0
ltf,-0.0032100875,-0.0031080276,0
ltf,-0.0031080276,-0.0030059677,1
ltf,-0.0030059677,-0.0029039078,1
ltf,-0.0029039078,-0.0028018479,0
ltf,-0.0028018479,-0.0026997882,0
ltf,-0.0026997882,-0.0025977283,0
ltf,-0.0025977283,-0.0024956684,1
ltf,-0.0024956684,-0.0023936084,1
ltf,-0.0023936084,-0.0022915485,1
ltf,-0.0022915485,-0.0021894886,1
ltf,-0.0021894886,-0.0020874287,1
ltf,-0.0020874287,-0.0019853688,0
ltf,-0.0019853688,-0.0018833089,0
ltf,-0.0018833089,-0.001781249,0
ltf,-0.001781249,-0.0016791892,1
ltf,-0.0016791892,-0.0015771292,2
ltf,-0.0015771292,-0.0014750693,0
ltf,-0.0014750693,-0.0013730094,5
ltf,-0.0013730094,-0.0012709495,1
ltf,-0.0012709495,-0.0011688896,3
ltf,-0.0011688896,-0.0010668297,6
ltf,-0.0010668297,-0.0009647698,8
ltf,-0.0009647698,-0.0008627099,0
ltf,-0.0008627099,-0.00076065003,1
ltf,-0.00076065003,-0.0006585901,3
ltf,-0.0006585901,-0.0005565302,1
ltf,-0.0005565302,-0.0004544703,2
ltf,-0.0004544703,-0.0003524104,6
ltf,-0.0003524104,-0.0002503505,4
ltf,-0.0002503505,-0.00014829061,22
ltf,-0.00014829061,-4.6230707e-05,64
ltf,-4.6230707e-05,5.582919e-05,4757
ltf,5.582919e-05,0.0001578891,71
ltf,0.0001578891,0.00025994898,7
ltf,0.00025994898,0.0003620089,10
ltf,0.0003620089,0.00046406878,3
ltf,0.00046406878,0.0005661287,0
ltf,0.0005661287,0.0006681886,1
ltf,0.0006681886,0.0007702485,0
ltf,0.0007702485,0.0008723084,0
ltf,0.0008723084,0.0009743683,0
ltf,0.0009743683,0.0010764282,4
ltf,0.0010764282,0.0011784881,1
ltf,0.0011784881,0.0012805479,2
ltf,0.0012805479,0.0013826079,0
ltf,0.0013826079,0.0014846678,0
ltf,0.0014846678,0.0015867277,1
metab,-0.24285242,-0.16486207,7
metab,-0.16486207,-0.0868717,0
metab,-0.0868717,-0.008881341,69
metab,-0.008881341,0.06910902,17480
metab,0.06910902,0.14709938,84
metab,0.14709938,0.22508974,16
metab,0.22508974,0.3030801,0
metab,0.3030801,0.38107046,17
metab,0.38107046,0.45906082,1
metab,0.45906082,0.5370512,6
metab,0.5370512,0.61504155,2
metab,0.61504155,0.6930319,3
metab,0.6930319,0.77102226,1
metab,0.77102226,0.8490126,0
metab,0.8490126,0.92700297,2
metab,0.92700297,1.0049933,0
metab,1.0049933,1.0829837,0
metab,1.0829837,1.160974,0
metab,1.160974,1.2389644,6
metab,1.2389644,1.3169547,4
metab,1.3169547,1.3949451,0
metab,1.3949451,1.4729354,3
metab,1.4729354,1.5509259,1
metab,1.5509259,1.6289163,1
metab,1.6289163,1.7069066,0
metab,1.7069066,1.784897,0
metab,1.784897,1.8628873,0
metab,1.8628873,1.9408777,0
metab,1.9408777,2.018868,0
metab,2.018868,2.0968583,0
metab,2.0968583,2.1748488,0
metab,2.1748488,2.252839,1
metab,2.252839,2.3308294,0
metab,2.3308294,2.40882,0
metab,2.40882,2.4868102,0
metab,2.4868102,2.5648005,0
metab,2.5648005,2.6427908,0
metab,2.6427908,2.7207813,0
metab,2.7207813,2.7987716,0
metab,2.7987716,2.876762,0
metab,2.876762,2.9547524,0
metab,2.9547524,3.0327427,0
metab,3.0327427,3.110733,0
metab,3.110733,3.1887233,0
metab,3.1887233,3.2667139,0
metab,3.2667139,3.3447042,0
metab,3.3447042,3.4226944,0
metab,3.4226944,3.5006847,0
metab,3.5006847,3.5786753,0
metab,3.5786753,3.6566656,8
tf,-2.3159528,-2.1909862,1
tf,-2.1909862,-2.0660195,0
tf,-2.0660195,-1.941053,0
tf,-1.941053,-1.8160865,0
tf,-1.8160865,-1.6911199,11
tf,-1.6911199,-1.5661534,8
tf,-1.5661534,-1.4411868,8
tf,-1.4411868,-1.3162203,5
tf,-1.3162203,-1.1912537,7
tf,-1.1912537,-1.066287,19
tf,-1.066287,-0.94132054,1
tf,-0.94132054,-0.816354,31
tf,-0.816354,-0.69138736,25
tf,-0.69138736,-0.5664208,44
tf,-0.5664208,-0.44145423,88
tf,-0.44145423,-0.31648767,183
tf,-0.31648767,-0.19152111,489
tf,-0.19152111,-0.06655454,2362
tf,-0.06655454,0.05841203,53917
tf,0.05841203,0.1833786,3519
tf,0.1833786,0.30834517,782
tf,0.30834517,0.43331173,241
tf,0.43331173,0.5582783,132
tf,0.5582783,0.6832449,98
tf,0.6832449,0.80821145,49
tf,0.80821145,0.933178,44
tf,0.933178,1.0581446,14
tf,1.0581446,1.1831112,9
tf,1.1831112,1.3080777,8
tf,1.3080777,1.4330443,5
tf,1.4330443,1.5580108,7
tf,1.5580108,1.6829774,10
tf,1.6829774,1.8079439,4
tf,1.8079439,1.9329106,1
tf,1.9329106,2.057877,1
tf,2.057877,2.1828437,0
tf,2.1828437,2.3078103,0
tf,2.3078103,2.432777,1
tf,2.432777,2.5577433,0
tf,2.5577433,2.68271,0
tf,2.68271,2.8076766,0
tf,2.8076766,2.9326432,1
tf,2.9326432,3.0576098,0
tf,3.0576098,3.1825762,1
tf,3.1825762,3.3075428,0
tf,3.3075428,3.4325094,0
tf,3.4325094,3.557476,0
tf,3.557476,3.6824424,0
tf,3.6824424,3.807409,0
tf,3.807409,3.9323757,1
