group,left,right,count
lr,-0.00020645012,-0.00012869667,1
lr,-0.00012869667,-5.0943232e-05,1
lr,-5.0943232e-05,2.6810209e-05,1669
lr,2.6810209e-05,0.00010456365,15
lr,0.00010456365,0.00018231709,3
lr,0.00018231709,0.00026007055,1
lr,0.00026007055,0.00033782396,0
lr,0.00033782396,0.0004155774,2
lr,0.0004155774,0.0004933309,0
lr,0.0004933309,0.0005710843,0
lr,0.0005710843,0.00064883777,0
lr,0.00064883777,0.0007265912,0
lr,0.0007265912,0.0008043446,1
lr,0.0008043446,0.00088209804,0
lr,0.00088209804,0.0009598515,0
lr,0.0009598515,0.001037605,0
lr,0.001037605,0.0011153584,0
lr,0.0011153584,0.0011931119,0
lr,0.0011931119,0.0012708653,0
lr,0.0012708653,0.0013486188,0
lr,0.0013486188,0.0014263722,0
lr,0.0014263722,0.0015041257,0
lr,0.0015041257,0.0015818791,0
lr,0.0015818791,0.0016596325,0
lr,0.0016596325,0.001737386,0
lr,0.001737386,0.0018151393,0
lr,0.0018151393,0.0018928928,0
lr,0.0018928928,0.0019706462,0
lr,0.0019706462,0.0020483998,0
lr,0.0020483998,0.002126153,0
lr,0.002126153,0.0022039067,0
lr,0.0022039067,0.00228166,0
lr,0.00228166,0.0023594135,0
lr,0.0023594135,0.0024371669,0
lr,0.0024371669,0.0025149204,0
lr,0.0025149204,0.0025926738,0
lr,0.0025926738,0.0026704273,0
lr,0.0026704273,0.0027481806,0
lr,0.0027481806,0.0028259342,0
lr,0.0028259342,0.0029036875,0
lr,0.0029036875,0.002981441,0
lr,0.002981441,0.0030591944,0
lr,0.0030591944,0.003136948,0
lr,0.003136948,0.0032147013,0
lr,0.0032147013,0.0032924549,0
lr,0.0032924549,0.0033702082,0
lr,0.0033702082,0.0034479618,0
lr,0.0034479618,0.003525715,0
lr,0.003525715,0.0036034686,0
lr,0.0036034686,0.003681222,1
ltf,-2.4587192e-07,-2.2360287e-07,1
ltf,-2.2360287e-07,-2.0133382e-07,1
ltf,-2.0133382e-07,-1.7906477e-07,0
ltf,-1.7906477e-07,-1.567957e-07,0
ltf,-1.567957e-07,-1.3452666e-07,0
ltf,-1.3452666e-07,-1.1225761e-07,0
ltf,-1.1225761e-07,-8.998856e-08,1
ltf,-8.998856e-08,-6.7719505e-08,0
ltf,-6.7719505e-08,-4.5450456e-08,1
ltf,-4.5450456e-08,-2.3181405e-08,7
ltf,-2.3181405e-08,-9.1235447e-10,6
ltf,-9.1235447e-10,2.1356696e-08,322
ltf,2.1356696e-08,4.3625747e-08,2
ltf,4.3625747e-08,6.5894795e-08,2
ltf,6.5894795e-08,8.816385e-08,1
