,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
847,Endothelial_arterial,Enteric_glia,ABCA1,ABCA1,,,,,,19.228151,0.03596403596403597,0.0451777829421334,1.2352808297852882,True
929,Endothelial_arterial,Fibroblast_CTF_S2,TAP1,TAP1,,,,,,47.246,0.000999000999000999,0.002086195054945055,0.8627203743231007,True
1301,Endothelial_arterial,IEC_Goblet,ABCB1,ABCC3,,,,,,23.69547,0.000999000999000999,0.002086195054945055,1.994746221763918,True
1378,Endothelial_arterial,IEC_Goblet_2,CLCN3,CLCN3,,,,,,15.378694,0.011988011988011988,0.01730902788083126,1.486890401299758,True
1441,Endothelial_arterial,IEC_ISC,CLCN3,CLCN3,,,,,,16.217363,0.003996003996003996,0.006974741676234214,1.567977265708593,True
1555,Endothelial_arterial,MNP_mDC,ABCC1,SLCO2B1,,,,,,21.253874,0.005994005994005994,0.009765245638123305,1.9957310799416155,True
1599,Endothelial_arterial,MNP_macrophage,CPT1A,CPT1A,,,,,,80.361,0.022977022977022976,0.030406894187925377,0.8039424132327302,True
1600,Endothelial_arterial,MNP_macrophage,FABP5,FABP5,,,,,,125.370926,0.011988011988011988,0.01730902788083126,0.44902938284014327,True
1602,Endothelial_arterial,MNP_macrophage,MSR1,MSR1,,,,,,12.803139,0.03196803196803197,0.040690737833594975,2.3765644029381114,True
1663,Endothelial_arterial,Muscularis_mucosa,FABP5,FABP5,,,,,,18.404274,0.029970029970029972,0.03842200964503123,0.7712322969860552,True
1775,Endothelial_arterial,Pericyte,SLC40A1,SLC40A1,,,,,,23.803236,0.01098901098901099,0.0161254320928072,23.80323600769043,True
1864,Endothelial_arterial,Plasma,SLC15A1,SLC15A1,,,,,,19.444752,0.000999000999000999,0.002086195054945055,1.1048938766718932,True
1976,Endothelial_arterial,T_CD8,CD36,CD36,,,,,,35.01146,0.03396603396603397,0.04290410190632968,0.6615131678366422,True
2108,Endothelial_lymphatic,Endothelial_venous,ABCG2,ABCG2,,,,,,25.987913,0.000999000999000999,0.002086195054945055,1.8480267206045018,True
2224,Endothelial_lymphatic,Fibroblast_CTF_S2,SLC12A2,SLC1A5,,,,,,20.796116,0.00999000999000999,0.014903769488365247,0.9847221684609924,True
2228,Endothelial_lymphatic,Fibroblast_CTF_S2,CD36,CD36,,,,,,38.051044,0.008991008991008992,0.01364955531284132,1.0510355987504956,True
2264,Endothelial_lymphatic,Fibroblast_CTF_S2,SLC26A2,SLC26A3,,,,,,15.590395,0.03996003996003996,0.049654157769445324,1.3285384701319938,True
2266,Endothelial_lymphatic,Fibroblast_CTF_S2,SLC26A3,SLC26A3,,,,,,12.1052065,0.01098901098901099,0.0161254320928072,1.7110356648260063,True
2643,Endothelial_lymphatic,IEC_Colonocyte_NOS,SLC26A2,SLC26A2,,,,,,68.10805,0.013986013986013986,0.019744402270432147,1.934613402721967,True
2644,Endothelial_lymphatic,IEC_Colonocyte_NOS,SLC26A3,SLC26A3,,,,,,30.124367,0.01998001998001998,0.02691670774326113,1.4193304881260307,True
3047,Endothelial_lymphatic,Myofibroblast,CD36,CD36,,,,,,23.27116,0.003996003996003996,0.006974741676234214,23.271160125732422,True
3328,Endothelial_lymphatic,T_CD8,ABCC3,SLC22A5,,,,,,14.770321,0.016983016983016984,0.023346501415710146,14.770320892333984,True
3484,Endothelial_venous,Enteric_glia,SLC12A2,SLC1A5,,,,,,22.85184,0.000999000999000999,0.002086195054945055,2.1732505155178683,True
3802,Endothelial_venous,IEC_Colonocyte_NOS,SLC1A5,SLC5A1,,,,,,12.724263,0.00999000999000999,0.014903769488365247,0.8454965597791368,True
3944,Endothelial_venous,IEC_Goblet_2,SCARB1,SCARB1,,,,,,19.49988,0.000999000999000999,0.002086195054945055,1.9458901428959778,True
4106,Endothelial_venous,MNP_mDC,SLC40A1,SLC40A1,,,,,,18.736702,0.012987012987012988,0.018552450755840586,18.73670196533203,True
4169,Endothelial_venous,MNP_macrophage,SLC40A1,SLC40A1,,,,,,58.751556,0.025974025974025976,0.033867595818815335,2.9235446319355423,True
4296,Endothelial_venous,Myofibroblast,SLC3A2,SLC40A1,,,,,,21.620811,0.01098901098901099,0.0161254320928072,2.612316553920677,True
4434,Endothelial_venous,Plasma,CPT1A,CPT1A,,,,,,107.25968,0.001998001998001998,0.0038812931254791723,1.6769430621565586,True
4611,Enteric_glia,Enteric_glia,SLC3A2,SLC40A1,,,,,,49.2707,0.03196803196803197,0.040690737833594975,1.4535297865664725,True
4634,Enteric_glia,Enteric_glia,SLC22A2,SLC6A2,,,,,,21.543274,0.000999000999000999,0.002086195054945055,0.9163260808874146,True
4746,Enteric_glia,Fibroblast_cCF_S1,SLC5A7,SLC5A7,,,,,,19.859842,0.01898101898101898,0.025719012684035494,0.18748208868925562,True
4749,Enteric_glia,Fibroblast_cCF_S1,CPT1A,CPT1A,,,,,,60.91024,0.00999000999000999,0.014903769488365247,1.0410256063927485,True
4777,Enteric_glia,Fibroblast_cCF_S1,ABCC3,SLC22A5,,,,,,18.675764,0.006993006993006993,0.011052128883026762,0.9210399800786054,True
4921,Enteric_glia,IEC_Colonocyte_NOS,SLC16A1,SLC1A1,,,,,,14.330824,0.02197802197802198,0.029250357011933226,14.33082389831543,True
4937,Enteric_glia,IEC_Colonocyte_NOS,CD36,CD36,,,,,,206.35316,0.01098901098901099,0.0161254320928072,20.353599866221323,True
4989,Enteric_glia,IEC_Goblet,SLC3A2,SLC40A1,,,,,,33.99849,0.017982017982017984,0.02452701111397715,33.99848937988281,True
5335,Enteric_glia,MNP_mDC,ABCC1,SLCO2B1,,,,,,23.512424,0.014985014985014986,0.020961768494663233,1.1292479143725502,True
5389,Enteric_glia,MNP_macrophage,LRP1,LRP1,,,,,,45.698814,0.01898101898101898,0.025719012684035494,0.8067205392274406,True
5504,Enteric_glia,Myofibroblast,CD36,CD36,,,,,,39.200382,0.004995004995004995,0.008391231680870755,39.200382232666016,True
5528,Enteric_glia,Myofibroblast,TAP1,TAP1,,,,,,23.567366,0.015984015984015984,0.022144004374124324,0.9063669436086532,True
5635,Enteric_glia,Pericyte,ABCA1,ABCA1,,,,,,41.38631,0.025974025974025976,0.033867595818815335,1.2349738868273907,True
5693,Enteric_glia,Plasma,CD36,CD36,,,,,,88.74079,0.03296703296703297,0.041794576451396025,4.426894923984376,True
5806,Enteric_glia,T_CD8,SLC39A8,SLC39A8,,,,,,20.198011,0.003996003996003996,0.006974741676234214,1.9922264955153146,True
5807,Enteric_glia,T_CD8,SLC40A1,SLC40A1,,,,,,17.338854,0.007992007992007992,0.012358550540368721,0.6822823279712118,True
5922,Fibroblast_CTF_S2,Fibroblast_CTF_S2,SLC2A3,SLC2A3,,,,,,28.963947,0.01998001998001998,0.02691670774326113,0.22288320121352473,True
5945,Fibroblast_CTF_S2,Fibroblast_CTF_S2,CD36,CD36,,,,,,346.04114,0.00999000999000999,0.014903769488365247,4.699291252101403,True
5948,Fibroblast_CTF_S2,Fibroblast_CTF_S2,CD36,MSR1,,,,,,24.106905,0.003996003996003996,0.006974741676234214,0.32737543420067255,True
5966,Fibroblast_CTF_S2,Fibroblast_CTF_S2,ABCB1,SLC16A1,,,,,,20.536922,0.00999000999000999,0.014903769488365247,0.1780188537258421,True
5976,Fibroblast_CTF_S2,Fibroblast_CTF_S2,ABCB1,SLC15A1,,,,,,10.244239,0.022977022977022976,0.030406894187925377,0.08879946165236972,True
6018,Fibroblast_CTF_S2,Fibroblast_cCF_S1,ABCC3,ABCC3,,,,,,21.401218,0.000999000999000999,0.002086195054945055,0.5492682271523387,True
6123,Fibroblast_CTF_S2,IEC_BEST4_OTOP2,SLC3A2,SLC40A1,,,,,,51.404034,0.03196803196803197,0.040690737833594975,51.40403366088867,True
6247,Fibroblast_CTF_S2,IEC_Colonocyte_NOS,SLC39A8,SLC39A8,,,,,,147.52194,0.012987012987012988,0.018552450755840586,0.39733756373482554,True
6279,Fibroblast_CTF_S2,IEC_Colonocyte_NOS,ABCG2,SLC16A1,,,,,,14.517952,0.02097902097902098,0.02808460052503839,1.6650293138756531,True
6296,Fibroblast_CTF_S2,IEC_Colonocyte_NOS,SLC26A2,SLC26A3,,,,,,1450.6753,0.005994005994005994,0.009765245638123305,0.8564958305278824,True
6297,Fibroblast_CTF_S2,IEC_Colonocyte_NOS,SLC26A2,SLC26A2,,,,,,2505.7952,0.000999000999000999,0.002086195054945055,1.479451068238148,True
6298,Fibroblast_CTF_S2,IEC_Colonocyte_NOS,SLC26A3,SLC26A3,,,,,,973.4742,0.000999000999000999,0.002086195054945055,1.1607209324315422,True
6315,Fibroblast_CTF_S2,IEC_Goblet,SLC16A9,SLC16A9,,,,,,17.166016,0.01898101898101898,0.025719012684035494,0.6445343005315631,True
6355,Fibroblast_CTF_S2,IEC_Goblet,CLCN3,CLCN3,,,,,,53.603653,0.012987012987012988,0.018552450755840586,0.5314510660695634,True
6371,Fibroblast_CTF_S2,IEC_Goblet_2,SLC1A1,SLC3A2,,,,,,11.993033,0.015984015984015984,0.022144004374124324,1.2954889002329282,True
6372,Fibroblast_CTF_S2,IEC_Goblet_2,SLC3A1,SLC3A2,,,,,,11.698157,0.014985014985014986,0.020961768494663233,0.6869150723740864,True
6446,Fibroblast_CTF_S2,IEC_ISC,SLC12A2,SLC5A1,,,,,,21.300713,0.02197802197802198,0.029250357011933226,0.5610235103883712,True
6449,Fibroblast_CTF_S2,IEC_ISC,CD36,CD36,,,,,,72.5276,0.025974025974025976,0.033867595818815335,72.52760314941406,True
6479,Fibroblast_CTF_S2,IEC_ISC,ABCG2,SLC22A5,,,,,,15.574814,0.014985014985014986,0.020961768494663233,1.7862382840430477,True
6567,Fibroblast_CTF_S2,IEC_Tuft,SLC16A9,SLC16A9,,,,,,15.860803,0.002997002997002997,0.00546771870874835,1.6308081664411556,True
6703,Fibroblast_CTF_S2,MNP_mDC,FABP5,FABP5,,,,,,19.760548,0.000999000999000999,0.002086195054945055,1.5735513256883285,True
6744,Fibroblast_CTF_S2,MNP_macrophage,SLCO2B1,SLCO2B1,,,,,,136.18892,0.03796203796203796,0.04738543644480936,1.4437827857830277,True
6748,Fibroblast_CTF_S2,MNP_macrophage,SLC16A1,SLC1A1,,,,,,19.681215,0.01098901098901099,0.0161254320928072,0.5211873436164941,True
6756,Fibroblast_CTF_S2,MNP_macrophage,SLC16A9,SLC16A9,,,,,,22.820047,0.007992007992007992,0.012358550540368721,0.7211794039439537,True
6766,Fibroblast_CTF_S2,MNP_macrophage,FABP5,FABP5,,,,,,31.857208,0.006993006993006993,0.011052128883026762,0.5245261692091926,True
6768,Fibroblast_CTF_S2,MNP_macrophage,MSR1,MSR1,,,,,,47.93033,0.003996003996003996,0.006974741676234214,0.8067192224192782,True
6769,Fibroblast_CTF_S2,MNP_macrophage,ABCA1,ABCA1,,,,,,154.42108,0.007992007992007992,0.012358550540368721,1.1869670191147683,True
6784,Fibroblast_CTF_S2,MNP_macrophage,ABCC1,SLCO2B1,,,,,,200.37657,0.003996003996003996,0.006974741676234214,1.3566294982710556,True
6799,Fibroblast_CTF_S2,MNP_macrophage,SLC9A3,SLC9A3,,,,,,18.333282,0.03996003996003996,0.049654157769445324,1.6538563764102192,True
6864,Fibroblast_CTF_S2,Muscularis_mucosa,SLC26A2,SLC26A2,,,,,,21.339207,0.01998001998001998,0.02691670774326113,0.5671114350825341,True
6887,Fibroblast_CTF_S2,Myofibroblast,SLC12A2,SLC5A1,,,,,,16.328402,0.029970029970029972,0.03842200964503123,0.3177213548294876,True
6964,Fibroblast_CTF_S2,Pericyte,LRP1,LRP1,,,,,,31.43341,0.022977022977022976,0.030406894187925377,0.9982929910880037,True
7015,Fibroblast_CTF_S2,Plasma,SLC1A5,SLC5A1,,,,,,32.19834,0.008991008991008992,0.01364955531284132,0.12576695416591482,True
7050,Fibroblast_CTF_S2,Plasma,SLC9A1,SLC9A1,,,,,,18.658659,0.01898101898101898,0.025719012684035494,0.12452345610538462,True
7053,Fibroblast_CTF_S2,Plasma,SLC26A2,SLC26A2,,,,,,66.76191,0.03296703296703297,0.041794576451396025,0.11201727935754771,True
7055,Fibroblast_CTF_S2,Plasma,SCNN1A,SCNN1A,,,,,,24.084795,0.01098901098901099,0.0161254320928072,0.13476987759896455,True
7068,Fibroblast_CTF_S2,T_CD4,SLC3A2,SLC40A1,,,,,,50.965084,0.023976023976023976,0.03159708301277536,1.4432585678617302,True
7076,Fibroblast_CTF_S2,T_CD4,SLC12A2,SLC5A1,,,,,,21.349678,0.004995004995004995,0.008391231680870755,0.9401149689537317,True
7078,Fibroblast_CTF_S2,T_CD4,SLC1A5,SLC5A1,,,,,,21.349678,0.004995004995004995,0.008391231680870755,0.43371566734575356,True
7086,Fibroblast_CTF_S2,T_CD4,ABCB1,ABCB1,,,,,,15.34262,0.027972027972027972,0.0361603299284659,2.390813406921903,True
7109,Fibroblast_CTF_S2,T_CD4,ABCG2,SLC22A5,,,,,,12.082421,0.026973026973026972,0.03501403549967446,12.08242130279541,True
7181,Fibroblast_CTF_S2,T_CD8,SCNN1A,SCNN1A,,,,,,17.305408,0.03796203796203796,0.04738543644480936,0.6549463589676083,True
7618,Fibroblast_cCF_S1,Fibroblast_cCF_S1,SLC9A3,SLC9A3,,,,,,43.840565,0.03296703296703297,0.041794576451396025,2.6189814932409154,True
7729,Fibroblast_cCF_S1,IEC_BEST4_OTOP2,ABCC1,SLCO2B1,,,,,,27.006563,0.006993006993006993,0.011052128883026762,0.7737808525039592,True
7764,Fibroblast_cCF_S1,IEC_Colonocyte_NOS,SLC16A9,SLC16A9,,,,,,45.059566,0.02197802197802198,0.029250357011933226,0.7546812576510026,True
7780,Fibroblast_cCF_S1,IEC_Colonocyte_NOS,ABCB1,ABCG2,,,,,,20.390203,0.03696303696303696,0.04628356987321051,0.18972193877954074,True
7792,Fibroblast_cCF_S1,IEC_Colonocyte_NOS,ABCC1,SLCO2B1,,,,,,81.96904,0.02097902097902098,0.02808460052503839,0.3535092678930518,True
7903,Fibroblast_cCF_S1,IEC_Goblet_2,ABCA1,ABCA1,,,,,,73.43428,0.000999000999000999,0.002086195054945055,0.488208053868773,True
7927,Fibroblast_cCF_S1,IEC_Goblet_2,ABCC3,SLC22A5,,,,,,24.116678,0.01098901098901099,0.0161254320928072,24.11667823791504,True
8127,Fibroblast_cCF_S1,MAST,SLC2A3,SLC2A3,,,,,,22.131811,0.003996003996003996,0.006974741676234214,1.3277493540950893,True
8145,Fibroblast_cCF_S1,MAST,SLC12A2,SLC5A3,,,,,,20.119778,0.03696303696303696,0.04628356987321051,0.34584484229609086,True
8174,Fibroblast_cCF_S1,MAST,TAP1,TAP1,,,,,,19.564663,0.017982017982017984,0.02452701111397715,0.7317779087173718,True
8216,Fibroblast_cCF_S1,MNP_mDC,CD36,MSR1,,,,,,17.426819,0.006993006993006993,0.011052128883026762,2.0644061280693338,True
8262,Fibroblast_cCF_S1,MNP_macrophage,SLC3A1,SLC3A2,,,,,,19.756363,0.012987012987012988,0.018552450755840586,1.0744936724338705,True
8265,Fibroblast_cCF_S1,MNP_macrophage,SLC3A2,SLC40A1,,,,,,751.0747,0.002997002997002997,0.00546771870874835,18.089718997312147,True
8303,Fibroblast_cCF_S1,MNP_macrophage,AQP7,AQP7,,,,,,16.436043,0.004995004995004995,0.008391231680870755,0.3109503227620985,True
8334,Fibroblast_cCF_S1,Muscularis_mucosa,SLC12A2,SLC5A3,,,,,,21.51534,0.03696303696303696,0.04628356987321051,2.080212701814048,True
8399,Fibroblast_cCF_S1,Myofibroblast,SLC12A2,SLC5A1,,,,,,20.132757,0.008991008991008992,0.01364955531284132,0.4096513301315981,True
8437,Fibroblast_cCF_S1,Myofibroblast,SLC9A3,SLC9A3,,,,,,20.53021,0.024975024975024976,0.0327475607783947,20.530210494995117,True
8517,Fibroblast_cCF_S1,Pericyte,SLC3A2,SLC40A1,,,,,,44.932198,0.029970029970029972,0.03842200964503123,4.818665574457694,True
8589,Fibroblast_cCF_S1,Plasma,SLC5A7,SLC5A7,,,,,,21.595448,0.000999000999000999,0.002086195054945055,0.3179451166124048,True
8598,Fibroblast_cCF_S1,Plasma,ABCB1,ABCB1,,,,,,24.085009,0.003996003996003996,0.006974741676234214,0.33470910175324897,True
8615,Fibroblast_cCF_S1,Plasma,TAP1,TAP1,,,,,,80.77023,0.02097902097902098,0.02808460052503839,0.21800475474529377,True
8629,Fibroblast_cCF_S1,Plasma,SLC26A3,SLC26A3,,,,,,26.171495,0.004995004995004995,0.008391231680870755,0.46815022720646415,True
8694,Fibroblast_cCF_S1,T_CD8,SLC2A3,SLC2A3,,,,,,11.2652,0.012987012987012988,0.018552450755840586,1.8412563809190536,True
8769,Fibroblast_cCF_S1,T_gd_and_ambiguous,SLC3A2,SLC40A1,,,,,,21.465273,0.03396603396603397,0.04290410190632968,2.62938404669979,True
9112,Fibroblast_submucosal_S3,MNP_macrophage,ABCC2,ABCC4,,,,,,15.33501,0.003996003996003996,0.006974741676234214,1.1236467000442802,True
9480,IEC_BEST4_OTOP2,IEC_BEST4_OTOP2,ABCB1,ABCB1,,,,,,181.67448,0.000999000999000999,0.002086195054945055,0.4597995368257506,True
9494,IEC_BEST4_OTOP2,IEC_BEST4_OTOP2,ABCB1,SLC16A1,,,,,,54.03864,0.030969030969030968,0.039567192793549914,0.13676626806792283,True
9498,IEC_BEST4_OTOP2,IEC_BEST4_OTOP2,AQP7,AQP8,,,,,,105.91546,0.001998001998001998,0.0038812931254791723,0.8849482585200622,True
9508,IEC_BEST4_OTOP2,IEC_BEST4_OTOP2,SLC9A3,SLC9A3,,,,,,162.90253,0.007992007992007992,0.012358550540368721,3.6358080934420984,True
9509,IEC_BEST4_OTOP2,IEC_BEST4_OTOP2,SLC26A2,SLC26A3,,,,,,1154.3372,0.001998001998001998,0.0038812931254791723,0.5188912092118881,True
9511,IEC_BEST4_OTOP2,IEC_BEST4_OTOP2,SLC26A3,SLC26A3,,,,,,1094.9895,0.000999000999000999,0.002086195054945055,0.6292831841072549,True
