,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,B,Endothelial,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",,,,,0.0,0.000999000999000999,0.0025444972098706336,False
1,B,Endothelial,17a-Ethynylestradiol,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
2,B,Endothelial,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",,,,,0.0,0.000999000999000999,0.0025444972098706336,False
3,B,Endothelial,2-Hydroxychlorpropamide,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
4,B,Endothelial,25-Hydroxycholesterol,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
5,B,Endothelial,"3',4'-Dihydrodiol",,,,,0.0,0.000999000999000999,0.0025444972098706336,False
6,B,Endothelial,3-Sulfodeoxycholic acid,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
7,B,Endothelial,"3alpha,7alpha-Dihydroxycoprostanic acid",,,,,0.0,0.000999000999000999,0.0025444972098706336,False
8,B,Endothelial,3b-Hydroxy-5-cholenoic acid,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
9,B,Endothelial,4'-Hydroxydiclofenac,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
10,B,Endothelial,4-Hydroxycyclophosphamide,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
11,B,Endothelial,4-ene-Valproic acid,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
12,B,Endothelial,5-Hydroxyomeprazole,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
13,B,Endothelial,8-Hydroxycarvedilol,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
14,B,Endothelial,Acetate,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
15,B,Endothelial,Acetyl-L-Carnitine,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
16,B,Endothelial,Adenosine triphosphate,,,,,0.0,0.000999000999000999,0.0025444972098706336,False
