,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
719,Endothelial,Endothelial,5-Hydroxyomeprazole,,,,,51.975826,0.027972027972027972,0.042361329558561395,True
737,Endothelial,Endothelial,Cortisol,,,,,51.975826,0.027972027972027972,0.042361329558561395,True
750,Endothelial,Endothelial,Estradiol,,,,,51.975826,0.027972027972027972,0.042361329558561395,True
753,Endothelial,Endothelial,Folic acid,,,,,51.975826,0.003996003996003996,0.008540564156407889,True
762,Endothelial,Endothelial,Hydroxylansoprazole,,,,,51.975826,0.027972027972027972,0.042361329558561395,True
783,Endothelial,Endothelial,N-Desmethyltamoxifen,,,,,51.975826,0.027972027972027972,0.042361329558561395,True
784,Endothelial,Endothelial,N-desmethylimatinib,,,,,51.975826,0.027972027972027972,0.042361329558561395,True
797,Endothelial,Endothelial,Testosterone,,,,,51.975826,0.03296703296703297,0.048947283398847664,True
894,Endothelial,Enteric_glia,Sodium,,,,,22.85184,0.017982017982017984,0.02971106075132921,True
925,Endothelial,Fibroblast,Adenosine triphosphate,,,,,47.246,0.016983016983016984,0.028303830715508314,True
954,Endothelial,Fibroblast,Fatty acid,,,,,357.7968,0.026973026973026972,0.04111716456917695,True
1005,Endothelial,Fibroblast,Vitamin D3,,,,,31.746052,0.02197802197802198,0.034957168815436535,True
1257,Endothelial,MNP,Fatty acid,,,,,279.35306,0.01098901098901099,0.019869503918161252,True
1619,Endothelial,Plasma,2-Hydroxychlorpropamide,,,,,19.444752,0.02197802197802198,0.034957168815436535,True
1668,Endothelial,Plasma,Glycyl-glycine,,,,,19.444752,0.000999000999000999,0.0025444972098706336,True
1681,Endothelial,Plasma,L-Dopa,,,,,19.444752,0.000999000999000999,0.0025444972098706336,True
1897,Enteric_glia,Enteric_glia,Norepinephrine,,,,,21.543274,0.002997002997002997,0.006635859924224174,True
2065,Enteric_glia,IEC,Fatty acid,,,,,345.93405,0.008991008991008992,0.017034913138809244,True
2275,Enteric_glia,MNP,Heme,,,,,45.698814,0.025974025974025976,0.04009078695599072,True
2440,Enteric_glia,Myofibroblast,Adenosine triphosphate,,,,,23.567366,0.016983016983016984,0.028303830715508314,True
2469,Enteric_glia,Myofibroblast,Fatty acid,,,,,39.200382,0.017982017982017984,0.02971106075132921,True
2630,Enteric_glia,Pericyte,25-Hydroxycholesterol,,,,,41.38631,0.03296703296703297,0.048947283398847664,True
2848,Enteric_glia,T,Cadmium,,,,,20.198011,0.000999000999000999,0.0025444972098706336,True
2901,Enteric_glia,T,Manganese,,,,,20.198011,0.000999000999000999,0.0025444972098706336,True
2926,Enteric_glia,T,Zinc,,,,,20.198011,0.000999000999000999,0.0025444972098706336,True
2929,Fibroblast,Fibroblast,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",,,,,42.802437,0.001998001998001998,0.004741042090439681,True
2931,Fibroblast,Fibroblast,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",,,,,42.802437,0.001998001998001998,0.004741042090439681,True
2935,Fibroblast,Fibroblast,3-Sulfodeoxycholic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
2936,Fibroblast,Fibroblast,"3alpha,7alpha-Dihydroxycoprostanic acid",,,,,42.802437,0.001998001998001998,0.004741042090439681,True
2937,Fibroblast,Fibroblast,3b-Hydroxy-5-cholenoic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
2950,Fibroblast,Fibroblast,Chenodeoxycholic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
2951,Fibroblast,Fibroblast,Chenodeoxycholic acid 3-sulfate,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
2958,Fibroblast,Fibroblast,Coprocholic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
2968,Fibroblast,Fibroblast,Deoxycholic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
2974,Fibroblast,Fibroblast,Fatty acid,,,,,652.2342,0.008991008991008992,0.017034913138809244,True
2975,Fibroblast,Fibroblast,Folic acid,,,,,42.802437,0.002997002997002997,0.006635859924224174,True
2976,Fibroblast,Fibroblast,Folinic acid,,,,,42.802437,0.004995004995004995,0.010279688963074542,True
2978,Fibroblast,Fibroblast,Glutathione,,,,,42.802437,0.004995004995004995,0.010279688963074542,True
2980,Fibroblast,Fibroblast,Glycochenodeoxycholate-3-sulfate,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
2985,Fibroblast,Fibroblast,Hyodeoxycholic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
2987,Fibroblast,Fibroblast,Isoursodeoxycholic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
3001,Fibroblast,Fibroblast,Lithocholic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
3017,Fibroblast,Fibroblast,Sulfolithocholic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
3020,Fibroblast,Fibroblast,Trihydroxycoprostanoic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
3021,Fibroblast,Fibroblast,Ursocholic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
3022,Fibroblast,Fibroblast,Ursodeoxycholic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
3023,Fibroblast,Fibroblast,Ursodeoxycholic acid 3-sulfate,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
3024,Fibroblast,Fibroblast,Varanic acid,,,,,42.802437,0.001998001998001998,0.004741042090439681,True
3025,Fibroblast,Fibroblast,Vitamin D3,,,,,24.106905,0.02097902097902098,0.033701616491176034,True
3048,Fibroblast,IEC,Anion exchange,,,,,5786.6895,0.000999000999000999,0.0025444972098706336,True
3050,Fibroblast,IEC,Cadmium,,,,,195.69957,0.000999000999000999,0.0025444972098706336,True
3054,Fibroblast,IEC,Chloride ion,,,,,355.92017,0.02097902097902098,0.033701616491176034,True
3103,Fibroblast,IEC,Manganese,,,,,195.69957,0.000999000999000999,0.0025444972098706336,True
3116,Fibroblast,IEC,Sodium,,,,,1497.3921,0.007992007992007992,0.015439195429386699,True
3128,Fibroblast,IEC,Zinc,,,,,195.69957,0.000999000999000999,0.0025444972098706336,True
3163,Fibroblast,MAST,D-Galactose,,,,,22.131811,0.004995004995004995,0.010279688963074542,True
3164,Fibroblast,MAST,D-Glucose,,,,,22.131811,0.004995004995004995,0.010279688963074542,True
