sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,24_11_12_ICI_5K_Fine_annotations_n_sig_pairs,24_11_12_ICI_5K_Fine_annotations_interactions,24_11_12_ICI_5K_Fine_annotations_within_Tcell,24_11_12_ICI_5K_Fine_annotations_Tcell_interfaces,24_11_12_ICI_5K_Fine_annotations_tcell_involved,25_06_11_ICI_5K_Coarse_annotations_n_sig_pairs,25_06_11_ICI_5K_Coarse_annotations_interactions,25_06_11_ICI_5K_Coarse_annotations_within_Tcell,25_06_11_ICI_5K_Coarse_annotations_Tcell_interfaces,25_06_11_ICI_5K_Coarse_annotations_tcell_involved
13473_HS4_UC-Slice_2,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",False,0.12364302786688,1,3,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),True,1,Fibroblast (self) (4.7e-03),Fibroblast (self) (4.7e-03),,True
13473_HS4_UC-Slice_2,17a-Ethynylestradiol,6,"ABCB1, ABCC2, SLC10A1",True,0.0026752907364487,1,8,IEC_BEST4_OTOP2 (self) (2.4e-03); IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03); Fibroblast_cCF_S1–Plasma (7.7e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_CTF_S2–T_CD4 (3.8e-02),IEC_BEST4_OTOP2 (self) (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03),IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); Fibroblast_cCF_S1–Plasma (7.7e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_CTF_S2–T_CD4 (3.8e-02),True,2,IEC (self) (2.5e-03); Fibroblast–Plasma (2.1e-02),IEC (self) (2.5e-03),Fibroblast–Plasma (2.1e-02),True
13473_HS4_UC-Slice_2,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",False,0.12364302786688,1,3,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),True,1,Fibroblast (self) (4.7e-03),Fibroblast (self) (4.7e-03),,True
13473_HS4_UC-Slice_2,2-Hydroxychlorpropamide,3,"ABCB1, SLC15A1",True,0.0026752907364487,3,10,IEC_BEST4_OTOP2 (self) (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03); IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (4.4e-03); Endothelial_arterial–Plasma (9.2e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_cCF_S1–Plasma (1.3e-02); Fibroblast_CTF_S2–T_CD4 (4.0e-02); IEC_CT_absorptive_colonocyte (self) (4.1e-02),IEC_BEST4_OTOP2 (self) (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03); IEC_CT_absorptive_colonocyte (self) (4.1e-02),IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (4.4e-03); Endothelial_arterial–Plasma (9.2e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_cCF_S1–Plasma (1.3e-02); Fibroblast_CTF_S2–T_CD4 (4.0e-02),True,3,IEC (self) (2.5e-03); Fibroblast–Plasma (2.6e-02); Endothelial–Plasma (3.5e-02),IEC (self) (2.5e-03),Fibroblast–Plasma (2.6e-02); Endothelial–Plasma (3.5e-02),True
13473_HS4_UC-Slice_2,25-Hydroxycholesterol,1,ABCA1,True,0.0047830955591052,1,7,Fibroblast_cCF_S1–IEC_Goblet_2 (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (4.4e-03); IEC_Goblet_2–MAST (9.2e-03); Fibroblast_CTF_S2–MNP_macrophage (1.3e-02); MAST–MNP_mDC (3.4e-02); Enteric_glia–Pericyte (3.5e-02); Endothelial_arterial–Enteric_glia (4.7e-02),,Fibroblast_cCF_S1–IEC_Goblet_2 (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (4.4e-03); IEC_Goblet_2–MAST (9.2e-03); Fibroblast_CTF_S2–MNP_macrophage (1.3e-02); MAST–MNP_mDC (3.4e-02); Enteric_glia–Pericyte (3.5e-02); Endothelial_arterial–Enteric_glia (4.7e-02),True,2,IEC (self) (1.4e-02); Enteric_glia–Pericyte (4.9e-02),IEC (self) (1.4e-02),Enteric_glia–Pericyte (4.9e-02),True
13473_HS4_UC-Slice_2,"3',4'-Dihydrodiol",3,"ABCB1, ABCC2",True,0.0026752907364487,1,8,IEC_BEST4_OTOP2 (self) (2.4e-03); IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03); Fibroblast_cCF_S1–Plasma (7.7e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_CTF_S2–T_CD4 (3.8e-02),IEC_BEST4_OTOP2 (self) (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03),IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); Fibroblast_cCF_S1–Plasma (7.7e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_CTF_S2–T_CD4 (3.8e-02),True,2,IEC (self) (2.5e-03); Fibroblast–Plasma (2.1e-02),IEC (self) (2.5e-03),Fibroblast–Plasma (2.1e-02),True
13473_HS4_UC-Slice_2,3-Sulfodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",False,0.12364302786688,1,3,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),True,1,Fibroblast (self) (4.7e-03),Fibroblast (self) (4.7e-03),,True
13473_HS4_UC-Slice_2,"3alpha,7alpha-Dihydroxycoprostanic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",False,0.12364302786688,1,3,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),True,1,Fibroblast (self) (4.7e-03),Fibroblast (self) (4.7e-03),,True
13473_HS4_UC-Slice_2,3b-Hydroxy-5-cholenoic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",False,0.12364302786688,1,3,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),True,1,Fibroblast (self) (4.7e-03),Fibroblast (self) (4.7e-03),,True
13473_HS4_UC-Slice_2,4'-Hydroxydiclofenac,6,"ABCB1, ABCC1, ABCC4",True,0.0026752907364487,1,8,IEC_BEST4_OTOP2 (self) (2.4e-03); IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03); Fibroblast_cCF_S1–Plasma (7.7e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_CTF_S2–T_CD4 (3.8e-02),IEC_BEST4_OTOP2 (self) (2.4e-03); IEC_Colonocyte_NOS (self) (2.4e-03),IEC_BEST4_OTOP2–IEC_CT_absorptive_colonocyte (2.4e-03); IEC_BEST4_OTOP2–IEC_Colonocyte_NOS (2.4e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.4e-03); Fibroblast_cCF_S1–Plasma (7.7e-03); Plasma–T_gd_and_ambiguous (9.2e-03); Fibroblast_CTF_S2–T_CD4 (3.8e-02),True,2,IEC (self) (2.5e-03); Fibroblast–Plasma (2.1e-02),IEC (self) (2.5e-03),Fibroblast–Plasma (2.1e-02),True
