gene,metabolite,cell_type,mean,std,n
CD3E,D-Glucose,Endothelial,0.0,0.0,265
CD3E,D-Galactose|D-Mannose,Endothelial,0.0,0.0,265
CD3E,Glucosamine,Endothelial,0.0,0.0,265
CD3E,Docosahexaenoic acid|Dehydroascorbic acid,Endothelial,0.0,0.0,265
CD3E,L-Glutamine,Endothelial,0.0,0.0,265
CD3E,L-Alanine|L-Asparagine|L-Threonine,Endothelial,0.0,0.0,265
CD3E,L-Cysteine,Endothelial,0.0,0.0,265
CD3E,L-Serine,Endothelial,0.0,0.0,265
CD3E,L-Lactate,Endothelial,0.0,0.0,265
CD3E,Pyruvate|Ketone bodies|Butyrate|D-Lactate|alpha-Ketoisovaleric acid,Endothelial,0.0,0.0,265
CD3E,Nicotinate,Endothelial,0.0,0.0,265
CD3E,L-Glutamate,Endothelial,0.0,0.0,265
CD3E,L-Cystine,Endothelial,0.0,0.0,265
CD3E,Zinc,Endothelial,0.0,0.0,265
CD3E,Iron,Endothelial,0.0,0.0,265
CD3E,Cadmium,Endothelial,0.0,0.0,265
CD3E,Manganese,Endothelial,0.0,0.0,265
CD3E,Acetyl-L-Carnitine,Endothelial,0.0,0.0,265
CD3E,L-Carnitine,Endothelial,0.0,0.0,265
CD3E,Sodium,Endothelial,0.0,0.0,265
CD3E,Acetate,Endothelial,0.0,0.0,265
CD3E,L-Leucine,Endothelial,0.0,0.0,265
CD3E,L-Arginine,Endothelial,0.0,0.0,265
CD3E,Fatty acid,Endothelial,0.0,0.0,265
CD3E,Creatine,Endothelial,0.0,0.0,265
CD3E,Choline,Endothelial,0.0,0.0,265
CD3E,25-Hydroxycholesterol,Endothelial,0.0,0.0,265
CD3E,Cholesterol,Endothelial,0.0,0.0,265
CD3E,Dopamine,Endothelial,0.0,0.0,265
CD3E,Folic acid,Endothelial,0.0,0.0,265
CD3E,Heme,Endothelial,0.0,0.0,265
CD3E,Citric acid|Oxalic acid,Endothelial,0.0,0.0,265
CD3E,Norepinephrine,Endothelial,0.0,0.0,265
CD3E,Histamine,Endothelial,0.0,0.0,265
CD3E,Urea,Endothelial,0.0,0.0,265
CD3E,Adenosine diphosphate ribose,Endothelial,0.0,0.0,265
CD3E,Chloride ion,Endothelial,0.0,0.0,265
CD3E,Taurocholic acid,Endothelial,0.0,0.0,265
CD3E,Cyclic AMP|Hydroxycelecoxib,Endothelial,0.0,0.0,265
CD3E,Cortisol|N-Desmethyltamoxifen|Hydroxylansoprazole,Endothelial,0.0,0.0,265
CD3E,Glutathione,Endothelial,0.0,0.0,265
CD3E,Glycerol|Estriol|O-Deethylated candesartan|E-3179|4-Hydroxycyclophosphamide|N-Desmethyleletriptan|8-Hydroxycarvedilol,Endothelial,0.0,0.0,265
CD3E,Estradiol,Endothelial,0.0,0.0,265
CD3E,Testosterone,Endothelial,0.0,0.0,265
