cell_type,gene_pair,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
B,SLC16A1_SLC16A1,7,0.0,0.0,,1.9690362,-inf
B,SLCO2B1_SLCO2B1,7,0.0,0.0,,1.6094506,-inf
B,SLC16A1_SLC22A5,7,0.0,0.0,,2.761563,-inf
B,SLC22A5_SLC22A5,7,0.0,0.0,,1.6501476,-inf
B,SLC3A1_SLC3A1,7,0.0,0.0,,2.5492394,-inf
B,SLC40A1_SLC40A1,7,0.14285714285714285,1.4065804934620911,9.846063454234638,1.6143309,1.9105383726236629
B,SLC16A9_SLC22A5,7,0.0,0.0,,2.879706,-inf
B,SLC12A2_SLC12A2,7,0.0,0.0,,1.6311228,-inf
B,SLC12A2_SLC5A1,7,0.0,0.0,,3.0004344,-inf
B,CPT1A_CPT1A,7,0.0,0.0,,0.75306827,-inf
B,CPT1A_FABP5,7,0.0,0.0,,1.9909875,-inf
B,FABP5_FABP5,7,0.0,0.0,,1.2252467,-inf
B,CD36_MSR1,7,0.0,0.0,,2.832421,-inf
B,ABCA1_ABCA1,7,0.0,0.0,,2.1787703,-inf
B,ABCG2_ABCG2,7,0.0,0.0,,2.7464125,-inf
B,ABCB1_ABCB1,7,0.0,0.0,,2.259219,-inf
B,ABCB1_ABCG2,7,0.0,0.0,,3.0004344,-inf
B,SLC20A2_SLC20A2,7,0.0,0.0,,2.8145728,-inf
B,ABCC3_ABCC3,7,0.0,0.0,,1.6550503,-inf
B,CD38_CD38,7,0.0,0.0,,2.2743423,-inf
B,ABCC3_SLC16A1,7,0.0,0.0,,2.7395663,-inf
B,ABCB1_ABCC3,7,0.0,0.0,,2.785413,-inf
B,ABCB1_SLC16A1,7,0.0,0.0,,2.785413,-inf
B,ABCG2_SLC22A4,7,0.0,0.0,,2.8211095,-inf
B,TAP1_TAP1,7,0.14285714285714285,0.7348446015047168,5.143912210533017,1.4897478,1.7589919004962051
B,AQP8_AQP8,7,0.0,0.0,,1.8327968,-inf
B,AQP7_AQP8,7,0.0,0.0,,2.789417,-inf
B,AQP7_AQP7,7,0.0,0.0,,2.3399699,-inf
B,ABCB1_SLC22A5,7,0.0,0.0,,2.785413,-inf
B,ABCG2_SLC22A5,7,0.0,0.0,,2.8211095,-inf
