,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
32,SLC16A1,SLC16A1,335.5049710846793,1.2168443410136425,0.11183172287976889,0.366500999434739,0.009481516339853868,2033.915609081703,0.001998002,0.020082481062183015,0.0732679456656839,True
35,SLC22A5,SLC22A5,748.4978388923023,2.714729849076238,0.0033164926969474822,0.025491473278498294,0.02090303381080276,4308.935715861051,0.000999001,0.010878010575349132,0.10552748412180891,True
36,SLC16A1,SLC22A5,248.75633994064412,0.6663101270591627,0.252606446948218,0.6601448480246763,0.0070299623107347884,5110.629114102665,0.000999001,0.010878010575349132,0.18410070436432485,True
38,SLCO2B1,SLCO2B1,1415.1631854800626,5.132661099759454,1.4283701185474723e-07,2.7996054323530455e-06,0.033990496702839386,4320.786978499567,0.002997003,0.028654272872500303,0.08923910863393776,True
42,SLC16A1,SLC1A1,155.12278344574173,0.4234508661791169,0.33598316974433473,0.7702070323963697,0.004383837298056585,960.5734041060781,0.000999001,0.010878010575349132,0.03460283192955131,True
64,SLC3A1,SLC3A1,-52.98404395105105,-0.19216804400070103,0.576194711722014,0.8747229122914058,-0.0019268122250475574,583.8414419021127,0.000999001,0.010878010575349132,0.058388947333244214,True
72,SLC40A1,SLC40A1,1620.7278877144802,5.878224552418317,2.0734506745788533e-09,5.805661888820789e-08,0.0362470090269939,6358.989216521677,0.000999001,0.010878010575349132,0.11304933546178235,True
86,SLC16A9,SLC22A5,-60.76942986620766,-0.16277489267259418,0.5646521613318375,0.8747229122914058,-0.0017488166927126891,2116.835699007518,0.000999001,0.010878010575349132,0.2165449985753509,True
146,SLC12A2,SLC5A1,4354.558243221558,8.175343718003461,1.4751180722741451e-16,7.228078554143312e-15,0.08039633078025211,3683.339049717866,0.000999001,0.010878010575349132,0.07734361264749627,True
164,SLC12A2,SLC12A2,5151.431056793157,18.683746202969235,3.356887653247691e-78,1.3158999600730948e-75,0.09510864985634188,6510.119393019639,0.000999001,0.010878010575349132,0.1367010057521673,True
181,CPT1A,FABP5,2597.6173085246983,5.554777978805478,1.3898241809027246e-08,3.4050692432116756e-07,0.0757909340687794,37528.83570904655,0.002997003,0.028654272872500303,0.24311940444963523,True
182,CPT1A,CPT1A,1872.1906278258593,6.790255784894708,5.59674540225237e-12,2.1939241976829289e-10,0.054625088912086485,45971.59621026603,0.000999001,0.010878010575349132,0.2978133182411732,True
184,FABP5,FABP5,2661.452646444748,9.652833402831098,2.390798009909707e-22,1.5619880331410086e-20,0.05444765317809047,10266.297588628302,0.000999001,0.010878010575349132,0.1334204261738368,True
195,ABCA1,ABCA1,1173.4376644114814,4.255945826540335,1.0408355527025394e-05,0.00012000221666452808,0.024844547906129135,1477.1001650012408,0.001998002,0.020082481062183015,0.05742163733993056,True
198,ABCG2,ABCG2,879.3942551679745,3.189478592408021,0.0007126484759752933,0.006207960057384778,0.06755157216528511,2338.4249609667745,0.000999001,0.010878010575349132,0.24703983501899388,True
199,ABCB1,ABCG2,684.0832510799437,2.107783010199034,0.01752488155455717,0.1040871752937335,0.025661765362824232,4291.100717862151,0.000999001,0.010878010575349132,0.2384962823999749,True
200,ABCB1,ABCB1,401.9751251193787,1.4579252123996418,0.07243057915538503,0.2678564814048201,0.015079146180265018,2797.781341289181,0.000999001,0.010878010575349132,0.15549866869541054,True
206,SLC20A2,SLC20A2,132.5719458445301,0.48082572832391063,0.31532018144185425,0.7536921410073589,0.004153043276445584,334.90682636988913,0.000999001,0.010878010575349132,0.0512055090277995,True
234,ABCC3,ABCC3,847.8028940380768,3.0748997565369667,0.0010528665784411365,0.008491426126526718,0.024825497286245366,3640.971404756955,0.000999001,0.010878010575349132,0.09620540554244025,True
244,SLC15A1,SLC15A1,291.71906630365197,1.0580370652922118,0.14501927226263395,0.4441215213043165,0.006295177367500607,78.58317767032486,0.003996004,0.03729603625833988,0.02821986559536713,True
246,CD38,CD38,2524.274959630721,9.15530309389609,2.710271433562899e-20,1.5177520027952235e-18,0.03440858264120513,1309.239096288695,0.001998002,0.020082481062183015,0.055028451135295454,True
290,ABCB1,SLC16A1,-922.732266084539,-2.518854862229739,0.9941131411564067,0.999800443128337,-0.03461411877514504,2776.4811916030812,0.000999001,0.010878010575349132,0.1543148217412825,True
306,ABCB1,ABCC3,-289.4061994612891,-0.7731211173251462,0.7802746477185405,0.889212022263363,-0.010856389150586598,3814.122160554388,0.000999001,0.010878010575349132,0.21198615826588568,True
315,ABCC3,SLC16A1,2249.2962803167115,6.008780933755902,9.346174580221916e-10,2.997386520595772e-08,0.06586424638986478,6055.258361875016,0.000999001,0.010878010575349132,0.15999812182192216,True
321,ABCG2,SLC22A4,142.4017738878224,0.37639631797855716,0.35331114145809495,0.7811467352869877,0.010938738397160008,829.4847479867811,0.000999001,0.010878010575349132,0.0876298272187053,True
