,Metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",-141.3522777423242,-0.10787878268193768,0.5429540760740571,0.6918285808040405,4659.930321429958,0.008991009,0.017538016822970945,True
1,17a-Ethynylestradiol,2201.477167402858,2.25983109129338,0.011915867982624454,0.04005759875009923,3324.572320563522,0.000999001,0.002869857335463166,True
2,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",-141.3522777423242,-0.10787878268193768,0.5429540760740571,0.6918285808040405,4659.930321429958,0.008991009,0.017538016822970945,True
3,2-Hydroxychlorpropamide,492.8431387255098,0.8674549320864123,0.19284639746271248,0.3348322065836107,3553.3178843735745,0.000999001,0.002869857335463166,True
4,25-Hydroxycholesterol,1173.4376644114816,4.255945826540336,1.0408355527025357e-05,7.150087709869594e-05,1477.1001650012408,0.001998002,0.005261405115015804,True
5,"3',4'-Dihydrodiol",2121.2399616412818,3.262845269354198,0.0005514986174882897,0.0024896223303757076,3213.0179077084185,0.000999001,0.002869857335463166,True
6,3-Sulfodeoxycholic acid,-141.3522777423242,-0.10787878268193768,0.5429540760740571,0.6918285808040405,4659.930321429958,0.008991009,0.017538016822970945,True
7,"3alpha,7alpha-Dihydroxycoprostanic acid",-141.3522777423242,-0.10787878268193768,0.5429540760740571,0.6918285808040405,4659.930321429958,0.008991009,0.017538016822970945,True
8,3b-Hydroxy-5-cholenoic acid,-141.3522777423242,-0.10787878268193768,0.5429540760740571,0.6918285808040405,4659.930321429958,0.008991009,0.017538016822970945,True
9,4'-Hydroxydiclofenac,2672.961928561971,2.7027892196130376,0.003438016738022254,0.014294911700197793,6506.0684845859005,0.000999001,0.002869857335463166,True
10,4-Hydroxycyclophosphamide,401.9751251193787,1.4579252123996418,0.07243057915538503,0.17118511525206256,2797.7813412891805,0.000999001,0.002869857335463166,True
11,4-Hydroxyvalsartan,-298.1810805092157,-0.4629058713814748,0.6782840806043676,0.721039610491938,50.26551443829476,0.9130869,0.9189027312454904,False
12,4-ene-Valproic acid,1332.7591499176258,2.468841362304023,0.006777564788215051,0.027457826577896874,11453.48043904542,0.000999001,0.002869857335463166,True
13,5-Hydroxyomeprazole,1477.5196054419212,1.8861406897246553,0.029637999192762724,0.09005392062416367,18383.393546172476,0.000999001,0.002869857335463166,True
14,5-Methyltetrahydrofolic acid,155.61549588291058,0.564402473462482,0.28624012795630743,0.4711035439280893,23.293023944079323,0.10489511,0.1507321475325404,False
15,8-Hydroxycarvedilol,401.9751251193787,1.4579252123996418,0.07243057915538503,0.17118511525206256,2797.7813412891805,0.000999001,0.002869857335463166,True
16,ADP,834.3862808594564,1.4567611879949944,0.07259115646764679,0.17118511525206256,876.860977801535,0.3916084,0.4516359502381652,False
17,Acetate,1250.5217612593149,1.4460438458875475,0.07408245213386327,0.1721327564286823,11257.49903227455,0.000999001,0.002869857335463166,True
18,Acetyl-L-Carnitine,2518.138979016457,3.863341737813917,5.59231828969749e-05,0.0002761207155538136,4483.275981315676,0.000999001,0.002869857335463166,True
19,Acetylcholine,-112.74780154131923,-0.40892545890968635,0.6587028175057829,0.721039610491938,0.0,0.33066934,0.4018904328346252,False
20,Adenine,315.65744032881184,1.144859251179382,0.1261337331049745,0.23803278087907717,78.81773537019183,0.22277722,0.28616910882112456,False
21,Adenosine,668.5171322635908,2.4246474996649208,0.007661628595787841,0.027512211775783613,184.95293140680963,0.026973028,0.046832289915163444,True
22,Adenosine diphosphate ribose,2524.2749596307203,9.155303093896089,2.7102714335629196e-20,1.745645850008016e-18,1309.2390962886948,0.001998002,0.005261405115015804,True
23,Adenosine triphosphate,3667.68053110349,4.218043079022149,1.232158724368701e-05,8.111711602093948e-05,11593.455185502167,0.000999001,0.002869857335463166,True
24,Adenosylcobalamin,-113.40989003246591,-0.4113267903447987,0.6595835361144848,0.721039610491938,0.0,0.2947053,0.3609568809354028,False
25,Amiloride-sensitive sodium transport,807.1748260497334,1.262434150964773,0.10339630351587076,0.21635865202593846,8817.305884569498,0.000999001,0.002869857335463166,True
26,Ammonium,-81.16925746592976,-0.2943931092656358,0.6157712341236489,0.721039610491938,0.0,0.25774226,0.32320060663753086,False
27,Anion exchange,10803.12918655838,19.53466175333771,2.785689655232871e-85,4.401389655267936e-83,209843.11439816654,0.000999001,0.002869857335463166,True
28,Betaine,-54.570505699975946,-0.19792198855530085,0.5784469499498757,0.7084854115665143,0.0,0.03696304,0.061475368706803576,False
29,Bilirubin,2989.222713651356,4.597957499696028,2.133264989949928e-06,1.685279342060443e-05,238.561623379788,0.060939062,0.09533041442679888,False
30,Butyrate,335.50497108467926,1.2168443410136423,0.11183172287976889,0.21814089154325292,2033.915609081703,0.000999001,0.002869857335463166,True
31,Cadmium,937.8473467421766,3.401482347425015,0.00033510728466533955,0.0015572632640330484,1084.4369641751332,0.16983017,0.23132040839770743,False
32,Calcidiol,-398.5989406581637,-0.6212911937506902,0.7327959766004524,0.7718784286858099,0.0,0.74925077,0.773736088883643,False
33,Calcium,-113.40989003246591,-0.4113267903447987,0.6595835361144848,0.721039610491938,0.0,0.2947053,0.3609568809354028,False
