gene,ligand,receptor,pair,cell_type,mean,std,n
ATP1A1,TGFB2,ACVR1B,TGFB2$ACVR1B,Endothelial,0.0,0.0,265
ATP1A1,BMP2,BMPR1A,BMP2$BMPR1A,Endothelial,0.0,0.0,265
ATP1A1,BMP2,ACVR2A,BMP2$ACVR2A,Endothelial,0.0,0.0,265
ATP1A1,BMP2,BMPR2,BMP2$BMPR2,Endothelial,0.0,0.0,265
ATP1A1,BMP2,BMPR1B,BMP2$BMPR1B,Endothelial,0.0,0.0,265
ATP1A1,BMP4,BMPR1A,BMP4$BMPR1A,Endothelial,0.0,0.0,265
ATP1A1,BMP4,ACVR2A,BMP4$ACVR2A,Endothelial,0.0,0.0,265
ATP1A1,BMP4,BMPR2,BMP4$BMPR2,Endothelial,0.0,0.0,265
ATP1A1,BMP6,ACVR2A,BMP6$ACVR2A,Endothelial,0.0,0.0,265
ATP1A1,BMP6,BMPR2,BMP6$BMPR2,Endothelial,0.0,0.0,265
ATP1A1,BMP6,BMPR1A,BMP6$BMPR1A,Endothelial,0.0,0.0,265
ATP1A1,GDF9,ACVR1B,GDF9$ACVR1B,Endothelial,0.0,0.0,265
ATP1A1,GDF11,ACVR1B,GDF11$ACVR1B,Endothelial,0.0,0.0,265
ATP1A1,MSTN,ACVR1B,MSTN$ACVR1B,Endothelial,0.0,0.0,265
ATP1A1,EGF,EGFR,EGF$EGFR,Endothelial,0.0,0.0,265
ATP1A1,EGF,ERBB2,EGF$ERBB2,Endothelial,0.0,0.0,265
ATP1A1,TGFA,EGFR,TGFA$EGFR,Endothelial,0.0,0.0,265
ATP1A1,TGFA,ERBB2,TGFA$ERBB2,Endothelial,0.0,0.0,265
ATP1A1,FGF2,FGFR2,FGF2$FGFR2,Endothelial,0.0,0.0,265
ATP1A1,FGF2,FGFR3,FGF2$FGFR3,Endothelial,0.0,0.0,265
ATP1A1,FGF2,FGFR4,FGF2$FGFR4,Endothelial,0.0,0.0,265
ATP1A1,FGF4,FGFR2,FGF4$FGFR2,Endothelial,0.0,0.0,265
ATP1A1,FGF4,FGFR3,FGF4$FGFR3,Endothelial,0.0,0.0,265
ATP1A1,FGF7,FGFR2,FGF7$FGFR2,Endothelial,0.0,0.0,265
ATP1A1,FGF9,FGFR2,FGF9$FGFR2,Endothelial,0.0,0.0,265
ATP1A1,FGF9,FGFR3,FGF9$FGFR3,Endothelial,0.0,0.0,265
ATP1A1,PDGFA,PDGFRA,PDGFA$PDGFRA,Endothelial,0.0,0.0,265
ATP1A1,PDGFA,PDGFRB,PDGFA$PDGFRB,Endothelial,0.0,0.0,265
ATP1A1,IGF1,ITGA6,IGF1$ITGA6,Endothelial,0.0,0.0,265
ATP1A1,IGF1,ITGB4,IGF1$ITGB4,Endothelial,0.0,0.0,265
ATP1A1,IHH,PTCH1,IHH$PTCH1,Endothelial,0.0,0.0,265
ATP1A1,CCL13,CCR1,CCL13$CCR1,Endothelial,0.0,0.0,265
ATP1A1,CCL15,CCR1,CCL15$CCR1,Endothelial,0.0,0.0,265
ATP1A1,CXCL12,ACKR3,CXCL12$ACKR3,Endothelial,0.0,0.0,265
ATP1A1,IL7,IL2RG,IL7$IL2RG,Endothelial,0.0,0.0,265
ATP1A1,IL13,IL13RA1,IL13$IL13RA1,Endothelial,0.0,0.0,265
ATP1A1,CSF1,CSF1R,CSF1$CSF1R,Endothelial,0.0,0.0,265
ATP1A1,IL16,CD4,IL16$CD4,Endothelial,0.0,0.0,265
ATP1A1,TNFSF14,TNFRSF14,TNFSF14$TNFRSF14,Endothelial,0.0,0.0,265
ATP1A1,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Endothelial,0.0,0.0,265
ATP1A1,ANGPTL4,SDC4,ANGPTL4$SDC4,Endothelial,0.0,0.0,265
ATP1A1,POSTN,ITGAV,POSTN$ITGAV,Endothelial,0.0,0.0,265
ATP1A1,POSTN,ITGB3,POSTN$ITGB3,Endothelial,0.0,0.0,265
ATP1A1,POSTN,ITGB5,POSTN$ITGB5,Endothelial,0.0,0.0,265
ATP1A1,CTSG,F2RL1,CTSG$F2RL1,Endothelial,0.0,0.0,265
ATP1A1,PLG,F2RL1,PLG$F2RL1,Endothelial,0.0,0.0,265
ATP1A1,GZMA,F2RL1,GZMA$F2RL1,Endothelial,0.0,0.0,265
ATP1A1,VIP,VIPR1,VIP$VIPR1,Endothelial,0.0,0.0,265
ATP1A1,KITLG,KIT,KITLG$KIT,Endothelial,0.0,0.0,265
ATP1A1,SEMA3C,NRP1,SEMA3C$NRP1,Endothelial,0.0,0.0,265
ATP1A1,GAS6,AXL,GAS6$AXL,Endothelial,0.0,0.0,265
ATP1A1,GAS6,MERTK,GAS6$MERTK,Endothelial,0.0,0.0,265
ATP1A1,GAS6,TYRO3,GAS6$TYRO3,Endothelial,0.0,0.0,265
ATP1A1,GRN,SORT1,GRN$SORT1,Endothelial,0.0,0.0,265
ATP1A1,GUCA2A,GUCY2C,GUCA2A$GUCY2C,Endothelial,0.0,0.0,265
ATP1A1,PROS1,AXL,PROS1$AXL,Endothelial,0.0,0.0,265
ATP1A1,BTLA,TNFRSF14,BTLA$TNFRSF14,Endothelial,0.0,0.0,265
ATP1A1,LGALS9,HAVCR2,LGALS9$HAVCR2,Endothelial,0.0,0.0,265
ATP1A1,LGALS9,CD44,LGALS9$CD44,Endothelial,0.0,0.0,265
ATP1A1,LAMB3,ITGA3,LAMB3$ITGA3,Endothelial,0.0,0.0,265
ATP1A1,COL6A2,ITGA3,COL6A2$ITGA3,Endothelial,0.0,0.0,265
ATP1A1,LAMB3,ITGA6,LAMB3$ITGA6,Endothelial,0.0,0.0,265
ATP1A1,LAMA3,ITGB4,LAMA3$ITGB4,Endothelial,0.0,0.0,265
ATP1A1,LAMB3,ITGB4,LAMB3$ITGB4,Endothelial,0.0,0.0,265
ATP1A1,THBS1,SDC4,THBS1$SDC4,Endothelial,0.0,0.0,265
ATP1A1,CD99,CD99,CD99$CD99,Endothelial,0.0,0.0,265
ATP1A1,CDH1,CDH1,CDH1$CDH1,Endothelial,0.0,0.0,265
ATP1A1,CDH1,ITGA2,CDH1$ITGA2,Endothelial,0.0,0.0,265
ATP1A1,F11R,F11R,F11R$F11R,Endothelial,0.0,0.0,265
ATP1A1,HLA-DRA,CD4,HLA-DRA$CD4,Endothelial,0.0,0.0,265
ATP1A1,HLA-DRB1,CD4,HLA-DRB1$CD4,Endothelial,0.0,0.0,265
ATP1A1,MPZL1,MPZL1,MPZL1$MPZL1,Endothelial,0.0,0.0,265
ATP1A1,OCLN,OCLN,OCLN$OCLN,Endothelial,0.0,0.0,265
ATP1A1,TGFB2,ACVR1B,TGFB2$ACVR1B,Enteric_glia,0.0,0.0,91
ATP1A1,BMP2,BMPR1A,BMP2$BMPR1A,Enteric_glia,0.0,0.0,91
ATP1A1,BMP2,ACVR2A,BMP2$ACVR2A,Enteric_glia,0.0,0.0,91
ATP1A1,BMP2,BMPR2,BMP2$BMPR2,Enteric_glia,0.0,0.0,91
ATP1A1,BMP2,BMPR1B,BMP2$BMPR1B,Enteric_glia,0.0,0.0,91
ATP1A1,BMP4,BMPR1A,BMP4$BMPR1A,Enteric_glia,0.0,0.0,91
ATP1A1,BMP4,ACVR2A,BMP4$ACVR2A,Enteric_glia,0.0,0.0,91
ATP1A1,BMP4,BMPR2,BMP4$BMPR2,Enteric_glia,0.0,0.0,91
ATP1A1,BMP6,ACVR2A,BMP6$ACVR2A,Enteric_glia,0.0,0.0,91
ATP1A1,BMP6,BMPR2,BMP6$BMPR2,Enteric_glia,0.0,0.0,91
ATP1A1,BMP6,BMPR1A,BMP6$BMPR1A,Enteric_glia,0.0,0.0,91
ATP1A1,GDF9,ACVR1B,GDF9$ACVR1B,Enteric_glia,0.0,0.0,91
ATP1A1,GDF11,ACVR1B,GDF11$ACVR1B,Enteric_glia,0.0,0.0,91
ATP1A1,MSTN,ACVR1B,MSTN$ACVR1B,Enteric_glia,0.0,0.0,91
ATP1A1,EGF,EGFR,EGF$EGFR,Enteric_glia,0.0,0.0,91
ATP1A1,EGF,ERBB2,EGF$ERBB2,Enteric_glia,0.0,0.0,91
ATP1A1,TGFA,EGFR,TGFA$EGFR,Enteric_glia,0.0,0.0,91
ATP1A1,TGFA,ERBB2,TGFA$ERBB2,Enteric_glia,0.0,0.0,91
ATP1A1,FGF2,FGFR2,FGF2$FGFR2,Enteric_glia,0.0,0.0,91
ATP1A1,FGF2,FGFR3,FGF2$FGFR3,Enteric_glia,0.0,0.0,91
ATP1A1,FGF2,FGFR4,FGF2$FGFR4,Enteric_glia,0.0,0.0,91
ATP1A1,FGF4,FGFR2,FGF4$FGFR2,Enteric_glia,0.0,0.0,91
ATP1A1,FGF4,FGFR3,FGF4$FGFR3,Enteric_glia,0.0,0.0,91
ATP1A1,FGF7,FGFR2,FGF7$FGFR2,Enteric_glia,0.0,0.0,91
ATP1A1,FGF9,FGFR2,FGF9$FGFR2,Enteric_glia,0.0,0.0,91
ATP1A1,FGF9,FGFR3,FGF9$FGFR3,Enteric_glia,0.0,0.0,91
ATP1A1,PDGFA,PDGFRA,PDGFA$PDGFRA,Enteric_glia,0.0,0.0,91
ATP1A1,PDGFA,PDGFRB,PDGFA$PDGFRB,Enteric_glia,0.0,0.0,91
ATP1A1,IGF1,ITGA6,IGF1$ITGA6,Enteric_glia,0.0,0.0,91
ATP1A1,IGF1,ITGB4,IGF1$ITGB4,Enteric_glia,0.0,0.0,91
ATP1A1,IHH,PTCH1,IHH$PTCH1,Enteric_glia,0.0,0.0,91
ATP1A1,CCL13,CCR1,CCL13$CCR1,Enteric_glia,0.0,0.0,91
ATP1A1,CCL15,CCR1,CCL15$CCR1,Enteric_glia,0.0,0.0,91
ATP1A1,CXCL12,ACKR3,CXCL12$ACKR3,Enteric_glia,0.0,0.0,91
ATP1A1,IL7,IL2RG,IL7$IL2RG,Enteric_glia,0.0,0.0,91
ATP1A1,IL13,IL13RA1,IL13$IL13RA1,Enteric_glia,0.0,0.0,91
ATP1A1,CSF1,CSF1R,CSF1$CSF1R,Enteric_glia,0.0,0.0,91
ATP1A1,IL16,CD4,IL16$CD4,Enteric_glia,0.0,0.0,91
ATP1A1,TNFSF14,TNFRSF14,TNFSF14$TNFRSF14,Enteric_glia,0.0,0.0,91
ATP1A1,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Enteric_glia,0.0,0.0,91
ATP1A1,ANGPTL4,SDC4,ANGPTL4$SDC4,Enteric_glia,0.0,0.0,91
ATP1A1,POSTN,ITGAV,POSTN$ITGAV,Enteric_glia,0.0,0.0,91
ATP1A1,POSTN,ITGB3,POSTN$ITGB3,Enteric_glia,0.0,0.0,91
ATP1A1,POSTN,ITGB5,POSTN$ITGB5,Enteric_glia,0.0,0.0,91
ATP1A1,CTSG,F2RL1,CTSG$F2RL1,Enteric_glia,0.0,0.0,91
ATP1A1,PLG,F2RL1,PLG$F2RL1,Enteric_glia,0.0,0.0,91
ATP1A1,GZMA,F2RL1,GZMA$F2RL1,Enteric_glia,0.0,0.0,91
ATP1A1,VIP,VIPR1,VIP$VIPR1,Enteric_glia,0.0,0.0,91
ATP1A1,KITLG,KIT,KITLG$KIT,Enteric_glia,0.0,0.0,91
ATP1A1,SEMA3C,NRP1,SEMA3C$NRP1,Enteric_glia,0.0,0.0,91
ATP1A1,GAS6,AXL,GAS6$AXL,Enteric_glia,0.0,0.0,91
ATP1A1,GAS6,MERTK,GAS6$MERTK,Enteric_glia,0.0,0.0,91
ATP1A1,GAS6,TYRO3,GAS6$TYRO3,Enteric_glia,0.0,0.0,91
ATP1A1,GRN,SORT1,GRN$SORT1,Enteric_glia,0.0,0.0,91
ATP1A1,GUCA2A,GUCY2C,GUCA2A$GUCY2C,Enteric_glia,0.0,0.0,91
ATP1A1,PROS1,AXL,PROS1$AXL,Enteric_glia,0.0,0.0,91
ATP1A1,BTLA,TNFRSF14,BTLA$TNFRSF14,Enteric_glia,0.0,0.0,91
ATP1A1,LGALS9,HAVCR2,LGALS9$HAVCR2,Enteric_glia,0.0,0.0,91
ATP1A1,LGALS9,CD44,LGALS9$CD44,Enteric_glia,0.0,0.0,91
ATP1A1,LAMB3,ITGA3,LAMB3$ITGA3,Enteric_glia,0.0,0.0,91
ATP1A1,COL6A2,ITGA3,COL6A2$ITGA3,Enteric_glia,0.0,0.0,91
ATP1A1,LAMB3,ITGA6,LAMB3$ITGA6,Enteric_glia,0.0,0.0,91
ATP1A1,LAMA3,ITGB4,LAMA3$ITGB4,Enteric_glia,0.0,0.0,91
ATP1A1,LAMB3,ITGB4,LAMB3$ITGB4,Enteric_glia,0.0,0.0,91
ATP1A1,THBS1,SDC4,THBS1$SDC4,Enteric_glia,0.0,0.0,91
ATP1A1,CD99,CD99,CD99$CD99,Enteric_glia,0.0,0.0,91
ATP1A1,CDH1,CDH1,CDH1$CDH1,Enteric_glia,0.0,0.0,91
ATP1A1,CDH1,ITGA2,CDH1$ITGA2,Enteric_glia,0.0,0.0,91
ATP1A1,F11R,F11R,F11R$F11R,Enteric_glia,0.0,0.0,91
ATP1A1,HLA-DRA,CD4,HLA-DRA$CD4,Enteric_glia,0.0,0.0,91
ATP1A1,HLA-DRB1,CD4,HLA-DRB1$CD4,Enteric_glia,0.0,0.0,91
ATP1A1,MPZL1,MPZL1,MPZL1$MPZL1,Enteric_glia,0.0,0.0,91
