gene,ligand,tf,pair,cell_type,mean,std,n
CD4,IL26,CTCF,IL26#CTCF,Endothelial,0.0,0.0,151
CD4,EBI3,CTCF,EBI3#CTCF,Endothelial,0.0,0.0,151
CD4,IL18,E2F1,IL18#E2F1,Endothelial,0.0,0.0,151
CD4,CSF1,EGR2,CSF1#EGR2,Endothelial,0.0,0.0,151
CD4,IL18,ELK1,IL18#ELK1,Endothelial,0.0,0.0,151
CD4,ADM,ELK1,ADM#ELK1,Endothelial,0.0,0.0,151
CD4,VEGFA,ETS1,VEGFA#ETS1,Endothelial,0.0,0.0,151
CD4,TGFB1,ETS1,TGFB1#ETS1,Endothelial,0.0,0.0,151
CD4,BMP2,FOXO1,BMP2#FOXO1,Endothelial,0.0,0.0,151
CD4,PDGFD,FOXO1,PDGFD#FOXO1,Endothelial,0.0,0.0,151
CD4,IGF1,FOXO3,IGF1#FOXO3,Endothelial,0.0,0.0,151
CD4,IL12A,FOXO3,IL12A#FOXO3,Endothelial,0.0,0.0,151
CD4,PDGFA,FOXO4,PDGFA#FOXO4,Endothelial,0.0,0.0,151
CD4,VEGFA,FOXO4,VEGFA#FOXO4,Endothelial,0.0,0.0,151
CD4,BMP4,GATA2,BMP4#GATA2,Endothelial,0.0,0.0,151
CD4,IFNG,HDAC2,IFNG#HDAC2,Endothelial,0.0,0.0,151
CD4,IL26,HDAC2,IL26#HDAC2,Endothelial,0.0,0.0,151
CD4,EBI3,HDAC2,EBI3#HDAC2,Endothelial,0.0,0.0,151
CD4,IL21,HDAC2,IL21#HDAC2,Endothelial,0.0,0.0,151
CD4,IL18,KLF16,IL18#KLF16,Endothelial,0.0,0.0,151
CD4,IL22,KLF16,IL22#KLF16,Endothelial,0.0,0.0,151
CD4,BMP6,KLF5,BMP6#KLF5,Endothelial,0.0,0.0,151
CD4,EBI3,MAX,EBI3#MAX,Endothelial,0.0,0.0,151
CD4,PDGFD,MEF2A,PDGFD#MEF2A,Endothelial,0.0,0.0,151
CD4,SHH,MEF2A,SHH#MEF2A,Endothelial,0.0,0.0,151
CD4,IL26,MEF2A,IL26#MEF2A,Endothelial,0.0,0.0,151
CD4,VEGFA,MEF2C,VEGFA#MEF2C,Endothelial,0.0,0.0,151
CD4,ADM,NF1,ADM#NF1,Endothelial,0.0,0.0,151
CD4,CSF1,NFATC1,CSF1#NFATC1,Endothelial,0.0,0.0,151
CD4,ANGPTL4,NFATC2,ANGPTL4#NFATC2,Endothelial,0.0,0.0,151
CD4,IL18,NFATC4,IL18#NFATC4,Endothelial,0.0,0.0,151
CD4,TGFB1,NFATC4,TGFB1#NFATC4,Endothelial,0.0,0.0,151
CD4,BMP2,REST,BMP2#REST,Endothelial,0.0,0.0,151
CD4,BMP2,RXRA,BMP2#RXRA,Endothelial,0.0,0.0,151
CD4,BMP6,RXRA,BMP6#RXRA,Endothelial,0.0,0.0,151
CD4,CXCL12,RXRA,CXCL12#RXRA,Endothelial,0.0,0.0,151
CD4,IL18,SIN3A,IL18#SIN3A,Endothelial,0.0,0.0,151
CD4,CXCL12,SIN3A,CXCL12#SIN3A,Endothelial,0.0,0.0,151
CD4,EBI3,SMC3,EBI3#SMC3,Endothelial,0.0,0.0,151
CD4,CNTF,SP3,CNTF#SP3,Endothelial,0.0,0.0,151
CD4,PDGFC,TBX2,PDGFC#TBX2,Endothelial,0.0,0.0,151
CD4,BMP4,TBX2,BMP4#TBX2,Endothelial,0.0,0.0,151
CD4,BMP4,TFAP2A,BMP4#TFAP2A,Endothelial,0.0,0.0,151
CD4,IL7,USF1,IL7#USF1,Endothelial,0.0,0.0,151
CD4,BMP6,VDR,BMP6#VDR,Endothelial,0.0,0.0,151
CD4,SHH,ZFX,SHH#ZFX,Endothelial,0.0,0.0,151
CD4,EBI3,ZFX,EBI3#ZFX,Endothelial,0.0,0.0,151
CD4,IL26,CTCF,IL26#CTCF,Enteric_glia,0.0,0.0,199
CD4,EBI3,CTCF,EBI3#CTCF,Enteric_glia,0.0,0.0,199
CD4,IL18,E2F1,IL18#E2F1,Enteric_glia,0.0,0.0,199
CD4,CSF1,EGR2,CSF1#EGR2,Enteric_glia,0.0,0.0,199
CD4,IL18,ELK1,IL18#ELK1,Enteric_glia,0.0,0.0,199
CD4,ADM,ELK1,ADM#ELK1,Enteric_glia,0.0,0.0,199
CD4,VEGFA,ETS1,VEGFA#ETS1,Enteric_glia,0.0,0.0,199
CD4,TGFB1,ETS1,TGFB1#ETS1,Enteric_glia,0.0,0.0,199
CD4,BMP2,FOXO1,BMP2#FOXO1,Enteric_glia,0.0,0.0,199
CD4,PDGFD,FOXO1,PDGFD#FOXO1,Enteric_glia,0.0,0.0,199
CD4,IGF1,FOXO3,IGF1#FOXO3,Enteric_glia,0.0,0.0,199
CD4,IL12A,FOXO3,IL12A#FOXO3,Enteric_glia,0.0,0.0,199
CD4,PDGFA,FOXO4,PDGFA#FOXO4,Enteric_glia,0.0,0.0,199
CD4,VEGFA,FOXO4,VEGFA#FOXO4,Enteric_glia,0.0,0.0,199
CD4,BMP4,GATA2,BMP4#GATA2,Enteric_glia,0.0,0.0,199
CD4,IFNG,HDAC2,IFNG#HDAC2,Enteric_glia,0.0,0.0,199
CD4,IL26,HDAC2,IL26#HDAC2,Enteric_glia,0.0,0.0,199
CD4,EBI3,HDAC2,EBI3#HDAC2,Enteric_glia,0.0,0.0,199
CD4,IL21,HDAC2,IL21#HDAC2,Enteric_glia,0.0,0.0,199
CD4,IL18,KLF16,IL18#KLF16,Enteric_glia,0.0,0.0,199
CD4,IL22,KLF16,IL22#KLF16,Enteric_glia,0.0,0.0,199
CD4,BMP6,KLF5,BMP6#KLF5,Enteric_glia,0.0,0.0,199
CD4,EBI3,MAX,EBI3#MAX,Enteric_glia,0.0,0.0,199
CD4,PDGFD,MEF2A,PDGFD#MEF2A,Enteric_glia,0.0,0.0,199
CD4,SHH,MEF2A,SHH#MEF2A,Enteric_glia,0.0,0.0,199
CD4,IL26,MEF2A,IL26#MEF2A,Enteric_glia,0.0,0.0,199
CD4,VEGFA,MEF2C,VEGFA#MEF2C,Enteric_glia,0.0,0.0,199
CD4,ADM,NF1,ADM#NF1,Enteric_glia,0.0,0.0,199
CD4,CSF1,NFATC1,CSF1#NFATC1,Enteric_glia,0.0,0.0,199
CD4,ANGPTL4,NFATC2,ANGPTL4#NFATC2,Enteric_glia,0.0,0.0,199
CD4,IL18,NFATC4,IL18#NFATC4,Enteric_glia,0.0,0.0,199
CD4,TGFB1,NFATC4,TGFB1#NFATC4,Enteric_glia,0.0,0.0,199
CD4,BMP2,REST,BMP2#REST,Enteric_glia,0.0,0.0,199
CD4,BMP2,RXRA,BMP2#RXRA,Enteric_glia,0.0,0.0,199
CD4,BMP6,RXRA,BMP6#RXRA,Enteric_glia,0.0,0.0,199
CD4,CXCL12,RXRA,CXCL12#RXRA,Enteric_glia,0.0,0.0,199
CD4,IL18,SIN3A,IL18#SIN3A,Enteric_glia,0.0,0.0,199
CD4,CXCL12,SIN3A,CXCL12#SIN3A,Enteric_glia,0.0,0.0,199
CD4,EBI3,SMC3,EBI3#SMC3,Enteric_glia,0.0,0.0,199
CD4,CNTF,SP3,CNTF#SP3,Enteric_glia,0.0,0.0,199
CD4,PDGFC,TBX2,PDGFC#TBX2,Enteric_glia,0.0,0.0,199
CD4,BMP4,TBX2,BMP4#TBX2,Enteric_glia,0.0,0.0,199
CD4,BMP4,TFAP2A,BMP4#TFAP2A,Enteric_glia,0.0,0.0,199
CD4,IL7,USF1,IL7#USF1,Enteric_glia,0.0,0.0,199
CD4,BMP6,VDR,BMP6#VDR,Enteric_glia,0.0,0.0,199
CD4,SHH,ZFX,SHH#ZFX,Enteric_glia,0.0,0.0,199
CD4,EBI3,ZFX,EBI3#ZFX,Enteric_glia,0.0,0.0,199
CD4,IL26,CTCF,IL26#CTCF,Fibroblast,0.0,0.0,753
CD4,EBI3,CTCF,EBI3#CTCF,Fibroblast,0.0,0.0,753
CD4,IL18,E2F1,IL18#E2F1,Fibroblast,0.0,0.0,753
CD4,CSF1,EGR2,CSF1#EGR2,Fibroblast,0.0,0.0,753
CD4,IL18,ELK1,IL18#ELK1,Fibroblast,0.0,0.0,753
CD4,ADM,ELK1,ADM#ELK1,Fibroblast,0.0,0.0,753
CD4,VEGFA,ETS1,VEGFA#ETS1,Fibroblast,0.0,0.0,753
CD4,TGFB1,ETS1,TGFB1#ETS1,Fibroblast,0.0,0.0,753
CD4,BMP2,FOXO1,BMP2#FOXO1,Fibroblast,0.0,0.0,753
CD4,PDGFD,FOXO1,PDGFD#FOXO1,Fibroblast,0.0,0.0,753
