gene,tf,cell_type,mean,std,n
CD3E,ARID3B,Endothelial,0.0,0.0,151
CD3E,BCL6,Endothelial,0.0,0.0,151
CD3E,BCL6B,Endothelial,0.034003817,0.0008911244,151
CD3E,CTCF,Endothelial,0.004289105,9.904728e-05,151
CD3E,EHF,Endothelial,0.0,0.0,151
CD3E,ELK4,Endothelial,-0.0014923707,2.1719105e-05,151
CD3E,EP300,Endothelial,-0.0005246059,9.531076e-06,151
CD3E,ESRRA,Endothelial,0.07789178,0.00020337297,151
CD3E,ETV5,Endothelial,-0.010909379,0.00013897796,151
CD3E,FLI1,Endothelial,0.07108338,0.0004057467,151
CD3E,FOXA1,Endothelial,0.0,0.0,151
CD3E,FOXI1,Endothelial,0.0,0.0,151
CD3E,FOXJ2,Endothelial,-0.0026673034,2.8404731e-05,151
CD3E,FOXL2,Endothelial,0.0,0.0,151
CD3E,FOXO1,Endothelial,0.009579749,0.00016614473,151
CD3E,FOXO3,Endothelial,-0.0015971747,5.799876e-05,151
CD3E,FOXO4,Endothelial,-0.001264176,3.1218737e-05,151
CD3E,GATA1,Endothelial,0.020040337,0.00027274643,151
CD3E,GATA2,Endothelial,-0.04225096,0.0003946226,151
CD3E,GATA3,Endothelial,0.012272426,0.00016572182,151
CD3E,HOXA5,Endothelial,0.01224699,0.00021686185,151
CD3E,HOXB4,Endothelial,-0.0029281925,0.0001624589,151
CD3E,HOXB6,Endothelial,0.04334202,0.0009329403,151
CD3E,HOXB7,Endothelial,0.044534467,0.00062271545,151
CD3E,HOXB9,Endothelial,0.0034217376,9.002659e-05,151
CD3E,IRX1,Endothelial,0.0,0.0,151
CD3E,MECOM,Endothelial,-0.03670102,0.0003304645,151
CD3E,MEF2A,Endothelial,-0.007046094,0.0004240032,151
CD3E,MYEF2,Endothelial,-0.008692093,0.00019239345,151
CD3E,NR3C1,Endothelial,0.0014318733,2.9781435e-05,151
CD3E,PDX1,Endothelial,0.014871766,0.00022531957,151
CD3E,PITX1,Endothelial,0.0,0.0,151
CD3E,POU1F1,Endothelial,0.00015455681,7.950454e-06,151
CD3E,POU2F1,Endothelial,0.0005774167,9.658524e-06,151
CD3E,PPARGC1A,Endothelial,0.0,0.0,151
CD3E,RUNX1,Endothelial,0.0,0.0,151
CD3E,SIN3A,Endothelial,-0.009332583,0.00013524697,151
CD3E,SMAD4,Endothelial,-0.002958061,5.4145326e-05,151
CD3E,STAT1,Endothelial,-0.011431176,0.0002258514,151
CD3E,STAT3,Endothelial,-0.026956053,0.00045591508,151
CD3E,STAT5A,Endothelial,-0.005992135,0.00012599282,151
CD3E,STAT5B,Endothelial,-0.028515235,0.0003090479,151
CD3E,TCF7L2,Endothelial,0.103618935,0.0001600887,151
CD3E,THRA,Endothelial,0.018371696,0.00023867091,151
CD3E,THRB,Endothelial,-0.009715654,0.00017209392,151
CD3E,ZBTB1,Endothelial,-0.004940257,8.201446e-05,151
CD3E,ARID3B,Enteric_glia,0.0,0.0,199
CD3E,BCL6,Enteric_glia,0.0,0.0,199
CD3E,BCL6B,Enteric_glia,0.0,0.0,199
CD3E,CTCF,Enteric_glia,0.0,0.0,199
CD3E,EHF,Enteric_glia,0.0,0.0,199
CD3E,ELK4,Enteric_glia,0.0,0.0,199
CD3E,EP300,Enteric_glia,0.0,0.0,199
CD3E,ESRRA,Enteric_glia,0.0,0.0,199
CD3E,ETV5,Enteric_glia,0.0,0.0,199
CD3E,FLI1,Enteric_glia,0.0,0.0,199
CD3E,FOXA1,Enteric_glia,0.0,0.0,199
CD3E,FOXI1,Enteric_glia,0.0,0.0,199
CD3E,FOXJ2,Enteric_glia,0.0,0.0,199
CD3E,FOXL2,Enteric_glia,0.0,0.0,199
CD3E,FOXO1,Enteric_glia,0.0,0.0,199
CD3E,FOXO3,Enteric_glia,0.0,0.0,199
CD3E,FOXO4,Enteric_glia,0.0,0.0,199
CD3E,GATA1,Enteric_glia,0.0,0.0,199
CD3E,GATA2,Enteric_glia,0.0,0.0,199
CD3E,GATA3,Enteric_glia,0.0,0.0,199
CD3E,HOXA5,Enteric_glia,0.0,0.0,199
CD3E,HOXB4,Enteric_glia,0.0,0.0,199
CD3E,HOXB6,Enteric_glia,0.0,0.0,199
CD3E,HOXB7,Enteric_glia,0.0,0.0,199
CD3E,HOXB9,Enteric_glia,0.0,0.0,199
CD3E,IRX1,Enteric_glia,0.0,0.0,199
CD3E,MECOM,Enteric_glia,0.0,0.0,199
CD3E,MEF2A,Enteric_glia,0.0,0.0,199
CD3E,MYEF2,Enteric_glia,0.0,0.0,199
CD3E,NR3C1,Enteric_glia,0.0,0.0,199
CD3E,PDX1,Enteric_glia,0.0,0.0,199
CD3E,PITX1,Enteric_glia,0.0,0.0,199
CD3E,POU1F1,Enteric_glia,0.0,0.0,199
CD3E,POU2F1,Enteric_glia,0.0,0.0,199
CD3E,PPARGC1A,Enteric_glia,0.0,0.0,199
CD3E,RUNX1,Enteric_glia,0.0,0.0,199
CD3E,SIN3A,Enteric_glia,0.0,0.0,199
CD3E,SMAD4,Enteric_glia,0.0,0.0,199
CD3E,STAT1,Enteric_glia,0.0,0.0,199
CD3E,STAT3,Enteric_glia,0.0,0.0,199
CD3E,STAT5A,Enteric_glia,0.0,0.0,199
CD3E,STAT5B,Enteric_glia,0.0,0.0,199
CD3E,TCF7L2,Enteric_glia,0.0,0.0,199
CD3E,THRA,Enteric_glia,0.0,0.0,199
CD3E,THRB,Enteric_glia,0.0,0.0,199
CD3E,ZBTB1,Enteric_glia,0.0,0.0,199
CD3E,ARID3B,Fibroblast,-0.06286537,3.76301e-05,753
CD3E,BCL6,Fibroblast,-0.04552985,0.00010103405,753
CD3E,BCL6B,Fibroblast,4.2612166e-05,9.709961e-06,753
CD3E,CTCF,Fibroblast,-0.03578054,0.0012181166,753
CD3E,EHF,Fibroblast,0.071712054,0.00038905596,753
CD3E,ELK4,Fibroblast,-0.007968507,0.00019578147,753
CD3E,EP300,Fibroblast,-0.032115113,0.00075037486,753
CD3E,ESRRA,Fibroblast,0.017052993,0.00040002586,753
CD3E,ETV5,Fibroblast,-0.023031292,0.00017970552,753
CD3E,FLI1,Fibroblast,0.03746031,0.00023274758,753
CD3E,FOXA1,Fibroblast,-0.03166014,4.1529318e-05,753
CD3E,FOXI1,Fibroblast,0.0017622362,4.4759814e-05,753
CD3E,FOXJ2,Fibroblast,-0.025816513,5.985765e-05,753
CD3E,FOXL2,Fibroblast,0.0005789844,9.925659e-05,753
CD3E,FOXO1,Fibroblast,-0.036029153,0.00018640318,753
