sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,25_06_11_ICI_5K_Coarse_annotations_n_sig_pairs,25_06_11_ICI_5K_Coarse_annotations_interactions,25_06_11_ICI_5K_Coarse_annotations_within_Tcell,25_06_11_ICI_5K_Coarse_annotations_Tcell_interfaces,25_06_11_ICI_5K_Coarse_annotations_tcell_involved
13473_HS4_UC-Slice_4,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,17a-Ethynylestradiol,6,"ABCB1, ABCC2, SLC10A1",True,0.0028698573354631,1,2,IEC (self) (2.0e-03); IEC–T (1.3e-02),IEC (self) (2.0e-03),IEC–T (1.3e-02),True
13473_HS4_UC-Slice_4,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,2-Hydroxychlorpropamide,3,"ABCB1, SLC15A1",True,0.0028698573354631,3,2,IEC (self) (2.0e-03); IEC–T (2.4e-02),IEC (self) (2.0e-03),IEC–T (2.4e-02),True
13473_HS4_UC-Slice_4,25-Hydroxycholesterol,1,ABCA1,True,0.0028698573354631,1,6,MNP (self) (2.0e-03); Enteric_glia (self) (8.7e-03); Endothelial–Myofibroblast (1.5e-02); Pericyte–T (2.4e-02); MNP–Pericyte (2.6e-02); Fibroblast–MNP (4.2e-02),MNP (self) (2.0e-03); Enteric_glia (self) (8.7e-03),Endothelial–Myofibroblast (1.5e-02); Pericyte–T (2.4e-02); MNP–Pericyte (2.6e-02); Fibroblast–MNP (4.2e-02),True
13473_HS4_UC-Slice_4,"3',4'-Dihydrodiol",3,"ABCB1, ABCC2",True,0.0028698573354631,1,2,IEC (self) (2.0e-03); IEC–T (1.3e-02),IEC (self) (2.0e-03),IEC–T (1.3e-02),True
13473_HS4_UC-Slice_4,3-Sulfodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,"3alpha,7alpha-Dihydroxycoprostanic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,3b-Hydroxy-5-cholenoic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,4'-Hydroxydiclofenac,6,"ABCB1, ABCC1, ABCC4",True,0.0028698573354631,2,4,IEC (self) (2.0e-03); Fibroblast (self) (5.6e-03); IEC–T (1.3e-02); MNP (self) (3.8e-02),IEC (self) (2.0e-03); Fibroblast (self) (5.6e-03); MNP (self) (3.8e-02),IEC–T (1.3e-02),True
13473_HS4_UC-Slice_4,4-Hydroxycyclophosphamide,1,ABCB1,True,0.0028698573354631,1,2,IEC (self) (2.0e-03); IEC–T (1.3e-02),IEC (self) (2.0e-03),IEC–T (1.3e-02),True
13473_HS4_UC-Slice_4,4-Hydroxyvalsartan,3,"SLCO1B1, SLCO1B3",False,0.3490312477232705,0,0,,,,False
13473_HS4_UC-Slice_4,4-ene-Valproic acid,3,"SLC16A1, SLC22A5",True,0.0028698573354631,3,4,IEC (self) (2.0e-03); Endothelial–IEC (3.8e-03); IEC–MNP (3.8e-03); Endothelial–Pericyte (8.7e-03),IEC (self) (2.0e-03),Endothelial–IEC (3.8e-03); IEC–MNP (3.8e-03); Endothelial–Pericyte (8.7e-03),True
13473_HS4_UC-Slice_4,5-Hydroxyomeprazole,6,"ABCB1, ABCC3, ABCG2",True,0.0028698573354631,5,2,IEC (self) (2.0e-03); IEC–T (2.0e-03),IEC (self) (2.0e-03),IEC–T (2.0e-03),True
13473_HS4_UC-Slice_4,5-Methyltetrahydrofolic acid,1,FOLR1,False,0.0845582971482404,0,0,,,,False
13473_HS4_UC-Slice_4,8-Hydroxycarvedilol,1,ABCB1,True,0.0028698573354631,1,2,IEC (self) (2.0e-03); IEC–T (1.3e-02),IEC (self) (2.0e-03),IEC–T (1.3e-02),True
13473_HS4_UC-Slice_4,ADP,3,"ATP7A, ATP7B",False,0.2591438257872169,0,0,,,,False
13473_HS4_UC-Slice_4,Acetate,6,"SLC16A1, SLC16A4, SLCO2B1",True,0.0291664862762326,2,3,Endothelial–Pericyte (2.0e-03); Enteric_glia–IEC (7.1e-03); Fibroblast–MNP (1.5e-02),,Endothelial–Pericyte (2.0e-03); Enteric_glia–IEC (7.1e-03); Fibroblast–MNP (1.5e-02),True
13473_HS4_UC-Slice_4,Acetyl-L-Carnitine,3,"SLC22A5, SLC22A8",True,0.0028698573354631,1,2,IEC (self) (3.8e-03); IEC–MNP (2.0e-02),IEC (self) (3.8e-03),IEC–MNP (2.0e-02),True
13473_HS4_UC-Slice_4,Acetylcholine,1,SLC22A1,False,0.1565045085498842,0,0,,,,False
13473_HS4_UC-Slice_4,Adenine,1,SLC29A3,False,0.6281691080815083,0,0,,,,False
13473_HS4_UC-Slice_4,Adenosine,1,SLC29A1,False,0.8559901401018485,0,0,,,,False
13473_HS4_UC-Slice_4,Adenosine diphosphate ribose,1,CD38,True,0.0146829910186487,0,0,,,,False
13473_HS4_UC-Slice_4,Adenosine triphosphate,6,"ATP7A, ATP7B, TAP1",True,0.0039960038848221,1,5,IEC (self) (1.8e-02); IEC–Muscularis_mucosa (3.8e-02); MNP–Muscularis_mucosa (4.5e-02); Plasma (self) (4.7e-02); Endothelial–Myofibroblast (5.0e-02),IEC (self) (1.8e-02); Plasma (self) (4.7e-02),IEC–Muscularis_mucosa (3.8e-02); MNP–Muscularis_mucosa (4.5e-02); Endothelial–Myofibroblast (5.0e-02),True
