gene,tf,cell_type,mean,std,n
ATP1A1,AR,Endothelial_arterial,-0.075086646,0.00055417867,61
ATP1A1,ARNT,Endothelial_arterial,0.015615716,0.00010133938,61
ATP1A1,ARNTL,Endothelial_arterial,0.0,0.0,61
ATP1A1,ASCL2,Endothelial_arterial,0.0,0.0,61
ATP1A1,ATF3,Endothelial_arterial,-0.035542488,0.00032827313,61
ATP1A1,ATOH1,Endothelial_arterial,-0.002269846,2.48658e-05,61
ATP1A1,ATOH7,Endothelial_arterial,0.0,0.0,61
ATP1A1,BACH2,Endothelial_arterial,0.0074158185,8.114214e-05,61
ATP1A1,BATF,Endothelial_arterial,0.19938025,0.000988455,61
ATP1A1,BCL6,Endothelial_arterial,0.0,0.0,61
ATP1A1,CBFB,Endothelial_arterial,-0.0008108172,1.4603994e-05,61
ATP1A1,CLOCK,Endothelial_arterial,-0.048745632,0.00039836284,61
ATP1A1,CREB1,Endothelial_arterial,0.12361035,0.0010520226,61
ATP1A1,CREB3,Endothelial_arterial,-0.049774945,0.00052018545,61
ATP1A1,CTCF,Endothelial_arterial,-0.032576967,0.00021414853,61
ATP1A1,CTCFL,Endothelial_arterial,0.0,0.0,61
ATP1A1,CUX2,Endothelial_arterial,0.11077227,0.0010985016,61
ATP1A1,E2F1,Endothelial_arterial,0.07408398,0.0006912571,61
ATP1A1,E2F3,Endothelial_arterial,0.0024191472,4.092244e-05,61
ATP1A1,E2F4,Endothelial_arterial,0.012966548,0.0001393487,61
ATP1A1,EBF1,Endothelial_arterial,0.0604444,0.0006121909,61
ATP1A1,EGR2,Endothelial_arterial,0.0,0.0,61
ATP1A1,ELK1,Endothelial_arterial,0.0017306827,2.2325186e-05,61
ATP1A1,ELK4,Endothelial_arterial,-0.0035727962,2.0292136e-05,61
ATP1A1,EP300,Endothelial_arterial,0.031080402,0.00027226552,61
ATP1A1,ESRRA,Endothelial_arterial,-0.0027928564,3.0109604e-05,61
ATP1A1,ETV5,Endothelial_arterial,0.05404653,0.00036321036,61
ATP1A1,ETV6,Endothelial_arterial,-0.19549048,0.0016049708,61
ATP1A1,FEV,Endothelial_arterial,0.0,0.0,61
ATP1A1,FLI1,Endothelial_arterial,0.13646087,0.001709395,61
ATP1A1,FOXA1,Endothelial_arterial,0.0,0.0,61
ATP1A1,FOXA2,Endothelial_arterial,0.0,0.0,61
ATP1A1,FOXE1,Endothelial_arterial,0.0,0.0,61
ATP1A1,FOXE3,Endothelial_arterial,0.0,0.0,61
ATP1A1,FOXI1,Endothelial_arterial,0.0,0.0,61
ATP1A1,FOXL2,Endothelial_arterial,0.0,0.0,61
ATP1A1,GATA1,Endothelial_arterial,0.022336157,0.00023557278,61
ATP1A1,GATA2,Endothelial_arterial,-0.11171721,0.0015324563,61
ATP1A1,GRHL2,Endothelial_arterial,0.0,0.0,61
ATP1A1,HDAC2,Endothelial_arterial,0.20777813,0.0027325568,61
ATP1A1,HES1,Endothelial_arterial,-0.017186997,0.00019558436,61
ATP1A1,HES4,Endothelial_arterial,-0.009517688,9.264538e-05,61
ATP1A1,HNF4A,Endothelial_arterial,0.0,0.0,61
ATP1A1,HOXA5,Endothelial_arterial,0.000961833,7.311696e-06,61
ATP1A1,HOXB4,Endothelial_arterial,0.07995191,0.00071923266,61
ATP1A1,HOXB5,Endothelial_arterial,-0.0036079972,2.7794085e-05,61
ATP1A1,ID4,Endothelial_arterial,0.0062930854,8.056198e-05,61
ATP1A1,IRF1,Endothelial_arterial,0.015380066,0.00012233066,61
ATP1A1,IRF3,Endothelial_arterial,0.005804725,0.0001079606,61
ATP1A1,IRF4,Endothelial_arterial,0.0,0.0,61
ATP1A1,JUN,Endothelial_arterial,-0.105920926,0.00096470525,61
ATP1A1,KLF12,Endothelial_arterial,0.0,0.0,61
ATP1A1,KLF14,Endothelial_arterial,0.0,0.0,61
ATP1A1,KLF16,Endothelial_arterial,-0.015459008,0.00010391797,61
ATP1A1,KLF4,Endothelial_arterial,-0.058052037,0.00052945176,61
