group,left,right,count
lr,-0.010541357,-0.010205538,1
lr,-0.010205538,-0.009869719,0
lr,-0.009869719,-0.0095339,0
lr,-0.0095339,-0.00919808,0
lr,-0.00919808,-0.008862261,0
lr,-0.008862261,-0.008526442,0
lr,-0.008526442,-0.008190623,0
lr,-0.008190623,-0.007854803,0
lr,-0.007854803,-0.007518984,0
lr,-0.007518984,-0.007183165,0
lr,-0.007183165,-0.0068473453,0
lr,-0.0068473453,-0.006511526,0
lr,-0.006511526,-0.006175707,0
lr,-0.006175707,-0.005839888,0
lr,-0.005839888,-0.0055040685,0
lr,-0.0055040685,-0.0051682494,0
lr,-0.0051682494,-0.0048324303,0
lr,-0.0048324303,-0.0044966107,0
lr,-0.0044966107,-0.0041607916,0
lr,-0.0041607916,-0.0038249723,0
lr,-0.0038249723,-0.0034891532,0
lr,-0.0034891532,-0.003153334,0
lr,-0.003153334,-0.0028175146,0
lr,-0.0028175146,-0.0024816955,0
lr,-0.0024816955,-0.0021458762,0
lr,-0.0021458762,-0.001810057,0
lr,-0.001810057,-0.0014742377,1
lr,-0.0014742377,-0.0011384184,0
lr,-0.0011384184,-0.00080259924,0
lr,-0.00080259924,-0.00046677998,1
lr,-0.00046677998,-0.00013096076,13
lr,-0.00013096076,0.00020485849,7961
lr,0.00020485849,0.0005406777,10
lr,0.0005406777,0.00087649695,3
lr,0.00087649695,0.0012123162,3
lr,0.0012123162,0.0015481354,0
lr,0.0015481354,0.0018839546,2
lr,0.0018839546,0.0022197738,0
lr,0.0022197738,0.0025555931,1
lr,0.0025555931,0.0028914125,0
lr,0.0028914125,0.0032272316,0
lr,0.0032272316,0.0035630509,0
lr,0.0035630509,0.0038988702,0
lr,0.0038988702,0.0042346893,0
lr,0.0042346893,0.0045705084,0
lr,0.0045705084,0.004906328,0
lr,0.004906328,0.005242147,0
lr,0.005242147,0.005577966,0
lr,0.005577966,0.0059137857,0
lr,0.0059137857,0.0062496047,1
ltf,-0.0038867493,-0.0037234398,1
ltf,-0.0037234398,-0.00356013,0
ltf,-0.00356013,-0.0033968205,0
ltf,-0.0033968205,-0.0032335108,0
ltf,-0.0032335108,-0.0030702013,0
ltf,-0.0030702013,-0.0029068918,0
ltf,-0.0029068918,-0.002743582,0
ltf,-0.002743582,-0.0025802725,0
ltf,-0.0025802725,-0.002416963,0
ltf,-0.002416963,-0.0022536532,0
ltf,-0.0022536532,-0.0020903437,0
ltf,-0.0020903437,-0.0019270341,1
ltf,-0.0019270341,-0.0017637245,0
ltf,-0.0017637245,-0.0016004149,0
ltf,-0.0016004149,-0.0014371054,0
ltf,-0.0014371054,-0.0012737957,0
ltf,-0.0012737957,-0.0011104861,0
ltf,-0.0011104861,-0.00094717654,1
ltf,-0.00094717654,-0.0007838669,0
ltf,-0.0007838669,-0.00062055734,0
