gene,metabolite,cell_type,mean,std,n
CD3E,"17a-Ethynylestradiol|3',4'-Dihydrodiol|4-Hydroxycyclophosphamide|8-Hydroxycarvedilol|E-3179|Estriol|Glycerol|N-Desmethylcitalopram|N-Desmethyleletriptan|O-Deethylated candesartan|Progesterone",Endothelial,0.0,0.0,151
CD3E,2-Hydroxychlorpropamide,Endothelial,0.0,0.0,151
CD3E,25-Hydroxycholesterol,Endothelial,0.0,0.0,151
CD3E,4'-Hydroxydiclofenac,Endothelial,0.0,0.0,151
CD3E,4-ene-Valproic acid,Endothelial,0.0,0.0,151
CD3E,5-Hydroxyomeprazole,Endothelial,0.0,0.0,151
CD3E,Acetate,Endothelial,0.0,0.0,151
CD3E,Acetyl-L-Carnitine|Choline|Creatine|Dopamine|Histamine|Norepinephrine,Endothelial,0.0,0.0,151
CD3E,Adenosine triphosphate,Endothelial,0.0,0.0,151
CD3E,Amiloride-sensitive sodium transport,Endothelial,0.0,0.0,151
CD3E,Anion exchange,Endothelial,0.0,0.0,151
CD3E,Butyrate|D-Lactate|Ketone bodies|L-Glutamate|L-Lactate|Pyruvate|alpha-Ketoisovaleric acid,Endothelial,0.0,0.0,151
CD3E,Chloride,Endothelial,0.0,0.0,151
CD3E,Chloride ion,Endothelial,0.0,0.0,151
CD3E,Cholesterol,Endothelial,0.0,0.0,151
CD3E,Cholic acid,Endothelial,0.0,0.0,151
CD3E,Citric acid|Oxalic acid,Endothelial,0.0,0.0,151
CD3E,Cortisol|Hydroxylansoprazole|N-Desmethyltamoxifen|N-desmethylimatinib,Endothelial,0.0,0.0,151
CD3E,D-Galactose|D-Glucose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid|Glucosamine,Endothelial,0.0,0.0,151
CD3E,Estradiol,Endothelial,0.0,0.0,151
CD3E,Fatty acid,Endothelial,0.0,0.0,151
CD3E,Folic acid,Endothelial,0.0,0.0,151
CD3E,Folinic acid|Glutathione,Endothelial,0.0,0.0,151
CD3E,Glycyl-glycine|L-Dopa,Endothelial,0.0,0.0,151
CD3E,Iron,Endothelial,0.0,0.0,151
CD3E,L-Carnitine,Endothelial,0.0,0.0,151
CD3E,L-Cystine,Endothelial,0.0,0.0,151
CD3E,Nicotinate,Endothelial,0.0,0.0,151
CD3E,O-Desmethylverapamil (D-702),Endothelial,0.0,0.0,151
CD3E,Phosphate,Endothelial,0.0,0.0,151
CD3E,Sodium,Endothelial,0.0,0.0,151
CD3E,Sodium_hydrogen exchange,Endothelial,0.0,0.0,151
CD3E,Taurocholic acid,Endothelial,0.0,0.0,151
CD3E,Testosterone,Endothelial,0.0,0.0,151
CD3E,Water,Endothelial,0.0,0.0,151
CD3E,"17a-Ethynylestradiol|3',4'-Dihydrodiol|4-Hydroxycyclophosphamide|8-Hydroxycarvedilol|E-3179|Estriol|Glycerol|N-Desmethylcitalopram|N-Desmethyleletriptan|O-Deethylated candesartan|Progesterone",Enteric_glia,0.0,0.0,199
CD3E,2-Hydroxychlorpropamide,Enteric_glia,0.0,0.0,199
CD3E,25-Hydroxycholesterol,Enteric_glia,0.0,0.0,199
CD3E,4'-Hydroxydiclofenac,Enteric_glia,0.0,0.0,199
CD3E,4-ene-Valproic acid,Enteric_glia,0.0,0.0,199
CD3E,5-Hydroxyomeprazole,Enteric_glia,0.0,0.0,199
CD3E,Acetate,Enteric_glia,0.0,0.0,199
CD3E,Acetyl-L-Carnitine|Choline|Creatine|Dopamine|Histamine|Norepinephrine,Enteric_glia,0.0,0.0,199
CD3E,Adenosine triphosphate,Enteric_glia,0.0,0.0,199
CD3E,Amiloride-sensitive sodium transport,Enteric_glia,0.0,0.0,199
CD3E,Anion exchange,Enteric_glia,0.0,0.0,199
CD3E,Butyrate|D-Lactate|Ketone bodies|L-Glutamate|L-Lactate|Pyruvate|alpha-Ketoisovaleric acid,Enteric_glia,0.0,0.0,199
CD3E,Chloride,Enteric_glia,0.0,0.0,199
CD3E,Chloride ion,Enteric_glia,0.0,0.0,199
CD3E,Cholesterol,Enteric_glia,0.0,0.0,199
CD3E,Cholic acid,Enteric_glia,0.0,0.0,199
CD3E,Citric acid|Oxalic acid,Enteric_glia,0.0,0.0,199
CD3E,Cortisol|Hydroxylansoprazole|N-Desmethyltamoxifen|N-desmethylimatinib,Enteric_glia,0.0,0.0,199
CD3E,D-Galactose|D-Glucose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid|Glucosamine,Enteric_glia,0.0,0.0,199
CD3E,Estradiol,Enteric_glia,0.0,0.0,199
CD3E,Fatty acid,Enteric_glia,0.0,0.0,199
CD3E,Folic acid,Enteric_glia,0.0,0.0,199
CD3E,Folinic acid|Glutathione,Enteric_glia,0.0,0.0,199
CD3E,Glycyl-glycine|L-Dopa,Enteric_glia,0.0,0.0,199
CD3E,Iron,Enteric_glia,0.0,0.0,199
CD3E,L-Carnitine,Enteric_glia,0.0,0.0,199
CD3E,L-Cystine,Enteric_glia,0.0,0.0,199
CD3E,Nicotinate,Enteric_glia,0.0,0.0,199
CD3E,O-Desmethylverapamil (D-702),Enteric_glia,0.0,0.0,199
CD3E,Phosphate,Enteric_glia,0.0,0.0,199
CD3E,Sodium,Enteric_glia,0.0,0.0,199
CD3E,Sodium_hydrogen exchange,Enteric_glia,0.0,0.0,199
CD3E,Taurocholic acid,Enteric_glia,0.0,0.0,199
CD3E,Testosterone,Enteric_glia,0.0,0.0,199
CD3E,Water,Enteric_glia,0.0,0.0,199
CD3E,"17a-Ethynylestradiol|3',4'-Dihydrodiol|4-Hydroxycyclophosphamide|8-Hydroxycarvedilol|E-3179|Estriol|Glycerol|N-Desmethylcitalopram|N-Desmethyleletriptan|O-Deethylated candesartan|Progesterone",Fibroblast,0.0,0.0,753
CD3E,2-Hydroxychlorpropamide,Fibroblast,0.0,0.0,753
CD3E,25-Hydroxycholesterol,Fibroblast,0.0,0.0,753
CD3E,4'-Hydroxydiclofenac,Fibroblast,0.0,0.0,753
CD3E,4-ene-Valproic acid,Fibroblast,0.0,0.0,753
CD3E,5-Hydroxyomeprazole,Fibroblast,0.0,0.0,753
CD3E,Acetate,Fibroblast,0.0,0.0,753
CD3E,Acetyl-L-Carnitine|Choline|Creatine|Dopamine|Histamine|Norepinephrine,Fibroblast,0.0,0.0,753
CD3E,Adenosine triphosphate,Fibroblast,0.0,0.0,753
CD3E,Amiloride-sensitive sodium transport,Fibroblast,0.0,0.0,753
CD3E,Anion exchange,Fibroblast,0.0,0.0,753
CD3E,Butyrate|D-Lactate|Ketone bodies|L-Glutamate|L-Lactate|Pyruvate|alpha-Ketoisovaleric acid,Fibroblast,0.0,0.0,753
CD3E,Chloride,Fibroblast,0.0,0.0,753
CD3E,Chloride ion,Fibroblast,0.0,0.0,753
CD3E,Cholesterol,Fibroblast,0.0,0.0,753
