,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,T Cell,T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",-9.080929,-0.06774172198004934,0.5270043818819025,0.6553263569164848,0.0,0.004995004995004995,0.010953513491584558,False
1,T Cell,T Cell,17a-Ethynylestradiol,-25.095783,-0.32425549400740455,0.6271276942589474,0.6608830940854514,0.0,0.38461538461538464,0.4490644490644491,False
2,T Cell,T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",-9.080929,-0.06774172198004934,0.5270043818819025,0.6553263569164848,0.0,0.004995004995004995,0.010953513491584558,False
3,T Cell,T Cell,2-Hydroxychlorpropamide,-20.887144,-0.38166351820665695,0.6486445182690542,0.6608830940854514,0.0,0.38461538461538464,0.4490644490644491,False
4,T Cell,T Cell,25-Hydroxycholesterol,128.45497,2.3472130069258377,0.009457219107880506,0.026529341913015446,40.912834,0.06393606393606394,0.11004135306924152,False
5,T Cell,T Cell,"3',4'-Dihydrodiol",-20.887144,-0.38166351820665695,0.6486445182690542,0.6608830940854514,0.0,0.38461538461538464,0.4490644490644491,False
6,T Cell,T Cell,3-Sulfodeoxycholic acid,-9.080929,-0.06774172198004934,0.5270043818819025,0.6553263569164848,0.0,0.004995004995004995,0.010953513491584558,False
7,T Cell,T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",-9.080929,-0.06774172198004934,0.5270043818819025,0.6553263569164848,0.0,0.004995004995004995,0.010953513491584558,False
8,T Cell,T Cell,3b-Hydroxy-5-cholenoic acid,-9.080929,-0.06774172198004934,0.5270043818819025,0.6553263569164848,0.0,0.004995004995004995,0.010953513491584558,False
9,T Cell,T Cell,4'-Hydroxydiclofenac,57.53308,0.4291840698490572,0.3338946375214388,0.6422919946990329,97.27406,0.5044955044955045,0.5475931104071808,False
10,T Cell,T Cell,4-Hydroxycyclophosphamide,-20.887144,-0.38166351820665695,0.6486445182690542,0.6608830940854514,0.0,0.38461538461538464,0.4490644490644491,False
