,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
8,CD8 T Cell,CD8 T Cell,SLC38A7,SLC3A2,42.025475,0.7679168775910593,0.22126828485235484,0.6598870235492902,0.05079067937214051,63.512394,0.015984015984015984,0.03420355867908315,0.33283937804920816,True
11,CD8 T Cell,CD8 T Cell,SLC38A7,SLC38A7,57.677765,1.0539257343017794,0.14595845990044232,0.5021982907556797,0.06970754988598608,32.57094,0.006993006993006993,0.01746824603967461,0.17068937428844888,True
42,CD8 T Cell,CD8 T Cell,SLC1A2,SLC1A5,72.724945,1.3288776233957358,0.09194417368818553,0.3410292987707245,0.048928978292549614,21.098719,0.008991008991008992,0.02174900198615614,0.1855907319918085,True
93,CD8 T Cell,CD8 T Cell,SLC29A1,SLC29A1,145.87314,2.665489115583569,0.0038438210115396823,0.021192959090651223,0.14755591919009114,50.85147,0.01098901098901099,0.025378395189715946,0.1325590088153779,True
114,CD8 T Cell,CD8 T Cell,CD36,MSR1,78.90818,1.441861728750956,0.07467069230616082,0.29482879800884143,0.03176422805662031,29.115128,0.007992007992007992,0.019564435564435566,0.09080008375995921,True
137,CD8 T Cell,CD8 T Cell,ABCC4,SLC19A1,220.8705,4.035889790744502,2.7197873739218947e-05,0.0001913229738896781,0.14001759314616158,21.790855,0.01098901098901099,0.025378395189715946,0.04527445278880432,True
193,CD8 T Cell,CD8 T Cell,SLC9A1,SLC9A3,59.726562,1.0913627002948165,0.13755665913214965,0.48105528793643193,0.06733656077587147,22.690874,0.011988011988011988,0.027172827172827173,0.07134679458896512,True
207,CD8 T Cell,other,SLC2A3,SLC2A3,-0.18246497,-0.001270985246270852,0.5005070496159889,0.6891659757453034,-4.001729027922267e-05,4133.85,0.000999000999000999,0.0033966033966033966,0.20156310325385698,True
218,CD8 T Cell,other,SLC1A5,SLC38A7,102.83634,0.7163209012123554,0.23689661186482247,0.6867673203260768,0.024329093313566762,137.76782,0.01098901098901099,0.025378395189715946,0.028472355860960474,True
223,CD8 T Cell,other,SLC3A2,SLC7A5,83.82442,0.5838906842276681,0.27964693057093937,0.6891659757453034,0.016262251488433632,169.1133,0.003996003996003996,0.010917653774796632,0.060125642963572,True
227,CD8 T Cell,other,SLC43A2,SLC43A2,162.1703,1.1296198964592021,0.12931821176312114,0.457472517913469,0.03185706615873114,85.832985,0.02197802197802198,0.04544104544104544,0.09181413020378129,True
233,CD8 T Cell,other,SLCO2A1,SLCO2A1,613.10223,4.270649235266055,9.745237383120648e-06,7.100101521987901e-05,0.1192816209137972,383.6649,0.000999000999000999,0.0033966033966033966,0.4099048736830939,True
234,CD8 T Cell,other,SLCO2B1,SLCO2B1,151.23721,1.0534639296993558,0.14606420874920095,0.5021982907556797,0.027875461408548897,325.98254,0.000999000999000999,0.0033966033966033966,0.13170614109886356,True
254,CD8 T Cell,other,SLC39A8,SLC39A8,488.45978,3.402434800200098,0.0003339414452878435,0.0021288767137100026,0.10301960694866404,518.2574,0.000999000999000999,0.0033966033966033966,0.14899124340133288,True
261,CD8 T Cell,other,SLC11A2,SLC11A2,437.51974,3.047604886399931,0.0011533650453899545,0.006988707007709428,0.0942963000965828,2985.768,0.000999000999000999,0.0033966033966033966,0.6327588803764816,True
262,CD8 T Cell,other,CUBN,SLC40A1,-6.1460996,-0.0428115148937665,0.5170741075757453,0.6891659757453034,-0.0009854335997231789,1392.646,0.000999000999000999,0.0033966033966033966,1.8447065512208576,True
272,CD8 T Cell,other,SLC5A1,SLC5A1,195.39206,1.361030677458851,0.08675199749314144,0.32571915623191755,0.03623603424449396,23.081165,0.015984015984015984,0.03420355867908315,0.04493520343546651,True
312,CD8 T Cell,other,SLC16A4,SLCO2B1,243.17726,1.6938851757979405,0.04514355221225625,0.1905369238200057,0.05167853802086185,145.57729,0.003996003996003996,0.010917653774796632,0.1980473549719512,True
314,CD8 T Cell,other,CPT1A,CPT1A,160.2274,1.11608634394217,0.1321925885067326,0.464953242334025,0.03063517874287395,866.9576,0.015984015984015984,0.03420355867908315,0.09825526372338245,True
315,CD8 T Cell,other,MSR1,MSR1,271.53958,1.8914468764316568,0.02928235804044059,0.13177061118198266,0.05137459941724736,688.6214,0.000999000999000999,0.0033966033966033966,0.19874774251597577,True
319,CD8 T Cell,other,CPT1A,MSR1,47.999508,0.3343472758598121,0.36905876000001314,0.6891659757453034,0.009177415899543573,996.5027,0.000999000999000999,0.0033966033966033966,0.11293705293573741,True
324,CD8 T Cell,other,ABCB1,CD36,117.001335,0.814989140213013,0.20753926316776,0.6350701452933456,0.023711261147641115,185.52574,0.006993006993006993,0.01746824603967461,0.04392372924285483,True
344,CD8 T Cell,other,TRPV6,TRPV6,300.01892,2.089823693803401,0.01831682006342868,0.0889674117366536,0.14221167768337617,616.5064,0.001998001998001998,0.006206990978564583,4.821323464797166,True
348,CD8 T Cell,other,CD38,CD38,479.3085,3.338690311709877,0.0004208717450339267,0.002655396989286218,0.11438496713561769,309.25046,0.000999000999000999,0.0033966033966033966,0.04972830601361523,True
