cell_type,metabolite,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
CD8 T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",4721,0.0,0.0,,2.9261336,-inf
CD8 T Cell,17a-Ethynylestradiol,4721,0.00042363905952128787,0.006410111704027004,15.131068677355742,2.9693446,0.09038197494809458
CD8 T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",4721,0.0,0.0,,2.9261336,-inf
CD8 T Cell,2-Hydroxychlorpropamide,4721,0.00042363905952128787,0.006410111704027004,15.131068677355742,2.970976,0.14482975897047115
CD8 T Cell,25-Hydroxycholesterol,4721,0.004236390595212879,0.08806456562322341,20.78764071536189,1.6343582,-2.8277450807312587
CD8 T Cell,"3',4'-Dihydrodiol",4721,0.00042363905952128787,0.006410111704027004,15.131068677355742,2.970976,0.14482975897047115
CD8 T Cell,3-Sulfodeoxycholic acid,4721,0.0,0.0,,2.9261336,-inf
CD8 T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",4721,0.0,0.0,,2.9261336,-inf
CD8 T Cell,3b-Hydroxy-5-cholenoic acid,4721,0.0,0.0,,2.9261336,-inf
CD8 T Cell,4'-Hydroxydiclofenac,4721,0.0021181952976064393,0.26956765960945667,38.74945184309904,1.4584223,-2.338944685656418
CD8 T Cell,4-Hydroxycyclophosphamide,4721,0.00042363905952128787,0.006410111704027004,15.131068677355742,2.970976,0.14482975897047115
CD8 T Cell,4-Hydroxyvalsartan,4721,0.0,0.0,,2.9543328,-inf
CD8 T Cell,4-ene-Valproic acid,4721,0.0006354585892819318,0.023408002122719256,25.07198272244823,2.3131082,-2.759592581047298
CD8 T Cell,5-Hydroxyomeprazole,4721,0.0010590976488032196,0.027759805686064135,26.210808528781758,2.891142,0.29272845408278464
CD8 T Cell,5-Methyltetrahydrofolic acid,4721,0.0,0.0,,2.0410655,-inf
CD8 T Cell,8-Hydroxycarvedilol,4721,0.00042363905952128787,0.006410111704027004,15.131068677355742,2.970976,0.14482975897047115
CD8 T Cell,ADP,4721,0.0006354585892819318,0.01269327045060646,19.974976599104366,2.8609102,-0.9448074535142053
CD8 T Cell,Acetate,4721,0.004660029654734167,0.16136294922653055,27.666740114062918,1.9899044,-1.0858261604757373
