,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
0,SLC2A2,SLC2A2,7043.595201499168,3.641087567868939,0.00013574438433048568,0.0006693602399744639,0.004322820540007112,576.33700505768,0.000999001,0.0027649768815946676,0.007360299514062944,True
1,SLC2A3,SLC2A9,3724.3180535803294,1.5142236742360495,0.06498455959963727,0.19913125763031705,0.0030093370741625875,26499.915626758768,0.006993007,0.016666666480402152,0.011221733391287897,True
5,SLC2A1,SLC2A2,7755.160380923805,2.6360549641171365,0.00419380719905017,0.01729945469608195,0.007123658539764695,17931.090642558098,0.000999001,0.0027649768815946676,0.009083180940313122,True
8,SLC2A3,SLC2A3,110852.3621759961,57.30357100902345,0.0,0.0,0.08957133049741246,348042.7160960635,0.000999001,0.0027649768815946676,0.14738320769844024,True
10,SLC2A1,SLC2A4,8231.838884251098,2.798082655778383,0.0025703477778405335,0.011138173703975645,0.007561521165959052,18863.93394803176,0.000999001,0.0027649768815946676,0.009555722443865985,True
11,SLC2A4,SLC2A4,2652.354252721515,1.371097261965468,0.08517231920173524,0.24856411522139057,0.0016267094895694209,530.736605198542,0.000999001,0.0027649768815946676,0.0062975811936551405,True
12,SLC2A1,SLC2A1,297029.00072554906,153.54496828667,0.0,0.0,0.2728419624668392,624259.6698590936,0.000999001,0.0027649768815946676,0.3162252451957571,True
15,SLC7A7,SLC7A7,23083.808094592845,11.932850237390848,3.989689583218566e-33,5.70525610400255e-32,0.015252591309367094,14063.399557992878,0.000999001,0.0027649768815946676,0.03371093599923987,True
16,SLC1A5,SLC7A5,29738.493133739248,12.32821396447929,3.192309892320701e-35,4.722417047605451e-34,0.021965717340543058,105180.63801442954,0.000999001,0.0027649768815946676,0.04466822399354972,True
18,SLC3A2,SLC3A2,14779.988753105525,7.640307508120451,1.083517752959774e-14,1.0104980783037891e-13,0.010438782677806303,52216.175900800736,0.000999001,0.0027649768815946676,0.05681728328577265,True
19,SLC1A5,SLC38A7,9892.347501737651,4.100913118359793,2.057615284696602e-05,0.00011173632368795472,0.007306776038731815,72428.75627979096,0.000999001,0.0027649768815946676,0.030759120406134863,True
20,SLC38A7,SLC7A5,5093.603610211241,2.1826206110614876,0.014531880327867527,0.0546857601811857,0.0034890775081161435,10610.127223318144,0.000999001,0.0027649768815946676,0.03908870694261218,True
21,SLC7A5,SLC7A5,10718.411854816055,5.540732400914139,1.506046017352989e-08,1.0420866797490845e-07,0.00757914452078243,8923.876794489128,0.000999001,0.0027649768815946676,0.02708063367915067,True
22,SLC3A2,SLC7A5,10204.328141155269,4.3669059649777235,6.300947448432851e-06,3.652846561321207e-05,0.007207093700674245,37459.14139709298,0.000999001,0.0027649768815946676,0.040759910347395,True
23,SLC7A5,SLC7A7,1530.4662140204696,0.6321518061463935,0.2636438428270682,0.5335057008151523,0.0010822148632984154,12971.792483491623,0.000999001,0.0027649768815946676,0.03936454620533642,True
24,SLC1A5,SLC1A5,54871.22922210627,28.364910935224415,2.7405121804495715e-177,7.347998283830413e-176,0.040529488357078126,388596.1535759213,0.000999001,0.0027649768815946676,0.16502942327255898,True
25,SLC38A7,SLC38A7,1481.592107268851,0.76588822158337,0.22187140741054312,0.4831615927874264,0.001014878677899273,4099.529298579123,0.000999001,0.0027649768815946676,0.015103051639440914,True
26,SLC38A7,SLC7A7,-39.140843713212234,-0.016166939734267076,0.5064493948571523,0.7613142941725303,-2.681116315660738e-05,9799.06700898345,0.000999001,0.0027649768815946676,0.036100684804549026,True
27,SLC1A5,SLC3A2,13057.859748684896,5.4131891678570705,3.095601130335258e-08,2.0121407347179173e-07,0.009644915598855774,243340.28102491668,0.000999001,0.0027649768815946676,0.10334200652008917,True
28,SLC3A2,SLC7A7,-6673.028296590055,-2.756262667879433,0.9970766987567622,1.0,-0.0047130138834726235,30533.893734555997,0.002997003,0.00756302529343349,0.033224434003550664,True
29,SLC38A7,SLC3A2,3113.6573495841726,1.332478597778264,0.09135148486222705,0.2578275460914171,0.002132830243137848,26959.95337565134,0.000999001,0.0027649768815946676,0.0993230047582554,True
30,SLC1A5,SLC7A11,19595.51182333975,8.123399575600512,2.266519210941965e-16,2.2612482360327977e-15,0.0144738158695208,28499.44682094939,0.000999001,0.0027649768815946676,0.012103175055049415,True
31,SLC7A11,SLC7A11,7659.346878844575,3.9593917453718737,3.757044747626752e-05,0.0001941894212929972,0.005311485150506995,967.6971195595695,0.000999001,0.0027649768815946676,0.011054317734013847,True
32,SLC43A2,SLC43A2,12626.139253480826,6.526905273637263,3.3571239651193896e-11,2.667048483400404e-10,0.008442301639599983,16461.16431956768,0.000999001,0.0027649768815946676,0.03076668766660729,True
33,SLC1A5,SLC43A2,-480.64429388963435,-0.1992530579552072,0.578967601418592,0.8193425400939376,-0.00035501787711451254,120080.47398772868,0.000999001,0.0027649768815946676,0.05099590200812091,True
35,SLC43A2,SLC7A5,-1853.2307622644548,-0.7789833091200535,0.7820052265523083,0.9708583824231636,-0.0012391383295181945,17110.931168793897,0.000999001,0.0027649768815946676,0.03198113236311607,True
36,SLC16A1,SLC16A4,5377.154749659909,2.114822650086253,0.017222532826037557,0.0636936774342251,0.0037028467653654816,15404.814079936552,0.000999001,0.0027649768815946676,0.026557275639091125,True
37,SLC16A4,SLC16A4,17001.503140929344,8.788688155779713,7.565822197600063e-19,8.32240441736007e-18,0.00994960383488965,5559.1366142540355,0.000999001,0.0027649768815946676,0.01954607106751765,True
38,SLC16A1,SLC16A1,19600.355770647788,10.132128505500162,1.9894613244637985e-24,2.5102320829263813e-23,0.013497308027065082,25845.73094249736,0.000999001,0.0027649768815946676,0.04455699349384916,True
39,SLCO2A1,SLCO2A1,97471.49256084418,50.38651847984985,0.0,0.0,0.1039034351497732,141365.37632560992,0.000999001,0.0027649768815946676,0.14088883974316616,True
42,SLCO2B1,SLCO2B1,56599.69215386253,29.258415560674855,1.7546797960236245e-188,5.790443326877961e-187,0.036228490309496965,53687.803065149026,0.000999001,0.0027649768815946676,0.060962510031369974,True
43,SLC16A1,SLC22A5,5669.846463849994,2.3171033299008603,0.010249051835337556,0.03961120033657488,0.0039044017916935935,14562.926580787507,0.000999001,0.0027649768815946676,0.025105895683709127,True
45,SLC22A5,SLC22A5,3221.41718721866,1.6652663498897091,0.04792981441298068,0.15119037046447584,0.001999191299381132,2841.4962441271487,0.006993007,0.016666666480402152,0.01160941954963862,True
46,SLC1A3,SLC1A5,15560.304559229317,6.450587899526208,5.570854384900236e-11,4.3452664202221844e-10,0.011141285468296768,116059.55598420734,0.000999001,0.0027649768815946676,0.2731404020558625,True
48,SLC16A1,SLC7A11,6518.325078273439,2.7570432549555037,0.0029163317664356488,0.012511063278008933,0.004488685941800739,6430.6772901705735,0.000999001,0.0027649768815946676,0.011086227230975246,True
