sample_id,tier,cell_type_1,cell_type_2,gene1,gene2,tcell_involvement,metabolites,FDR_np,pval_np,C_np
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,SLC2A3,SLC2A3,Tcell_interface,D-Galactose | D-Glucose | D-Maltose | D-Mannose | D-Xylose | Dehydroascorbic acid | Docosahexaenoic acid,0.0033966033966033,0.0009990009990009,4133.85
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,SLCO2A1,SLCO2A1,Tcell_interface,Arachidonic acid | Eicosanoid | Prostaglandins | Pyruvate,0.0033966033966033,0.0009990009990009,383.6649
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,SLCO2B1,SLCO2B1,Tcell_interface,Acetate | Citric acid | Estradiol | Nicotinate | Oxalic acid | Taurocholic acid,0.0033966033966033,0.0009990009990009,325.98254
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,SLC39A8,SLC39A8,Tcell_interface,Cadmium | Manganese | Zinc,0.0033966033966033,0.0009990009990009,518.2574
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,SLC11A2,SLC11A2,Tcell_interface,Iron,0.0033966033966033,0.0009990009990009,2985.768
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,CUBN,SLC40A1,Tcell_interface,Iron,0.0033966033966033,0.0009990009990009,1392.646
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,MSR1,MSR1,Tcell_interface,Fatty acid,0.0033966033966033,0.0009990009990009,688.6214
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,CPT1A,MSR1,Tcell_interface,Fatty acid,0.0033966033966033,0.0009990009990009,996.5027
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,CD38,CD38,Tcell_interface,Adenosine diphosphate ribose,0.0033966033966033,0.0009990009990009,309.25046
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,ABCB1,SLCO2B1,Tcell_interface,Estradiol | Taurocholic acid,0.0033966033966033,0.0009990009990009,539.2332
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,TAP1,TAP1,Tcell_interface,Adenosine triphosphate,0.0033966033966033,0.0009990009990009,875.16095
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,AQP7,AQP7,Tcell_interface,Water,0.0033966033966033,0.0009990009990009,2492.5444
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,SCNN1A,SCNN1G,Tcell_interface,Amiloride-sensitive sodium transport,0.0033966033966033,0.0009990009990009,296.3691
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,TRPV6,TRPV6,Tcell_interface,Heme,0.0062069909785645,0.0019980019980019,616.5064
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,SLC3A2,SLC7A5,Tcell_interface,L-Glutamine | L-Leucine,0.0109176537747966,0.0039960039960039,169.1133
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,SLC16A4,SLCO2B1,Tcell_interface,Acetate,0.0109176537747966,0.0039960039960039,145.57729
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,ABCC4,SLCO1B1,Tcell_interface,Cholic acid | O-Desmethylverapamil (D-702) | Taurocholic acid,0.0109176537747966,0.0039960039960039,41.82883
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,ABCB1,CD36,Tcell_interface,Cholesterol,0.0174682460396746,0.0069930069930069,185.52574
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,SLC1A5,SLC38A7,Tcell_interface,L-Glutamine,0.0253783951897159,0.0109890109890109,137.76782
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,SLC5A1,SLC5A1,Tcell_interface,Sodium | Urea,0.0342035586790831,0.0159840159840159,23.081165
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,CPT1A,CPT1A,Tcell_interface,Fatty acid,0.0342035586790831,0.0159840159840159,866.9576
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,other,SLC43A2,SLC43A2,Tcell_interface,L-Cysteine | L-Isoleucine | L-Leucine | L-Methionine | L-Phenylalanine | L-Valine,0.0454410454410454,0.0219780219780219,85.832985
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,T Cell,SLC38A7,SLC38A7,within_Tcell,L-Glutamine,0.0174682460396746,0.0069930069930069,32.57094
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,T Cell,CD36,MSR1,within_Tcell,Fatty acid,0.0195644355644355,0.0079920079920079,29.115128
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,T Cell,SLC1A2,SLC1A5,within_Tcell,L-Glutamate,0.0217490019861561,0.0089910089910089,21.098719
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,T Cell,SLC29A1,SLC29A1,within_Tcell,Adenosine | Cytidine | Ethanol | Guanosine | Inosine | Sodium | Thymidine | Uridine,0.0253783951897159,0.0109890109890109,50.85147
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,T Cell,ABCC4,SLC19A1,within_Tcell,Folic acid,0.0253783951897159,0.0109890109890109,21.790855
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,T Cell,SLC9A1,SLC9A3,within_Tcell,Sodium_hydrogen exchange,0.0271728271728271,0.0119880119880119,22.690874
FFPE_Human_Ovarian_Cancer,Tier1,T Cell,T Cell,SLC38A7,SLC3A2,within_Tcell,L-Glutamine,0.0342035586790831,0.0159840159840159,63.512394
FFPE_Human_Ovarian_Cancer,Tier1,other,other,SLC2A2,SLC2A2,within_other,D-Fructose | D-Galactose | D-Glucose | D-Mannose | Glucosamine,0.0033966033966033,0.0009990009990009,576.337
FFPE_Human_Ovarian_Cancer,Tier1,other,other,SLC2A4,SLC2A4,within_other,D-Glucose | Dehydroascorbic acid | Docosahexaenoic acid | Glucosamine,0.0033966033966033,0.0009990009990009,9024.143
FFPE_Human_Ovarian_Cancer,Tier1,other,other,SLC2A3,SLC2A3,within_other,D-Galactose | D-Glucose | D-Maltose | D-Mannose | D-Xylose | Dehydroascorbic acid | Docosahexaenoic acid,0.0033966033966033,0.0009990009990009,338873.56
FFPE_Human_Ovarian_Cancer,Tier1,other,other,SLC2A1,SLC2A2,within_other,D-Galactose | D-Glucose | D-Mannose | Glucosamine,0.0033966033966033,0.0009990009990009,9456.102
FFPE_Human_Ovarian_Cancer,Tier1,other,other,SLC2A1,SLC2A1,within_other,D-Galactose | D-Glucose | D-Mannose | Dehydroascorbic acid | Docosahexaenoic acid | Glucosamine,0.0033966033966033,0.0009990009990009,624028.6
FFPE_Human_Ovarian_Cancer,Tier1,other,other,SLC7A7,SLC7A7,within_other,L-Glutamine,0.0033966033966033,0.0009990009990009,13964.038
