,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,T Cell,T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",1369.7386,3.3822253893739926,0.0003595056263977004,0.0004005171905741371,229.94753,0.053946053946053944,0.06316642541132336,False
1,T Cell,T Cell,17a-Ethynylestradiol,1505.7822,4.157018993939897,1.612135966336383e-05,1.957593673408465e-05,2130.3076,0.002997002997002997,0.004069894602438981,True
2,T Cell,T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",1369.7386,3.3822253893739926,0.0003595056263977004,0.0004005171905741371,229.94753,0.053946053946053944,0.06316642541132336,False
3,T Cell,T Cell,2-Hydroxychlorpropamide,5340.5244,20.850609025442644,7.524744521336003e-97,1.6930675173006009e-96,2154.2854,0.001998001998001998,0.0027213142940145907,True
4,T Cell,T Cell,25-Hydroxycholesterol,2859.9377,15.79088305620233,1.7975580679763605e-56,3.466719131097267e-56,23056.377,0.000999000999000999,0.0014329420579420578,True
5,T Cell,T Cell,"3',4'-Dihydrodiol",1410.504,3.8939840923357476,4.930555960277936e-05,5.93996111750019e-05,2130.3076,0.003996003996003996,0.005347422257043248,True
6,T Cell,T Cell,3-Sulfodeoxycholic acid,1369.7386,3.3822253893739926,0.0003595056263977004,0.0004005171905741371,229.94753,0.053946053946053944,0.06316642541132336,False
7,T Cell,T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",1369.7386,3.3822253893739926,0.0003595056263977004,0.0004005171905741371,229.94753,0.053946053946053944,0.06316642541132336,False
8,T Cell,T Cell,3b-Hydroxy-5-cholenoic acid,1369.7386,3.3822253893739926,0.0003595056263977004,0.0004005171905741371,229.94753,0.053946053946053944,0.06316642541132336,False
9,T Cell,T Cell,4'-Hydroxydiclofenac,2980.5034,6.7183687448191876,9.188508467181824e-12,1.2819226098591056e-11,45339.26,0.7832167832167832,0.8170375079465989,False
10,T Cell,T Cell,4-Hydroxycyclophosphamide,1254.072,6.924243255255035,2.1915609260035003e-12,3.076227721821427e-12,2114.3215,0.001998001998001998,0.0027213142940145907,True
11,T Cell,T Cell,4-Hydroxyvalsartan,897.24365,3.503041114523922,0.0002299892291697203,0.00026929861272678983,9.035555,0.01898101898101898,0.02447271829294301,True
12,T Cell,T Cell,4-ene-Valproic acid,1739.0306,5.543658184324747,1.4810841150064715e-08,1.9258289200792362e-08,6053.792,0.04595404595404595,0.05670136315297605,False
13,T Cell,T Cell,5-Hydroxyomeprazole,2311.6875,6.381884894133174,8.746071393407283e-11,1.216499021083013e-10,2453.7373,0.001998001998001998,0.0027213142940145907,True
14,T Cell,T Cell,5-Methyltetrahydrofolic acid,7208.456,39.80082671678847,0.0,0.0,95020.28,0.000999000999000999,0.0014329420579420578,True
15,T Cell,T Cell,8-Hydroxycarvedilol,1254.072,6.924243255255035,2.1915609260035003e-12,3.076227721821427e-12,2114.3215,0.001998001998001998,0.0027213142940145907,True
16,T Cell,T Cell,ADP,-120.221085,-0.38323913584218744,0.6492287685729969,0.6535000104715035,1499.6566,0.9300699300699301,0.9593305570833661,False
17,T Cell,T Cell,Acetate,8791.455,21.708289117704314,8.565846610096109e-105,1.9463978188287693e-104,45449.785,0.000999000999000999,0.0014329420579420578,True
18,T Cell,T Cell,Acetyl-L-Carnitine,476.70877,1.8611783089644758,0.0313595002351906,0.033948138226303035,1574.1675,0.12487512487512488,0.14152514152514153,False
