cell_type,metabolite,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",47703,0.013940423034190722,0.07739757327186962,5.502241446956261,1.7844481,-0.6952224272634391
T Cell,17a-Ethynylestradiol,47703,0.01576420770182169,0.07946668630057442,5.040956564622742,2.4602149,1.3556867095694387
T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",47703,0.013940423034190722,0.07739757327186962,5.502241446956261,1.7844481,-0.6952224272634391
T Cell,2-Hydroxychlorpropamide,47703,0.015512651195941555,0.079898754789839,5.150554459107689,2.65238,1.5696485800223847
T Cell,25-Hydroxycholesterol,47703,0.03513405865459195,5.129828915633656,37.11709113576193,0.5692856,-0.3507363255742522
T Cell,"3',4'-Dihydrodiol",47703,0.016141542460641888,0.0828109913156587,5.121733308809799,2.421544,1.3755192979473752
T Cell,3-Sulfodeoxycholic acid,47703,0.013940423034190722,0.07739757327186962,5.502241446956261,1.7844481,-0.6952224272634391
T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",47703,0.013940423034190722,0.07739757327186962,5.502241446956261,1.7844481,-0.6952224272634391
T Cell,3b-Hydroxy-5-cholenoic acid,47703,0.013940423034190722,0.07739757327186962,5.502241446956261,1.7844481,-0.6952224272634391
T Cell,4'-Hydroxydiclofenac,47703,0.0033540867450684445,11.188013326976703,84.20069739988796,0.33951297,-2.1302476175593923
T Cell,4-Hydroxycyclophosphamide,47703,0.014443536045950988,0.0742349129316817,5.139663354978247,2.7105467,1.9339496964671268
T Cell,4-Hydroxyvalsartan,47703,0.0002934825901934889,0.00145346254603875,4.952465988120464,2.9104776,-2.8126413824687804
T Cell,4-ene-Valproic acid,47703,0.0011320042764606,1.9686076922812994,58.647503725316476,0.48758116,-3.3142289137040586
T Cell,5-Hydroxyomeprazole,47703,0.014380646919480955,0.2199381643025266,7.459964291429137,1.6496886,-0.6492082689121053
T Cell,5-Methyltetrahydrofolic acid,47703,0.05934637234555479,18.527763696029126,67.61362678664383,0.5351392,-1.0255206735690203
T Cell,8-Hydroxycarvedilol,47703,0.014443536045950988,0.0742349129316817,5.139663354978247,2.7105467,1.9339496964671268
T Cell,ADP,47703,0.0019076368362576778,0.3429851297997438,19.722267466519234,1.1140239,-0.8577242651516528
T Cell,Acetate,47703,0.010397668909712178,10.267504748834565,106.34619197853918,0.5064655,0.3920049325381085
T Cell,Acetyl-L-Carnitine,47703,0.006372764815630044,0.47649041789168434,17.833426165576267,0.6821969,-3.4174881890068445
T Cell,Acetylcholine,47703,0.0006079282225436556,0.001981489681642757,3.259413871841532,2.7348564,-1.157581302096025
T Cell,Adenine,47703,0.02534431796742343,0.560965156587465,12.280653894313243,1.0037875,-0.06822970794163592
T Cell,Adenosine,47703,0.016435025050835377,0.7304475288946928,15.48551518828496,0.80082047,-1.1200079840100055
T Cell,Adenosine diphosphate ribose,47703,0.2001760895541161,5.684060648645612,22.68778291892563,1.3241812,1.8608742983250286
T Cell,Adenosine triphosphate,47703,0.01968429658512043,60.44395194820608,178.54276779972406,0.55505806,0.6604845259063643
T Cell,Adenosylcobalamin,47703,0.0006917803911703666,0.003272607871947208,4.730703433802959,2.861923,-0.19382312218309866
T Cell,Amiloride-sensitive sodium transport,47703,0.03006100245267593,8.045927804227665,48.45064896717688,0.472131,-1.7459011279502994
T Cell,Anion exchange,47703,0.0145273882145777,0.10707188540526422,6.001190776558678,1.4402472,-0.8936858038467681
