,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
1,CD4 T Cell,CD4 T Cell,SLC2A1,SLC2A3,562.6096,11.983987796138024,2.1553876777943858e-33,1.9675738137542113e-32,0.338061110005191,3207.3047,0.005994005994005994,0.018289616070475988,0.5121515366643591,True
10,CD4 T Cell,CD4 T Cell,SLC7A5,SLC7A7,87.220146,1.8578515756369205,0.0315950473152073,0.10073783201950152,0.03018383877654377,6181.0,0.000999000999000999,0.0036387453605996652,0.9115367652546116,True
11,CD4 T Cell,CD4 T Cell,SLC1A5,SLC1A5,93.75995,1.9971540534069938,0.022904225273017106,0.07577337684306412,0.04099313140290454,1062.7202,0.001998001998001998,0.006955070246209487,0.2270624212192556,True
13,CD4 T Cell,CD4 T Cell,SLC1A5,SLC3A2,99.52897,2.120038312561302,0.017001407221680823,0.05862554214372698,0.04351542585198205,3298.129,0.002997002997002997,0.0100203747620161,0.7046832501030829,True
14,CD4 T Cell,CD4 T Cell,SLC3A2,SLC7A5,159.93536,3.4067377847407285,0.0003287212758201359,0.0014819401778776618,0.0734833099507158,4205.714,0.000999000999000999,0.0036387453605996652,0.41568032616355094,True
16,CD4 T Cell,CD4 T Cell,SLC1A5,SLC38A7,544.12305,11.590210567867246,2.309976931557705e-31,2.0742649997661027e-30,0.23789803494898035,3278.1482,0.000999000999000999,0.0036387453605996652,0.7004141405262982,True
17,CD4 T Cell,CD4 T Cell,SLC1A5,SLC7A5,-3.213557,-0.06845106556848993,0.5272867136622932,0.773508827038457,-0.001405011055972912,2395.9463,0.000999000999000999,0.0036387453605996652,0.5119215367384439,True
18,CD4 T Cell,CD4 T Cell,SLC7A7,SLC7A7,33.606876,0.7158505340506315,0.23704182254718775,0.5253828415298062,0.017058210091428362,1655.0428,0.000999000999000999,0.0036387453605996652,0.4708075469195119,True
22,CD4 T Cell,CD4 T Cell,SLC38A7,SLC7A5,151.15877,3.2197900031737996,0.0006414226616206556,0.0027998608245346076,0.07684836038974617,2316.8887,0.000999000999000999,0.0036387453605996652,2.7920546465376246,True
32,CD4 T Cell,CD4 T Cell,SLCO2B1,SLCO2B1,251.54378,5.3580626011148444,4.205954816853983e-08,2.360484846193562e-07,0.14415260159720614,2628.2798,0.015984015984015984,0.04246960768699899,0.4366810016225529,True
50,CD4 T Cell,CD4 T Cell,SLC39A8,SLC39A8,367.59375,7.8300101243656774,2.439153408644569e-15,1.7199158650698884e-14,0.13420028168086529,335.53952,0.000999000999000999,0.0036387453605996652,0.2402010289678402,True
51,CD4 T Cell,CD4 T Cell,CUBN,SLC40A1,297.47964,6.336529471417873,1.1749912406149733e-10,7.343695253843583e-10,0.13351872073917334,388.16208,0.008991008991008992,0.02582274122744097,4.742386562427357,True
55,CD4 T Cell,CD4 T Cell,SLC11A1,SLC3A2,40.658134,0.8660473810099829,0.19323208953491322,0.44842889976456657,0.012026517888858834,43.511333,0.013986013986013986,0.03784653231147696,1.0511723713894348,True
56,CD4 T Cell,CD4 T Cell,SLC40A1,SLC40A1,82.94044,1.7666907119900732,0.03864001985366611,0.1195612428664774,0.056807264641700835,1795.6842,0.012987012987012988,0.03566969859104691,1.2032448962083981,True
58,CD4 T Cell,CD4 T Cell,SLC11A2,SLC3A2,136.55476,2.908714261428426,0.0018145919713289619,0.007475847072890854,0.06295646245275775,3295.235,0.000999000999000999,0.0036387453605996652,0.7216791833150761,True
70,CD4 T Cell,CD4 T Cell,SLC5A5,SLC5A5,132.48706,2.8220692692122205,0.002385743497130156,0.009630524208598794,0.05278752520545001,49.897278,0.011988011988011988,0.033384337181805536,0.0965069116748586,True
