,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
2,SLC2A9,SLC2A9,174567.800701153,53.268619527825415,0.0,0.0,0.031471550131981774,247124.26952341746,0.000999001,0.001998001942411065,0.12469434888623238,True
3,SLC2A1,SLC2A1,1766537.1206259741,539.0512647948124,0.0,0.0,0.5160267775113156,16810970.114407137,0.000999001,0.001998001942411065,0.6999979891757174,True
6,SLC2A3,SLC2A4,74958.88305643492,9.936549610938819,1.4432623133393395e-23,3.898682612656917e-23,0.007607300660252303,17397.55806843967,0.001998002,0.0039022009767277145,0.00487472637855537,True
8,SLC2A4,SLC2A4,107245.67236409333,32.72555931977767,3.381616843034844e-235,1.379169222257348e-234,0.011544374284297512,731.1632448712403,0.000999001,0.001998001942411065,0.010453324010818228,True
10,SLC2A2,SLC2A2,122013.44873216946,37.23188326648168,1.0406997202883995e-303,4.463207047834785e-303,0.014530941675379156,87.27876174036152,0.000999001,0.001998001942411065,0.008830387291217495,True
12,SLC2A3,SLC2A3,1440893.4763568996,439.6824962215064,0.0,0.0,0.14623096619236636,719766.2108801545,0.000999001,0.001998001942411065,0.20167562141581727,True
13,SLC2A1,SLC2A3,302406.54462990456,40.08701185055444,0.0,0.0,0.08833659530936157,4122666.0484079164,0.000999001,0.001998001942411065,0.17166516413323102,True
14,SLC2A1,SLC2A9,62330.58454729465,9.800086155524685,5.624482890390839e-23,1.509538633808122e-22,0.018207514752330612,3461524.532526807,0.000999001,0.001998001942411065,0.14413565640537296,True
15,SLC38A7,SLC7A7,145797.91060340317,26.97099203281143,1.6182394643489256e-160,5.957412541319939e-160,0.021897043651290086,1110066.1233904297,0.000999001,0.001998001942411065,0.4211269866547481,True
16,SLC1A5,SLC7A7,-256697.3767873002,-47.48615995606911,1.0,1.0,-0.046392745506930975,3888523.9559303056,0.000999001,0.001998001942411065,0.34209505115744065,True
17,SLC3A2,SLC3A2,637018.2420263153,194.38339848753031,0.0,0.0,0.12142936005718873,10951062.986390384,0.000999001,0.001998001942411065,0.5714002611630211,True
18,SLC7A7,SLC7A7,584016.436640996,178.21012372541222,0.0,0.0,0.0982564004683547,1424910.6782596768,0.000999001,0.001998001942411065,0.25900371795047805,True
19,SLC38A7,SLC3A2,63437.973466846175,11.951335031788574,3.1945282236222766e-33,8.97921446639775e-33,0.00952759932158101,3434734.492512399,0.000999001,0.001998001942411065,1.3030389418361947,True
20,SLC1A5,SLC3A2,364418.99334872037,68.65436021114141,0.0,0.0,0.06586120134109442,14197421.353744801,0.000999001,0.001998001942411065,1.2490260158757571,True
21,SLC3A2,SLC7A5,371145.71060850564,67.11543405235312,0.0,0.0,0.07074834463735756,3548453.5774648683,0.000999001,0.001998001942411065,0.18514981636103273,True
22,SLC1A5,SLC1A5,489917.1443854752,149.49612620201967,0.0,0.0,0.08854239838138533,5093093.127179179,0.000999001,0.001998001942411065,0.4480676919155384,True
23,SLC7A5,SLC7A5,406657.58952240215,124.08982829230527,0.0,0.0,0.059030345894947295,412151.9582898128,0.000999001,0.001998001942411065,0.1598497460106208,True
24,SLC3A2,SLC7A7,-17295.89830499018,-3.199548837521669,0.9993117856741648,1.0,-0.0032969697321515827,6244985.311913552,0.000999001,0.001998001942411065,0.32584838956924145,True
