,Metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",636348.8518256224,43.466607366475834,0.0,0.0,157829.51706200285,0.000999001,0.0010447068979927137,True
1,17a-Ethynylestradiol,681084.7978080814,54.764800381000825,0.0,0.0,46796.507814612916,0.000999001,0.0010447068979927137,True
2,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",636348.8518256224,43.466607366475834,0.0,0.0,157829.51706200285,0.000999001,0.0010447068979927137,True
3,2-Hydroxychlorpropamide,833389.0933725066,99.37851558713356,0.0,0.0,38777.03629365902,0.000999001,0.0010447068979927137,True
4,25-Hydroxycholesterol,1076575.6261011478,328.5124587087366,0.0,0.0,7341640.039708451,0.000999001,0.0010447068979927137,True
5,"3',4'-Dihydrodiol",853527.3589053475,66.5695405912252,0.0,0.0,48426.73114814646,0.000999001,0.0010447068979927137,True
6,3-Sulfodeoxycholic acid,636348.8518256224,43.466607366475834,0.0,0.0,157829.51706200285,0.000999001,0.0010447068979927137,True
7,"3alpha,7alpha-Dihydroxycoprostanic acid",636348.8518256224,43.466607366475834,0.0,0.0,157829.51706200285,0.000999001,0.0010447068979927137,True
8,3b-Hydroxy-5-cholenoic acid,636348.8518256224,43.466607366475834,0.0,0.0,157829.51706200285,0.000999001,0.0010447068979927137,True
9,4'-Hydroxydiclofenac,1980811.5128459681,116.00112132998913,0.0,0.0,19432731.076539412,0.000999001,0.0010447068979927137,True
10,4-Hydroxycyclophosphamide,616528.800044748,188.13113269240793,0.0,0.0,27540.719240543338,0.000999001,0.0010447068979927137,True
11,4-Hydroxyvalsartan,337011.7196545758,49.29722315029077,0.0,0.0,10050.76214277784,0.000999001,0.0010447068979927137,True
12,4-ene-Valproic acid,1144719.8460903792,158.61876566145784,0.0,0.0,6055857.545956176,0.000999001,0.0010447068979927137,True
13,5-Hydroxyomeprazole,3014773.0234793876,218.50408586310408,0.0,0.0,333665.1188998344,0.000999001,0.0010447068979927137,True
14,5-Methyltetrahydrofolic acid,1978269.6206991086,603.6605337594787,0.0,0.0,28515112.93289008,0.000999001,0.0010447068979927137,True
15,8-Hydroxycarvedilol,616528.800044748,188.13113269240793,0.0,0.0,27540.719240543338,0.000999001,0.0010447068979927137,True
16,ADP,280502.9624051604,40.94310256637939,0.0,0.0,541971.1190635422,0.000999001,0.0010447068979927137,True
17,Acetate,3841644.573333063,258.8179156102074,0.0,0.0,10891366.763428776,0.000999001,0.0010447068979927137,True
18,Acetyl-L-Carnitine,849642.708417642,117.73123190162971,0.0,0.0,2919266.778880807,0.000999001,0.0010447068979927137,True
19,Acetylcholine,25954.175925556156,7.9198060408832625,1.1894068159664843e-15,1.277215372849916e-15,4707.212630065319,0.000999001,0.0010447068979927137,True
