sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,Tier1_n_sig_pairs,Tier1_interactions,Tier1_within_Tcell,Tier1_Tcell_interfaces,Tier1_tcell_involved,Tier2_n_sig_pairs,Tier2_interactions,Tier2_within_Tcell,Tier2_Tcell_interfaces,Tier2_tcell_involved,Tier3_n_sig_pairs,Tier3_interactions,Tier3_within_Tcell,Tier3_Tcell_interfaces,Tier3_tcell_involved
FF_Human_Ovarian_Adenocarcinoma,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0010447068979927,5,2,T Cell–other (1.4e-03); other (self) (1.4e-03),,T Cell–other (1.4e-03),True,5,CD4 T Cell–other (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03); CD8 T Cell (self) (4.2e-02); other (self) (2.6e-03),CD8 T Cell (self) (4.2e-02),CD4 T Cell–other (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03),True,6,IFN CD8 T cell–other (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); Cycling–other (6.6e-03); IFN CD8 T cell (self) (4.0e-02); other (self) (3.6e-03),IFN CD8 T cell (self) (4.0e-02),IFN CD8 T cell–other (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); Cycling–other (6.6e-03),True
FF_Human_Ovarian_Adenocarcinoma,17a-Ethynylestradiol,6,"ABCB1, ABCC2, SLC10A1",True,0.0010447068979927,4,3,T Cell–other (1.4e-03); T Cell (self) (4.1e-03); other (self) (1.4e-03),T Cell (self) (4.1e-03),T Cell–other (1.4e-03),True,2,CD8 T Cell–other (2.6e-03); other (self) (2.6e-03),,CD8 T Cell–other (2.6e-03),True,2,IFN CD8 T cell–other (3.6e-03); other (self) (3.6e-03),,IFN CD8 T cell–other (3.6e-03),True
FF_Human_Ovarian_Adenocarcinoma,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0010447068979927,5,2,T Cell–other (1.4e-03); other (self) (1.4e-03),,T Cell–other (1.4e-03),True,5,CD4 T Cell–other (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03); CD8 T Cell (self) (4.2e-02); other (self) (2.6e-03),CD8 T Cell (self) (4.2e-02),CD4 T Cell–other (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03),True,6,IFN CD8 T cell–other (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); Cycling–other (6.6e-03); IFN CD8 T cell (self) (4.0e-02); other (self) (3.6e-03),IFN CD8 T cell (self) (4.0e-02),IFN CD8 T cell–other (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); Cycling–other (6.6e-03),True
FF_Human_Ovarian_Adenocarcinoma,2-Hydroxychlorpropamide,3,"ABCB1, SLC15A1",True,0.0010447068979927,2,3,T Cell–other (1.4e-03); T Cell (self) (2.7e-03); other (self) (1.4e-03),T Cell (self) (2.7e-03),T Cell–other (1.4e-03),True,3,CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03); other (self) (2.6e-03),,CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03),True,3,IFN CD8 T cell–other (3.6e-03); gamma-delta T cell–other (6.6e-03); other (self) (3.6e-03),,IFN CD8 T cell–other (3.6e-03); gamma-delta T cell–other (6.6e-03),True
FF_Human_Ovarian_Adenocarcinoma,25-Hydroxycholesterol,1,ABCA1,True,0.0010447068979927,1,3,T Cell (self) (1.4e-03); T Cell–other (1.4e-03); other (self) (1.4e-03),T Cell (self) (1.4e-03),T Cell–other (1.4e-03),True,7,CD4 T Cell (self) (2.6e-03); CD4 T Cell–other (2.6e-03); CD8 T Cell (self) (2.6e-03); CD8 T Cell–gd T Cell (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03); other (self) (2.6e-03),CD4 T Cell (self) (2.6e-03); CD8 T Cell (self) (2.6e-03),CD4 T Cell–other (2.6e-03); CD8 T Cell–gd T Cell (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03),True,10,Cycling (self) (3.6e-03); Cycling–other (3.6e-03); IFN CD8 T cell (self) (3.6e-03); IFN CD8 T cell–other (3.6e-03); Treg (self) (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); IFN CD8 T cell–gamma-delta T cell (1.2e-02); Cycling–Treg (4.0e-02); other (self) (3.6e-03),Cycling (self) (3.6e-03); IFN CD8 T cell (self) (3.6e-03); Treg (self) (3.6e-03),Cycling–other (3.6e-03); IFN CD8 T cell–other (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); IFN CD8 T cell–gamma-delta T cell (1.2e-02); Cycling–Treg (4.0e-02),True
FF_Human_Ovarian_Adenocarcinoma,"3',4'-Dihydrodiol",6,"ABCB1, ABCC2, SLCO1C1",True,0.0010447068979927,4,3,T Cell–other (1.4e-03); T Cell (self) (5.3e-03); other (self) (1.4e-03),T Cell (self) (5.3e-03),T Cell–other (1.4e-03),True,2,CD8 T Cell–other (2.6e-03); other (self) (2.6e-03),,CD8 T Cell–other (2.6e-03),True,2,IFN CD8 T cell–other (3.6e-03); other (self) (3.6e-03),,IFN CD8 T cell–other (3.6e-03),True
FF_Human_Ovarian_Adenocarcinoma,3-Sulfodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0010447068979927,5,2,T Cell–other (1.4e-03); other (self) (1.4e-03),,T Cell–other (1.4e-03),True,5,CD4 T Cell–other (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03); CD8 T Cell (self) (4.2e-02); other (self) (2.6e-03),CD8 T Cell (self) (4.2e-02),CD4 T Cell–other (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03),True,6,IFN CD8 T cell–other (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); Cycling–other (6.6e-03); IFN CD8 T cell (self) (4.0e-02); other (self) (3.6e-03),IFN CD8 T cell (self) (4.0e-02),IFN CD8 T cell–other (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); Cycling–other (6.6e-03),True
FF_Human_Ovarian_Adenocarcinoma,"3alpha,7alpha-Dihydroxycoprostanic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0010447068979927,5,2,T Cell–other (1.4e-03); other (self) (1.4e-03),,T Cell–other (1.4e-03),True,5,CD4 T Cell–other (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03); CD8 T Cell (self) (4.2e-02); other (self) (2.6e-03),CD8 T Cell (self) (4.2e-02),CD4 T Cell–other (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03),True,6,IFN CD8 T cell–other (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); Cycling–other (6.6e-03); IFN CD8 T cell (self) (4.0e-02); other (self) (3.6e-03),IFN CD8 T cell (self) (4.0e-02),IFN CD8 T cell–other (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); Cycling–other (6.6e-03),True
FF_Human_Ovarian_Adenocarcinoma,3b-Hydroxy-5-cholenoic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0010447068979927,5,2,T Cell–other (1.4e-03); other (self) (1.4e-03),,T Cell–other (1.4e-03),True,5,CD4 T Cell–other (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03); CD8 T Cell (self) (4.2e-02); other (self) (2.6e-03),CD8 T Cell (self) (4.2e-02),CD4 T Cell–other (2.6e-03); CD8 T Cell–other (2.6e-03); gd T Cell–other (2.6e-03),True,6,IFN CD8 T cell–other (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); Cycling–other (6.6e-03); IFN CD8 T cell (self) (4.0e-02); other (self) (3.6e-03),IFN CD8 T cell (self) (4.0e-02),IFN CD8 T cell–other (3.6e-03); Treg–other (3.6e-03); gamma-delta T cell–other (3.6e-03); Cycling–other (6.6e-03),True
FF_Human_Ovarian_Adenocarcinoma,4'-Hydroxydiclofenac,10,"ABCB1, ABCC1, ABCC4, SLCO1C1",True,0.0010447068979927,6,1,other (self) (1.4e-03),,,False,3,CD4 T Cell–other (2.6e-03); gd T Cell–other (5.0e-03); other (self) (2.6e-03),,CD4 T Cell–other (2.6e-03); gd T Cell–other (5.0e-03),True,3,Treg–other (3.6e-03); gamma-delta T cell–other (6.6e-03); other (self) (3.6e-03),,Treg–other (3.6e-03); gamma-delta T cell–other (6.6e-03),True
