,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
5,CD8 T Cell,CD8 T Cell,SLC2A3,SLC2A3,1536.6637,3.2039493912914003,0.0006777815131607609,0.006054489995798349,0.01660497912549217,82718.87,0.000999000999000999,0.003422972966120174,0.12280797931776617,True
12,CD8 T Cell,CD8 T Cell,SLC3A2,SLC7A5,241.00186,0.5024897572248651,0.3076615278171356,0.7113052488750085,0.0024353157819316834,1180.9012,0.016983016983016984,0.042774389789315165,0.01748678839435016,True
16,CD8 T Cell,CD8 T Cell,SLC38A7,SLC7A5,332.71924,0.6937208209815225,0.2439286530148898,0.6840195546979282,0.00344540416172568,261.11545,0.017982017982017984,0.044789159180303094,0.023629818587780564,True
19,CD8 T Cell,CD8 T Cell,SLC43A2,SLC43A2,802.59174,1.6734066859973873,0.04712363126791043,0.24468039312184262,0.00793919206034954,378.9677,0.003996003996003996,0.011882390737016286,0.014513360126696592,True
24,CD8 T Cell,CD8 T Cell,SLC16A1,SLCO2A1,775.89026,1.6177340093082526,0.052859966673518416,0.26627222018376817,0.007871227941997662,267.72577,0.016983016983016984,0.042774389789315165,0.010508589529621215,True
26,CD8 T Cell,CD8 T Cell,SLCO2B1,SLCO2B1,478.38922,0.9974432647416757,0.15927469988208692,0.5572946130095062,0.005309633712818126,714.3839,0.012987012987012988,0.03371628371628372,0.015587757451359286,True
44,CD8 T Cell,CD8 T Cell,CUBN,SLC3A2,4761.535,9.927818105107384,1.575371470289339e-23,3.222350734682739e-22,0.04346754821722252,36481.535,0.000999000999000999,0.003422972966120174,2.4089567715658236,True
46,CD8 T Cell,CD8 T Cell,SLC40A1,SLC40A1,-60.33259,-0.12579366564836736,0.5500523719883431,0.7113052488750085,-0.000665857119470557,6005.6396,0.000999000999000999,0.003422972966120174,0.018293108495233027,True
49,CD8 T Cell,CD8 T Cell,SLC11A2,SLC40A1,397.48593,0.8287596115012912,0.2036202232857618,0.6275965786204987,0.00400449053022057,178.105,0.00999000999000999,0.026340846653346656,0.0018567421209230216,True
146,CD8 T Cell,CD8 T Cell,ABCC4,ABCC4,969.4017,2.0212060098678517,0.02162922192351171,0.1351826370219482,0.009006084827979646,187.90509,0.006993006993006993,0.01926644783787641,0.010707306875637625,True
149,CD8 T Cell,CD8 T Cell,LRP1,LRP1,966.438,2.015026717786224,0.02195092484659523,0.13593462634359432,0.01107538291328486,422.54697,0.005994005994005994,0.016788191062049984,0.014901043823626737,True
151,CD8 T Cell,CD8 T Cell,SLC22A1,SLC6A2,430.63202,0.8978693247034101,0.18462761011904216,0.5934458896683498,0.004269105498412553,29.906754,0.007992007992007992,0.021492451771336234,0.007493467722484011,True
153,CD8 T Cell,CD8 T Cell,CD38,CD38,1122.883,2.341215253866712,0.009610540826235,0.0668774748217384,0.01122261224875758,1606.2167,0.000999000999000999,0.003422972966120174,0.024873297594462218,True
159,CD8 T Cell,CD8 T Cell,ABCC3,SLCO1B3,1123.7361,2.3429938189784947,0.00956485000500115,0.0668774748217384,0.01189041754726139,50.119343,0.004995004995004995,0.0144086682548221,0.010209496459362461,True
168,CD8 T Cell,CD8 T Cell,ABCC1,ABCC1,515.9125,1.0756793865209304,0.14103533475988106,0.5173850595810854,0.004956917621687368,14187.339,0.000999000999000999,0.003422972966120174,0.05220796968682709,True
178,CD8 T Cell,CD8 T Cell,TAP1,TAP1,475.57834,0.9915825643713634,0.16070059903051276,0.5572946130095062,0.00499638301879486,13722.95,0.000999000999000999,0.003422972966120174,0.05140829779051779,True
179,CD8 T Cell,CD8 T Cell,ATP7A,TAP1,290.92175,0.6065729121234879,0.2720671906783685,0.7113052488750085,0.00272249493904873,2371.792,0.001998001998001998,0.006452877266274395,0.055451441020375296,True
185,CD8 T Cell,CD8 T Cell,AQP8,ATP7B,738.89624,1.540601346178416,0.061706920050846444,0.29751550738800964,0.008254980304310312,89.60234,0.008991008991008992,0.02398786983767221,0.04397273933409447,True
187,CD8 T Cell,CD8 T Cell,AQP8,AQP8,2581.056,5.381510948652543,3.69316050859773e-08,4.888006555496995e-07,0.028835666669223006,2050.5945,0.000999000999000999,0.003422972966120174,1.006338182159101,True
230,CD8 T Cell,other,SLC2A3,SLC2A3,3887.3335,6.531037240203587,3.2657877174957375e-11,4.690227041084305e-10,0.059388193064712096,83441.18,0.000999000999000999,0.003422972966120174,0.17548075479756464,True
239,CD8 T Cell,other,SLC1A5,SLC38A7,1130.6805,1.8996355043746578,0.02874048477647079,0.16869414977493724,0.014865008617904069,1078.3502,0.000999000999000999,0.003422972966120174,0.01812143706913605,True
242,CD8 T Cell,other,SLC1A5,SLC3A2,726.58075,1.2207149033764373,0.11109699149103125,0.451749814797868,0.00955232596827471,1935.0847,0.000999000999000999,0.003422972966120174,0.03251867090802221,True
244,CD8 T Cell,other,SLC43A2,SLC43A2,1037.7753,1.74354706965679,0.04061904989967052,0.21588865104155594,0.014154504015298164,922.89417,0.000999000999000999,0.003422972966120174,0.0466195899429951,True
249,CD8 T Cell,other,SLC16A1,SLCO2A1,4862.1904,8.168876376868674,1.5563746158794546e-16,2.6937252967144406e-15,0.06415714481356685,4278.548,0.000999000999000999,0.003422972966120174,0.21579984692948279,True
251,CD8 T Cell,other,SLCO2B1,SLCO2B1,2393.9011,4.021949081470646,2.8859268487678687e-05,0.00031934436441283796,0.03333832622121208,3113.4932,0.000999000999000999,0.003422972966120174,0.08590445408359783,True
252,CD8 T Cell,other,SLC16A1,SLCO2B1,512.55664,0.86113694927367,0.19458131050338123,0.6108948120454992,0.006763242018854244,1019.6143,0.000999000999000999,0.003422972966120174,0.05142693772936967,True
257,CD8 T Cell,other,SLC1A3,SLC1A3,1312.267,2.2047155059450216,0.013737032176625395,0.09002423999244798,0.019891072561006615,438.41083,0.002997002997002997,0.00907164584294629,0.08331079297865292,True
261,CD8 T Cell,other,SLC1A1,SLC3A2,1012.2614,1.70068171293192,0.04450138542838928,0.2328560865438974,0.013975873068571077,167.66068,0.000999000999000999,0.003422972966120174,0.03240819031017573,True
265,CD8 T Cell,other,SLC39A8,SLC39A8,504.79947,0.8481042684268371,0.19818995234448417,0.6164894830992019,0.006954648051640018,988.67096,0.002997002997002997,0.00907164584294629,0.017365471962633796,True
266,CD8 T Cell,other,CUBN,SLC40A1,-279.1463,-0.4689885472621233,0.6804610888503936,0.7301007336954526,-0.003729478051690068,1030.8712,0.000999000999000999,0.003422972966120174,0.09649714697777548,True
269,CD8 T Cell,other,CUBN,SLC3A2,11152.527,18.73715529619778,1.2322818512663804e-78,4.892883821204746e-77,0.14900109999748307,47469.81,0.000999000999000999,0.003422972966120174,4.443524105222867,True
271,CD8 T Cell,other,SLC40A1,SLC40A1,-585.33,-0.9834021555557779,0.8372952250895623,0.8473377465299169,-0.010074494908061948,7823.4316,0.000999000999000999,0.003422972966120174,0.037256151919053127,True
288,CD8 T Cell,other,SLC22A5,SLC5A3,748.4159,1.257399725770281,0.10430446424553863,0.4373013252530346,0.00897166260371762,604.23676,0.000999000999000999,0.003422972966120174,0.05105171053122421,True
