,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,Exhausted CD8 T cell,Exhausted CD8 T cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
1,Exhausted CD8 T cell,Exhausted CD8 T cell,17a-Ethynylestradiol,43.461273,0.04537270535481935,0.481905118273074,0.651231501504182,278.06998,0.11688311688311688,0.16371010692777252,False
2,Exhausted CD8 T cell,Exhausted CD8 T cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
3,Exhausted CD8 T cell,Exhausted CD8 T cell,2-Hydroxychlorpropamide,455.17902,0.9503956908910844,0.17095561634901196,0.5163557391766076,278.06998,0.06993006993006994,0.10471821601669831,False
4,Exhausted CD8 T cell,Exhausted CD8 T cell,25-Hydroxycholesterol,342.28375,0.7146748682750875,0.23740498525198522,0.6311845116879128,1424.7986,0.04895104895104895,0.07917765294814476,False
5,Exhausted CD8 T cell,Exhausted CD8 T cell,"3',4'-Dihydrodiol",83.39038,0.08705790010626535,0.4653127445640305,0.651231501504182,278.06998,0.10789210789210789,0.15256081498119714,False
6,Exhausted CD8 T cell,Exhausted CD8 T cell,3-Sulfodeoxycholic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
7,Exhausted CD8 T cell,Exhausted CD8 T cell,"3alpha,7alpha-Dihydroxycoprostanic acid",1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
8,Exhausted CD8 T cell,Exhausted CD8 T cell,3b-Hydroxy-5-cholenoic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
9,Exhausted CD8 T cell,Exhausted CD8 T cell,4'-Hydroxydiclofenac,1852.3809,1.9338487982945443,0.026565860484059015,0.13105824505469113,14653.314,0.000999000999000999,0.002721205175192905,True
10,Exhausted CD8 T cell,Exhausted CD8 T cell,4-Hydroxycyclophosphamide,455.17902,0.9503956908910844,0.17095561634901196,0.5163557391766076,278.06998,0.06993006993006994,0.10471821601669831,False
11,Exhausted CD8 T cell,Exhausted CD8 T cell,4-Hydroxyvalsartan,-141.51233,-0.20893033801895278,0.5827486897756007,0.6615414478662607,0.0,0.16383616383616384,0.2152167359267951,False
12,Exhausted CD8 T cell,Exhausted CD8 T cell,4-ene-Valproic acid,763.8855,1.1278088370672394,0.1297003302348107,0.4446868465193509,298.65988,0.06393606393606394,0.09908416191138704,False
