,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,Exhausted CD8 T cell,Exhausted CD8 T cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
2,Exhausted CD8 T cell,Exhausted CD8 T cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
6,Exhausted CD8 T cell,Exhausted CD8 T cell,3-Sulfodeoxycholic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
7,Exhausted CD8 T cell,Exhausted CD8 T cell,"3alpha,7alpha-Dihydroxycoprostanic acid",1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
8,Exhausted CD8 T cell,Exhausted CD8 T cell,3b-Hydroxy-5-cholenoic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
9,Exhausted CD8 T cell,Exhausted CD8 T cell,4'-Hydroxydiclofenac,1852.3809,1.9338487982945443,0.026565860484059015,0.13105824505469113,14653.314,0.000999000999000999,0.002721205175192905,True
16,Exhausted CD8 T cell,Exhausted CD8 T cell,Acetate,612.23145,0.639157459873119,0.261360251515971,0.651231501504182,1143.3141,0.01898101898101898,0.03624762334439753,True
20,Exhausted CD8 T cell,Exhausted CD8 T cell,Adenosine diphosphate ribose,1133.3367,2.3663619132094107,0.008981937083789996,0.05048076031902226,1606.2167,0.000999000999000999,0.002721205175192905,True
21,Exhausted CD8 T cell,Exhausted CD8 T cell,Adenosine triphosphate,1180.2053,1.0060143355944162,0.15720433707449316,0.5078824210517813,16552.494,0.000999000999000999,0.002721205175192905,True
24,Exhausted CD8 T cell,Exhausted CD8 T cell,Arachidonic acid,773.4751,1.6149852559132762,0.05315694391874736,0.2088644522117153,267.72577,0.011988011988011988,0.023656343656343653,True
31,Exhausted CD8 T cell,Exhausted CD8 T cell,Chenodeoxycholic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
32,Exhausted CD8 T cell,Exhausted CD8 T cell,Chenodeoxycholic acid 3-sulfate,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
37,Exhausted CD8 T cell,Exhausted CD8 T cell,Cholic acid,3847.5984,2.074274987432844,0.019026889706766165,0.09880630444215412,16069.992,0.000999000999000999,0.002721205175192905,True
39,Exhausted CD8 T cell,Exhausted CD8 T cell,Citric acid,474.2545,0.9902245138818321,0.16103219658231038,0.5107021091610415,714.3839,0.011988011988011988,0.023656343656343653,True
40,Exhausted CD8 T cell,Exhausted CD8 T cell,Coprocholic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
43,Exhausted CD8 T cell,Exhausted CD8 T cell,Cyclic AMP,963.7219,2.0122130660688673,0.0220987408680234,0.11213532509031301,187.90509,0.008991008991008992,0.0189644085131021,True
46,Exhausted CD8 T cell,Exhausted CD8 T cell,D-Galactose,1392.7546,1.678944004758191,0.04658147863690533,0.20276643641947026,82767.71,0.000999000999000999,0.002721205175192905,True
47,Exhausted CD8 T cell,Exhausted CD8 T cell,D-Glucose,1973.8861,1.682552759605819,0.046230851640812115,0.20276643641947026,82843.16,0.000999000999000999,0.002721205175192905,True
49,Exhausted CD8 T cell,Exhausted CD8 T cell,D-Maltose,1488.507,3.1079433556312046,0.0009419708647048441,0.006242314386999265,82388.445,0.000999000999000999,0.002721205175192905,True
50,Exhausted CD8 T cell,Exhausted CD8 T cell,D-Mannose,1392.7546,1.678944004758191,0.04658147863690533,0.20276643641947026,82767.71,0.000999000999000999,0.002721205175192905,True
51,Exhausted CD8 T cell,Exhausted CD8 T cell,D-Xylose,1488.507,3.1079433556312046,0.0009419708647048441,0.006242314386999265,82388.445,0.000999000999000999,0.002721205175192905,True
52,Exhausted CD8 T cell,Exhausted CD8 T cell,Dehydroascorbic acid,1548.8525,2.2867426928970556,0.01110542309492007,0.05976736792902438,82767.71,0.000999000999000999,0.002721205175192905,True
54,Exhausted CD8 T cell,Exhausted CD8 T cell,Deoxycholic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
55,Exhausted CD8 T cell,Exhausted CD8 T cell,Docosahexaenoic acid,1548.8525,2.2867426928970556,0.01110542309492007,0.05976736792902438,82767.71,0.000999000999000999,0.002721205175192905,True
58,Exhausted CD8 T cell,Exhausted CD8 T cell,Eicosanoid,773.4751,1.6149852559132762,0.05315694391874736,0.2088644522117153,267.72577,0.011988011988011988,0.023656343656343653,True
59,Exhausted CD8 T cell,Exhausted CD8 T cell,Estradiol,801.4181,0.8366645574103398,0.20139057336098115,0.5659330036219977,1015.00183,0.005994005994005994,0.013933710268788804,True
64,Exhausted CD8 T cell,Exhausted CD8 T cell,Folic acid,1817.3318,1.3415641837851597,0.08986867287186256,0.3339053619674224,500.72128,0.001998001998001998,0.005249188681141344,True
65,Exhausted CD8 T cell,Exhausted CD8 T cell,Folinic acid,1572.3982,1.641552460056465,0.05034139337581736,0.20815648929605204,235.07744,0.006993006993006993,0.01525746980292435,True
69,Exhausted CD8 T cell,Exhausted CD8 T cell,Glutathione,2349.1807,1.8539141675777007,0.03187572033523263,0.14590535906024008,15151.121,0.000999000999000999,0.002721205175192905,True
71,Exhausted CD8 T cell,Exhausted CD8 T cell,Glycochenodeoxycholate-3-sulfate,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
73,Exhausted CD8 T cell,Exhausted CD8 T cell,Heme,966.14056,2.0172630905260176,0.021834032606221014,0.11207295349320381,422.54697,0.008991008991008992,0.0189644085131021,True
75,Exhausted CD8 T cell,Exhausted CD8 T cell,Hydroxycelecoxib,963.7219,2.0122130660688673,0.0220987408680234,0.11213532509031301,187.90509,0.008991008991008992,0.0189644085131021,True
77,Exhausted CD8 T cell,Exhausted CD8 T cell,Hyodeoxycholic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
79,Exhausted CD8 T cell,Exhausted CD8 T cell,Iron,5050.4355,3.334656151321293,0.00042702467070892684,0.0029169069814579,47954.727,0.000999000999000999,0.002721205175192905,True
80,Exhausted CD8 T cell,Exhausted CD8 T cell,Isoursodeoxycholic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
92,Exhausted CD8 T cell,Exhausted CD8 T cell,L-Isoleucine,813.59064,1.6987449077803232,0.04468362901110275,0.19816222187627533,378.9677,0.003996003996003996,0.009856809856809857,True
102,Exhausted CD8 T cell,Exhausted CD8 T cell,L-Valine,813.59064,1.6987449077803232,0.04468362901110275,0.19816222187627533,378.9677,0.003996003996003996,0.009856809856809857,True
103,Exhausted CD8 T cell,Exhausted CD8 T cell,Leukotriene C4,533.4206,1.1137609936358206,0.13269086747828113,0.45319034738736014,14187.339,0.000999000999000999,0.002721205175192905,True
104,Exhausted CD8 T cell,Exhausted CD8 T cell,Lithocholic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
112,Exhausted CD8 T cell,Exhausted CD8 T cell,Nicotinate,960.7554,1.0030095109445032,0.15792813616942908,0.5078824210517813,1153.6774,0.01098901098901099,0.022127532331613967,True
115,Exhausted CD8 T cell,Exhausted CD8 T cell,O-Desmethylverapamil (D-702),2995.3843,1.1819408856157962,0.11861457877554415,0.4179751823519175,17247.92,0.000999000999000999,0.002721205175192905,True
116,Exhausted CD8 T cell,Exhausted CD8 T cell,Oxalic acid,474.2545,0.9902245138818321,0.16103219658231038,0.5107021091610415,714.3839,0.011988011988011988,0.023656343656343653,True
119,Exhausted CD8 T cell,Exhausted CD8 T cell,Progesterone,1345.5,1.1469125439493981,0.1257088839019827,0.4340807279416729,14884.976,0.000999000999000999,0.002721205175192905,True
120,Exhausted CD8 T cell,Exhausted CD8 T cell,Prostaglandins,743.7378,1.0980625466980256,0.13608858918779299,0.45841714773233705,267.72577,0.011988011988011988,0.023656343656343653,True
122,Exhausted CD8 T cell,Exhausted CD8 T cell,Pyruvate,1261.7281,1.5209936145776954,0.06413071986633025,0.2444123572588037,603.43475,0.01098901098901099,0.022127532331613967,True
129,Exhausted CD8 T cell,Exhausted CD8 T cell,Sulfolithocholic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
130,Exhausted CD8 T cell,Exhausted CD8 T cell,Taurocholic acid,4700.4727,1.854747271047183,0.03181616248121675,0.14590535906024008,21002.977,0.000999000999000999,0.002721205175192905,True
135,Exhausted CD8 T cell,Exhausted CD8 T cell,Trihydroxycoprostanoic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
138,Exhausted CD8 T cell,Exhausted CD8 T cell,Ursocholic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
139,Exhausted CD8 T cell,Exhausted CD8 T cell,Ursodeoxycholic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
140,Exhausted CD8 T cell,Exhausted CD8 T cell,Ursodeoxycholic acid 3-sulfate,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
141,Exhausted CD8 T cell,Exhausted CD8 T cell,Varanic acid,1735.993,1.6210081702065124,0.05250794324585096,0.20815648929605204,97.29169,0.02197802197802198,0.03999279409115475,True
144,Exhausted CD8 T cell,Exhausted CD8 T cell,Water,4036.9375,2.3377742751262285,0.009699480385049078,0.0528413409933962,3025.1626,0.000999000999000999,0.002721205175192905,True
169,Exhausted CD8 T cell,Proliferating CD8 T cell,Adenosine triphosphate,0.16460133,0.004037549127706176,0.49838925532010164,0.651231501504182,222.31464,0.000999000999000999,0.002721205175192905,True
211,Exhausted CD8 T cell,Proliferating CD8 T cell,Fatty acid,10.766682,0.2893056971985948,0.38617372645663656,0.651231501504182,47.49702,0.014985014985014986,0.029053915516797618,True
300,Exhausted CD8 T cell,other,25-Hydroxycholesterol,932.02594,1.5667886693566921,0.05858204835739263,0.22519852355569114,7547.457,0.000999000999000999,0.002721205175192905,True
312,Exhausted CD8 T cell,other,Acetate,3020.264,2.5386177998316484,0.005564566458602632,0.032086591008046346,4500.834,0.000999000999000999,0.002721205175192905,True
314,Exhausted CD8 T cell,other,Adenine,753.0013,1.2658380262600584,0.10278553893442605,0.37716346518086913,706.04736,0.000999000999000999,0.002721205175192905,True
316,Exhausted CD8 T cell,other,Adenosine diphosphate ribose,2412.2258,4.055088958933429,2.5057613251516507e-05,0.00018389388898633604,2578.009,0.000999000999000999,0.002721205175192905,True
317,Exhausted CD8 T cell,other,Adenosine triphosphate,2290.052,1.5716366273044715,0.05801742347558187,0.22399770454920304,24622.209,0.000999000999000999,0.002721205175192905,True
320,Exhausted CD8 T cell,other,Arachidonic acid,4838.748,8.134210957896933,2.0731499095196347e-16,2.3602014354531226e-15,4265.68,0.000999000999000999,0.002721205175192905,True
324,Exhausted CD8 T cell,other,Cadmium,507.4131,0.8529902867082954,0.19683234537252614,0.5584253121111924,988.67096,0.001998001998001998,0.005249188681141344,True
325,Exhausted CD8 T cell,other,Calcidiol,879.1914,1.477970810120238,0.06970779570451237,0.2622903499390126,193.90213,0.000999000999000999,0.002721205175192905,True
326,Exhausted CD8 T cell,other,Calcium release-activated calcium transport,1130.4396,1.0971579346695506,0.13628617905555968,0.45841714773233705,4741.7354,0.013986013986013986,0.02717632476932258,True
330,Exhausted CD8 T cell,other,Chloride ion,690.7127,0.5805636933186212,0.2807672738940402,0.651231501504182,1321.3936,0.015984015984015984,0.0309233250409721,True
332,Exhausted CD8 T cell,other,Cholesterol,1366.1614,1.148297528101771,0.12542287961247056,0.4340807279416729,1596.3392,0.000999000999000999,0.002721205175192905,True
335,Exhausted CD8 T cell,other,Citric acid,2386.3757,4.011633473014096,3.0150034562526046e-05,0.00021766854220750512,3103.989,0.000999000999000999,0.002721205175192905,True
339,Exhausted CD8 T cell,other,Cyclic AMP,1494.4895,2.512321940610246,0.005996980748247827,0.03413665964387225,254.52641,0.000999000999000999,0.002721205175192905,True
341,Exhausted CD8 T cell,other,D-Aspartate,2321.275,2.759268737763787,0.002896543686286281,0.01811359713677618,606.07153,0.000999000999000999,0.002721205175192905,True
342,Exhausted CD8 T cell,other,D-Galactose,4411.745,4.281857489132589,9.266983582080355e-06,7.033402923835347e-05,85279.3,0.000999000999000999,0.002721205175192905,True
343,Exhausted CD8 T cell,other,D-Glucose,3852.4917,2.6439212103981573,0.004097586493468709,0.024752767389117098,85404.984,0.000999000999000999,0.002721205175192905,True
