cell_type,gene_pair,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
Exhausted CD8 T cell,SLC2A1_SLC2A1,116704,0.0010539484507814643,0.02019893177716018,19.165009220501638,2.2111497,-3.8480930376890603
Exhausted CD8 T cell,SLC2A2_SLC2A9,116704,0.0,0.0,,2.996198,-inf
Exhausted CD8 T cell,SLC2A1_SLC2A2,116704,1.713737318343844e-05,0.0005817126653004445,33.94409744561153,2.9858701,-4.856126391184486
Exhausted CD8 T cell,SLC2A1_SLC2A9,116704,9.425555250891144e-05,0.0030870832868746625,32.75226981012915,2.9730372,-3.542865420690084
Exhausted CD8 T cell,SLC2A9_SLC2A9,116704,3.427474636687688e-05,0.0005667450324660478,16.53535306722941,2.9858885,-1.8096519613849855
Exhausted CD8 T cell,SLC2A3_SLC2A3,116704,0.048927200438716754,1.4427830250758111,29.488362549640538,1.6842937,0.688531531415284
Exhausted CD8 T cell,SLC7A5_SLC7A5,116704,0.0027762544557170276,0.05392939093316921,19.42523345513759,2.1962948,-2.3667830076250764
Exhausted CD8 T cell,SLC38A7_SLC7A5,116704,8.568686591719222e-05,0.0077079642329669585,49.981571019566275,2.9252405,-2.7320310642625114
Exhausted CD8 T cell,SLC3A2_SLC3A2,116704,0.0011739100630655333,0.02285449030259707,19.46868931587072,2.446974,-2.4232458855372556
Exhausted CD8 T cell,SLC1A5_SLC38A7,116704,0.0002913353441184535,0.009558350329307509,32.08000755188965,2.951051,-3.4033438513323464
Exhausted CD8 T cell,SLC3A2_SLC7A5,116704,0.000582670688236907,0.0513991191543336,54.39229741360345,2.8441854,-2.4853224286680233
Exhausted CD8 T cell,SLC1A5_SLC1A5,116704,0.0027334110227584317,0.060231880967602236,22.035427700448437,1.7930057,-3.6205406053976357
Exhausted CD8 T cell,SLC1A5_SLC3A2,116704,0.000848299972580203,0.05547142079126326,48.271540836326,2.8394806,-2.5432828067890143
Exhausted CD8 T cell,SLC38A7_SLC38A7,116704,5.998080614203455e-05,0.0015440777839649889,25.742864814264294,2.960105,-2.172222040769694
Exhausted CD8 T cell,SLC7A7_SLC7A7,116704,0.000582670688236907,0.011139301927321682,19.1176631195022,2.8748708,-0.8495079501990985
Exhausted CD8 T cell,SLC1A5_SLC7A5,116704,0.0009168494653139567,0.07644683966242068,50.631806120173806,2.8069973,-2.9282373201311054
Exhausted CD8 T cell,SLC38A7_SLC3A2,116704,0.00013709898546750753,0.011245517679414833,60.69295145863373,2.9392154,-1.7302174938905805
Exhausted CD8 T cell,SLC3A2_SLC7A7,116704,0.0009082807787222374,0.04133085236737205,42.47529291595964,2.8972073,-0.3278499980334978
Exhausted CD8 T cell,SLC1A5_SLC7A11,116704,0.00010282423910063066,0.003879102697672463,37.72556676909726,2.9787226,-2.766062692837303
Exhausted CD8 T cell,SLC43A2_SLC43A2,116704,0.0005483959418700301,0.011230746427694557,20.479266110901023,2.8596492,-0.8415008274243255
Exhausted CD8 T cell,SLC7A11_SLC7A11,116704,8.56868659171922e-06,0.00010888576382354188,12.707404181262632,2.997285,-2.0022970393273813
Exhausted CD8 T cell,SLC43A2_SLC7A5,116704,0.0002570605977515766,0.022365893883207102,52.51421429257632,2.8942862,-1.5493629322900093
Exhausted CD8 T cell,SLC16A1_SLC16A1,116704,0.00011139292569234987,0.0030223944655676637,27.132732593046818,2.9828908,0.15382216258990047
Exhausted CD8 T cell,SLC16A4_SLC16A4,116704,0.00016280504524266522,0.0028026182022718856,17.214566035680956,2.8734908,-3.1651741760404413
Exhausted CD8 T cell,SLCO2A1_SLCO2A1,116704,0.001276734302166164,0.040232945237446215,31.512386852288074,2.6576254,-2.3440981639645795
Exhausted CD8 T cell,SLC16A1_SLCO2A1,116704,0.00015423635865094597,0.014989766762664813,67.56233028969308,2.950745,-0.4273186271788474
Exhausted CD8 T cell,SLCO2B1_SLCO2B1,116704,0.0014224019742253907,0.033252078933744524,23.377413372793498,2.8032691,-0.3008611411492334
Exhausted CD8 T cell,SLC16A1_SLCO2B1,116704,0.0003598848368522073,0.020229750123387666,49.17072372453016,2.9432476,0.6351328812879102
Exhausted CD8 T cell,SLC22A5_SLC22A5,116704,0.00015423635865094597,0.0027932385905000555,18.110117581428806,2.8127203,-4.069183519134481
Exhausted CD8 T cell,SLC1A1_SLC1A5,116704,5.141211955031533e-05,0.006820060291478777,67.15196870300072,2.960722,-1.7981563225471562
Exhausted CD8 T cell,SLC3A2_SLC7A11,116704,6.854949273375377e-05,0.002074195145590208,30.25835878386995,2.9819832,-2.21823443852653
Exhausted CD8 T cell,SLC1A2_SLC3A2,116704,0.0001199616122840691,0.009133392367929701,48.12227887240733,2.9094348,-3.5786464097438295
Exhausted CD8 T cell,SLC1A2_SLC1A2,116704,0.00018851110501782287,0.0037738879753094813,20.019446466841714,2.7844298,-4.348609292841703
Exhausted CD8 T cell,SLC1A2_SLC7A11,116704,1.713737318343844e-05,0.0004472015323118845,26.095103813463083,2.991781,-3.3946144621061416
Exhausted CD8 T cell,SLC1A2_SLC1A5,116704,0.00013709898546750753,0.01941376364222355,65.22871133276408,2.8677907,-4.614551231716278
Exhausted CD8 T cell,SLC1A1_SLC3A2,116704,6.854949273375377e-05,0.004494447846998073,44.8355514110406,2.9731073,-0.32422513421474386
