cell_type,metabolite,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
Exhausted CD8 T cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",116704,7.711817932547298e-05,0.001766392487469088,22.905007650843604,2.974663,-1.8473223793510407
Exhausted CD8 T cell,17a-Ethynylestradiol,116704,0.00017137373183438443,0.003622789812364201,21.139703113107586,2.9693832,-0.26533144516117524
Exhausted CD8 T cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",116704,7.711817932547298e-05,0.001766392487469088,22.905007650843604,2.974663,-1.8473223793510407
Exhausted CD8 T cell,2-Hydroxychlorpropamide,116704,0.00013709898546750753,0.0028160853625750107,20.54052663462213,2.985384,0.7753105393361704
Exhausted CD8 T cell,25-Hydroxycholesterol,116704,0.003393199890320812,0.07795040556622118,22.972535684849184,2.2010536,-1.3876583491077812
Exhausted CD8 T cell,"3',4'-Dihydrodiol",116704,0.00017137373183438443,0.0035368094734267003,20.63799063933948,2.965916,-0.5872595400485376
Exhausted CD8 T cell,3-Sulfodeoxycholic acid,116704,7.711817932547298e-05,0.001766392487469088,22.905007650843604,2.974663,-1.8473223793510407
Exhausted CD8 T cell,"3alpha,7alpha-Dihydroxycoprostanic acid",116704,7.711817932547298e-05,0.001766392487469088,22.905007650843604,2.974663,-1.8473223793510407
Exhausted CD8 T cell,3b-Hydroxy-5-cholenoic acid,116704,7.711817932547298e-05,0.001766392487469088,22.905007650843604,2.974663,-1.8473223793510407
Exhausted CD8 T cell,4'-Hydroxydiclofenac,116704,0.008645804771044695,0.20375865495235504,23.567343971813322,2.2879443,0.351313437259901
Exhausted CD8 T cell,4-Hydroxycyclophosphamide,116704,0.00013709898546750753,0.0028160853625750107,20.54052663462213,2.985384,0.7753105393361704
Exhausted CD8 T cell,4-Hydroxyvalsartan,116704,0.0,0.0,,2.9968524,-inf
Exhausted CD8 T cell,4-ene-Valproic acid,116704,0.00026562928434329584,0.00581563305606772,21.89379484436539,2.7998977,-3.3396551747843497
Exhausted CD8 T cell,5-Hydroxyomeprazole,116704,0.0001970797916095421,0.004151892616590467,21.067064170720602,2.9625177,-0.668559642150386
Exhausted CD8 T cell,8-Hydroxycarvedilol,116704,0.00013709898546750753,0.0028160853625750107,20.54052663462213,2.985384,0.7753105393361704
Exhausted CD8 T cell,ADP,116704,0.0004370030161776803,0.01034536434398984,23.67343922354883,2.8943837,-1.1711739513368278
Exhausted CD8 T cell,Acetate,116704,0.0019707979160954207,0.05930684172497174,27.77106498757316,2.657971,-0.8042654148379268
Exhausted CD8 T cell,Acetyl-L-Carnitine,116704,0.00015423635865094597,0.0027932385905000555,18.110117581428806,2.8068147,-4.143741941073855
Exhausted CD8 T cell,Adenine,116704,0.00034274746366876887,0.006691808107279329,19.524019333798172,2.7994974,-2.626787904235175
Exhausted CD8 T cell,Adenosine,116704,0.0009853989580477104,0.018159853726420913,18.42893538511501,2.1154428,-4.187703981244931
