,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
3,SLC2A1,SLC2A1,49417.276595978925,19.559898170350074,1.698775660703235e-85,5.605959680320675e-84,0.037452084682606676,165034.44754212868,0.000999001,0.002838221302299162,0.09640416875822728,True
5,SLC2A2,SLC2A9,2259.9847844868996,0.9040199295764526,0.18299241687453355,0.45117095884583275,0.0013195950207191933,717.6302214697145,0.017982017,0.03588039720820826,0.008889754330802564,True
6,SLC2A1,SLC2A2,205.7021492996176,0.08228322765712107,0.4672107457898923,0.7738741696674278,0.00015589637563293707,7372.73514421451,0.000999001,0.002838221302299162,0.004306751794173947,True
8,SLC2A1,SLC2A9,-410.86088344896234,-0.16826951971385384,0.5668143741628622,0.8089158295827744,-0.0003113809108807347,16915.013044117986,0.000999001,0.002838221302299162,0.009880832737277469,True
10,SLC2A9,SLC2A9,5520.934966699919,2.1852463994861773,0.014435392558868745,0.07118141847993899,0.0034427403741636615,1104.242923042262,0.000999001,0.002838221302299162,0.006359722084103562,True
14,SLC2A3,SLC2A3,112235.0490008399,44.42385903919503,0.0,0.0,0.06314755325642345,589476.3057166296,0.000999001,0.002838221302299162,0.1046797392140252,True
15,SLC7A5,SLC7A5,38873.73030444521,15.3866473151309,1.0059509730452635e-53,2.3975164857578777e-52,0.02750895717909115,151585.74923109164,0.000999001,0.002838221302299162,0.08496611393906595,True
17,SLC38A7,SLC7A5,5364.886213435369,2.238068412640931,0.012608297074905836,0.06435515834430613,0.0036505067297471316,32402.713240714493,0.000999001,0.002838221302299162,0.12233190466147888,True
18,SLC3A2,SLC3A2,11171.647881393292,4.421860329163517,4.892735362263631e-06,4.115653863551172e-05,0.007654224168424378,57281.45264677448,0.000999001,0.002838221302299162,0.0445508718584323,True
19,SLC1A5,SLC38A7,9108.137566002159,3.745451529838318,9.0034806208292e-05,0.0006776303835676715,0.0068724192249346545,56774.28923206646,0.000999001,0.002838221302299162,0.01901449165441121,True
20,SLC3A2,SLC7A5,28885.320001781773,12.05008265098256,9.687777624862435e-34,1.7316902504441603e-32,0.019790698455377374,174195.17941235154,0.000999001,0.002838221302299162,0.13548097608857157,True
22,SLC1A5,SLC1A5,71420.33555666535,28.268949383873544,4.1631696854872855e-176,2.9766663251234093e-174,0.05388922637302146,448971.89288799895,0.000999001,0.002838221302299162,0.15036687250260328,True
24,SLC1A5,SLC3A2,38851.39509367487,15.976484340017377,9.318231966450539e-58,2.498450946004551e-56,0.029314782810696938,295959.1286354939,0.000999001,0.002838221302299162,0.0991207896673757,True
25,SLC38A7,SLC38A7,1623.5504561324728,0.6426190147224868,0.26023567090848787,0.5526787268304024,0.0011047358006127108,2168.1905678946664,0.000999001,0.002838221302299162,0.008185699755115922,True
26,SLC7A7,SLC7A7,20038.13563977254,7.931313087971867,1.0842038692272986e-15,1.5003982577371325e-14,0.010932258877452217,14102.315053905568,0.000999001,0.002838221302299162,0.020574596286244386,True
27,SLC1A5,SLC7A5,71042.2155557917,29.214004839996782,6.43790418946154e-188,5.523721794558001e-186,0.05360392115617492,473287.93289892975,0.000999001,0.002838221302299162,0.15851064930914813,True
28,SLC38A7,SLC3A2,6161.132556470962,2.6213844523326086,0.004378672151324097,0.02538446422862213,0.004192308087343249,22621.884110942752,0.000999001,0.002838221302299162,0.08540575444298351,True
29,SLC3A2,SLC7A7,-9767.352658986321,-3.701786975807871,0.9998929568342889,1.0,-0.006692075115297422,27708.410484925167,0.018981019,0.03752468740095466,0.021550323671553295,True
31,SLC1A5,SLC7A11,1829.9527119689324,0.7084012312572485,0.23934806402614334,0.5265657408575154,0.0013807655085711096,12976.178085871172,0.000999001,0.002838221302299162,0.004345900816325735,True
32,SLC43A2,SLC43A2,13895.960347150227,5.50017297779614,1.8970942031348603e-08,1.985008324743549e-07,0.007875728073317212,12160.354265547263,0.000999001,0.002838221302299162,0.017595886469263963,True
34,SLC7A11,SLC7A11,4175.791340651009,1.6528238508880004,0.049183359240605774,0.19008703706504393,0.002296072407360857,376.49642657257414,0.001998002,0.005071851084581935,0.004448023705153461,True
35,SLC43A2,SLC7A5,-16306.233597705173,-6.330503289494021,0.9999999998778186,1.0,-0.009241783835534041,41711.91951281419,0.001998002,0.005071851084581935,0.06035664620742229,True
37,SLC16A1,SLC16A1,5274.652737329929,2.0877652014220214,0.018409510015845603,0.085844345617367,0.002670882292029153,1192.1414353984092,0.003996004,0.009216589605315559,0.005089600858532694,True
38,SLC16A4,SLC16A4,15216.837909750075,6.022990753271357,8.561161447683932e-10,9.665100686990545e-09,0.010001343121298934,12699.67609065065,0.000999001,0.002838221302299162,0.02476605639155206,True
39,SLCO2A1,SLCO2A1,60559.93462119327,23.970283997600642,2.839315516828836e-127,1.353407063021745e-125,0.07403279888286485,127581.76460565013,0.000999001,0.002838221302299162,0.10257617415683726,True
40,SLC16A1,SLCO2A1,4081.0739636734315,1.5151775789102977,0.06486371973140562,0.23381401403871052,0.002066499677769175,10639.564706869307,0.000999001,0.002838221302299162,0.04542341710352436,True
42,SLCO2B1,SLCO2B1,28372.642092828,11.230201831977551,1.4490788306735796e-29,2.4866192734358626e-28,0.017065736526029766,25903.639321932016,0.000999001,0.002838221302299162,0.02817122853288785,True
43,SLC16A1,SLCO2B1,13104.327844998428,4.865234963680837,5.716045625775799e-07,5.217411858420889e-06,0.006635530134988221,8251.45355053903,0.000999001,0.002838221302299162,0.03522787131455673,True
44,SLC22A5,SLC22A5,17994.513806666288,7.122425231178985,5.302214196656733e-13,6.6901467363698195e-12,0.01424712933492872,20901.24968499346,0.000999001,0.002838221302299162,0.04009903744666934,True
46,SLC1A1,SLC1A5,-3753.930416003735,-1.4386272257027943,0.9248719158563911,1.0,-0.002032879591602236,11187.25008771973,0.000999001,0.002838221302299162,0.12208263478159179,True
48,SLC3A2,SLC7A11,-4.552076977662807,-0.0017621750084921611,0.5007030057525182,0.7909687544848157,-3.118843163414259e-06,4734.542154380864,0.000999001,0.002838221302299162,0.0036823085149193624,True
49,SLC1A2,SLC3A2,20585.32863375763,8.758464443361767,9.896406807389357e-19,1.5162709001321552e-17,0.017551102657842075,69252.61793364762,0.000999001,0.002838221302299162,0.11786832751126683,True
