,Metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",37019.875787964855,4.483479588826284,3.6717814955750444e-06,6.837110371070772e-06,4852.382413501469,0.000999001,0.0013051464301233572,True
1,17a-Ethynylestradiol,15814.038934726572,2.464138878233803,0.006867144204775553,0.010113430556123995,4330.519494430448,0.000999001,0.0013051464301233572,True
2,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",37019.875787964855,4.483479588826284,3.6717814955750444e-06,6.837110371070772e-06,4852.382413501469,0.000999001,0.0013051464301233572,True
3,2-Hydroxychlorpropamide,3930.1549791763323,0.8725921344714155,0.1914427146355393,0.20955216061457682,1476.7537843845184,0.03196803,0.03475718815254685,True
4,25-Hydroxycholesterol,37295.90542071051,14.76212698170956,1.2852230149442106e-49,9.052440366128788e-49,129883.5425938376,0.000999001,0.0013051464301233572,True
5,"3',4'-Dihydrodiol",11177.445481106999,1.7480383193629006,0.04022869614361591,0.05172260932750617,4934.362204550478,0.000999001,0.0013051464301233572,True
6,3-Sulfodeoxycholic acid,37019.875787964855,4.483479588826284,3.6717814955750444e-06,6.837110371070772e-06,4852.382413501469,0.000999001,0.0013051464301233572,True
7,"3alpha,7alpha-Dihydroxycoprostanic acid",37019.875787964855,4.483479588826284,3.6717814955750444e-06,6.837110371070772e-06,4852.382413501469,0.000999001,0.0013051464301233572,True
8,3b-Hydroxy-5-cholenoic acid,37019.875787964855,4.483479588826284,3.6717814955750444e-06,6.837110371070772e-06,4852.382413501469,0.000999001,0.0013051464301233572,True
9,4'-Hydroxydiclofenac,42827.21456548839,5.157141679728544,1.2537403687192777e-07,3.173530308320672e-07,114478.76746628668,0.000999001,0.0013051464301233572,True
10,4-Hydroxycyclophosphamide,3602.6769324616707,1.4259789044172746,0.07693721572770464,0.09031760107165326,1043.1021658007173,0.014985015,0.016627208074580315,True
11,4-Hydroxyvalsartan,24540.971876568656,5.485652147684692,2.0597340871710364e-08,5.4701134774050475e-08,1121.7144193352815,0.000999001,0.0013051464301233572,True
12,4-ene-Valproic acid,11128.487973008643,2.4871170600337735,0.006439150794475917,0.009570114024817418,24877.451432816866,0.000999001,0.0013051464301233572,True
13,5-Hydroxyomeprazole,13177.30655948111,2.065018329070694,0.019460633030359747,0.0260547318257709,6158.7927349605925,0.000999001,0.0013051464301233572,True
14,5-Methyltetrahydrofolic acid,-223.67349916555548,-0.08853241555282597,0.5352732392019153,0.5481590622375161,159.27450109976348,0.34965035,0.3585022608690624,False
15,8-Hydroxycarvedilol,3602.6769324616707,1.4259789044172746,0.07693721572770464,0.09031760107165326,1043.1021658007173,0.014985015,0.016627208074580315,True
