sample_id,tier,cell_type_1,cell_type_2,gene1,gene2,tcell_involvement,metabolites,FDR_np,pval_np,C_np
Human_Breast,Tier1,T Cell,other,SLC2A3,SLC2A3,Tcell_interface,D-Galactose | D-Glucose | D-Maltose | D-Mannose | D-Xylose | Dehydroascorbic acid | Docosahexaenoic acid,0.0034229729661201,0.0009990009990009,83441.18
Human_Breast,Tier1,T Cell,other,SLC1A5,SLC38A7,Tcell_interface,L-Glutamine,0.0034229729661201,0.0009990009990009,1078.3502
Human_Breast,Tier1,T Cell,other,SLC1A5,SLC3A2,Tcell_interface,L-Glutamate | L-Glutamine | L-Leucine | L-Serine,0.0034229729661201,0.0009990009990009,1935.0847
Human_Breast,Tier1,T Cell,other,SLC43A2,SLC43A2,Tcell_interface,L-Cysteine | L-Isoleucine | L-Leucine | L-Methionine | L-Phenylalanine | L-Valine,0.0034229729661201,0.0009990009990009,922.89417
Human_Breast,Tier1,T Cell,other,SLC16A1,SLCO2A1,Tcell_interface,Pyruvate,0.0034229729661201,0.0009990009990009,4278.548
Human_Breast,Tier1,T Cell,other,SLCO2B1,SLCO2B1,Tcell_interface,Acetate | Citric acid | Estradiol | Nicotinate | Oxalic acid | Taurocholic acid,0.0034229729661201,0.0009990009990009,3113.4932
Human_Breast,Tier1,T Cell,other,SLC16A1,SLCO2B1,Tcell_interface,Acetate | Nicotinate | Taurocholic acid,0.0034229729661201,0.0009990009990009,1019.6143
Human_Breast,Tier1,T Cell,other,SLC1A1,SLC3A2,Tcell_interface,L-Glutamate,0.0034229729661201,0.0009990009990009,167.66068
Human_Breast,Tier1,T Cell,other,CUBN,SLC40A1,Tcell_interface,Iron,0.0034229729661201,0.0009990009990009,1030.8712
Human_Breast,Tier1,T Cell,other,CUBN,SLC3A2,Tcell_interface,Iron,0.0034229729661201,0.0009990009990009,47469.81
Human_Breast,Tier1,T Cell,other,SLC40A1,SLC40A1,Tcell_interface,Iron,0.0034229729661201,0.0009990009990009,7823.4316
Human_Breast,Tier1,T Cell,other,SLC22A5,SLC5A3,Tcell_interface,Sodium,0.0034229729661201,0.0009990009990009,604.23676
Human_Breast,Tier1,T Cell,other,SLC29A1,SLC5A3,Tcell_interface,Sodium,0.0034229729661201,0.0009990009990009,1108.6045
Human_Breast,Tier1,T Cell,other,MSR1,MSR1,Tcell_interface,Fatty acid,0.0034229729661201,0.0009990009990009,2582.0305
Human_Breast,Tier1,T Cell,other,CD36,CD36,Tcell_interface,Cholesterol | Fatty acid | Vitamin D3,0.0034229729661201,0.0009990009990009,1130.6768
Human_Breast,Tier1,T Cell,other,ABCA1,ABCA1,Tcell_interface,25-Hydroxycholesterol,0.0034229729661201,0.0009990009990009,7590.747
Human_Breast,Tier1,T Cell,other,ABCC4,ABCC4,Tcell_interface,4'-Hydroxydiclofenac | Cholic acid | Cyclic AMP | Folic acid | Folinic acid | Glutathione | Hydroxycelecoxib | O-Desmethylverapamil (D-702) | Taurocholic acid,0.0034229729661201,0.0009990009990009,254.52641
Human_Breast,Tier1,T Cell,other,LRP1,LRP1,Tcell_interface,Heme,0.0034229729661201,0.0009990009990009,1904.4194
Human_Breast,Tier1,T Cell,other,SLC29A3,SLC29A3,Tcell_interface,Adenine,0.0034229729661201,0.0009990009990009,706.04736
Human_Breast,Tier1,T Cell,other,LRP2,LRP2,Tcell_interface,Calcidiol,0.0034229729661201,0.0009990009990009,193.90213
