,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
3,T Cell,T Cell,SLC2A3,SLC2A3,214.00298,1.1803928387905605,0.11892200441362472,0.4240251796715307,0.03097130422621302,2954.4563,0.000999000999000999,0.0032674092824468764,0.07198335127528825,True
39,T Cell,T Cell,CUBN,SLC40A1,280.48557,1.5470960243029117,0.06092004624495108,0.2345152222703869,0.029188864633440576,870.09656,0.000999000999000999,0.0032674092824468764,0.46545428576723685,True
53,T Cell,T Cell,SLC22A4,SLC5A1,330.88187,1.825070818770806,0.03399517155686225,0.13820466941341195,0.06340132023797422,33.759533,0.006993006993006993,0.018662319275816207,0.04307833137330607,True
116,T Cell,T Cell,AQP7,AQP7,131.92276,0.7276566171637429,0.23341190661344874,0.6472916504137413,0.020140428873799816,126.306595,0.015984015984015984,0.03718206926763076,0.043011171492591,True
126,T Cell,T Cell,SLC24A1,SLC24A1,149.0098,0.8219049099438257,0.20556550916502525,0.6472916504137413,0.01918331857689024,68.39631,0.016983016983016984,0.03888217046111783,0.029680037296037635,True
146,T Cell,other,SLC2A1,SLC2A2,1222.7981,2.848256689146402,0.002197972631274646,0.011248448171817306,0.05924902501654742,5631.336,0.000999000999000999,0.0032674092824468764,0.222196362566802,True
148,T Cell,other,SLC2A3,SLC2A3,1047.4703,2.439866732113597,0.007346340512858073,0.03436191530207808,0.052500681518829875,15965.394,0.000999000999000999,0.0032674092824468764,0.13648102950132807,True
153,T Cell,other,SLC7A5,SLC7A5,272.97626,0.6358420524483881,0.2624396875832672,0.6472916504137413,0.012527048470765124,229.47693,0.014985014985014986,0.035620117587330705,0.011026699280542179,True
161,T Cell,other,SLC1A5,SLC43A2,285.72476,0.6655370722078291,0.252853520071321,0.6472916504137413,0.012882765667182678,490.26065,0.008991008991008992,0.02247752247752248,0.023192130806772845,True
164,T Cell,other,SLCO2A1,SLCO2A1,2023.5735,4.7134982779795775,1.2174989190786222e-06,9.291439119284222e-06,0.10083258182293058,3160.983,0.000999000999000999,0.0032674092824468764,0.33607097072416503,True
167,T Cell,other,SLCO2B1,SLCO2B1,1008.61285,2.349356216918033,0.009402952884184603,0.042607130256461484,0.049886029616585274,971.4343,0.000999000999000999,0.0032674092824468764,0.06700469917542083,True
168,T Cell,other,SLC1A3,SLC1A3,371.36197,0.8650113342496895,0.1935162839256201,0.6284116807629095,0.018763470157378725,62.185863,0.006993006993006993,0.018662319275816207,0.03388004592630615,True
178,T Cell,other,SLC39A8,SLC39A8,333.88684,0.7777207301239539,0.21836683423131026,0.6472916504137413,0.014511827452029152,480.3931,0.022977022977022976,0.0497263930099751,0.034197057127465555,True
