,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,T Cell,T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",-16.329763,-0.04503567239999618,0.5179605623375003,0.5927009459747561,0.0,0.04595404595404595,0.08411927055994853,False
1,T Cell,T Cell,17a-Ethynylestradiol,-30.845829,-0.12030625371802103,0.5478797248272778,0.5927009459747561,0.0,0.1968031968031968,0.2833966033966034,False
2,T Cell,T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",-16.329763,-0.04503567239999618,0.5179605623375003,0.5927009459747561,0.0,0.04595404595404595,0.08411927055994853,False
3,T Cell,T Cell,2-Hydroxychlorpropamide,-29.790258,-0.1161892710079615,0.5462487301715961,0.5927009459747561,0.0,0.18081918081918083,0.2638982638982639,False
4,T Cell,T Cell,25-Hydroxycholesterol,-40.700314,-0.22449388177056026,0.5888134864609942,0.5998338506756801,0.0,0.29270729270729273,0.39027639027639033,False
5,T Cell,T Cell,"3',4'-Dihydrodiol",-28.26811,-0.09002080739383365,0.535864659975718,0.5927009459747561,0.0,0.1968031968031968,0.2833966033966034,False
6,T Cell,T Cell,3-Sulfodeoxycholic acid,-16.329763,-0.04503567239999618,0.5179605623375003,0.5927009459747561,0.0,0.04595404595404595,0.08411927055994853,False
7,T Cell,T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",-16.329763,-0.04503567239999618,0.5179605623375003,0.5927009459747561,0.0,0.04595404595404595,0.08411927055994853,False
8,T Cell,T Cell,3b-Hydroxy-5-cholenoic acid,-16.329763,-0.04503567239999618,0.5179605623375003,0.5927009459747561,0.0,0.04595404595404595,0.08411927055994853,False
9,T Cell,T Cell,4'-Hydroxydiclofenac,-80.30224,-0.18082512780835658,0.5717475804552639,0.5927009459747561,142.82391,0.8221778221778222,0.8579246840116406,False
10,T Cell,T Cell,4-Hydroxycyclophosphamide,-25.87516,-0.14272163158871,0.5567449839638865,0.5927009459747561,0.0,0.18081918081918083,0.2638982638982639,False
11,T Cell,T Cell,4-Hydroxyvalsartan,-9.819641,-0.03829899448677358,0.5152753537585194,0.5927009459747561,0.0,0.022977022977022976,0.04889691589198979,False
12,T Cell,T Cell,4-ene-Valproic acid,-37.542194,-0.11955445961172984,0.5475819515775262,0.5927009459747561,0.0,0.15684315684315683,0.24549363679798464,False
13,T Cell,T Cell,5-Hydroxyomeprazole,-33.47348,-0.09231613780341487,0.5367765664961986,0.5927009459747561,0.0,0.2627372627372627,0.3558072022021865,False
14,T Cell,T Cell,5-Methyltetrahydrofolic acid,-1.2580792,-0.006939285031315032,0.5027683519770095,0.5927009459747561,0.0,0.011988011988011988,0.027401170258313116,False
15,T Cell,T Cell,8-Hydroxycarvedilol,-25.87516,-0.14272163158871,0.5567449839638865,0.5927009459747561,0.0,0.18081918081918083,0.2638982638982639,False
16,T Cell,T Cell,ADP,-5.7146025,-0.03152047684370402,0.5125727689511267,0.5927009459747561,0.0,0.0979020979020979,0.15722567395429848,False
17,T Cell,T Cell,Acetate,-53.67085,-0.17091673619568237,0.5678553816401719,0.5927009459747561,0.0,0.42857142857142855,0.5215291750503017,False
18,T Cell,T Cell,Acetyl-L-Carnitine,-17.01606,-0.09385680352303827,0.5373885459505998,0.5927009459747561,0.0,0.03796203796203796,0.07809333523619237,False
19,T Cell,T Cell,Acetylcholine,0.34926215,0.001926452366532019,0.49923145717518275,0.5927009459747561,0.0,0.002997002997002997,0.007398315969744541,False
20,T Cell,T Cell,Adenine,-18.2519,-0.10067342136815254,0.5400951445838148,0.5927009459747561,0.0,0.07992007992007992,0.1327902866364405,False
21,T Cell,T Cell,Adenosine,-34.1921,-0.18859602543057255,0.5747952759202432,0.5927009459747561,0.0,0.17582417582417584,0.2638982638982639,False
22,T Cell,T Cell,Adenosine diphosphate ribose,-8.942246,-0.04932344344344538,0.5196692314569054,0.5927009459747561,0.0,0.3146853146853147,0.4095364095364096,False
23,T Cell,T Cell,Adenosine triphosphate,15.32182,0.04879288417356924,0.4805421765143585,0.5927009459747561,490.52734,0.4975024975024975,0.5806967901208739,False
24,T Cell,T Cell,Amiloride-sensitive sodium transport,-29.632433,-0.0943655416691283,0.5375906063048356,0.5927009459747561,0.0,0.09290709290709291,0.1514560910787326,False
25,T Cell,T Cell,Anion exchange,52.876495,0.20623122382593048,0.4183051494789173,0.5927009459747561,47.816925,0.16683316683316685,0.25739974311402886,False
26,T Cell,T Cell,Arachidonic acid,126.53697,0.697949808041051,0.24260429186980664,0.529478554843031,62.257267,0.06793206793206794,0.11508491508491508,False
27,T Cell,T Cell,Bilirubin,-4.9706693,-0.027417106687741704,0.5109364728931968,0.5927009459747561,0.0,0.01998001998001998,0.04403759505800322,False
28,T Cell,T Cell,Butyrate,-5.7696996,-0.03182438021616265,0.5126939480598747,0.5927009459747561,0.0,0.04495504495504495,0.08411927055994853,False
29,T Cell,T Cell,Cadmium,80.22961,0.4425286747433942,0.32905334253943214,0.5927009459747561,56.9116,0.2177822177822178,0.3044722268023239,False
30,T Cell,T Cell,Calcium release-activated calcium transport,-63.732887,-0.24857379917932712,0.5981547611600011,0.6051305909504525,0.0,0.6593406593406593,0.7138725935718416,False
31,T Cell,T Cell,Chenodeoxycholic acid,-16.329763,-0.04503567239999618,0.5179605623375003,0.5927009459747561,0.0,0.04595404595404595,0.08411927055994853,False
32,T Cell,T Cell,Chenodeoxycholic acid 3-sulfate,-16.329763,-0.04503567239999618,0.5179605623375003,0.5927009459747561,0.0,0.04595404595404595,0.08411927055994853,False
33,T Cell,T Cell,Chloride,-41.691208,-0.0938805460294911,0.5373979762020917,0.5927009459747561,0.0,0.22377622377622378,0.31184299571396346,False
34,T Cell,T Cell,Chloride ion,25.676767,0.0817685832386451,0.4674153696661343,0.5927009459747561,73.62917,0.15284715284715283,0.24010898192716373,False
35,T Cell,T Cell,Cholesterol,-32.637283,-0.09000999970008301,0.5358603657625339,0.5927009459747561,0.0,0.27472527472527475,0.37087912087912095,False
36,T Cell,T Cell,Cholic acid,-129.41835,-0.20606868066010176,0.581631368535966,0.5954141023875291,142.82391,0.8741258741258742,0.9055692508929919,False
37,T Cell,T Cell,Choline,-16.666798,-0.06500457435091717,0.5259148209225529,0.5927009459747561,0.0,0.03996003996003996,0.08104571484853175,False
38,T Cell,T Cell,Citric acid,-46.3671,-0.2557506146625961,0.6009282951799633,0.6051305909504525,0.0,0.3786213786213786,0.46599554291861983,False
39,T Cell,T Cell,Coprocholic acid,-16.329763,-0.04503567239999618,0.5179605623375003,0.5927009459747561,0.0,0.04595404595404595,0.08411927055994853,False
40,T Cell,T Cell,Cortisol,-30.363262,-0.0966928934981468,0.5385148582233633,0.5927009459747561,0.0,0.25774225774225773,0.3523565042552384,False
41,T Cell,T Cell,Creatine,-17.01606,-0.09385680352303827,0.5373885459505998,0.5927009459747561,0.0,0.03796203796203796,0.07809333523619237,False
42,T Cell,T Cell,Cyclic AMP,-4.8554025,-0.026781320643697554,0.5106829240792908,0.5927009459747561,0.0,0.02197802197802198,0.04795204795204796,False
43,T Cell,T Cell,Cytidine,-34.1921,-0.18859602543057255,0.5747952759202432,0.5927009459747561,0.0,0.17582417582417584,0.2638982638982639,False
44,T Cell,T Cell,D-Aspartate,-5.8786798,-0.03242549065579912,0.5129336327152572,0.5927009459747561,0.0,0.005994005994005994,0.014385614385614386,False
45,T Cell,T Cell,D-Galactose,354.73718,1.1296732353471637,0.12930696954175558,0.32859182848257884,3059.4446,0.000999000999000999,0.0025688597117168544,True
46,T Cell,T Cell,D-Glucose,357.37256,0.8815418884564875,0.1890122961237944,0.44136925365123875,3059.4446,0.000999000999000999,0.0025688597117168544,True
47,T Cell,T Cell,D-Lactate,-5.7696996,-0.03182438021616265,0.5126939480598747,0.5927009459747561,0.0,0.04495504495504495,0.08411927055994853,False
48,T Cell,T Cell,D-Maltose,214.00298,1.1803928387905605,0.11892200441362472,0.3094837705222041,2954.4563,0.000999000999000999,0.0025688597117168544,True
49,T Cell,T Cell,D-Mannose,354.73718,1.1296732353471637,0.12930696954175558,0.32859182848257884,3059.4446,0.000999000999000999,0.0025688597117168544,True
50,T Cell,T Cell,D-Xylose,214.00298,1.1803928387905605,0.11892200441362472,0.3094837705222041,2954.4563,0.000999000999000999,0.0025688597117168544,True
51,T Cell,T Cell,Dehydroascorbic acid,242.64948,0.9463921137010161,0.17197431314730766,0.40820276527273025,3031.1433,0.000999000999000999,0.0025688597117168544,True
52,T Cell,T Cell,Dehydroepiandrosterone,-9.819641,-0.03829899448677358,0.5152753537585194,0.5927009459747561,0.0,0.022977022977022976,0.04889691589198979,False
53,T Cell,T Cell,Deoxycholic acid,-16.329763,-0.04503567239999618,0.5179605623375003,0.5927009459747561,0.0,0.04595404595404595,0.08411927055994853,False
54,T Cell,T Cell,Docosahexaenoic acid,242.64948,0.9463921137010161,0.17197431314730766,0.40820276527273025,3031.1433,0.000999000999000999,0.0025688597117168544,True
55,T Cell,T Cell,Dopamine,-17.642246,-0.056182363655402856,0.5224017346331958,0.5927009459747561,0.0,0.054945054945054944,0.09532636038660136,False
56,T Cell,T Cell,E-3179,-25.87516,-0.14272163158871,0.5567449839638865,0.5927009459747561,0.0,0.18081918081918083,0.2638982638982639,False
57,T Cell,T Cell,Eicosanoid,126.53697,0.697949808041051,0.24260429186980664,0.529478554843031,62.257267,0.06793206793206794,0.11508491508491508,False
58,T Cell,T Cell,Estradiol,-56.977833,-0.12830307217183967,0.5510454330199197,0.5927009459747561,31.120325,0.5984015984015985,0.6611495920958838,False
59,T Cell,T Cell,Estriol,-25.87516,-0.14272163158871,0.5567449839638865,0.5927009459747561,0.0,0.18081918081918083,0.2638982638982639,False
60,T Cell,T Cell,Estrone sulfate,2.5777185,0.014218122186768132,0.49432798101692654,0.5927009459747561,0.0,0.002997002997002997,0.007398315969744541,False
61,T Cell,T Cell,Ethanol,-41.07504,-0.1308049293142321,0.552035188262501,0.5927009459747561,0.0,0.22777222777222778,0.3163910044938984,False
62,T Cell,T Cell,Fatty acid,-69.71858,-0.19227610019447047,0.5762370308087906,0.5927009459747561,0.0,0.7042957042957043,0.7568550852132941,False
63,T Cell,T Cell,Folic acid,-52.517765,-0.10948735651438066,0.5435920252397024,0.5927009459747561,0.0,0.21078921078921078,0.29856045593750513,False
64,T Cell,T Cell,Folinic acid,-12.936289,-0.0411960740970004,0.5164302082827977,0.5927009459747561,0.0,0.04695304695304695,0.0848691057896079,False
65,T Cell,T Cell,Fusidic Acid,-4.9706693,-0.027417106687741704,0.5109364728931968,0.5927009459747561,0.0,0.01998001998001998,0.04403759505800322,False
66,T Cell,T Cell,GABA,0.36952308,0.0020382071526503106,0.4991868735535848,0.5927009459747561,0.0,0.003996003996003996,0.009808373444737081,False
67,T Cell,T Cell,Glucosamine,140.73422,0.5488977800799354,0.2915378008590198,0.5927009459747561,104.98825,0.3116883116883117,0.4095364095364096,False
68,T Cell,T Cell,Glutathione,-65.32421,-0.147097503765188,0.558472469923183,0.5927009459747561,142.82391,0.8221778221778222,0.8579246840116406,False
69,T Cell,T Cell,Glycerol,-25.87516,-0.14272163158871,0.5567449839638865,0.5927009459747561,0.0,0.18081918081918083,0.2638982638982639,False
70,T Cell,T Cell,Glycochenodeoxycholate-3-sulfate,-16.329763,-0.04503567239999618,0.5179605623375003,0.5927009459747561,0.0,0.04595404595404595,0.08411927055994853,False
71,T Cell,T Cell,Glycyl-glycine,-3.9150984,-0.021594812588056088,0.5086144142383706,0.5927009459747561,0.0,0.000999000999000999,0.0025688597117168544,False
72,T Cell,T Cell,Guanosine,-34.1921,-0.18859602543057255,0.5747952759202432,0.5927009459747561,0.0,0.17582417582417584,0.2638982638982639,False
