cell_type,metabolite,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",43436,0.0,0.0,,2.9856465,-inf
T Cell,17a-Ethynylestradiol,43436,9.208951100469657e-05,0.0021738101740126554,23.605404679603424,2.9866047,-1.152174066951018
T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",43436,0.0,0.0,,2.9856465,-inf
T Cell,2-Hydroxychlorpropamide,43436,9.208951100469657e-05,0.0021738101740126554,23.605404679603424,2.9874723,-1.3841207950007148
T Cell,25-Hydroxycholesterol,43436,0.0008518279767934432,0.023845313736158415,27.99310939037235,2.3913488,-2.7179672911201163
T Cell,"3',4'-Dihydrodiol",43436,0.00013813426650704486,0.003341578910151997,24.190803590227024,2.985053,-0.6645087675847768
T Cell,3-Sulfodeoxycholic acid,43436,0.0,0.0,,2.9856465,-inf
T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",43436,0.0,0.0,,2.9856465,-inf
T Cell,3b-Hydroxy-5-cholenoic acid,43436,0.0,0.0,,2.9856465,-inf
T Cell,4'-Hydroxydiclofenac,43436,0.0019108573533474537,0.06254669292946242,32.73226691667626,2.2288165,-2.197339690825207
T Cell,4-Hydroxycyclophosphamide,43436,9.208951100469657e-05,0.0021738101740126554,23.605404679603424,2.9896898,-1.0113115311111684
T Cell,4-Hydroxyvalsartan,43436,0.0,0.0,,2.992395,-inf
T Cell,4-ene-Valproic acid,43436,9.208951100469657e-05,0.002080077025768232,22.58755642281723,2.8691843,-4.029690060426023
T Cell,5-Hydroxyomeprazole,43436,0.00013813426650704486,0.0036242042369281943,26.236822539202176,2.9485016,-2.123940386222074
T Cell,5-Methyltetrahydrofolic acid,43436,2.3022377751174143e-05,0.000574825835469137,24.96813498943743,2.9971669,-2.558799326413662
T Cell,8-Hydroxycarvedilol,43436,9.208951100469657e-05,0.0021738101740126554,23.605404679603424,2.9896898,-1.0113115311111684
T Cell,ADP,43436,0.0001151118887558707,0.002799307991333364,24.3181483823112,2.9260356,-2.295764920579868
T Cell,Acetate,43436,0.0008978727322957915,0.025197888341262315,28.06398661515564,2.7751122,-1.3023694334458236
