cell_type,gene_pair,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
CD8 T Cell,SLC2A1_SLC2A2,43436,6.906713325352243e-05,0.0037404871618234364,54.1572667869876,2.987832,-1.9418467114480689
CD8 T Cell,SLC2A1_SLC2A1,43436,0.0028547748411455933,0.13272107470651281,46.246130451210746,1.321067,-4.87526719243459
CD8 T Cell,SLC2A1_SLC2A9,43436,0.00018417902200939314,0.010892810202920114,37.16432602233681,2.962928,-4.1390082971641835
CD8 T Cell,SLC2A3_SLC2A3,43436,0.0134450686066857,0.44235715254652813,32.90107068152568,1.991554,-0.2924325788854894
CD8 T Cell,SLC2A9_SLC2A9,43436,2.3022377751174143e-05,0.00033486707104934835,14.545286098099496,2.93892,-4.6207270755568635
CD8 T Cell,SLC7A5_SLC7A5,43436,0.0003913804217699604,0.009510670596151809,24.30032282437941,2.8910837,-2.174693686686709
CD8 T Cell,SLC1A5_SLC3A2,43436,0.00032231328851643797,0.019854513149957224,48.75089741522496,2.9108868,-3.6233226295539147
CD8 T Cell,SLC3A2_SLC3A2,43436,0.00025324615526291553,0.007218930521561955,28.505587830415006,2.6841218,-3.3142832476192123
CD8 T Cell,SLC7A7_SLC7A7,43436,0.00020720139976056727,0.005043746744770614,24.342242622872934,2.9453318,-1.4046072512359458
CD8 T Cell,SLC1A5_SLC7A5,43436,0.00029929091076526384,0.014140429512150937,45.769153324250844,2.9309585,-3.5347497621956867
CD8 T Cell,SLC3A2_SLC7A5,43436,0.0001151118887558707,0.006619978929582207,57.509080957066544,2.9519682,-3.0621927001133527
CD8 T Cell,SLC1A5_SLC1A5,43436,0.00161156644258219,0.04163870853832537,25.837413486724294,1.8339249,-4.230472958136805
CD8 T Cell,SLC38A7_SLC7A5,43436,2.3022377751174143e-05,0.0009751354713924581,42.35598433540281,2.9844723,-2.325822154436048
CD8 T Cell,SLC1A5_SLC38A7,43436,0.0001151118887558707,0.0045162403272881,39.23348297121718,2.9754262,-2.698601966253185
CD8 T Cell,SLC43A2_SLC43A2,43436,6.906713325352243e-05,0.0017431581654020335,25.238606024134242,2.911213,-2.710802419858712
CD8 T Cell,SLC1A5_SLC7A11,43436,4.6044755502348285e-05,0.0019900589843378992,43.220101021850496,2.9867709,-2.954728002744801
CD8 T Cell,SLC1A5_SLC43A2,43436,0.0003913804217699604,0.02120182514699352,51.540940380022796,2.9241807,-2.7632140068210544
CD8 T Cell,SLC16A1_SLC16A1,43436,6.906713325352243e-05,0.0016645377974082176,24.100287922741114,2.908518,-3.7164860583622943
CD8 T Cell,SLC16A4_SLC16A4,43436,6.906713325352243e-05,0.0018046936666784774,26.129558035282116,2.9787943,-0.7259093122489202
CD8 T Cell,SLCO2A1_SLCO2A1,43436,0.0017266783313380607,0.07814040704209504,45.25475627040588,2.2710562,-3.418652660407183
CD8 T Cell,SLC16A1_SLC22A5,43436,0.0,0.0,,2.988316,-inf
CD8 T Cell,SLC22A5_SLC22A5,43436,2.3022377751174143e-05,0.0004155392283600143,18.04936192304558,2.9666793,-3.8186664531687726
CD8 T Cell,SLCO2B1_SLCO2B1,43436,0.0007597384657887467,0.021728656877175626,28.600180003545468,2.8662615,-0.6516210835026472
CD8 T Cell,SLC1A3_SLC1A3,43436,4.6044755502348285e-05,0.0014316664146598209,31.09293119358199,2.993192,-1.6085523616107613
CD8 T Cell,SLC1A3_SLC1A5,43436,2.3022377751174143e-05,0.003732511503061957,47.80797632836311,2.9644084,-3.7757578616994816
CD8 T Cell,SLC1A2_SLC1A5,43436,0.0001151118887558707,0.011425278379111116,78.3006113973357,2.9666078,-0.5739062188038702
CD8 T Cell,SLC16A1_SLC3A2,43436,0.0001151118887558707,0.006734197338198903,48.571366207609614,2.95697,-2.4152084727848124
CD8 T Cell,SLC1A1_SLC1A1,43436,0.0,0.0,,2.9973226,-inf
CD8 T Cell,SLC16A1_SLC1A3,43436,6.906713325352243e-05,0.0029134706155534897,42.183169885727125,2.9902155,-1.1633146245562185
CD8 T Cell,SLC16A1_SLC1A5,43436,4.6044755502348285e-05,0.009816606586555157,97.72079326033418,2.923778,-4.85261378509211
CD8 T Cell,SLC1A1_SLC7A11,43436,2.3022377751174143e-05,0.0012205220110740546,53.01459407301263,2.9979277,0.9521625928637175
CD8 T Cell,SLC1A3_SLC3A2,43436,4.6044755502348285e-05,0.0027903018314448433,45.135307364228765,2.9800954,-1.6566466498118066
CD8 T Cell,SLC1A2_SLC3A2,43436,0.0001151118887558707,0.008156601725665286,65.9322699581422,2.9808626,-0.1319016719247571
CD8 T Cell,SLC39A8_SLC39A8,43436,0.0005064923105258311,0.013326783974480899,26.31191766888874,2.7581315,-2.7939546996720193
CD8 T Cell,SLC11A2_SLC11A2,43436,0.0008978727322957915,0.023344213405856233,25.99946803837875,2.4019325,-2.6596756138488336
CD8 T Cell,SLC11A2_SLC3A2,43436,0.0002302237775117414,0.018835965326263877,58.10553596399675,2.9207954,-2.848996063229981
CD8 T Cell,CUBN_SLC40A1,43436,0.00016115664425821898,0.018910819327434193,74.97277808559986,2.9615083,0.6551808551065857
CD8 T Cell,SLC11A2_SLC40A1,43436,0.0007597384657887467,0.10493137029313382,88.82230739564224,2.8093944,-1.691343810258575
CD8 T Cell,SLC3A2_SLC40A1,43436,0.0002302237775117414,0.03276390108416385,67.40635123918074,2.8416827,-1.7504949505271936
CD8 T Cell,SLC40A1_SLC40A1,43436,0.004742609816741873,0.176930242990221,37.30651473069534,2.2493653,-1.4903622497786946
CD8 T Cell,SLC22A4_SLC22A4,43436,4.6044755502348285e-05,0.0012555131630694637,27.267234875542613,2.984106,-1.1853409308862175
CD8 T Cell,SLC16A9_SLC16A9,43436,2.3022377751174143e-05,0.00025509347483248406,11.080240172823778,2.9701498,-3.66842381758816
CD8 T Cell,SLC1A5_SLC22A5,43436,0.00016115664425821898,0.005469178003072192,33.937030820206246,2.9721596,-4.0113115311111684
CD8 T Cell,SLC12A2_SLC5A5,43436,2.3022377751174143e-05,0.0006642842354078619,28.85385004917589,2.9933386,-2.954728002744801
CD8 T Cell,SLC12A2_SLC29A1,43436,4.6044755502348285e-05,0.0021083357297910807,45.78883537960269,2.9568765,-3.945077832711082
CD8 T Cell,SLC12A2_SLC5A1,43436,0.0,0.0,,2.99239,-inf
CD8 T Cell,SLC22A5_SLC5A3,43436,6.906713325352243e-05,0.007669254525072877,70.68102065282558,2.9559996,-1.82042691103321
CD8 T Cell,SLC12A2_SLC12A2,43436,0.00013813426650704486,0.0027561575894961654,19.95274350955924,2.8378866,-3.2389788944882905
CD8 T Cell,SLC29A1_SLC5A3,43436,0.0001151118887558707,0.00795804223072166,54.37855706996597,2.9304233,-2.3983346542204163
CD8 T Cell,SLC12A2_SLC22A5,43436,0.0,0.0,,2.986674,-inf
CD8 T Cell,SLC5A1_SLC5A5,43436,0.0,0.0,,2.9975212,-inf
CD8 T Cell,SLC22A4_SLC29A1,43436,4.6044755502348285e-05,0.002138163620187341,46.43663750322867,2.9765146,-2.135300248386622
CD8 T Cell,SLC5A1_SLC5A1,43436,0.0,0.0,,2.994184,-inf
CD8 T Cell,SLC22A4_SLC5A1,43436,2.3022377751174143e-05,0.0015544495240945525,67.51906952857098,2.995793,-1.3983346542204158
CD8 T Cell,SLC1A5_SLC5A3,43436,0.00032231328851643797,0.02140907855919044,52.637876067482544,2.8840506,-3.2097250895131766
CD8 T Cell,SLC5A3_SLC5A3,43436,0.0003913804217699604,0.009330428904197954,23.839794698984843,2.6559677,-2.6285504348560806
CD8 T Cell,SLC12A2_SLC5A3,43436,9.208951100469657e-05,0.0063324947382148245,51.74837566916119,2.935324,-2.6536872743312623
CD8 T Cell,SLC22A5_SLC5A5,43436,0.0,0.0,,2.9953904,-inf
CD8 T Cell,SLC22A5_SLC29A1,43436,2.3022377751174143e-05,0.0005569190983092153,24.190337954159077,2.970662,-3.5713993631932954
CD8 T Cell,SLC29A1_SLC29A1,43436,0.0001151118887558707,0.003961839238214885,34.417289830220355,2.8158455,-3.4387801799388256
CD8 T Cell,SLC1A5_SLC22A4,43436,0.0001151118887558707,0.006213939396667984,53.98173432673411,2.970981,-3.3063563318475837
CD8 T Cell,SLC12A2_SLC1A5,43436,6.906713325352243e-05,0.010455128463488282,76.79343114946869,2.9131052,-4.530040333432238
CD8 T Cell,SLC22A5_SLC5A1,43436,2.3022377751174143e-05,0.0013825112490891073,60.05075861543446,2.994808,-2.0478374071362824
CD8 T Cell,SLC1A5_SLC5A5,43436,4.6044755502348285e-05,0.0014533481666415653,31.563815483121516,2.9849236,-3.60242625881392
CD8 T Cell,SLC1A5_SLC29A1,43436,0.00029929091076526384,0.018610079571617578,50.558943476641794,2.9215128,-3.5178235392676984
CD8 T Cell,SLC12A2_SLC22A4,43436,0.0,0.0,,2.9855647,-inf
CD8 T Cell,SLC5A5_SLC5A5,43436,0.0,0.0,,2.9967334,-inf
CD8 T Cell,SLC1A5_SLC5A1,43436,0.00016115664425821898,0.006725236847143461,41.7310553846462,2.9832356,-2.060661447493866
CD8 T Cell,SLC22A1_SLC22A1,43436,0.0,0.0,,2.998152,-inf
CD8 T Cell,SLC3A2_SLC43A2,43436,0.00013813426650704486,0.005912586945567975,42.803187761281755,2.9471335,-2.4984988161458475
CD8 T Cell,MSR1_MSR1,43436,0.00041440279952113454,0.010836267665455233,26.14911790648408,2.8577693,-2.3225132194054727
CD8 T Cell,CD36_CD36,43436,2.3022377751174143e-05,0.0007450704889210637,32.36288175677532,2.964284,-4.6297911579851005
CD8 T Cell,CPT1A_CPT1A,43436,0.0005525370660281794,0.012530642585867089,22.67837463998845,2.6175327,-2.4222973265088
CD8 T Cell,CD36_MSR1,43436,4.6044755502348285e-05,0.002871013867988312,62.35267918497016,2.9569836,-3.221764339136091
CD8 T Cell,SLC6A1_SLC6A1,43436,0.0,0.0,,2.9952757,-inf
CD8 T Cell,SLCO1C1_SLCO1C1,43436,4.6044755502348285e-05,0.0011677687361393418,25.361601411474226,2.9984512,1.6891281870299237
CD8 T Cell,ABCA1_ABCA1,43436,0.0008518279767934432,0.023845313736158415,27.99310939037235,2.3913488,-2.7179672911201163
CD8 T Cell,ABCB1_ABCG2,43436,2.3022377751174143e-05,0.0010231839611103506,44.44301853478919,2.9891007,-2.6327999078574384
CD8 T Cell,ABCG2_ABCG2,43436,2.3022377751174143e-05,0.00042721010180518844,18.556297982010165,2.973667,-3.6146525611471794
CD8 T Cell,ABCB1_ABCB1,43436,9.208951100469657e-05,0.0021738101740126554,23.605404679603424,2.9896898,-1.0113115311111684
CD8 T Cell,SLC6A3_SLC6A3,43436,2.3022377751174143e-05,0.0007798815388284887,33.874934520554234,2.9974065,-0.04783740713628254
CD8 T Cell,SLC20A2_SLC20A2,43436,9.208951100469657e-05,0.0023708100116117863,25.74462591609239,2.8691869,-3.6801056226357955
CD8 T Cell,ATP7A_ATP7A,43436,0.0001151118887558707,0.002799307991333364,24.3181483823112,2.9260356,-2.295764920579868
CD8 T Cell,ATP7A_SLC20A2,43436,0.0,0.0,,2.9801686,-inf
CD8 T Cell,CHRNA5_SLC29A1,43436,0.0,0.0,,2.983391,-inf
CD8 T Cell,CHRNA5_CHRNA5,43436,0.0,0.0,,2.994301,-inf
CD8 T Cell,ABCC3_FOLR1,43436,0.0,0.0,,2.997252,-inf
CD8 T Cell,ABCC4_ABCC4,43436,6.906713325352243e-05,0.001591525529696788,23.043167635969894,2.9747882,-1.4807968144123886
CD8 T Cell,ABCC3_ABCC3,43436,0.0,0.0,,2.994904,-inf
CD8 T Cell,ABCC3_FOLR2,43436,2.3022377751174143e-05,0.0004649951361600819,20.197528734249317,2.9931562,-0.5838903073764923
CD8 T Cell,FOLR2_FOLR2,43436,0.00013813426650704486,0.0037147775070354655,26.89251263259875,2.99121,1.051698266414632
CD8 T Cell,FOLR1_FOLR1,43436,2.3022377751174143e-05,0.000574825835469137,24.96813498943743,2.9971669,-2.558799326413662
CD8 T Cell,TRPV6_TRPV6,43436,0.0,0.0,,2.9965363,-inf
CD8 T Cell,LRP1_TRPV6,43436,0.0,0.0,,2.9901466,-inf
CD8 T Cell,LRP1_LRP1,43436,0.0006216041992817018,0.014761693707132451,23.74773806900019,2.1122966,-4.060968773583393
CD8 T Cell,SLC29A3_SLC29A3,43436,4.6044755502348285e-05,0.0011545645829418281,25.07483361233062,2.982644,-1.3258221544360478
CD8 T Cell,SLC15A1_SLC15A1,43436,0.0,0.0,,2.997774,-inf
CD8 T Cell,CD38_CD38,43436,0.00016115664425821898,0.004473112270220109,27.75630065275438,2.9726713,-0.48840999852226413
CD8 T Cell,SLC12A2_SLC12A6,43436,6.906713325352243e-05,0.004662621828240613,58.471935582942706,2.9638157,-3.2257551993321254
CD8 T Cell,SLC12A6_SLC12A6,43436,0.0002302237775117414,0.006314199404190524,27.42635653204196,2.818792,-2.983297154941572
CD8 T Cell,SCARB1_SCARB1,43436,4.6044755502348285e-05,0.001580373186796663,34.322544870849924,2.9717655,-1.9926958529438215
CD8 T Cell,ABCC2_ABCC2,43436,0.0,0.0,,2.9968982,-inf
CD8 T Cell,ABCB1_ABCC4,43436,0.0,0.0,,2.9875815,-inf
CD8 T Cell,ABCC4_SLC16A1,43436,4.6044755502348285e-05,0.00193444468801149,42.01226973423354,2.987427,-2.50726902577358
CD8 T Cell,ABCC1_SLCO1B3,43436,2.3022377751174143e-05,0.000762486236751906,33.11935217955579,2.9788191,-4.168852808097649
CD8 T Cell,ABCC3_SLCO2B1,43436,2.3022377751174143e-05,0.00040899126521709204,17.76494459596961,2.9718833,-2.1688528080976486
CD8 T Cell,SLCO1B3_SLCO1B3,43436,0.0,0.0,,2.9935184,-inf
CD8 T Cell,ABCC3_SLCO1B3,43436,0.0,0.0,,2.9980114,-inf
CD8 T Cell,ABCB1_SLCO2B1,43436,0.0001151118887558707,0.007971576211283107,69.25067686265861,2.9613128,-0.28662426672339913
CD8 T Cell,ABCC1_SLC16A1,43436,0.0003913804217699604,0.016904356388577565,41.155721475902325,2.9509842,-2.4466062438669556
CD8 T Cell,ABCC1_ABCC4,43436,0.0002302237775117414,0.01362828407287211,59.1958146989273,2.9546597,-2.1588687195250267
CD8 T Cell,ABCC1_ABCC1,43436,0.0015655216870798416,0.043985304416741526,28.096260038905662,2.2642183,-2.2899466916513194
CD8 T Cell,ABCC1_ABCC3,43436,9.208951100469657e-05,0.0033778062559715804,36.67959813359539,2.973326,-2.2804981639265574
CD8 T Cell,SLCO1B1_SLCO1B3,43436,0.0,0.0,,2.9988916,-inf
CD8 T Cell,TAP1_TAP1,43436,0.0033382447739202506,0.09505075761456315,28.473273846525274,2.2353714,-1.6036535621979222
CD8 T Cell,ATP7A_TAP1,43436,0.00013813426650704486,0.017022002272327138,83.66720236074882,2.8886533,-1.8448503849724276
CD8 T Cell,AQP1_AQP1,43436,0.0020720139976056727,0.08594663860563055,41.47975771637965,2.2959223,-3.0909680080031157
CD8 T Cell,AQP1_ATP7B,43436,0.0,0.0,,2.9859204,-inf
CD8 T Cell,AQP7_AQP7,43436,0.00013813426650704486,0.003349381622634197,24.24729002678983,2.89553,-2.5418262478099485
CD8 T Cell,AQP5_AQP5,43436,2.3022377751174143e-05,0.00046086122502030964,20.01796816998217,2.9950607,-2.5332642343065244
CD8 T Cell,AQP1_AQP7,43436,0.00016115664425821898,0.006901232406237102,42.82313297104497,2.9420104,-3.2016427432153183
CD8 T Cell,AQP9_AQP9,43436,2.3022377751174143e-05,0.00023335887732025217,10.136176195282474,2.9952915,-2.6801056226357955
CD8 T Cell,AQP5_ATP7B,43436,0.0,0.0,,2.9967592,-inf
CD8 T Cell,ABCC1_SLC22A4,43436,0.00016115664425821898,0.0076428103816515445,47.42473024820236,2.96413,-2.132873510992082
CD8 T Cell,ABCC4_SLC22A5,43436,2.3022377751174143e-05,0.0014113979234020187,61.30548020089009,2.991731,-2.6801056226357955
CD8 T Cell,ABCC1_SLC22A5,43436,0.00020720139976056727,0.008661000361841992,41.79991241299653,2.9638526,-2.5713993631932954
CD8 T Cell,SLC24A1_SLC24A1,43436,6.906713325352243e-05,0.0023254937543115144,33.67004890409165,2.9718208,-1.4077333522226654
CD8 T Cell,CLCN4_CLCN5,43436,0.0,0.0,,2.994612,-inf
CD8 T Cell,CLCN3_CLCN3,43436,0.00013813426650704486,0.0035042161646671667,25.36818888808051,2.6481853,-4.631296317267052
CD8 T Cell,CLCN3_CLCN5,43436,2.3022377751174143e-05,0.0005752680907157109,24.98734478832762,2.9850183,-4.52357083810268
CD8 T Cell,CLCN5_CLCN5,43436,0.0,0.0,,2.9870431,-inf
CD8 T Cell,CLCN4_CLCN4,43436,2.3022377751174143e-05,0.000374440385780928,16.26419259678039,2.987341,-2.66842381758816
CD8 T Cell,CLCN3_CLCN4,43436,2.3022377751174143e-05,0.0007728784512579484,33.570748408840245,2.9875302,-4.580777695509156
CD8 T Cell,SLC9A3_SLC9A3,43436,2.3022377751174143e-05,0.0003331968442087497,14.47273812505125,2.992223,-1.217762408578595
CD8 T Cell,SLC9A1_SLC9A1,43436,6.906713325352243e-05,0.0013152146817671257,19.04255497241229,2.8770208,-3.3959753813464935
CD8 T Cell,SLC6A5_SLC6A9,43436,0.0,0.0,,2.997335,-inf
CD8 T Cell,SLC6A9_SLC6A9,43436,2.3022377751174143e-05,0.00043067797427104527,18.70692849043712,2.90118,-5.431541699610334
CD8 T Cell,SLC26A3_SLC26A3,43436,0.0,0.0,,2.9989653,-inf
CD8 T Cell,SLC26A2_SLC26A2,43436,9.208951100469657e-05,0.002118000685191656,22.999369440496196,2.8858824,-2.9083036656534493
CD8 T Cell,ORAI2_ORAI2,43436,0.0002302237775117414,0.0052017296982234335,22.594233117203306,2.9365976,-0.39266590413372404
CD8 T Cell,ORAI3_ORAI3,43436,0.0003913804217699604,0.0096890611380637,24.75612115252558,2.5312438,-3.3436468490616966
CD8 T Cell,SCNN1G_SCNN1G,43436,2.3022377751174143e-05,0.0004463244268187758,19.386547803300346,2.9875941,-4.369765502023645
CD8 T Cell,SCNN1A_SCNN1A,43436,0.00016115664425821898,0.002529675411235826,15.696997308919906,2.4060657,-6.240905087739774
CD8 T Cell,SCNN1A_SCNN1G,43436,4.6044755502348285e-05,0.0029473976434000308,64.01158201936187,2.9923556,-4.843552413638012
CD8 T Cell,SLC23A2_SLC23A2,43436,4.6044755502348285e-05,0.0010902500997646096,23.678051666687793,2.933545,-2.786605243936474
other,SLC2A1_SLC2A2,796951,0.0002760521035797684,0.023184677518226532,37.04494178064833,2.9122007,0.05702263484503758
other,SLC2A1_SLC2A1,796951,0.088197392311447,4.737321282884502,53.53666586330532,1.4139503,0.07401994009635163
other,SLC2A1_SLC2A9,796951,0.0034117530437881376,0.2732205846047678,38.503539486985524,2.7823257,0.07232427235017953
other,SLC2A3_SLC2A3,796951,0.016630884458392045,0.4755122837152493,28.592122379594965,1.9923317,0.01435519980052719
other,SLC2A9_SLC2A9,796951,0.0005960215872744999,0.008609896483037685,14.445611814849192,2.9442844,0.07352876115104937
other,SLC7A5_SLC7A5,796951,0.0018420204002504545,0.04045671890491944,21.963230645772786,2.8973162,0.05995185839576724
other,SLC1A5_SLC3A2,796951,0.004170896328632501,0.2801027623716489,39.00993792112864,2.7653923,0.0704992486484286
other,SLC3A2_SLC3A2,796951,0.002642571500631783,0.04050501005725788,15.3278766714823,2.686147,0.06904698825881044
other,SLC7A7_SLC7A7,796951,0.0005671615946275241,0.010669754845353617,18.81254821628188,2.9491107,0.048118843226532565
other,SLC1A5_SLC7A5,796951,0.0036413782026749448,0.1428470842675659,34.63472302961256,2.8413522,0.07011445721956845
other,SLC3A2_SLC7A5,796951,0.0010075901780661545,0.03617682963758648,34.6960395228197,2.9224613,0.06760751600620243
other,SLC1A5_SLC1A5,796951,0.03181249537299031,0.7222290619151611,22.70268501251724,1.8529199,0.07258500822507417
other,SLC38A7_SLC7A5,796951,0.00012045909974389894,0.0049496551764077095,39.49051482140876,2.9779105,0.06161247977471138
other,SLC1A5_SLC38A7,796951,0.0007817293660463442,0.0243487235595855,28.458488562843673,2.9212587,0.06503042537305767
other,SLC43A2_SLC43A2,796951,0.00047305292295260313,0.008231941436634369,17.401734641557553,2.9152906,0.06512792617839924
other,SLC1A5_SLC7A11,796951,0.0003739251221216863,0.011673196432235041,28.998599366442438,2.9490604,0.06691265120696357
other,SLC1A5_SLC43A2,796951,0.002780597552421667,0.09241749993594399,30.022801177737595,2.8441434,0.06553745146739753
other,SLC16A1_SLC16A1,796951,0.0009536345396391999,0.015378331200960075,16.12602161702149,2.9130166,0.07087918273710016
other,SLC16A4_SLC16A4,796951,0.00011669475287690209,0.002462671735149125,21.10353443009495,2.9813054,0.03075913162755779
other,SLCO2A1_SLCO2A1,796951,0.019376348106721744,0.8055128766505804,41.571965584740106,2.2771966,0.0695727802355259
other,SLC16A1_SLC22A5,796951,0.00034130078260771366,0.0095505369446707,27.98275723747154,2.9658341,0.07656282124068267
other,SLC22A5_SLC22A5,796951,0.00034130078260771366,0.005175795373084112,15.164909185201308,2.9687104,0.07126852157116978
other,SLCO2B1_SLCO2B1,796951,0.0012171388203289788,0.027779974488105364,22.823998400278413,2.8723676,0.02829786770299213
other,SLC1A3_SLC1A3,796951,0.00014555474552387787,0.0025083158417725957,17.232800158763034,2.993786,0.0519007670064137
other,SLC1A3_SLC1A5,796951,0.00033126252429572205,0.034377197425258396,62.19299233683701,2.902712,0.07110839114857449
other,SLC1A2_SLC1A5,796951,0.00017441473817085367,0.01969798432455642,64.53283203744364,2.9166605,0.025578892521877918
other,SLC16A1_SLC3A2,796951,0.0006411937496784621,0.03531252699009566,39.13215922146234,2.9085994,0.06251504675505007
other,SLC1A1_SLC1A1,796951,3.136955722497368e-05,0.0005524663420915944,17.61154415184953,2.997535,0.07656282124068267
other,SLC16A1_SLC1A3,796951,0.0001593573507028663,0.004313151084788555,27.06590606435688,2.9813383,0.042879694984394034
other,SLC16A1_SLC1A5,796951,0.0014003370345228251,0.15171960073574708,63.089350225560665,2.7857754,0.0739796602266802
other,SLC1A1_SLC7A11,796951,1.1293040600990525e-05,0.0004879353033526687,43.20672532691252,2.9974816,-0.07544027220436739
other,SLC1A3_SLC3A2,796951,0.00015057387467987368,0.008859291718399205,39.94695736569993,2.9603202,0.052716079286314964
