,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
26,Exhausted/Activated CD8 T cell (CTLA4+),Exhausted/Activated CD8 T cell (CTLA4+),Arachidonic acid,134.6755,1.9186569745810766,0.027513879999645052,0.14320477301020076,62.257267,0.007992007992007992,0.02278909209602279,True
45,Exhausted/Activated CD8 T cell (CTLA4+),Exhausted/Activated CD8 T cell (CTLA4+),D-Galactose,77.813705,0.6400356843327251,0.2610747001953311,0.5813541715360231,523.1701,0.006993006993006993,0.02090642921092748,True
46,Exhausted/Activated CD8 T cell (CTLA4+),Exhausted/Activated CD8 T cell (CTLA4+),D-Glucose,78.29439,0.49883205029164157,0.3089488533152047,0.5813541715360231,523.1701,0.006993006993006993,0.02090642921092748,True
48,Exhausted/Activated CD8 T cell (CTLA4+),Exhausted/Activated CD8 T cell (CTLA4+),D-Maltose,80.8604,1.15197907361029,0.12466483630968611,0.5759915431634696,523.1701,0.005994005994005994,0.018495789924361353,True
49,Exhausted/Activated CD8 T cell (CTLA4+),Exhausted/Activated CD8 T cell (CTLA4+),D-Mannose,77.813705,0.6400356843327251,0.2610747001953311,0.5813541715360231,523.1701,0.006993006993006993,0.02090642921092748,True
50,Exhausted/Activated CD8 T cell (CTLA4+),Exhausted/Activated CD8 T cell (CTLA4+),D-Xylose,80.8604,1.15197907361029,0.12466483630968611,0.5759915431634696,523.1701,0.005994005994005994,0.018495789924361353,True
51,Exhausted/Activated CD8 T cell (CTLA4+),Exhausted/Activated CD8 T cell (CTLA4+),Dehydroascorbic acid,77.60828,0.781810968566514,0.2171628369715598,0.5813541715360231,523.1701,0.006993006993006993,0.02090642921092748,True
54,Exhausted/Activated CD8 T cell (CTLA4+),Exhausted/Activated CD8 T cell (CTLA4+),Docosahexaenoic acid,77.60828,0.781810968566514,0.2171628369715598,0.5813541715360231,523.1701,0.006993006993006993,0.02090642921092748,True
57,Exhausted/Activated CD8 T cell (CTLA4+),Exhausted/Activated CD8 T cell (CTLA4+),Eicosanoid,134.6755,1.9186569745810766,0.027513879999645052,0.14320477301020076,62.257267,0.007992007992007992,0.02278909209602279,True
118,Exhausted/Activated CD8 T cell (CTLA4+),Exhausted/Activated CD8 T cell (CTLA4+),Prostaglandins,135.29114,1.3628971077723604,0.0864574701835738,0.41731426948942885,62.257267,0.008991008991008992,0.02450546299126741,True
120,Exhausted/Activated CD8 T cell (CTLA4+),Exhausted/Activated CD8 T cell (CTLA4+),Pyruvate,136.411,1.3741783414621527,0.08469316146394129,0.4110948960946364,62.257267,0.013986013986013986,0.03413535616925448,True
189,Exhausted/Activated CD8 T cell (CTLA4+),Memory CD8 T cell,D-Galactose,77.05108,0.5266488104723319,0.29921874477498944,0.5813541715360231,692.9965,0.003996003996003996,0.013127556853792596,True
190,Exhausted/Activated CD8 T cell (CTLA4+),Memory CD8 T cell,D-Glucose,74.14626,0.39256111375421093,0.34732183258937216,0.5813541715360231,692.9965,0.003996003996003996,0.013127556853792596,True
192,Exhausted/Activated CD8 T cell (CTLA4+),Memory CD8 T cell,D-Maltose,58.950794,0.6978991539148655,0.242620131782399,0.5813541715360231,654.653,0.004995004995004995,0.015925034375218878,True
193,Exhausted/Activated CD8 T cell (CTLA4+),Memory CD8 T cell,D-Mannose,77.05108,0.5266488104723319,0.29921874477498944,0.5813541715360231,692.9965,0.003996003996003996,0.013127556853792596,True
194,Exhausted/Activated CD8 T cell (CTLA4+),Memory CD8 T cell,D-Xylose,58.950794,0.6978991539148655,0.242620131782399,0.5813541715360231,654.653,0.004995004995004995,0.015925034375218878,True
195,Exhausted/Activated CD8 T cell (CTLA4+),Memory CD8 T cell,Dehydroascorbic acid,76.649254,0.6416466703306999,0.2605513115020529,0.5813541715360231,692.9965,0.003996003996003996,0.013127556853792596,True
198,Exhausted/Activated CD8 T cell (CTLA4+),Memory CD8 T cell,Docosahexaenoic acid,76.649254,0.6416466703306999,0.2605513115020529,0.5813541715360231,692.9965,0.003996003996003996,0.013127556853792596,True
293,Exhausted/Activated CD8 T cell (CTLA4+),other,"3',4'-Dihydrodiol",1355.9539,2.9055071954573055,0.0018332920931215008,0.010923892196255012,81.160065,0.005994005994005994,0.018495789924361353,True
298,Exhausted/Activated CD8 T cell (CTLA4+),other,4-Hydroxycyclophosphamide,127.514175,0.47325601075090046,0.3180152708652317,0.5813541715360231,47.88289,0.02097902097902098,0.04833566433566434,True
303,Exhausted/Activated CD8 T cell (CTLA4+),other,8-Hydroxycarvedilol,127.514175,0.47325601075090046,0.3180152708652317,0.5813541715360231,47.88289,0.02097902097902098,0.04833566433566434,True
305,Exhausted/Activated CD8 T cell (CTLA4+),other,Acetate,663.44336,1.421611394732503,0.07756954751019811,0.38297193742177804,687.8166,0.000999000999000999,0.004640520769553028,True
314,Exhausted/Activated CD8 T cell (CTLA4+),other,Arachidonic acid,621.9202,2.308194243513368,0.010494167602839041,0.057751342731547334,994.42285,0.000999000999000999,0.004640520769553028,True
326,Exhausted/Activated CD8 T cell (CTLA4+),other,Citric acid,573.9505,2.130159437924979,0.016579226278382805,0.0876917473339481,600.72955,0.000999000999000999,0.004640520769553028,True
333,Exhausted/Activated CD8 T cell (CTLA4+),other,D-Galactose,839.2201,1.7982617953989333,0.036067765478972356,0.18330911396371832,7892.6025,0.000999000999000999,0.004640520769553028,True
334,Exhausted/Activated CD8 T cell (CTLA4+),other,D-Glucose,932.9355,1.5484752995881463,0.06075395208862443,0.30341858152931506,7987.4863,0.000999000999000999,0.004640520769553028,True
336,Exhausted/Activated CD8 T cell (CTLA4+),other,D-Maltose,304.75,1.1310489112830588,0.1290172527430321,0.5813541715360231,5294.7407,0.000999000999000999,0.004640520769553028,True
337,Exhausted/Activated CD8 T cell (CTLA4+),other,D-Mannose,839.2201,1.7982617953989333,0.036067765478972356,0.18330911396371832,7892.6025,0.000999000999000999,0.004640520769553028,True
338,Exhausted/Activated CD8 T cell (CTLA4+),other,D-Xylose,304.75,1.1310489112830588,0.1290172527430321,0.5813541715360231,5294.7407,0.000999000999000999,0.004640520769553028,True
