,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
3,SLC2A1,SLC2A2,-10320.755818772923,-3.2344644372375524,0.9993906445148101,1.0,-0.008505830529478526,18639.52373318913,0.001998002,0.006968640921092251,0.0020722386857408345,True
5,SLC2A1,SLC2A1,360446.8886112708,129.61078306337149,0.0,0.0,0.2970615915385362,3781177.806317026,0.000999001,0.0036945811779928745,0.42037033993326123,True
6,SLC2A1,SLC2A9,18280.545326184016,5.72901585786004,5.0507476252607085e-09,5.0390017005507996e-08,0.015065875335228981,218216.55822532848,0.000999001,0.0036945811779928745,0.02426010451214326,True
7,SLC2A3,SLC2A3,125164.62644931997,45.007144626586935,0.0,0.0,0.057613046981876304,398174.2152971638,0.000999001,0.0036945811779928745,0.08449406850973956,True
12,SLC2A9,SLC2A9,12789.240415883836,4.598800870427573,2.1246484947231394e-06,1.6572258258840488e-05,0.006474721709639134,6876.210898151468,0.000999001,0.0036945811779928745,0.015632118017194038,True
15,SLC7A5,SLC7A5,51438.11024818497,18.49629989664674,1.1057246842343172e-76,3.9529657461376843e-75,0.025370252991194282,32655.128076008845,0.000999001,0.0036945811779928745,0.04615066328242299,True
16,SLC1A5,SLC3A2,40012.40545641564,13.628874075552496,1.3485465319112079e-42,3.214035901055045e-41,0.022231288390107625,224090.57720802937,0.000999001,0.0036945811779928745,0.057871435663771405,True
19,SLC3A2,SLC3A2,14376.550043705734,5.169571350979286,1.1731577078918555e-07,1.0271115442563387e-06,0.006966743263695871,32594.069736276295,0.000999001,0.0036945811779928745,0.02628783079860644,True
22,SLC7A7,SLC7A7,20778.206634799244,7.4715019540458885,3.964229557511828e-14,5.001924941684042e-13,0.009167954885370077,8722.351977365277,0.000999001,0.0036945811779928745,0.016090351161585168,True
23,SLC1A5,SLC7A5,-3016.78822260305,-1.027566984025808,0.8479232192981546,0.9536161953830596,-0.001676157387278874,114456.3303504105,0.000999001,0.0036945811779928745,0.029558369837372228,True
24,SLC3A2,SLC7A5,-1787.0626009780995,-0.6229319638095765,0.7333353839028025,0.8812349571268971,-0.0008659940179888842,29118.70596128951,0.000999001,0.0036945811779928745,0.023484873830677457,True
25,SLC1A5,SLC1A5,124767.74461943528,44.86443243685722,0.0,0.0,0.0693221934742046,577389.7920664195,0.000999001,0.0036945811779928745,0.14911102742830046,True
28,SLC38A7,SLC7A5,559.9248695415963,0.189603142858209,0.42481006212136285,0.7036429214288211,0.00023599245286883594,3986.9886268287037,0.002997003,0.010204081745108678,0.02213615886887028,True
29,SLC1A5,SLC38A7,-6819.771285545061,-2.3093278038750378,0.9895373010432342,1.0,-0.003789132407164927,19600.907004391323,0.001998002,0.006968640921092251,0.005061938091235166,True
30,SLC43A2,SLC43A2,8497.384254142064,3.0555198615058248,0.0011233536087764068,0.006258684391754267,0.003642424000727598,6636.169777939598,0.000999001,0.0036945811779928745,0.009815065095724091,True
31,SLC1A5,SLC7A11,-1769.434351395238,-0.592745185664655,0.7233241517405896,0.8765510722560228,-0.0009831152340010905,9389.405771909853,0.0099900095,0.03128258442764517,0.0024248158883793318,True
32,SLC1A5,SLC43A2,-5461.831738093842,-1.851291194279001,0.9679361638860626,1.0,-0.0030346477579327284,74573.14146853524,0.000999001,0.0036945811779928745,0.019258528459834886,True
37,SLC16A1,SLC16A1,13005.590031746193,4.676596640105089,1.4583758765416952e-06,1.1804589642195986e-05,0.0065594220316403705,12328.077292704567,0.000999001,0.0036945811779928745,0.021099655416864448,True
