,Metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",43874.683620287,4.771460504456992,9.144742379078527e-07,1.4524002602065896e-06,8368.363633638412,0.000999001,0.0011643032901819876,True
1,17a-Ethynylestradiol,24163.112510804858,3.384729935819678,0.00035624158347163346,0.0004932575771145694,4700.835817287216,0.000999001,0.0011643032901819876,True
2,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",43874.683620287,4.771460504456992,9.144742379078527e-07,1.4524002602065896e-06,8368.363633638412,0.000999001,0.0011643032901819876,True
3,2-Hydroxychlorpropamide,27457.033792982686,5.4970866511874386,1.930584993259297e-08,4.738708619818274e-08,3845.9343910827183,0.000999001,0.0011643032901819876,True
4,25-Hydroxycholesterol,54557.14975938102,19.617855294195742,5.4424780259539424e-86,4.198483048593042e-85,102518.04596899266,0.000999001,0.0011643032901819876,True
5,"3',4'-Dihydrodiol",34486.44797785822,4.832781490881217,6.731927036099881e-07,1.3139423853592537e-06,5443.290040994847,0.000999001,0.0011643032901819876,True
6,3-Sulfodeoxycholic acid,43874.683620287,4.771460504456992,9.144742379078527e-07,1.4524002602065896e-06,8368.363633638412,0.000999001,0.0011643032901819876,True
7,"3alpha,7alpha-Dihydroxycoprostanic acid",43874.683620287,4.771460504456992,9.144742379078527e-07,1.4524002602065896e-06,8368.363633638412,0.000999001,0.0011643032901819876,True
8,3b-Hydroxy-5-cholenoic acid,43874.683620287,4.771460504456992,9.144742379078527e-07,1.4524002602065896e-06,8368.363633638412,0.000999001,0.0011643032901819876,True
9,4'-Hydroxydiclofenac,65189.86405108807,7.13826653879389,4.725761385725833e-13,1.3431111306799736e-12,167682.96486415187,0.000999001,0.0011643032901819876,True
10,4-Hydroxycyclophosphamide,14770.449888922234,5.311211267982734,5.4449498483460565e-08,1.208331336208303e-07,2987.09132211052,0.000999001,0.0011643032901819876,True
11,4-Hydroxyvalsartan,34008.15596087305,6.907068825993786,2.4738496456680388e-12,6.679394043303705e-12,5999.0216642655305,0.000999001,0.0011643032901819876,True
12,4-ene-Valproic acid,17847.642468900718,3.7119117325748756,0.00010284986288888155,0.00014488415467825053,24082.291921594624,0.000999001,0.0011643032901819876,True
13,5-Hydroxyomeprazole,56129.98442158531,7.927260353739287,1.1201664159065367e-15,3.2993992613974352e-15,15105.397611545857,0.000999001,0.0011643032901819876,True
