sample_id,tier,cell_type_1,cell_type_2,gene1,gene2,tcell_involvement,metabolites,FDR_np,pval_np,C_np
Human_Cervical_Cancer,Tier1,T Cell,other,SLC2A1,SLC2A2,Tcell_interface,D-Galactose | D-Glucose | D-Mannose | Glucosamine,0.0032674092824468,0.0009990009990009,5631.336
Human_Cervical_Cancer,Tier1,T Cell,other,SLC2A3,SLC2A3,Tcell_interface,D-Galactose | D-Glucose | D-Maltose | D-Mannose | D-Xylose | Dehydroascorbic acid | Docosahexaenoic acid,0.0032674092824468,0.0009990009990009,15965.394
Human_Cervical_Cancer,Tier1,T Cell,other,SLCO2A1,SLCO2A1,Tcell_interface,Arachidonic acid | Eicosanoid | Prostaglandins | Pyruvate,0.0032674092824468,0.0009990009990009,3160.983
Human_Cervical_Cancer,Tier1,T Cell,other,SLCO2B1,SLCO2B1,Tcell_interface,Acetate | Citric acid | Estradiol | Nicotinate | Oxalic acid | Taurocholic acid,0.0032674092824468,0.0009990009990009,971.4343
Human_Cervical_Cancer,Tier1,T Cell,other,CUBN,SLC40A1,Tcell_interface,Iron,0.0032674092824468,0.0009990009990009,6788.276
Human_Cervical_Cancer,Tier1,T Cell,other,ABCA1,ABCA1,Tcell_interface,25-Hydroxycholesterol,0.0032674092824468,0.0009990009990009,1012.2787
Human_Cervical_Cancer,Tier1,T Cell,other,FOLR2,FOLR2,Tcell_interface,Folic acid,0.0032674092824468,0.0009990009990009,176.63281
Human_Cervical_Cancer,Tier1,T Cell,other,AQP7,AQP7,Tcell_interface,Water,0.0032674092824468,0.0009990009990009,3339.429
Human_Cervical_Cancer,Tier1,T Cell,other,SLC40A1,SLC40A1,Tcell_interface,Iron,0.0089294267376459,0.0029970029970029,2127.7395
Human_Cervical_Cancer,Tier1,T Cell,other,MSR1,MSR1,Tcell_interface,Fatty acid,0.0089294267376459,0.0029970029970029,434.8812
Human_Cervical_Cancer,Tier1,T Cell,other,TAP1,TAP1,Tcell_interface,Adenosine triphosphate,0.0089294267376459,0.0029970029970029,3723.6636
Human_Cervical_Cancer,Tier1,T Cell,other,SLC1A3,SLC1A3,Tcell_interface,D-Aspartate | L-Aspartate | L-Glutamate | Malic acid,0.0186623192758162,0.0069930069930069,62.185863
Human_Cervical_Cancer,Tier1,T Cell,other,SLC1A5,SLC43A2,Tcell_interface,L-Cysteine | L-Leucine,0.0224775224775224,0.0089910089910089,490.26065
Human_Cervical_Cancer,Tier1,T Cell,other,SLCO1C1,SLCO1C1,Tcell_interface,"3',4'-Dihydrodiol | 4'-Hydroxydiclofenac | Estrone sulfate | Taurocholic acid | Thyroxine",0.0224775224775224,0.0089910089910089,33.277172
Human_Cervical_Cancer,Tier1,T Cell,other,SLC1A5,SLC5A1,Tcell_interface,Sodium,0.0245517194669737,0.0099900099900099,156.85925
Human_Cervical_Cancer,Tier1,T Cell,other,SLC7A5,SLC7A5,Tcell_interface,L-Arginine | L-Glutamine | L-Histidine | L-Leucine | L-Methionine | L-Phenylalanine | L-Tyrosine,0.0356201175873307,0.0149850149850149,229.47693
Human_Cervical_Cancer,Tier1,T Cell,other,ABCC4,ABCC4,Tcell_interface,4'-Hydroxydiclofenac | Cholic acid | Cyclic AMP | Folic acid | Folinic acid | Glutathione | Hydroxycelecoxib | O-Desmethylverapamil (D-702) | Taurocholic acid,0.0388821704611178,0.0169830169830169,83.04994
Human_Cervical_Cancer,Tier1,T Cell,other,CD38,CD38,Tcell_interface,Adenosine diphosphate ribose,0.0407405094905094,0.0179820179820179,200.84224
Human_Cervical_Cancer,Tier1,T Cell,other,SLC39A8,SLC39A8,Tcell_interface,Cadmium | Manganese | Zinc,0.0497263930099751,0.0229770229770229,480.3931
Human_Cervical_Cancer,Tier1,T Cell,T Cell,SLC2A3,SLC2A3,within_Tcell,D-Galactose | D-Glucose | D-Maltose | D-Mannose | D-Xylose | Dehydroascorbic acid | Docosahexaenoic acid,0.0032674092824468,0.0009990009990009,2954.4563
Human_Cervical_Cancer,Tier1,T Cell,T Cell,CUBN,SLC40A1,within_Tcell,Iron,0.0032674092824468,0.0009990009990009,870.09656
Human_Cervical_Cancer,Tier1,T Cell,T Cell,SLC22A4,SLC5A1,within_Tcell,Sodium,0.0186623192758162,0.0069930069930069,33.759533
Human_Cervical_Cancer,Tier1,T Cell,T Cell,AQP7,AQP7,within_Tcell,Water,0.0371820692676307,0.0159840159840159,126.306595
Human_Cervical_Cancer,Tier1,T Cell,T Cell,SLC24A1,SLC24A1,within_Tcell,Sodium_calcium_potassium exchange,0.0388821704611178,0.0169830169830169,68.39631
Human_Cervical_Cancer,Tier1,other,other,SLC2A9,SLC2A9,within_other,D-Glucose,0.0032674092824468,0.0009990009990009,9241.5625
Human_Cervical_Cancer,Tier1,other,other,SLC2A1,SLC2A2,within_other,D-Galactose | D-Glucose | D-Mannose | Glucosamine,0.0032674092824468,0.0009990009990009,3769724.8
Human_Cervical_Cancer,Tier1,other,other,SLC2A1,SLC2A9,within_other,D-Glucose,0.0032674092824468,0.0009990009990009,108581.16
