,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,CD4 T Cell,CD4 T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",-219.94855,-0.4854962313239673,0.6863378073199616,0.7771766347593684,1812.6737,0.000999000999000999,0.0024164317358034634,True
2,CD4 T Cell,CD4 T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",-219.94855,-0.4854962313239673,0.6863378073199616,0.7771766347593684,1812.6737,0.000999000999000999,0.0024164317358034634,True
4,CD4 T Cell,CD4 T Cell,25-Hydroxycholesterol,8069.7124,35.624831408731715,2.890939589027522e-278,3.816040257516329e-277,122127.53,0.000999000999000999,0.0024164317358034634,True
6,CD4 T Cell,CD4 T Cell,3-Sulfodeoxycholic acid,-219.94855,-0.4854962313239673,0.6863378073199616,0.7771766347593684,1812.6737,0.000999000999000999,0.0024164317358034634,True
7,CD4 T Cell,CD4 T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",-219.94855,-0.4854962313239673,0.6863378073199616,0.7771766347593684,1812.6737,0.000999000999000999,0.0024164317358034634,True
8,CD4 T Cell,CD4 T Cell,3b-Hydroxy-5-cholenoic acid,-219.94855,-0.4854962313239673,0.6863378073199616,0.7771766347593684,1812.6737,0.000999000999000999,0.0024164317358034634,True
9,CD4 T Cell,CD4 T Cell,4'-Hydroxydiclofenac,3622.912,7.152659594121678,4.2556243022582246e-13,1.6876381353161374e-12,14547.671,0.000999000999000999,0.0024164317358034634,True
13,CD4 T Cell,CD4 T Cell,5-Hydroxyomeprazole,292.4306,0.6454871259462203,0.2593057792627305,0.4270918717268503,2009.835,0.000999000999000999,0.0024164317358034634,True
14,CD4 T Cell,CD4 T Cell,5-Methyltetrahydrofolic acid,2110.1897,9.315716404428095,6.0566139220234935e-21,2.7035320115699074e-20,1973.8925,0.000999000999000999,0.0024164317358034634,True
16,CD4 T Cell,CD4 T Cell,ADP,207.75832,0.64854210872593,0.25831719239406525,0.42622336745020767,1234.591,0.000999000999000999,0.0024164317358034634,True
17,CD4 T Cell,CD4 T Cell,Acetate,7585.9795,16.744663688434876,3.096976765661417e-63,1.9600044736103763e-62,254583.84,0.000999000999000999,0.0024164317358034634,True
20,CD4 T Cell,CD4 T Cell,Adenine,3053.271,13.479075716430566,1.0384616110437166e-41,5.745739692241882e-41,20463.295,0.000999000999000999,0.0024164317358034634,True
21,CD4 T Cell,CD4 T Cell,Adenosine,1560.9149,6.8908689664170275,2.772629998846956e-12,1.0542839995615585e-11,22905.852,0.000999000999000999,0.0024164317358034634,True
22,CD4 T Cell,CD4 T Cell,Adenosine diphosphate ribose,2977.2917,13.143655100765752,9.253337429844488e-40,5.089335586414468e-39,2553.6042,0.000999000999000999,0.0024164317358034634,True
