cell_type,metabolite,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
CD4 T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,17a-Ethynylestradiol,34384,0.0003489995346672871,0.0034716829636094867,9.947528918395717,2.796108403970616,-2.027417360204625
CD4 T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,2-Hydroxychlorpropamide,34384,0.0002908329455560726,0.0030871013259353873,10.614689199096237,2.818260164663657,-1.9694341760982166
CD4 T Cell,25-Hydroxycholesterol,34384,0.13599348534201955,4.589040905811577,31.509465356818296,1.3570403522077528,1.5131340222569254
CD4 T Cell,"3',4'-Dihydrodiol",34384,0.0005234993020009306,0.007357336977825627,14.054148591419796,2.7847595064991597,-1.5511904990243501
CD4 T Cell,3-Sulfodeoxycholic acid,34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,3b-Hydroxy-5-cholenoic acid,34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,4'-Hydroxydiclofenac,34384,0.007794322940902746,1.3294003475810878,35.45446863333215,1.0576977657839657,-0.20464642993784884
CD4 T Cell,4-Hydroxycyclophosphamide,34384,0.0002908329455560726,0.0030871013259353873,10.614689199096237,2.8213370952149197,-1.8947148227185115
CD4 T Cell,4-Hydroxyvalsartan,34384,0.0,0.0,,2.996619067824351,-inf
CD4 T Cell,4-ene-Valproic acid,34384,0.004798743601675198,0.030404647598873374,6.3359600184221945,2.1030151534372443,-1.7068134462646447
CD4 T Cell,5-Hydroxyomeprazole,34384,0.015239646347138204,0.27348827227093964,14.951559730746268,1.3171217350546272,-2.3312783692276184
CD4 T Cell,5-Methyltetrahydrofolic acid,34384,0.019834806886924152,0.7891586980460301,31.103659156981575,0.9972205600735528,-2.4035700495385406
CD4 T Cell,8-Hydroxycarvedilol,34384,0.0002908329455560726,0.0030871013259353873,10.614689199096237,2.8213370952149197,-1.8947148227185115
CD4 T Cell,ADP,34384,0.012796649604467194,0.09631004488280372,7.526192234659825,1.8093575554573855,-1.008011754033762
CD4 T Cell,Acetate,34384,0.23225919032107958,10.289558781084413,37.34907589759048,1.2901787507276046,2.139947925057583
CD4 T Cell,Acetyl-L-Carnitine,34384,0.0034027454630060493,0.020352182924478324,5.981106475856946,2.1163454573738467,-2.1614859346266577
CD4 T Cell,Acetylcholine,34384,2.908329455560726e-05,0.0004016339909402823,13.809783144490666,2.997855002617019,0.432014258432672
CD4 T Cell,Adenine,34384,0.05624709167054444,0.6971539531433487,12.39448889600874,2.1143326966983538,1.8862025844111083
CD4 T Cell,Adenosine,34384,0.050255932992089344,1.2312307410043788,18.803471557796207,1.1640981595041084,-0.15489501179568793
CD4 T Cell,Adenosine diphosphate ribose,34384,0.019543973941368076,0.24989903028779742,12.786500383058968,1.898050697477333,-0.37636261949460403
CD4 T Cell,Adenosine triphosphate,34384,0.005613075849232201,7.2098256395165885,97.66047457372699,0.739176724068516,-1.0438591489609061
CD4 T Cell,Adenosylcobalamin,34384,0.00017449976733364356,0.0013060703634666213,7.484653896239384,2.924252940115365,-1.7643829543708314
CD4 T Cell,Amiloride-sensitive sodium transport,34384,0.004536993950674732,0.3066288448036148,30.232068144569787,1.0303146860982337,-3.744489235333645
CD4 T Cell,Anion exchange,34384,0.0034027454630060493,0.02733239695620253,8.032454161898015,2.21920304447897,-1.0500323414549162
CD4 T Cell,Betaine,34384,0.00037808282922289436,0.0016170192721437233,4.276891588722291,2.9926187166631633,2.0169767591538283
CD4 T Cell,Bilirubin,34384,5.816658911121452e-05,0.0003845816376740995,6.6117275148931185,2.971409027521268,-2.3924141769838734
CD4 T Cell,Butyrate,34384,0.0013959981386691485,0.010052464674395063,7.200915528424996,2.9279163400187405,1.6361549752128974
CD4 T Cell,Cadmium,34384,0.014687063750581666,0.35573828912156125,17.2708338996743,1.2335231615584723,-1.7194888045423797
CD4 T Cell,Calcidiol,34384,0.00031991624011167984,0.0030283328183104852,9.466017784071612,2.8846133518021735,-2.039291460492917
CD4 T Cell,Calcium,34384,0.00017449976733364356,0.0013060703634666213,7.484653896239384,2.924252940115365,-1.7643829543708314
CD4 T Cell,Calcium release-activated calcium transport,34384,0.002675663099115868,0.6790761432687124,39.75422669766889,1.3216199671542246,-0.4762695724757129
CD4 T Cell,Chenodeoxycholic acid,34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,Chenodeoxycholic acid 3-sulfate,34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,Chloride,34384,0.0025302466263378317,0.42170871664987913,32.07736275959987,1.3162602659025358,-1.5596704733553244
CD4 T Cell,Chloride ion,34384,0.004653327128897162,0.4424670595897551,33.478298407582884,1.1094158147278717,-3.126406454835992
CD4 T Cell,Chloride_bicarbonate anion exchange,34384,2.908329455560726e-05,0.00033393566317419616,11.482043842581561,2.998087752475859,-0.9830232408461715
CD4 T Cell,Cholesterol,34384,0.032427873429502097,0.532824800184996,14.837591870914428,1.9837450651113386,1.213138124614212
CD4 T Cell,Cholic acid,34384,0.003344578873894835,2.7637264006262483,76.54896689096677,0.8301226716491908,-1.8701246258668052
CD4 T Cell,Choline,34384,0.0034027454630060493,0.02415588542481643,6.081396502543714,2.104724332250701,-2.166923660888531
CD4 T Cell,Citric acid,34384,0.26300023266635647,9.725688711961903,33.677167213693274,1.545165998235762,2.390654535031713
CD4 T Cell,Cobalamin,34384,0.00017449976733364356,0.0013060703634666213,7.484653896239384,2.924252940115365,-1.7643829543708314
CD4 T Cell,Coprocholic acid,34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,Cortisol,34384,0.0015414146114471848,0.01639022295802175,7.757095305188245,2.6978976034669584,0.2252609608738146
CD4 T Cell,Creatine,34384,0.0034027454630060493,0.020352182924478324,5.981106475856946,2.1163454573738467,-2.1614859346266577
CD4 T Cell,Cyclic AMP,34384,0.0027629129827826896,0.02277118996634251,8.241732587397061,2.4003968657020778,-1.2988640058546193
CD4 T Cell,Cytidine,34384,0.050255932992089344,1.2312307410043788,18.803471557796207,1.1640981595041084,-0.15489501179568793
CD4 T Cell,D-Aspartate,34384,0.016402978129362495,0.14731834411935185,8.981194936524458,2.7894450998894826,2.6057813261693785
CD4 T Cell,D-Galactose,34384,0.07986272684969753,5.800781890660338,43.843741118548266,0.9695490976520558,0.6463877653564409
CD4 T Cell,D-Glucose,34384,0.06116216845044207,6.851347996144937,55.08426559005255,0.9085577132305508,0.7217749786015578
CD4 T Cell,D-Lactate,34384,0.0013959981386691485,0.010052464674395063,7.200915528424996,2.9279163400187405,1.6361549752128974
CD4 T Cell,D-Maltose,34384,0.07739064681247092,5.560597773349818,42.913868072382755,0.9853862337112768,0.6228274734783321
CD4 T Cell,D-Mannose,34384,0.07986272684969753,5.800781890660338,43.843741118548266,0.9695490976520558,0.6463877653564409
CD4 T Cell,D-Xylose,34384,0.07739064681247092,5.560597773349818,42.913868072382755,0.9853862337112768,0.6228274734783321
CD4 T Cell,Dehydroascorbic acid,34384,0.07986272684969753,5.801547148648649,43.8464205140504,0.9695225595076625,0.6462861778451578
CD4 T Cell,Dehydroepiandrosterone,34384,0.0,0.0,,2.996619067824351,-inf
CD4 T Cell,Deoxycholic acid,34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,Digoxin,34384,0.0,0.0,,2.9986305590059583,-inf
CD4 T Cell,Docosahexaenoic acid,34384,0.07986272684969753,5.801547148648649,43.8464205140504,0.9695225595076625,0.6462861778451578
CD4 T Cell,Dopamine,34384,0.000785248953001396,0.07972228093879037,26.1154876787321,1.8712457434960361,-3.203983706689488
CD4 T Cell,E-3179,34384,0.0002908329455560726,0.0030871013259353873,10.614689199096237,2.8213370952149197,-1.8947148227185115
CD4 T Cell,Estradiol,34384,0.2324046067938576,10.114981467385542,37.189052560595634,1.4057714754542059,2.4205654270176056
CD4 T Cell,Estriol,34384,0.0002908329455560726,0.0030871013259353873,10.614689199096237,2.8213370952149197,-1.8947148227185115
CD4 T Cell,Estrone,34384,0.0,0.0,,2.9986305590059583,-inf
CD4 T Cell,Ethanol,34384,0.04583527221963704,1.2610054455579454,19.631544550459957,1.1456119359846368,-0.14345780036873942
CD4 T Cell,Fatty acid,34384,0.05552000930665426,15.450892269360759,110.1998563942943,1.105707697388461,1.4242260729943312
CD4 T Cell,Folic acid,34384,0.010062819916240112,3.1420114074628533,69.2124339660646,0.8201186265541089,-2.45537953121902
CD4 T Cell,Folinic acid,34384,0.004013494648673802,0.3815226812014177,32.078169740364565,1.2338651700195014,-3.2049955617066916
CD4 T Cell,Fusidic Acid,34384,5.816658911121452e-05,0.0003845816376740995,6.6117275148931185,2.9731165839263536,-2.2868039890232748
CD4 T Cell,GABA,34384,0.00037808282922289436,0.0016170192721437233,4.276891588722291,2.9853575503728065,0.9894960227317211
CD4 T Cell,Glucosamine,34384,0.021259888320148905,0.2409493752988259,11.32952947331742,1.9353948460707162,-0.20019029143540654
CD4 T Cell,Glutathione,34384,0.0034318287575616567,2.7518538076647245,76.30493362617295,0.8326742150343694,-1.806012578845745
CD4 T Cell,Glycerol,34384,0.0002908329455560726,0.0030871013259353873,10.614689199096237,2.8213370952149197,-1.8947148227185115
CD4 T Cell,Glycochenodeoxycholate-3-sulfate,34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,Glycyl-glycine,34384,0.0,0.0,,2.996326521041157,-inf
CD4 T Cell,Guanosine,34384,0.050255932992089344,1.2312307410043788,18.803471557796207,1.1640981595041084,-0.15489501179568793
CD4 T Cell,Heme,34384,0.07756514657980457,2.774878312199365,25.683994199712917,1.2565975587359266,0.9111438471417042
CD4 T Cell,Histamine,34384,0.0034027454630060493,0.020352182924478324,5.981106475856946,2.1163454573738467,-2.1614859346266577
CD4 T Cell,Hydroxycelecoxib,34384,0.0027629129827826896,0.02277118996634251,8.241732587397061,2.4003968657020778,-1.2988640058546193
CD4 T Cell,Hydroxylansoprazole,34384,0.0015414146114471848,0.01639022295802175,7.757095305188245,2.6978976034669584,0.2252609608738146
CD4 T Cell,Hyodeoxycholic acid,34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,Inosine,34384,0.050255932992089344,1.2312307410043788,18.803471557796207,1.1640981595041084,-0.15489501179568793
CD4 T Cell,Iron,34384,0.020009306654257795,36.70539540604609,251.6890707851143,0.4824464536754151,-0.5291998527076092
CD4 T Cell,Isoursodeoxycholic acid,34384,0.01390181479758027,0.2657492582461137,15.633758737010256,1.324731377185136,-2.396102303574628
CD4 T Cell,Ketone bodies,34384,0.0013959981386691485,0.010052464674395063,7.200915528424996,2.9279163400187405,1.6361549752128974
CD4 T Cell,L-Alanine,34384,0.022859469520707307,0.5369315737974775,16.573391305608936,1.1713803044903544,-1.198516103164935
CD4 T Cell,L-Arginine,34384,0.0052640763145649135,0.0528915062829374,9.706849614505572,2.370983951833192,-0.5785743765555232
CD4 T Cell,L-Asparagine,34384,0.022859469520707307,0.5369315737974775,16.573391305608936,1.1713803044903544,-1.198516103164935
