,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
4,CD4,CD4,SLC2A9,SLC2A9,1303.9948,16.774498537578683,1.8750571011794663e-63,1.2453867630159433e-61,0.23507840352755574,4753.519,0.000999000999000999,0.004735513449206395,1.97785950401169,True
39,CD4,CD4,SLC16A1,SLC1A3,246.06506,3.1653640049897653,0.000774445240723405,0.012253826080365899,0.03325674097261746,92.27839,0.000999000999000999,0.004735513449206395,0.18975280793472296,True
59,CD4,CD4,SLC40A1,SLC40A1,1164.429,14.979133765258045,5.025930671259381e-51,3.1204473906775637e-49,0.20599851096490718,49130.676,0.000999000999000999,0.004735513449206395,0.6569628869479889,True
93,CD4,CD4,SLC6A4,SLC6A4,389.43808,5.0097045987035855,2.725682255288911e-07,6.277861710568654e-06,0.07868865142105964,155.7801,0.000999000999000999,0.004735513449206395,0.1440964244848867,True
107,CD4,CD4,ABCA1,ABCA1,301.23273,3.875037024190437,5.330424456588315e-05,0.001021724311947398,0.05968269184284569,4951.931,0.000999000999000999,0.004735513449206395,0.2626354563218121,True
135,CD4,CD4,SLC22A1,SLC22A4,296.75125,3.8173876282081745,6.74360914222256e-05,0.0012712704759199756,0.03266910280786064,11.480959,0.014985014985014986,0.038143674507310876,0.0968866765385009,True
140,CD4,CD4,CD38,CD38,199.60744,2.5677363039866674,0.005118249654803447,0.06767463432462335,0.028473205732116678,337.82184,0.000999000999000999,0.004735513449206395,0.10388009313104855,True
144,CD4,CD4,SCARB1,SCARB1,301.68484,3.880853037928884,5.204536410591197e-05,0.0010009532652288525,0.07105337758166443,322.3949,0.003996003996003996,0.013858636809456483,0.10488526327942878,True
161,CD4,CD4,TAP1,TAP1,386.1697,4.967660492098104,3.3882734336822134e-07,7.710684403662472e-06,0.06321150320853859,3099.369,0.000999000999000999,0.004735513449206395,0.21822224876170704,True
178,CD4,CD4,ABCC4,SLC22A4,242.06485,3.1139055328451883,0.0009231429636416791,0.014526150436146752,0.04004499079611518,56.32104,0.006993006993006993,0.021056434340567184,0.05589767421067768,True
263,CD4,Cytotoxic CD4,SLC40A1,SLC40A1,8.516596,1.00369044523504,0.1577639219667517,0.7965653154208815,0.19192762401172156,316.71927,0.004995004995004995,0.016313018028283895,0.5814276673430915,True
296,CD4,Cytotoxic CD4,SLC12A2,SLC29A1,27.829668,3.2797578321368572,0.0005194811327490952,0.008382136243680316,0.8304656577630612,13.373322,0.011988011988011988,0.032027841195287406,1.03340900014899,True
312,CD4,Cytotoxic CD4,ABCG2,CD36,26.668537,3.142917242657223,0.0008363656259528603,0.013197017832714748,0.1520907731197972,15.049284,0.008991008991008992,0.025512490490135795,1.120663138631352,True
386,CD4,Cytotoxic CD4,CLCN3,CLCN5,10.790404,1.2716613443748606,0.10174673533226569,0.7441451372828445,0.2550278710240893,19.982643,0.01998001998001998,0.048215409432139464,0.6762297671032285,True
