,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,CD4,CD4,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",-23.88424,-0.15362260284310075,0.5610463429980614,0.768790652539845,69.17382,0.2987012987012987,0.41215999999999997,False
1,CD4,CD4,17a-Ethynylestradiol,-45.636223,-0.33893995512342184,0.63267251788371,0.7699394468702871,0.0,0.0919080919080919,0.17466183001661184,False
2,CD4,CD4,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",-23.88424,-0.15362260284310075,0.5610463429980614,0.768790652539845,69.17382,0.2987012987012987,0.41215999999999997,False
3,CD4,CD4,2-Hydroxychlorpropamide,-39.020424,-0.354936520871314,0.6386814261311631,0.7716431239780261,0.0,0.07192807192807193,0.14861228852604033,False
4,CD4,CD4,25-Hydroxycholesterol,301.23273,3.875037024190437,5.330424456588315e-05,0.0005923915014641447,4951.931,0.000999000999000999,0.005797701625427063,True
5,CD4,CD4,"3',4'-Dihydrodiol",-55.974625,-0.360026855306677,0.6405864746534271,0.7719104793751966,0.0,0.0999000999000999,0.18448361060780763,False
6,CD4,CD4,3-Sulfodeoxycholic acid,-23.88424,-0.15362260284310075,0.5610463429980614,0.768790652539845,69.17382,0.2987012987012987,0.41215999999999997,False
7,CD4,CD4,"3alpha,7alpha-Dihydroxycoprostanic acid",-23.88424,-0.15362260284310075,0.5610463429980614,0.768790652539845,69.17382,0.2987012987012987,0.41215999999999997,False
8,CD4,CD4,3b-Hydroxy-5-cholenoic acid,-23.88424,-0.15362260284310075,0.5610463429980614,0.768790652539845,69.17382,0.2987012987012987,0.41215999999999997,False
9,CD4,CD4,4'-Hydroxydiclofenac,317.35477,1.8257181236097393,0.033946365893390604,0.21368865654350405,813.7822,0.08291708291708291,0.16222253245846713,False
10,CD4,CD4,4-Hydroxycyclophosphamide,-35.907585,-0.4619126986789205,0.6779280364223439,0.7782149353655358,0.0,0.07192807192807193,0.14861228852604033,False
11,CD4,CD4,4-Hydroxyvalsartan,-7.7333593,-0.07034397333732767,0.5280400582464196,0.768790652539845,0.0,0.002997002997002997,0.01360323886639676,False
12,CD4,CD4,4-ene-Valproic acid,-84.418,-0.7678807140604902,0.7787209718900792,0.823404813827862,0.0,0.2897102897102897,0.4044126802300969,False
13,CD4,CD4,5-Hydroxyomeprazole,-74.99362,-0.4823563893599827,0.685223602166324,0.7782149353655358,69.17382,0.3306693306693307,0.44474302989586834,False
14,CD4,CD4,5-Methyltetrahydrofolic acid,29.172426,0.3752720788649814,0.3537290645778368,0.768790652539845,25.548752,0.6783216783216783,0.7448238036473331,False
15,CD4,CD4,8-Hydroxycarvedilol,-35.907585,-0.4619126986789205,0.6779280364223439,0.7782149353655358,0.0,0.07192807192807193,0.14861228852604033,False
16,CD4,CD4,ADP,-10.47241,-0.09525885348665021,0.537945387929044,0.768790652539845,27.065346,0.5884115884115884,0.6758739395926396,False
