,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
0,SLC2A4,SLC2A4,78455.08269217267,49.393173998932156,0.0,0.0,0.020329841638203318,676.8825210064363,0.000999001,0.0024022219885635925,0.017195229643142157,True
3,SLC2A9,SLC2A9,13133.071837670348,8.268222786326184,6.798531562791696e-17,2.9460303438764016e-16,0.008038996736187225,3868.615234300155,0.000999001,0.0024022219885635925,0.02427504041943941,True
7,SLC2A1,SLC2A1,56882.08427183311,35.8114043023102,3.669622913935545e-281,4.770509788116208e-280,0.0453224742925836,55562.66191204668,0.000999001,0.0024022219885635925,0.11084591078981866,True
8,SLC2A3,SLC2A9,22588.29424452903,6.508880590107307,3.78564377340418e-11,1.3936529289700345e-10,0.01035919970391172,77441.5874106655,0.000999001,0.0024022219885635925,0.019362944407414998,True
11,SLC2A3,SLC2A3,276396.99670451885,174.01198854858418,0.0,0.0,0.1267582073895213,1039080.1379009197,0.000999001,0.0024022219885635925,0.25980421654235974,True
12,SLC2A1,SLC2A9,5266.037272098769,2.128936028692488,0.01662977671619457,0.03699458349698899,0.0041958701398476725,15292.741450689085,0.000999001,0.0024022219885635925,0.030508578895269187,True
15,SLC7A7,SLC7A7,88414.70360782708,55.66347889148441,0.0,0.0,0.0683365371346507,151332.38747958472,0.000999001,0.0024022219885635925,0.1575688701408532,True
16,SLC38A7,SLC3A2,6153.665679625918,2.7856571183407435,0.0026709672246575276,0.00669350822564778,0.006444902700986039,109382.54824554917,0.000999001,0.0024022219885635925,0.37239272473926727,True
17,SLC38A7,SLC7A5,3547.1707779854833,1.425092323355062,0.07706525770649345,0.15562692818398677,0.0037150491622559394,24350.461251256245,0.000999001,0.0024022219885635925,0.08290110954132246,True
18,SLC1A5,SLC1A5,35983.030718445414,22.653931858801226,6.380045022461163e-114,6.319282688913913e-113,0.03054467398546931,318771.106676387,0.000999001,0.0024022219885635925,0.20035773390638245,True
19,SLC1A5,SLC38A7,4591.044251325523,2.10699612925144,0.01755895754758414,0.038853863509547885,0.0038971689462976846,135110.1423606138,0.000999001,0.0024022219885635925,0.08492100251301272,True
20,SLC3A2,SLC7A5,23718.027514181907,9.528827635071117,7.953470085869672e-22,3.803038569795153e-21,0.018967829317383472,88790.82026603482,0.000999001,0.0024022219885635925,0.07050982766486152,True
22,SLC7A5,SLC7A7,1183.5650529066843,0.4755027532242336,0.31721433565212753,0.5408244411118239,0.0007265582151603741,41257.830591750855,0.000999001,0.0024022219885635925,0.14208743418693884,True
23,SLC38A7,SLC38A7,4122.637859751274,2.595500025667499,0.004722669794703726,0.011422271131376454,0.004317751607057321,17622.476484387807,0.000999001,0.0024022219885635925,0.05999569529083329,True
24,SLC1A5,SLC3A2,18512.651042478294,8.380354221481332,2.638432622957126e-17,1.180202119516306e-16,0.015714709945468648,454288.51554387703,0.000999001,0.0024022219885635925,0.28553471631438776,True
25,SLC38A7,SLC7A7,-199.13726157331234,-0.08234671658705166,0.5328144969642079,0.7944474219968118,-0.00020856191119222834,61441.8935998697,0.000999001,0.0024022219885635925,0.20917883645782265,True
26,SLC3A2,SLC3A2,24380.305176037393,15.349173238806927,1.7936449182500693e-53,1.2435938099867149e-52,0.019497467359302405,192199.3859976115,0.000999001,0.0024022219885635925,0.1526277777745434,True
27,SLC3A2,SLC7A7,1670.1218141521908,0.6906243794319313,0.2449008113120652,0.44683656800797855,0.001335633222076995,204700.91105051828,0.000999001,0.0024022219885635925,0.16255538486711577,True
28,SLC7A5,SLC7A5,23424.05746800758,14.747145839076598,1.6047689650166017e-49,1.0943998187654201e-48,0.014379388225407025,13897.392251465762,0.000999001,0.0024022219885635925,0.04786109154500791,True
29,SLC1A5,SLC7A5,15121.12782312536,6.074983283845372,6.200031884488475e-10,2.167406104157316e-09,0.012835770373650385,108325.65736413829,0.000999001,0.0024022219885635925,0.06808610560627605,True
30,SLC43A2,SLC7A11,2352.600990001646,1.033191970509257,0.15075703487891456,0.28768314912673604,0.0017308246490470105,2104.9352605478116,0.002997003,0.006926407002740436,0.004248693750315419,True
