,Metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",128859.83694275461,15.026598835232747,2.4580351637098174e-51,4.013118634628273e-51,414295.5243906743,0.000999001,0.0011336181233537958,True
1,17a-Ethynylestradiol,71549.05668093407,10.966372865370236,2.772624973147876e-28,3.891403471084738e-28,5576.148750742721,0.000999001,0.0011336181233537958,True
2,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",128859.83694275461,15.026598835232747,2.4580351637098174e-51,4.013118634628273e-51,414295.5243906743,0.000999001,0.0011336181233537958,True
3,2-Hydroxychlorpropamide,35718.12869106203,8.442996495605597,1.546521894402399e-17,1.9955121218095472e-17,3851.833057435142,0.000999001,0.0011336181233537958,True
4,25-Hydroxycholesterol,81878.10908503045,51.54821778224881,0.0,0.0,383989.60122765857,0.000999001,0.0011336181233537958,True
5,"3',4'-Dihydrodiol",88155.16500581805,13.218895600628988,3.4129406693967023e-40,5.200671496223546e-40,6425.828122686123,0.000999001,0.0011336181233537958,True
6,3-Sulfodeoxycholic acid,128859.83694275461,15.026598835232747,2.4580351637098174e-51,4.013118634628273e-51,414295.5243906743,0.000999001,0.0011336181233537958,True
7,"3alpha,7alpha-Dihydroxycoprostanic acid",128859.83694275461,15.026598835232747,2.4580351637098174e-51,4.013118634628273e-51,414295.5243906743,0.000999001,0.0011336181233537958,True
8,3b-Hydroxy-5-cholenoic acid,128859.83694275461,15.026598835232747,2.4580351637098174e-51,4.013118634628273e-51,414295.5243906743,0.000999001,0.0011336181233537958,True
9,4'-Hydroxydiclofenac,194055.01559703148,22.040907843943096,5.8386177198797705e-108,1.6389102371592338e-107,441691.506841016,0.000999001,0.0011336181233537958,True
10,4-Hydroxycyclophosphamide,37161.70063334943,23.395990195831935,2.347370601243653e-121,7.991048855297542e-121,3522.846299583541,0.000999001,0.0011336181233537958,True
11,4-Hydroxyvalsartan,55050.806407633194,13.736699602551287,3.0601390764590544e-43,4.707906271475468e-43,340.46503217795293,0.000999001,0.0011336181233537958,True
12,4-ene-Valproic acid,17554.77661831875,4.635234527175277,1.7826651060860117e-06,2.022882389884836e-06,29379.20941305246,0.000999001,0.0011336181233537958,True
13,5-Hydroxyomeprazole,114693.66799403532,17.72520911322546,1.3395759815025501e-70,3.247456924854667e-70,447098.732778155,0.000999001,0.0011336181233537958,True
14,5-Methyltetrahydrofolic acid,144815.34813377954,91.17178189911384,0.0,0.0,1105324.7980270954,0.000999001,0.0011336181233537958,True
15,8-Hydroxycarvedilol,37161.70063334943,23.395990195831935,2.347370601243653e-121,7.991048855297542e-121,3522.846299583541,0.000999001,0.0011336181233537958,True
16,ADP,29070.50612481514,7.631526474984723,1.1599509253335589e-14,1.3954296846118e-14,55719.15810149944,0.000999001,0.0011336181233537958,True
17,Acetate,152646.55243121926,26.617419151594646,2.133710448792021e-156,1.034526278202192e-155,922475.2889488782,0.000999001,0.0011336181233537958,True
18,Acetyl-L-Carnitine,10958.602984998211,2.956843526885221,0.0015540289912266642,0.0016687559637333306,24237.617272710773,0.000999001,0.0011336181233537958,True
19,Acetylcholine,4744.291399267351,2.9868760894063633,0.0014092196627351861,0.0015234807164704715,71.04814197600285,0.012987013,0.013761073350906372,True
20,Adenine,29950.756935206373,18.856177291977616,1.3072676784981564e-79,3.2681691962453906e-79,38341.847063043984,0.000999001,0.0011336181233537958,True
21,Adenosine,35631.833974533074,22.432827995486434,9.4140489595102e-112,2.6897282741457714e-111,363597.94065091223,0.000999001,0.0011336181233537958,True
22,Adenosine diphosphate ribose,234703.29335763108,147.7627734129261,0.0,0.0,109055.69571050609,0.000999001,0.0011336181233537958,True
23,Adenosine triphosphate,118871.27494483968,20.93538578700565,1.2749626859943591e-97,3.399900495984958e-97,1925231.3730511114,0.000999001,0.0011336181233537958,True
24,Adenosylcobalamin,11912.576743632624,7.499832460600828,3.1949726823367806e-14,3.758791390984448e-14,1231.7723956337336,0.000999001,0.0011336181233537958,True
25,Amiloride-sensitive sodium transport,463417.42885678424,114.58581767120023,0.0,0.0,921631.5611592409,0.000999001,0.0011336181233537958,True
26,Ammonium,788.3999534455404,0.4963550447595248,0.30982196830754305,0.321892954085759,17.886505195421137,0.25374624,0.25534212964135894,False
27,Anion exchange,32794.14109829676,8.767738598769313,9.114522139671349e-19,1.2152696186228465e-18,18967.088481233168,0.000999001,0.0011336181233537958,True
28,Betaine,550.1655544852193,0.34636918384917553,0.36453264058435936,0.3762917580225645,104.27022758861584,0.006993007,0.007509269170313073,True
29,Bilirubin,21190.222555554014,5.365245391411236,4.041961939131329e-08,4.652618059431745e-08,674.6561686922453,0.000999001,0.0011336181233537958,True
30,Butyrate,12772.080649617455,8.040952608898195,4.457136558389978e-16,5.44383091101066e-16,1060.5222656630774,0.000999001,0.0011336181233537958,True
31,Cadmium,127886.15419535001,80.51362447745399,0.0,0.0,324733.62809823593,0.000999001,0.0011336181233537958,True
32,Calcidiol,46649.458384660844,12.910488909291516,1.963995508996435e-38,2.964521523013487e-38,4043.5178571718798,0.000999001,0.0011336181233537958,True
33,Calcium,11912.576743632624,7.499832460600828,3.1949726823367806e-14,3.758791390984448e-14,1231.7723956337336,0.000999001,0.0011336181233537958,True
34,Calcium release-activated calcium transport,72899.617402451,20.89561424781949,2.9348357223800683e-97,7.697929763619852e-97,217774.7286379732,0.000999001,0.0011336181233537958,True
35,Chenodeoxycholic acid,128859.83694275461,15.026598835232747,2.4580351637098174e-51,4.013118634628273e-51,414295.5243906743,0.000999001,0.0011336181233537958,True
36,Chenodeoxycholic acid 3-sulfate,128859.83694275461,15.026598835232747,2.4580351637098174e-51,4.013118634628273e-51,414295.5243906743,0.000999001,0.0011336181233537958,True
37,Chloride,40559.78905348,8.73198391277637,1.251219120200442e-18,1.6545046217526506e-18,241553.69734636607,0.000999001,0.0011336181233537958,True
38,Chloride ion,68604.40110107078,11.9624015077181,2.7960452409908748e-33,4.104286592280183e-33,599263.9105891773,0.000999001,0.0011336181233537958,True
39,Chloride_bicarbonate anion exchange,27950.412983584098,17.59681545753973,1.3028497850613922e-69,3.1112830688033244e-69,264.32762246253407,0.000999001,0.0011336181233537958,True
40,Cholesterol,263325.6989601239,40.31872596041435,0.0,0.0,81945.44478828971,0.000999001,0.0011336181233537958,True
41,Cholic acid,296458.7902029221,16.915529443944074,1.7284798123969405e-64,3.8410662497709786e-64,1505386.759343896,0.000999001,0.0011336181233537958,True
42,Choline,37906.14645738061,4.782854422841756,8.641164602590114e-07,9.875616688674415e-07,27131.64023843022,0.000999001,0.0011336181233537958,True
43,Citric acid,138939.81307374762,87.47270574498295,0.0,0.0,505566.9484491469,0.000999001,0.0011336181233537958,True
44,Cobalamin,11912.576743632624,7.499832460600828,3.1949726823367806e-14,3.758791390984448e-14,1231.7723956337336,0.000999001,0.0011336181233537958,True
45,Coprocholic acid,128859.83694275461,15.026598835232747,2.4580351637098174e-51,4.013118634628273e-51,414295.5243906743,0.000999001,0.0011336181233537958,True
46,Cortisol,106443.2851794191,25.160900547834967,5.369053633311127e-140,2.3862460592493897e-139,9280.911969697432,0.000999001,0.0011336181233537958,True
47,Creatine,11421.029404349323,7.190367701597337,3.2308531428865136e-13,3.7732591449769503e-13,23957.12523456125,0.000999001,0.0011336181233537958,True
48,Cyclic AMP,27087.5489054665,17.053579836781882,1.6438323487155986e-65,3.7044109266830394e-65,15221.510660302498,0.000999001,0.0011336181233537958,True
49,Cytidine,35631.833974533074,22.432827995486434,9.4140489595102e-112,2.6897282741457714e-111,363597.94065091223,0.000999001,0.0011336181233537958,True
50,D-Aspartate,39514.61362926586,12.01933283461815,1.4061647808517819e-33,2.0832070827433803e-33,7578.641563314274,0.000999001,0.0011336181233537958,True
51,D-Fructose,-598.7901034411766,-0.3769818697936237,0.6469064607786432,0.6509750548715907,0.0,0.14985014,0.1536924563921415,False
52,D-Galactose,273535.82575263875,42.62077355157035,0.0,0.0,1302106.8592713021,0.000999001,0.0011336181233537958,True
53,D-Glucose,422472.19043824775,36.498701411879374,5.814066862688379e-292,3.2077610276901405e-291,1414186.977021746,0.000999001,0.0011336181233537958,True
54,D-Lactate,12772.080649617455,8.040952608898195,4.457136558389978e-16,5.44383091101066e-16,1060.5222656630774,0.000999001,0.0011336181233537958,True
55,D-Maltose,276396.99670451885,174.01198854858418,0.0,0.0,1039080.1379009197,0.000999001,0.0011336181233537958,True
56,D-Mannose,273535.82575263875,42.62077355157035,0.0,0.0,1302106.8592713021,0.000999001,0.0011336181233537958,True
57,D-Xylose,276396.99670451885,174.01198854858418,0.0,0.0,1039080.1379009197,0.000999001,0.0011336181233537958,True
58,Debrisoquine,-1062.4779562960598,-0.668907058211499,0.7482226162573771,0.7482226162573771,0.0,0.4285714,0.4285714030265808,False
59,Dehydroascorbic acid,374363.52582427027,53.13612977330452,0.0,0.0,1313467.3137199052,0.000999001,0.0011336181233537958,True
60,Dehydroepiandrosterone,55050.806407633194,13.736699602551287,3.0601390764590544e-43,4.707906271475468e-43,340.46503217795293,0.000999001,0.0011336181233537958,True
61,Deoxycholic acid,128859.83694275461,15.026598835232747,2.4580351637098174e-51,4.013118634628273e-51,414295.5243906743,0.000999001,0.0011336181233537958,True
62,Digoxin,13785.380096577162,8.678898222862808,1.9981055133902654e-18,2.5991616434344915e-18,84.53317470118711,0.006993007,0.007509269170313073,True
63,Docosahexaenoic acid,374363.52582427027,53.13612977330452,0.0,0.0,1313467.3137199052,0.000999001,0.0011336181233537958,True
64,Dopamine,116482.45637073611,15.525000045761944,1.1750196717577641e-54,2.37978667697775e-54,156309.53510227252,0.000999001,0.0011336181233537958,True
65,E-3179,37161.70063334943,23.395990195831935,2.347370601243653e-121,7.991048855297542e-121,3522.846299583541,0.000999001,0.0011336181233537958,True
66,Estradiol,413231.5329119712,31.318377175756858,1.3116160406008538e-215,6.76963117729473e-215,614256.6063409765,0.000999001,0.0011336181233537958,True
67,Estriol,37161.70063334943,23.395990195831935,2.347370601243653e-121,7.991048855297542e-121,3522.846299583541,0.000999001,0.0011336181233537958,True
68,Estrone,13785.380096577162,8.678898222862808,1.9981055133902654e-18,2.5991616434344915e-18,84.53317470118711,0.006993007,0.007509269170313073,True
69,Estrone sulfate,13195.5598908024,3.273575118039555,0.0005309807989444435,0.0005818967659665135,152.79432359963084,0.15784216,0.1598401612873319,False
70,Ethanol,36922.417070118725,11.629387177805082,1.460938209182405e-31,2.1250010315380437e-31,380899.0172518083,0.000999001,0.0011336181233537958,True
71,Fatty acid,326324.9084326314,56.2632619083903,0.0,0.0,1391544.6640897812,0.000999001,0.0011336181233537958,True
72,Folic acid,262400.21251344343,24.540662800296353,2.7205346649022517e-133,1.1454882799588428e-132,3338867.023144558,0.000999001,0.0011336181233537958,True
73,Folinic acid,109588.51291567244,20.658882445157126,4.061118723717138e-95,1.0480306383786161e-94,525886.4262635167,0.000999001,0.0011336181233537958,True
74,Fusidic Acid,7241.152332045729,4.5588314334310365,2.571951834644107e-06,2.8777083464549443e-06,446.29974976036294,0.001998002,0.0022355266488515413,True
