sample_id,tier,cell_type_1,cell_type_2,gene1,gene2,tcell_involvement,metabolites,FDR_np,pval_np,C_np
Human_Lung,Tier1,T Cell,other,SLC2A9,SLC2A9,Tcell_interface,D-Glucose,0.0022071791024859,0.0009990009990009,108331.92
Human_Lung,Tier1,T Cell,other,SLC7A7,SLC7A7,Tcell_interface,L-Glutamine,0.0022071791024859,0.0009990009990009,15651.544
Human_Lung,Tier1,T Cell,other,SLC3A2,SLC7A7,Tcell_interface,L-Glutamine,0.0022071791024859,0.0009990009990009,18065.074
Human_Lung,Tier1,T Cell,other,SLC7A5,SLC7A5,Tcell_interface,L-Arginine | L-Glutamine | L-Histidine | L-Leucine | L-Methionine | L-Phenylalanine | L-Tyrosine,0.0022071791024859,0.0009990009990009,3810.519
Human_Lung,Tier1,T Cell,other,SLC3A2,SLC3A2,Tcell_interface,Iron | L-Cystine | L-Glutamate | L-Glutamine | L-Leucine | L-Serine,0.0022071791024859,0.0009990009990009,2848.7888
Human_Lung,Tier1,T Cell,other,SLC38A7,SLC38A7,Tcell_interface,L-Glutamine,0.0022071791024859,0.0009990009990009,7303.649
Human_Lung,Tier1,T Cell,other,SLC1A5,SLC3A2,Tcell_interface,L-Glutamate | L-Glutamine | L-Leucine | L-Serine,0.0022071791024859,0.0009990009990009,1613.6401
Human_Lung,Tier1,T Cell,other,SLC1A5,SLC7A5,Tcell_interface,L-Glutamine | L-Leucine,0.0022071791024859,0.0009990009990009,3094.2056
Human_Lung,Tier1,T Cell,other,SLC16A4,SLC16A4,Tcell_interface,Acetate | L-Lactate,0.0022071791024859,0.0009990009990009,5110.149
Human_Lung,Tier1,T Cell,other,SLCO2B1,SLCO2B1,Tcell_interface,Acetate | Citric acid | Estradiol | Nicotinate | Oxalic acid | Taurocholic acid,0.0022071791024859,0.0009990009990009,83193.71
Human_Lung,Tier1,T Cell,other,SLC16A1,SLCO2B1,Tcell_interface,Acetate | Nicotinate | Taurocholic acid,0.0022071791024859,0.0009990009990009,2002.0552
Human_Lung,Tier1,T Cell,other,SLC1A1,SLC7A11,Tcell_interface,L-Glutamate,0.0022071791024859,0.0009990009990009,742.76184
Human_Lung,Tier1,T Cell,other,SLC39A8,SLC39A8,Tcell_interface,Cadmium | Manganese | Zinc,0.0022071791024859,0.0009990009990009,15441.123
Human_Lung,Tier1,T Cell,other,SLC11A1,SLC11A1,Tcell_interface,Iron | Manganese,0.0022071791024859,0.0009990009990009,124207.305
Human_Lung,Tier1,T Cell,other,SLC40A1,SLC40A1,Tcell_interface,Iron,0.0022071791024859,0.0009990009990009,370819.12
Human_Lung,Tier1,T Cell,other,SLC12A2,SLC12A2,Tcell_interface,Chloride ion | Sodium,0.0022071791024859,0.0009990009990009,13476.386
Human_Lung,Tier1,T Cell,other,SLC12A2,SLC22A5,Tcell_interface,Sodium,0.0022071791024859,0.0009990009990009,2673.6191
Human_Lung,Tier1,T Cell,other,SLC5A1,SLC5A1,Tcell_interface,Sodium | Urea,0.0022071791024859,0.0009990009990009,76.0399
Human_Lung,Tier1,T Cell,other,SLC12A2,SLC5A3,Tcell_interface,Sodium,0.0022071791024859,0.0009990009990009,7926.5684
Human_Lung,Tier1,T Cell,other,SLC12A2,SLC1A5,Tcell_interface,Sodium,0.0022071791024859,0.0009990009990009,9184.333
Human_Lung,Tier1,T Cell,other,SLC12A2,SLC29A1,Tcell_interface,Sodium,0.0022071791024859,0.0009990009990009,10417.317
Human_Lung,Tier1,T Cell,other,SLC6A4,SLC6A4,Tcell_interface,N-Desmethylcitalopram | O-Desmethylverapamil (D-702) | Serotonin | Sodium,0.0022071791024859,0.0009990009990009,6676.386
Human_Lung,Tier1,T Cell,other,MSR1,MSR1,Tcell_interface,Fatty acid,0.0022071791024859,0.0009990009990009,49577.113
Human_Lung,Tier1,T Cell,other,CD36,MSR1,Tcell_interface,Fatty acid,0.0022071791024859,0.0009990009990009,4775.7397
Human_Lung,Tier1,T Cell,other,ABCA1,ABCA1,Tcell_interface,25-Hydroxycholesterol,0.0022071791024859,0.0009990009990009,36582.652
Human_Lung,Tier1,T Cell,other,SLC6A3,SLC6A3,Tcell_interface,Dopamine,0.0022071791024859,0.0009990009990009,1225.2045
