sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,Tier1_n_sig_pairs,Tier1_interactions,Tier1_within_Tcell,Tier1_Tcell_interfaces,Tier1_tcell_involved,Tier2_n_sig_pairs,Tier2_interactions,Tier2_within_Tcell,Tier2_Tcell_interfaces,Tier2_tcell_involved,Tier3_n_sig_pairs,Tier3_interactions,Tier3_within_Tcell,Tier3_Tcell_interfaces,Tier3_tcell_involved
Human_Lung,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0011336181233537,4,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,4,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03),True
Human_Lung,17a-Ethynylestradiol,6,"ABCB1, ABCC2, SLC10A1",True,0.0011336181233537,3,1,other (self) (1.6e-03),,,False,1,other (self) (2.4e-03),,,False,2,Cytotoxic CD4–other (1.4e-02); other (self) (5.8e-03),,Cytotoxic CD4–other (1.4e-02),True
Human_Lung,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0011336181233537,4,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,4,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03),True
Human_Lung,2-Hydroxychlorpropamide,3,"ABCB1, SLC15A1",True,0.0011336181233537,2,1,other (self) (1.6e-03),,,False,1,other (self) (2.4e-03),,,False,3,Cytotoxic CD4–other (1.6e-02); Exhausted CD4–other (3.7e-02); other (self) (5.8e-03),,Cytotoxic CD4–other (1.6e-02); Exhausted CD4–other (3.7e-02),True
Human_Lung,25-Hydroxycholesterol,1,ABCA1,True,0.0011336181233537,1,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,6,CD4 T Cell (self) (2.4e-03); CD4 T Cell–CD8 T Cell (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); CD8 T Cell (self) (3.5e-02); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03); CD8 T Cell (self) (3.5e-02),CD4 T Cell–CD8 T Cell (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,13,CD4 (self) (5.8e-03); CD4–other (5.8e-03); Cytotoxic CD8–Exhausted CD4 (5.8e-03); Cytotoxic CD8–other (5.8e-03); Exhausted CD4 (self) (5.8e-03); Exhausted CD4–Treg (5.8e-03); Exhausted CD4–other (5.8e-03); CD4–Treg (1.0e-02); Treg–other (1.4e-02); Cytotoxic CD4–Exhausted CD4 (2.2e-02); Cytotoxic CD8 (self) (3.3e-02); Cytotoxic CD4 (self) (3.5e-02); other (self) (5.8e-03),CD4 (self) (5.8e-03); Exhausted CD4 (self) (5.8e-03); Cytotoxic CD8 (self) (3.3e-02); Cytotoxic CD4 (self) (3.5e-02),CD4–other (5.8e-03); Cytotoxic CD8–Exhausted CD4 (5.8e-03); Cytotoxic CD8–other (5.8e-03); Exhausted CD4–Treg (5.8e-03); Exhausted CD4–other (5.8e-03); CD4–Treg (1.0e-02); Treg–other (1.4e-02); Cytotoxic CD4–Exhausted CD4 (2.2e-02),True
Human_Lung,"3',4'-Dihydrodiol",6,"ABCB1, ABCC2, SLCO1C1",True,0.0011336181233537,4,2,T Cell–other (3.8e-02); other (self) (1.6e-03),,T Cell–other (3.8e-02),True,2,CD4 T Cell–other (3.1e-02); other (self) (2.4e-03),,CD4 T Cell–other (3.1e-02),True,3,Cytotoxic CD4–other (1.4e-02); Exhausted CD4–other (3.7e-02); other (self) (5.8e-03),,Cytotoxic CD4–other (1.4e-02); Exhausted CD4–other (3.7e-02),True
Human_Lung,3-Sulfodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0011336181233537,4,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,4,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03),True
Human_Lung,"3alpha,7alpha-Dihydroxycoprostanic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0011336181233537,4,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,4,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03),True
Human_Lung,3b-Hydroxy-5-cholenoic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0011336181233537,4,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,4,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03),True
Human_Lung,4'-Hydroxydiclofenac,10,"ABCB1, ABCC1, ABCC4, SLCO1C1",True,0.0011336181233537,5,2,T Cell (self) (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),,True,3,CD4 T Cell (self) (2.4e-03); CD8 T Cell–other (2.9e-02); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD8 T Cell–other (2.9e-02),True,5,Exhausted CD4 (self) (5.8e-03); Exhausted CD4–other (1.0e-02); CD4–Treg (3.3e-02); Exhausted CD8–other (3.7e-02); other (self) (5.8e-03),Exhausted CD4 (self) (5.8e-03),Exhausted CD4–other (1.0e-02); CD4–Treg (3.3e-02); Exhausted CD8–other (3.7e-02),True
