gene,export,import,pair,cell_type,mean,std,n
CD3E,ABCC3,ABCC3,ABCC3@ABCC3,CD4 T Cell,1.8879278e-09,3.1070306e-09,34384
CD3E,ABCA1,ABCA1,ABCA1@ABCA1,CD4 T Cell,-0.003254112,0.002194005,34384
CD3E,ABCC1,ABCC1,ABCC1@ABCC1,CD4 T Cell,5.075015e-05,3.8505063e-05,34384
CD3E,FOLR1,FOLR1,FOLR1@FOLR1,CD4 T Cell,-2.4863214e-06,3.5518274e-06,34384
CD3E,SLC16A4,SLC16A4,SLC16A4@SLC16A4,CD4 T Cell,-1.6019667e-08,2.7324102e-08,34384
CD3E,SLCO2B1,SLCO2B1,SLCO2B1@SLCO2B1,CD4 T Cell,-0.00045004082,0.0003197579,34384
CD3E,SLCO2B1,SLC16A1,SLCO2B1@SLC16A1,CD4 T Cell,-3.5595875e-08,5.8374894e-08,34384
CD3E,SLC29A3,SLC29A3,SLC29A3@SLC29A3,CD4 T Cell,-0.00013588072,9.748029e-05,34384
CD3E,SLC29A1,SLC29A1,SLC29A1@SLC29A1,CD4 T Cell,-0.00017407277,0.00013583874,34384
CD3E,CD38,CD38,CD38@CD38,CD4 T Cell,7.601415e-06,5.6474278e-06,34384
CD3E,ATP7A,TAP1,ATP7A@TAP1,CD4 T Cell,8.224093e-05,5.9933125e-05,34384
CD3E,TAP1,ATP7A,TAP1@ATP7A,CD4 T Cell,2.8067085e-08,4.2183224e-08,34384
CD3E,TAP1,TAP1,TAP1@TAP1,CD4 T Cell,0.00067977567,0.0005527945,34384
CD3E,SCNN1A,SCNN1A,SCNN1A@SCNN1A,CD4 T Cell,-3.3434878e-07,5.6040886e-07,34384
CD3E,SLC39A8,SLC39A8,SLC39A8@SLC39A8,CD4 T Cell,-3.5749927e-08,6.116478e-08,34384
CD3E,ORAI2,ORAI2,ORAI2@ORAI2,CD4 T Cell,-6.602104e-09,1.1096772e-08,34384
CD3E,CLCN3,CLCN3,CLCN3@CLCN3,CD4 T Cell,-3.2994606e-08,5.5091544e-08,34384
CD3E,SLC12A2,SLC12A2,SLC12A2@SLC12A2,CD4 T Cell,-2.4865966e-07,4.4131556e-07,34384
CD3E,CD36,CD36,CD36@CD36,CD4 T Cell,-5.3317992e-05,4.318672e-05,34384
CD3E,ABCC1,ABCC3,ABCC1@ABCC3,CD4 T Cell,-3.6481683e-08,6.106844e-08,34384
CD3E,ABCC3,ABCC1,ABCC3@ABCC1,CD4 T Cell,1.0154553e-05,8.121225e-06,34384
CD3E,SLC2A1,SLC2A1,SLC2A1@SLC2A1,CD4 T Cell,5.8480726e-08,4.208095e-08,34384
CD3E,SLC2A3,SLC2A3,SLC2A3@SLC2A3,CD4 T Cell,-0.0015079231,0.0010330613,34384
CD3E,SLC2A3,SLC2A9,SLC2A3@SLC2A9,CD4 T Cell,-7.3045913e-07,5.378639e-07,34384
CD3E,SLC2A9,SLC2A3,SLC2A9@SLC2A3,CD4 T Cell,-6.752073e-05,4.8838356e-05,34384
CD3E,MSR1,MSR1,MSR1@MSR1,CD4 T Cell,-0.0059929932,0.0039693946,34384
CD3E,CPT1A,CPT1A,CPT1A@CPT1A,CD4 T Cell,1.5614407e-05,1.2814358e-05,34384
CD3E,CD36,MSR1,CD36@MSR1,CD4 T Cell,-0.00066889834,0.00048489106,34384
CD3E,MSR1,CD36,MSR1@CD36,CD4 T Cell,-0.0005657646,0.00042171657,34384
CD3E,ABCC4,FOLR1,ABCC4@FOLR1,CD4 T Cell,-1.2136098e-08,2.0123776e-08,34384
CD3E,FOLR1,ABCC4,FOLR1@ABCC4,CD4 T Cell,-3.1631583e-08,5.2185083e-08,34384
CD3E,ABCC3,FOLR1,ABCC3@FOLR1,CD4 T Cell,4.0904347e-06,5.2143214e-06,34384
CD3E,FOLR1,ABCC3,FOLR1@ABCC3,CD4 T Cell,-2.0790395e-07,3.7683716e-07,34384
CD3E,LRP1,LRP1,LRP1@LRP1,CD4 T Cell,-5.192913e-05,3.7308244e-05,34384
CD3E,SLC3A2,SLC40A1,SLC3A2@SLC40A1,CD4 T Cell,0.0009500514,0.0007084524,34384
CD3E,SLC40A1,SLC3A2,SLC40A1@SLC3A2,CD4 T Cell,7.919688e-05,6.5174056e-05,34384
CD3E,SLC11A2,SLC40A1,SLC11A2@SLC40A1,CD4 T Cell,0.0018294308,0.0013013693,34384
CD3E,SLC40A1,SLC11A2,SLC40A1@SLC11A2,CD4 T Cell,-3.864158e-07,1.4238248e-07,34384
CD3E,SLC11A1,SLC11A2,SLC11A1@SLC11A2,CD4 T Cell,-5.2521614e-06,3.8157236e-06,34384
CD3E,SLC11A2,SLC11A1,SLC11A2@SLC11A1,CD4 T Cell,-8.208797e-06,5.9916147e-06,34384
CD3E,SLC11A2,SLC11A2,SLC11A2@SLC11A2,CD4 T Cell,-0.00014070606,0.00010175397,34384
CD3E,CUBN,SLC40A1,CUBN@SLC40A1,CD4 T Cell,2.7792643e-05,1.9964813e-05,34384
CD3E,SLC40A1,CUBN,SLC40A1@CUBN,CD4 T Cell,1.1293669e-08,1.9118412e-08,34384
CD3E,SLC3A2,SLC11A1,SLC3A2@SLC11A1,CD4 T Cell,-2.513493e-08,1.9119936e-08,34384
CD3E,SLC3A2,SLC3A2,SLC3A2@SLC3A2,CD4 T Cell,-2.6395284e-07,9.50304e-08,34384
CD3E,SLC11A2,SLC3A2,SLC11A2@SLC3A2,CD4 T Cell,-1.3953554e-06,6.390851e-07,34384
CD3E,SLC3A2,SLC11A2,SLC3A2@SLC11A2,CD4 T Cell,-4.1087875e-05,3.2737895e-05,34384
CD3E,SLC40A1,SLC40A1,SLC40A1@SLC40A1,CD4 T Cell,0.009763204,0.0064764945,34384
CD3E,SLC1A5,SLC1A5,SLC1A5@SLC1A5,CD4 T Cell,3.3011704e-05,2.4849387e-05,34384
CD3E,SLC43A2,SLC43A2,SLC43A2@SLC43A2,CD4 T Cell,-3.636548e-08,2.5657215e-08,34384
CD3E,SLC1A5,SLC3A2,SLC1A5@SLC3A2,CD4 T Cell,-1.7739927e-07,2.9152264e-07,34384
CD3E,SLC3A2,SLC1A5,SLC3A2@SLC1A5,CD4 T Cell,1.9553484e-06,1.7553691e-06,34384
CD3E,SLC7A7,SLC7A7,SLC7A7@SLC7A7,CD4 T Cell,-0.00090009405,0.00064485223,34384
CD3E,SLC38A7,SLC1A5,SLC38A7@SLC1A5,CD4 T Cell,1.7747546e-08,3.0036244e-08,34384
CD3E,SLC38A7,SLC7A7,SLC38A7@SLC7A7,CD4 T Cell,-3.1382777e-05,2.4496481e-05,34384
CD3E,SLC7A7,SLC38A7,SLC7A7@SLC38A7,CD4 T Cell,-7.121537e-05,5.2050258e-05,34384
CD3E,SLC3A2,SLC7A7,SLC3A2@SLC7A7,CD4 T Cell,-0.00014929821,0.000106380256,34384
CD3E,SLC7A7,SLC3A2,SLC7A7@SLC3A2,CD4 T Cell,-0.00014959867,0.00010928645,34384
CD3E,SLC43A2,SLC3A2,SLC43A2@SLC3A2,CD4 T Cell,-3.9235488e-07,3.335344e-07,34384
CD3E,SLC6A4,SLC6A4,SLC6A4@SLC6A4,CD4 T Cell,5.7858273e-08,9.94523e-08,34384
CD3E,ABCC3,SLC22A5,ABCC3@SLC22A5,CD4 T Cell,8.051643e-09,1.32016575e-08,34384
CD3E,SLC22A5,ABCC3,SLC22A5@ABCC3,CD4 T Cell,-3.1268716e-08,5.243694e-08,34384
CD3E,SLC12A2,SLC22A5,SLC12A2@SLC22A5,CD4 T Cell,9.22798e-10,1.5541474e-09,34384
CD3E,SLC22A5,SLC12A2,SLC22A5@SLC12A2,CD4 T Cell,-5.568955e-09,9.17634e-09,34384
CD3E,SLC1A5,SLC22A5,SLC1A5@SLC22A5,CD4 T Cell,6.1778054e-09,1.0214548e-08,34384
CD3E,SLC22A5,SLC1A5,SLC22A5@SLC1A5,CD4 T Cell,1.3470182e-08,2.2755462e-08,34384
