group,left,right,count
lr,-0.012547218,-0.012202524,1
lr,-0.012202524,-0.01185783,0
lr,-0.01185783,-0.011513135,0
lr,-0.011513135,-0.011168442,0
lr,-0.011168442,-0.010823747,0
lr,-0.010823747,-0.0104790535,0
lr,-0.0104790535,-0.010134359,0
lr,-0.010134359,-0.009789665,0
lr,-0.009789665,-0.009444971,0
lr,-0.009444971,-0.009100277,0
lr,-0.009100277,-0.008755582,0
lr,-0.008755582,-0.008410889,0
lr,-0.008410889,-0.008066194,0
lr,-0.008066194,-0.0077215005,0
lr,-0.0077215005,-0.0073768063,0
lr,-0.0073768063,-0.007032112,0
lr,-0.007032112,-0.006687418,0
lr,-0.006687418,-0.006342724,0
lr,-0.006342724,-0.00599803,0
lr,-0.00599803,-0.0056533357,0
lr,-0.0056533357,-0.0053086416,0
lr,-0.0053086416,-0.0049639475,0
lr,-0.0049639475,-0.0046192533,0
lr,-0.0046192533,-0.004274559,0
lr,-0.004274559,-0.0039298646,1
lr,-0.0039298646,-0.0035851707,0
lr,-0.0035851707,-0.0032404766,0
lr,-0.0032404766,-0.0028957825,0
lr,-0.0028957825,-0.0025510883,0
lr,-0.0025510883,-0.0022063942,0
lr,-0.0022063942,-0.0018617001,0
lr,-0.0018617001,-0.0015170058,1
lr,-0.0015170058,-0.0011723117,2
lr,-0.0011723117,-0.00082761765,3
lr,-0.00082761765,-0.0004829235,3
lr,-0.0004829235,-0.00013822936,11
lr,-0.00013822936,0.00020646479,1344
lr,0.00020646479,0.0005511589,38
lr,0.0005511589,0.00089585304,7
lr,0.00089585304,0.0012405472,2
lr,0.0012405472,0.0015852413,5
lr,0.0015852413,0.0019299354,1
lr,0.0019299354,0.0022746297,3
lr,0.0022746297,0.0026193238,1
lr,0.0026193238,0.002964018,3
lr,0.002964018,0.003308712,0
lr,0.003308712,0.0036534062,3
lr,0.0036534062,0.0039981003,1
lr,0.0039981003,0.0043427944,0
lr,0.0043427944,0.0046874885,1
metab,-0.014816759,-0.013921403,1
metab,-0.013921403,-0.0130260475,0
metab,-0.0130260475,-0.012130692,0
metab,-0.012130692,-0.011235336,0
metab,-0.011235336,-0.01033998,0
metab,-0.01033998,-0.009444624,0
metab,-0.009444624,-0.008549268,0
metab,-0.008549268,-0.0076539125,0
metab,-0.0076539125,-0.0067585567,1
metab,-0.0067585567,-0.005863201,1
metab,-0.005863201,-0.004967845,0
metab,-0.004967845,-0.004072489,1
metab,-0.004072489,-0.0031771334,2
metab,-0.0031771334,-0.0022817776,3
metab,-0.0022817776,-0.0013864217,2
metab,-0.0013864217,-0.0004910659,17
metab,-0.0004910659,0.00040428992,2095
metab,0.00040428992,0.0012996458,52
metab,0.0012996458,0.0021950016,16
metab,0.0021950016,0.0030903574,5
metab,0.0030903574,0.0039857132,7
metab,0.0039857132,0.004881069,3
metab,0.004881069,0.005776425,2
metab,0.005776425,0.0066717807,3
metab,0.0066717807,0.0075671365,3
metab,0.0075671365,0.008462492,1
metab,0.008462492,0.009357848,1
metab,0.009357848,0.010253204,1
metab,0.010253204,0.01114856,2
metab,0.01114856,0.012043916,0
metab,0.012043916,0.0129392715,1
metab,0.0129392715,0.013834627,0
metab,0.013834627,0.014729983,0
metab,0.014729983,0.015625339,0
metab,0.015625339,0.016520694,0
metab,0.016520694,0.01741605,0
metab,0.01741605,0.018311407,0
metab,0.018311407,0.019206762,0
metab,0.019206762,0.020102117,1
metab,0.020102117,0.020997474,0
metab,0.020997474,0.02189283,1
metab,0.02189283,0.022788186,0
metab,0.022788186,0.02368354,0
metab,0.02368354,0.024578897,0
metab,0.024578897,0.025474254,0
metab,0.025474254,0.026369609,0
metab,0.026369609,0.027264964,0
metab,0.027264964,0.02816032,0
metab,0.02816032,0.029055677,0
metab,0.029055677,0.029951032,1
tf,-3.301982,-3.1407945,1
tf,-3.1407945,-2.979607,0
tf,-2.979607,-2.8184195,0
tf,-2.8184195,-2.657232,1
tf,-2.657232,-2.4960446,0
tf,-2.4960446,-2.3348572,0
tf,-2.3348572,-2.1736698,0
tf,-2.1736698,-2.0124822,0
tf,-2.0124822,-1.8512948,5
tf,-1.8512948,-1.6901073,4
tf,-1.6901073,-1.5289199,2
tf,-1.5289199,-1.3677324,3
tf,-1.3677324,-1.206545,2
tf,-1.206545,-1.0453575,3
tf,-1.0453575,-0.88417006,11
tf,-0.88417006,-0.7229826,11
tf,-0.7229826,-0.5617951,20
tf,-0.5617951,-0.40060768,23
tf,-0.40060768,-0.23942022,74
tf,-0.23942022,-0.078232765,273
tf,-0.078232765,0.08295469,2464
tf,0.08295469,0.24414214,300
tf,0.24414214,0.4053296,89
tf,0.4053296,0.56651706,34
tf,0.56651706,0.7277045,32
tf,0.7277045,0.888892,12
tf,0.888892,1.0500795,5
tf,1.0500795,1.2112669,4
tf,1.2112669,1.3724544,4
tf,1.3724544,1.5336418,3
tf,1.5336418,1.6948292,2
tf,1.6948292,1.8560168,3
tf,1.8560168,2.0172043,2
tf,2.0172043,2.1783917,1
tf,2.1783917,2.339579,1
tf,2.339579,2.5007665,0
tf,2.5007665,2.661954,1
tf,2.661954,2.8231416,1
tf,2.8231416,2.984329,0
tf,2.984329,3.1455164,0
tf,3.1455164,3.3067038,1
tf,3.3067038,3.4678912,0
tf,3.4678912,3.6290789,0
tf,3.6290789,3.7902663,0
tf,3.7902663,3.9514537,0
tf,3.9514537,4.1126413,0
tf,4.1126413,4.2738285,0
tf,4.2738285,4.435016,0
tf,4.435016,4.5962033,0
tf,4.5962033,4.757391,1
