gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,CD4,1.5363794e-08,6.078556e-08,10604
CD3E,TGFB2,TGFBR2,TGFB2$TGFBR2,CD4,7.765587e-07,3.18105e-06,10604
CD3E,TGFB3,TGFBR1,TGFB3$TGFBR1,CD4,2.0140344e-05,8.090615e-06,10604
CD3E,TGFB3,TGFBR2,TGFB3$TGFBR2,CD4,4.1614472e-05,1.628373e-05,10604
CD3E,BMP2,BMPR2,BMP2$BMPR2,CD4,-4.964485e-08,1.963109e-07,10604
CD3E,BMP5,BMPR2,BMP5$BMPR2,CD4,-1.6503323e-08,6.752904e-08,10604
CD3E,GDF15,TGFBR2,GDF15$TGFBR2,CD4,1.179508e-07,9.878828e-08,10604
CD3E,TGFA,EGFR,TGFA$EGFR,CD4,-4.6837827e-09,1.9463677e-08,10604
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,CD4,-6.078842e-08,2.4622665e-07,10604
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,CD4,-3.3364768e-07,1.370849e-06,10604
CD3E,PDGFC,PDGFRA,PDGFC$PDGFRA,CD4,-1.1698518e-06,4.6592554e-06,10604
CD3E,VEGFA,KDR,VEGFA$KDR,CD4,-1.529767e-07,6.145547e-07,10604
CD3E,VEGFD,KDR,VEGFD$KDR,CD4,-6.1383236e-09,2.4493255e-08,10604
CD3E,CCL8,CCR1,CCL8$CCR1,CD4,-4.166491e-05,1.8306899e-05,10604
CD3E,CCL7,CCR1,CCL7$CCR1,CD4,-2.6183428e-05,1.0952077e-05,10604
CD3E,CCL13,CCR1,CCL13$CCR1,CD4,-0.00011652475,4.2028278e-05,10604
CD3E,CCL14,CCR1,CCL14$CCR1,CD4,2.663546e-06,1.5411276e-06,10604
CD3E,CCL22,CCR4,CCL22$CCR4,CD4,-4.761687e-08,1.9305699e-07,10604
CD3E,CCL19,CCR7,CCL19$CCR7,CD4,-7.255719e-07,2.9813905e-06,10604
CD3E,CXCL9,CXCR3,CXCL9$CXCR3,CD4,6.2172494e-06,3.9153233e-06,10604
CD3E,CXCL10,CXCR3,CXCL10$CXCR3,CD4,3.7532102e-10,3.0315107e-08,10604
