gene,tf,cell_type,mean,std,n
CD3E,ARID3B,CD4,-0.02886533,0.18781923,10604
CD3E,BCL6,CD4,-0.19888735,0.15918627,10604
CD3E,BCL6B,CD4,-0.3008696,0.3342168,10604
CD3E,CTCF,CD4,0.060205482,0.16491036,10604
CD3E,EHF,CD4,0.16172087,0.48477137,10604
CD3E,ELK4,CD4,0.49492815,0.3618349,10604
CD3E,EP300,CD4,0.10727006,0.33681723,10604
CD3E,ESRRA,CD4,-0.23064522,0.5937881,10604
CD3E,ETV5,CD4,-0.12558843,0.04770072,10604
CD3E,FLI1,CD4,0.30309677,0.08891298,10604
CD3E,FOXA1,CD4,-0.037029672,0.09409475,10604
CD3E,FOXD2,CD4,-0.07187799,0.05988846,10604
CD3E,FOXI1,CD4,0.033011705,0.018665396,10604
CD3E,FOXJ2,CD4,-0.034501053,0.3779348,10604
CD3E,FOXL2,CD4,0.03334118,0.04535171,10604
CD3E,FOXO1,CD4,0.20894907,0.21177614,10604
CD3E,FOXO3,CD4,-0.046133105,0.15044166,10604
CD3E,FOXO4,CD4,0.016345143,0.34630516,10604
CD3E,GATA1,CD4,0.033589043,0.10488127,10604
CD3E,GATA2,CD4,0.18408525,0.24505523,10604
CD3E,GATA3,CD4,0.94317317,0.5214855,10604
CD3E,HOXA5,CD4,0.12871201,0.56355244,10604
CD3E,HOXB4,CD4,0.058774356,0.4075839,10604
CD3E,HOXB6,CD4,-0.058927942,0.2998743,10604
CD3E,HOXB7,CD4,-0.001906722,0.08243186,10604
CD3E,HOXB9,CD4,-0.029618086,0.30935156,10604
CD3E,IRX1,CD4,0.005836827,0.016546557,10604
CD3E,MECOM,CD4,0.12029655,0.53678,10604
CD3E,MEF2A,CD4,-0.063278206,0.23547742,10604
CD3E,MYEF2,CD4,0.30037174,0.21704875,10604
CD3E,NR3C1,CD4,0.027780578,0.19726408,10604
CD3E,PDX1,CD4,-0.09453375,0.02044606,10604
CD3E,PITX1,CD4,0.080364764,0.09269502,10604
CD3E,POU1F1,CD4,0.015773967,0.15476649,10604
CD3E,POU2F1,CD4,-0.14667566,0.1192052,10604
CD3E,PPARGC1A,CD4,-0.09396825,0.17997874,10604
CD3E,RUNX1,CD4,-0.06758759,0.054566815,10604
CD3E,SIN3A,CD4,0.09217451,0.04235612,10604
CD3E,SMAD4,CD4,0.007500105,0.067517124,10604
CD3E,STAT1,CD4,0.043018587,0.030088613,10604
CD3E,STAT3,CD4,-0.053453162,0.05546241,10604
CD3E,STAT5A,CD4,0.06493763,0.083490826,10604
CD3E,STAT5B,CD4,0.042937372,0.13742502,10604
CD3E,TCF7L2,CD4,-0.17985417,0.4203426,10604
CD3E,THRA,CD4,-0.17121011,0.09860003,10604
CD3E,THRB,CD4,0.44420594,0.27065295,10604
CD3E,ZBTB1,CD4,0.03985532,0.4401165,10604
CD3E,ARID3B,Cytotoxic CD4,0.23275419,0.21153429,377
CD3E,BCL6,Cytotoxic CD4,0.44467297,0.27623296,377
CD3E,BCL6B,Cytotoxic CD4,-0.12694485,0.18834464,377
CD3E,CTCF,Cytotoxic CD4,0.27733308,0.087243535,377
CD3E,EHF,Cytotoxic CD4,0.055838067,0.34204328,377
CD3E,ELK4,Cytotoxic CD4,0.40758055,0.23688856,377
CD3E,EP300,Cytotoxic CD4,0.0793026,0.22229299,377
CD3E,ESRRA,Cytotoxic CD4,-0.08933654,0.32475093,377
CD3E,ETV5,Cytotoxic CD4,-0.1150735,0.038695075,377
CD3E,FLI1,Cytotoxic CD4,0.07800433,0.07521834,377
CD3E,FOXA1,Cytotoxic CD4,0.24139936,0.09842744,377
CD3E,FOXD2,Cytotoxic CD4,-0.036298826,0.027803002,377
CD3E,FOXI1,Cytotoxic CD4,0.0010540975,0.0063843955,377
CD3E,FOXJ2,Cytotoxic CD4,-0.1103842,0.26020905,377
CD3E,FOXL2,Cytotoxic CD4,0.07146247,0.025642913,377
CD3E,FOXO1,Cytotoxic CD4,0.11653497,0.13051128,377
CD3E,FOXO3,Cytotoxic CD4,-0.35171145,0.17858118,377
CD3E,FOXO4,Cytotoxic CD4,-0.08137602,0.1967219,377
CD3E,GATA1,Cytotoxic CD4,0.03212,0.06789161,377
CD3E,GATA2,Cytotoxic CD4,-0.0982807,0.10483327,377
CD3E,GATA3,Cytotoxic CD4,1.8065081,0.20450959,377
CD3E,HOXA5,Cytotoxic CD4,-0.6083571,0.24407172,377
CD3E,HOXB4,Cytotoxic CD4,-0.13341716,0.20739485,377
CD3E,HOXB6,Cytotoxic CD4,-0.378722,0.17229755,377
CD3E,HOXB7,Cytotoxic CD4,-0.053656884,0.06927202,377
CD3E,HOXB9,Cytotoxic CD4,0.06932271,0.17019124,377
CD3E,IRX1,Cytotoxic CD4,-0.005046047,0.011688328,377
CD3E,MECOM,Cytotoxic CD4,-0.22807342,0.28964388,377
CD3E,MEF2A,Cytotoxic CD4,-0.4913259,0.14385426,377
CD3E,MYEF2,Cytotoxic CD4,-0.19978122,0.18116662,377
CD3E,NR3C1,Cytotoxic CD4,0.5447758,0.11644109,377
CD3E,PDX1,Cytotoxic CD4,-0.027193805,0.013875557,377
CD3E,PITX1,Cytotoxic CD4,0.028973065,0.04784716,377
CD3E,POU1F1,Cytotoxic CD4,0.14992987,0.11863884,377
CD3E,POU2F1,Cytotoxic CD4,-0.00076175353,0.11592451,377
CD3E,PPARGC1A,Cytotoxic CD4,0.017287105,0.08215205,377
CD3E,RUNX1,Cytotoxic CD4,0.23091319,0.0607157,377
CD3E,SIN3A,Cytotoxic CD4,0.2584099,0.053500045,377
CD3E,SMAD4,Cytotoxic CD4,0.17740887,0.021405345,377
CD3E,STAT1,Cytotoxic CD4,0.08780227,0.027180608,377
CD3E,STAT3,Cytotoxic CD4,-0.12945473,0.034659695,377
CD3E,STAT5A,Cytotoxic CD4,0.18762009,0.07562222,377
CD3E,STAT5B,Cytotoxic CD4,0.370979,0.12587377,377
CD3E,TCF7L2,Cytotoxic CD4,-0.24609375,0.2670378,377
CD3E,THRA,Cytotoxic CD4,0.092222795,0.07369039,377
CD3E,THRB,Cytotoxic CD4,-0.43057984,0.085606284,377
CD3E,ZBTB1,Cytotoxic CD4,0.10013078,0.2535346,377
CD3E,ARID3B,Cytotoxic CD8,-0.42844138,0.56169796,11464
CD3E,BCL6,Cytotoxic CD8,-0.42253608,0.28774023,11464
CD3E,BCL6B,Cytotoxic CD8,-1.5239325,0.6757487,11464
CD3E,CTCF,Cytotoxic CD8,0.6957423,0.1273295,11464
CD3E,EHF,Cytotoxic CD8,2.151602,0.52080184,11464
CD3E,ELK4,Cytotoxic CD8,1.8270038,0.124404535,11464
CD3E,EP300,Cytotoxic CD8,1.4145796,0.10844206,11464
CD3E,ESRRA,Cytotoxic CD8,-2.722055,0.9918876,11464
CD3E,ETV5,Cytotoxic CD8,0.0033218313,0.006792367,11464
CD3E,FLI1,Cytotoxic CD8,0.5174044,0.101672076,11464
CD3E,FOXA1,Cytotoxic CD8,-0.37370503,0.1440834,11464
CD3E,FOXD2,Cytotoxic CD8,-0.10437602,0.0215334,11464
CD3E,FOXI1,Cytotoxic CD8,0.024146203,0.019213786,11464
CD3E,FOXJ2,Cytotoxic CD8,1.3877923,0.13577306,11464
CD3E,FOXL2,Cytotoxic CD8,-0.18233688,0.17608932,11464
CD3E,FOXO1,Cytotoxic CD8,0.99709487,0.38559696,11464
CD3E,FOXO3,Cytotoxic CD8,-0.6291226,0.07370339,11464
CD3E,FOXO4,Cytotoxic CD8,-1.5253192,0.8330618,11464
CD3E,GATA1,Cytotoxic CD8,0.44043297,0.031776946,11464
CD3E,GATA2,Cytotoxic CD8,-0.77153164,0.54040855,11464
CD3E,GATA3,Cytotoxic CD8,0.8765682,0.22176239,11464
CD3E,HOXA5,Cytotoxic CD8,-1.9709433,0.17782912,11464
CD3E,HOXB4,Cytotoxic CD8,-1.4339808,0.44772285,11464
CD3E,HOXB6,Cytotoxic CD8,-0.87459195,0.5904806,11464
CD3E,HOXB7,Cytotoxic CD8,0.31119046,0.03855051,11464
CD3E,HOXB9,Cytotoxic CD8,1.1240773,0.12899245,11464
CD3E,IRX1,Cytotoxic CD8,0.042800795,0.036706455,11464
CD3E,MECOM,Cytotoxic CD8,-1.9587252,0.14153802,11464
CD3E,MEF2A,Cytotoxic CD8,-0.9890181,0.14069723,11464
CD3E,MYEF2,Cytotoxic CD8,0.011294125,0.014319148,11464
CD3E,NR3C1,Cytotoxic CD8,0.82906365,0.25643843,11464
CD3E,PDX1,Cytotoxic CD8,-0.08946064,0.0057548895,11464
CD3E,PITX1,Cytotoxic CD8,-0.25754356,0.023576366,11464
CD3E,POU1F1,Cytotoxic CD8,-0.4880146,0.2189557,11464
CD3E,POU2F1,Cytotoxic CD8,-0.601846,0.38961267,11464
CD3E,PPARGC1A,Cytotoxic CD8,0.62613887,0.2590633,11464
CD3E,RUNX1,Cytotoxic CD8,0.03197005,0.03888752,11464
CD3E,SIN3A,Cytotoxic CD8,-0.09543413,0.08355495,11464
CD3E,SMAD4,Cytotoxic CD8,0.2615394,0.023388842,11464
CD3E,STAT1,Cytotoxic CD8,-0.06000587,0.013163063,11464
CD3E,STAT3,Cytotoxic CD8,0.13399173,0.096188545,11464
CD3E,STAT5A,Cytotoxic CD8,-0.088595875,0.12882686,11464
CD3E,STAT5B,Cytotoxic CD8,0.56790334,0.037743106,11464
CD3E,TCF7L2,Cytotoxic CD8,-1.8086338,0.37679046,11464
CD3E,THRA,Cytotoxic CD8,-0.11220147,0.1375536,11464
CD3E,THRB,Cytotoxic CD8,-0.14396171,0.0581325,11464
CD3E,ZBTB1,Cytotoxic CD8,1.7728043,0.16442162,11464
CD3E,ARID3B,Exhausted CD4,-0.0009404533,0.092855625,14488
CD3E,BCL6,Exhausted CD4,-0.16404885,0.12134496,14488
CD3E,BCL6B,Exhausted CD4,-0.23505773,0.18586932,14488
CD3E,CTCF,Exhausted CD4,0.025710389,0.071633965,14488
CD3E,EHF,Exhausted CD4,0.08273232,0.20701788,14488
CD3E,ELK4,Exhausted CD4,0.39681283,0.19301313,14488
CD3E,EP300,Exhausted CD4,0.02667175,0.14877105,14488
CD3E,ESRRA,Exhausted CD4,-0.11213004,0.26333082,14488
