cell_type,gene_pair,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
T Cell,SLC2A1_SLC2A1,2451,0.0032639738882088943,0.04549963800836873,13.93995159481397,1.9666117802102812,-2.3434164757171922
T Cell,SLC2A9_SLC2A9,2451,0.0,0.0,,2.9636368742555574,-inf
T Cell,SLC2A3_SLC2A4,2451,0.002039983680130559,0.056264694793311414,27.580953387681255,2.841178913470738,1.0587722237296175
T Cell,SLC2A3_SLC2A3,2451,0.06119951040391677,1.6603939158542063,27.130836585057732,1.5618528611990725,0.33916187581016743
T Cell,SLC2A3_SLC2A9,2451,0.002039983680130559,0.15198735560623233,36.75869077923089,2.8023832522668695,0.6380210732563801
T Cell,SLC1A5_SLC38A7,2451,0.0004079967360261118,0.020358243272177185,25.9493434956662,2.89416954793454,-2.4254273000566218
T Cell,SLC1A5_SLC3A2,2451,0.0008159934720522236,0.21938777812190066,72.00239692139667,2.6039953532055655,-1.7750549096891777
T Cell,SLC38A7_SLC38A7,2451,0.0,0.0,,2.8576140433857367,-inf
T Cell,SLC7A7_SLC7A7,2451,0.0012239902080783353,0.017271083886829252,14.110475535539498,2.9299468903509096,1.0014060044226427
T Cell,SLC38A7_SLC3A2,2451,0.0,0.0,,2.83180891686216,-inf
T Cell,SLC1A5_SLC1A5,2451,0.007751937984496124,0.23905968457081717,22.852923854206733,1.028838783407276,-3.1578622196665123
T Cell,SLC7A5_SLC7A5,2451,0.0028559771521827824,0.050040855794439655,17.5214482217388,2.9420668576181446,2.312025608770826
T Cell,SLC3A2_SLC3A2,2451,0.00448796409628723,0.07113167059639965,15.849429511979594,1.8645747118298834,-2.0423817282196794
T Cell,SLC43A2_SLC7A11,2451,0.0,0.0,,2.982771336240263,-inf
T Cell,SLC1A5_SLC43A2,2451,0.0008159934720522236,0.06872804751476178,35.97375212887755,2.8253856588355317,-1.4789905764720304
T Cell,SLC43A2_SLC43A2,2451,0.0004079967360261118,0.005950642924042646,14.585025806828526,2.757620082420422,-1.958301289629324
T Cell,SLC1A5_SLC7A11,2451,0.0,0.0,,2.9442916189294914,-inf
T Cell,SLC16A1_SLC16A1,2451,0.0,0.0,,2.014805110617206,-inf
T Cell,SLC16A4_SLC16A4,2451,0.0004079967360261118,0.004200207053643625,10.294707488480526,2.830928359517027,-1.1355416745733968
T Cell,SLC16A1_SLC22A5,2451,0.0004079967360261118,0.03522934750795389,42.2500029307912,2.8574035190350586,-3.1250797357547726
T Cell,SLC22A5_SLC22A5,2451,0.0008159934720522236,0.017906319576527586,21.944194641034557,2.2497072870859354,-3.501004434561667
T Cell,SLCO2B1_SLCO2B1,2451,0.0036719706242350062,0.06699398972281463,18.24469653451318,2.6314831901308837,0.08530726203158796
T Cell,SLC1A1_SLC3A2,2451,0.0,0.0,,2.8133201251142004,-inf
T Cell,SLC16A1_SLC7A11,2451,0.0004079967360261118,0.014274836865292672,34.98762515683234,2.9762316963430235,-1.7232812599651266
T Cell,SLC1A1_SLC7A11,2451,0.0004079967360261118,0.01632768893950045,40.0191655907156,2.9848039167672025,0.032300012368426355
T Cell,SLC16A1_SLC1A1,2451,0.0,0.0,,2.9338942866345863,-inf
T Cell,SLC1A1_SLC1A1,2451,0.0,0.0,,2.766974426644466,-inf
T Cell,SLC1A2_SLC7A11,2451,0.0004079967360261118,0.013407402054488269,32.861542435550746,2.9924707408048232,2.2990865530633275
T Cell,SLC16A1_SLC1A5,2451,0.0,0.12745768758377718,,2.3111526023430464,-inf
T Cell,SLC1A1_SLC1A5,2451,0.0,0.09075150157154939,,2.5301362231248463,-inf
T Cell,SLC16A1_SLC3A2,2451,0.0004079967360261118,0.025364768527142516,38.08491506090331,2.7250412180333363,-2.8708384483789846
T Cell,SLC1A3_SLC1A3,2451,0.0004079967360261118,0.004137399197720458,10.140765433612842,2.930301511372686,-0.1603450655739694
T Cell,SLC3A1_SLC3A1,2451,0.0,0.0,,2.9909051501333357,-inf
T Cell,SLC39A8_SLC39A8,2451,0.002039983680130559,0.03740296636573939,18.33493411248545,2.480800246807837,-1.4247450134319926
T Cell,CUBN_CUBN,2451,0.0,0.0,,2.9863399676110927,-inf
T Cell,SLC11A2_SLC3A2,2451,0.0004079967360261118,0.16780927999799294,35.69635365009162,2.6302795992182673,-2.750761996387234
T Cell,SLC11A2_SLC40A1,2451,0.002039983680130559,0.41761037606233053,76.0647433295439,2.1978525307116223,-0.8648146607512144
T Cell,SLC3A2_SLC40A1,2451,0.0024479804161566705,0.3836731068991543,92.56459068029581,2.3154076209943457,-0.6858065545464641
T Cell,SLC40A1_SLC40A1,2451,0.030599755201958383,0.9421342436973911,30.728332206745478,1.4214149805503637,-0.7382956689397523
T Cell,CUBN_SLC11A2,2451,0.0,0.01386216000957737,,2.8447551612332003,-inf
T Cell,SLC11A2_SLC11A2,2451,0.006527947776417789,0.1227601813098706,17.489719367864204,1.394143814711102,-3.0115262285962006
T Cell,SLC16A9_SLC22A4,2451,0.0,0.0,,2.947765440177034,-inf
T Cell,SLC16A9_SLC16A9,2451,0.0004079967360261118,0.004583303767836672,11.233677534967683,2.5029224680184057,-3.4168754371918166
T Cell,SLC22A4_SLC22A5,2451,0.0,0.012697462285254308,,2.90132614067054,-inf
T Cell,SLCO1B1_SLCO1B1,2451,0.0,0.0,,2.995889765019348,-inf
T Cell,SLC16A9_SLC22A5,2451,0.0,0.0,,2.8860493769221613,-inf
T Cell,SLC22A4_SLC22A4,2451,0.0004079967360261118,0.0032707254359004225,8.016548043391936,2.748273742969534,-2.2047391849324227
T Cell,SLC5A1_SLC5A1,2451,0.0,0.0,,2.9439484854601856,-inf
T Cell,SLC29A1_SLC29A1,2451,0.0,0.0,,2.4451321642554107,-inf
T Cell,SLC12A2_SLC1A5,2451,0.0,0.15246144046301263,,2.144084518007168,-inf
T Cell,SLC22A5_SLC5A1,2451,0.0,0.0,,2.9652881408846365,-inf
T Cell,SLC12A2_SLC22A5,2451,0.0,0.006346889015546201,,2.8176636582312335,-inf
T Cell,SLC1A5_SLC6A4,2451,0.0,0.01166684361041421,,2.9533347130608756,-inf
T Cell,SLC22A4_SLC5A1,2451,0.0004079967360261118,0.006458982824443398,15.83096690271077,2.9753367765317806,-0.9005857917730364
