cell_type,metabolite,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",2451,0.0,0.0,,2.901420147346233,-inf
T Cell,17a-Ethynylestradiol,2451,0.0032639738882088943,0.0639188573491351,19.583139920341267,2.7777241416604617,0.41644350370148653
T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",2451,0.0,0.0,,2.901420147346233,-inf
T Cell,2-Hydroxychlorpropamide,2451,0.0032639738882088943,0.0639188573491351,19.583139920341267,2.7777241416604617,0.41644350370148653
T Cell,25-Hydroxycholesterol,2451,0.0024479804161566705,0.04688852057798192,19.153960656105614,2.0879619590882217,-2.0650481019447238
T Cell,"3',4'-Dihydrodiol",2451,0.0032639738882088943,0.0639188573491351,19.583139920341267,2.7777241416604617,0.41644350370148653
T Cell,3-Sulfodeoxycholic acid,2451,0.0,0.0,,2.901420147346233,-inf
T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",2451,0.0,0.0,,2.901420147346233,-inf
T Cell,3b-Hydroxy-5-cholenoic acid,2451,0.0,0.0,,2.901420147346233,-inf
T Cell,4'-Hydroxydiclofenac,2451,0.0,0.7156550427040091,,0.6521599695686588,-inf
T Cell,4-Hydroxycyclophosphamide,2451,0.0032639738882088943,0.0639188573491351,19.583139920341267,2.7777241416604617,0.41644350370148653
T Cell,4-Hydroxyvalsartan,2451,0.0,0.0,,2.9158989528443287,-inf
T Cell,4-ene-Valproic acid,2451,0.0008159934720522236,0.053135667084481475,36.16575193089463,1.7923033769694836,-3.569736001711671
T Cell,5-Hydroxyomeprazole,2451,0.0024479804161566705,0.17623907916329454,37.17210092931972,2.560283686460704,-0.7251296843574956
T Cell,5-Methyltetrahydrofolic acid,2451,0.0,0.0,,2.9952756687409634,-inf
T Cell,8-Hydroxycarvedilol,2451,0.0032639738882088943,0.0639188573491351,19.583139920341267,2.7777241416604617,0.41644350370148653
T Cell,ADP,2451,0.0012239902080783353,0.04638220880096452,25.097034297085127,2.327081618320732,-1.5464034978810475
T Cell,Acetate,2451,0.004895960832313341,0.1430918614717427,26.2409077167212,1.8744373197304176,-2.028840282445478
T Cell,Acetyl-L-Carnitine,2451,0.0008159934720522236,0.017906319576527586,21.944194641034557,2.2497072870859354,-3.501004434561667
T Cell,Adenine,2451,0.0004079967360261118,0.0068352415361607735,16.753177005130055,2.886276071010903,-0.7343364484741225
T Cell,Adenosine,2451,0.0,0.0,,2.4451321642554107,-inf
T Cell,Adenosine diphosphate ribose,2451,0.004079967360261118,0.061390296362493456,15.046761638447146,1.455193723306013,-3.7366748020103153
