,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
17,CD8 T Cell,CD8 T Cell,Acetate,57.750134,1.0984593079753504,0.1360019885033399,0.3346991619321325,43.477158,0.00999000999000999,0.019118812222260497,True
40,CD8 T Cell,CD8 T Cell,Citric acid,60.69194,2.3088302205693743,0.01047650217210052,0.030805079234520732,43.477158,0.007992007992007992,0.016581549291829666,True
114,CD8 T Cell,CD8 T Cell,Nicotinate,57.587296,1.095361983582664,0.13667904111597218,0.3346991619321325,43.477158,0.00999000999000999,0.019118812222260497,True
118,CD8 T Cell,CD8 T Cell,Oxalic acid,60.69194,2.3088302205693743,0.01047650217210052,0.030805079234520732,43.477158,0.007992007992007992,0.016581549291829666,True
149,CD8 T Cell,other,17a-Ethynylestradiol,106.971085,0.9947463578446454,0.15992982080222606,0.3604509666811592,175.58784,0.028971028971028972,0.047465449679471826,True
151,CD8 T Cell,other,2-Hydroxychlorpropamide,106.971085,0.9947463578446454,0.15992982080222606,0.3604509666811592,175.58784,0.028971028971028972,0.047465449679471826,True
153,CD8 T Cell,other,"3',4'-Dihydrodiol",106.971085,0.9947463578446454,0.15992982080222606,0.3604509666811592,175.58784,0.028971028971028972,0.047465449679471826,True
158,CD8 T Cell,other,4-Hydroxycyclophosphamide,106.971085,0.9947463578446454,0.15992982080222606,0.3604509666811592,175.58784,0.028971028971028972,0.047465449679471826,True
161,CD8 T Cell,other,5-Hydroxyomeprazole,309.76703,1.440294004941297,0.07489211840881603,0.19792917008044236,335.59967,0.002997002997002997,0.006894659744400677,True
163,CD8 T Cell,other,8-Hydroxycarvedilol,106.971085,0.9947463578446454,0.15992982080222606,0.3604509666811592,175.58784,0.028971028971028972,0.047465449679471826,True
165,CD8 T Cell,other,Acetate,235.07417,1.0930018063983955,0.13719650331452277,0.3346991619321325,231.19171,0.002997002997002997,0.006894659744400677,True
172,CD8 T Cell,other,Amiloride-sensitive sodium transport,160.50203,0.8617193778510245,0.1944209797665994,0.4150140145017795,85.31905,0.027972027972027972,0.047465449679471826,True
185,CD8 T Cell,other,Cholesterol,272.4789,1.034435057022976,0.1504664112756297,0.35931604898440417,402.49683,0.003996003996003996,0.008826993901620768,True
188,CD8 T Cell,other,Citric acid,15.459765,0.14376357327899728,0.44284358415753966,0.6371649306050271,112.197,0.005994005994005994,0.012673041244469815,True
191,CD8 T Cell,other,Cortisol,316.42322,1.6988446771948458,0.04467422655199075,0.12320097260300554,335.59967,0.002997002997002997,0.006894659744400677,True
196,CD8 T Cell,other,D-Galactose,369.4879,2.429579972893808,0.0075581648063754005,0.022674494419126202,3994.4639,0.000999000999000999,0.0029768888829291512,True
197,CD8 T Cell,other,D-Glucose,471.01703,1.958833690307289,0.025066133337995282,0.07088766370745163,4256.4644,0.000999000999000999,0.0029768888829291512,True
199,CD8 T Cell,other,D-Maltose,300.28217,2.7923862940691695,0.00261604263455562,0.008066131456546496,3857.1306,0.000999000999000999,0.0029768888829291512,True
200,CD8 T Cell,other,D-Mannose,369.4879,2.429579972893808,0.0075581648063754005,0.022674494419126202,3994.4639,0.000999000999000999,0.0029768888829291512,True
201,CD8 T Cell,other,D-Xylose,300.28217,2.7923862940691695,0.00261604263455562,0.008066131456546496,3857.1306,0.000999000999000999,0.0029768888829291512,True
202,CD8 T Cell,other,Dehydroascorbic acid,381.3709,2.0475423584413117,0.02030243115655075,0.05815664150650667,4054.3215,0.000999000999000999,0.0029768888829291512,True
206,CD8 T Cell,other,Docosahexaenoic acid,381.3709,2.0475423584413117,0.02030243115655075,0.05815664150650667,4054.3215,0.000999000999000999,0.0029768888829291512,True
208,CD8 T Cell,other,E-3179,106.971085,0.9947463578446454,0.15992982080222606,0.3604509666811592,175.58784,0.028971028971028972,0.047465449679471826,True
209,CD8 T Cell,other,Estradiol,475.06546,1.6697459337934497,0.047484820754490904,0.1301435828086047,861.9498,0.000999000999000999,0.0029768888829291512,True
210,CD8 T Cell,other,Estriol,106.971085,0.9947463578446454,0.15992982080222606,0.3604509666811592,175.58784,0.028971028971028972,0.047465449679471826,True
214,CD8 T Cell,other,Fatty acid,404.50833,2.171764860820118,0.014936701703501126,0.04363089181812171,439.96722,0.000999000999000999,0.0029768888829291512,True
215,CD8 T Cell,other,Folic acid,504.3821,1.5634513737300966,0.05897323228948797,0.15965923863739426,836.0682,0.005994005994005994,0.012673041244469815,True
220,CD8 T Cell,other,Glycerol,106.971085,0.9947463578446454,0.15992982080222606,0.3604509666811592,175.58784,0.028971028971028972,0.047465449679471826,True
226,CD8 T Cell,other,Hydroxylansoprazole,316.42322,1.6988446771948458,0.04467422655199075,0.12320097260300554,335.59967,0.002997002997002997,0.006894659744400677,True
229,CD8 T Cell,other,Iron,238.8316,0.7852225449926417,0.21616154963865786,0.4505902724862164,3958.291,0.000999000999000999,0.0029768888829291512,True
257,CD8 T Cell,other,N-Desmethylcitalopram,89.73889,0.590081041762339,0.27756815913451127,0.5501797439987635,175.58784,0.028971028971028972,0.047465449679471826,True
258,CD8 T Cell,other,N-Desmethyleletriptan,106.971085,0.9947463578446454,0.15992982080222606,0.3604509666811592,175.58784,0.028971028971028972,0.047465449679471826,True
259,CD8 T Cell,other,N-Desmethyltamoxifen,316.42322,1.6988446771948458,0.04467422655199075,0.12320097260300554,335.59967,0.002997002997002997,0.006894659744400677,True
260,CD8 T Cell,other,N-desmethylimatinib,316.42322,1.6988446771948458,0.04467422655199075,0.12320097260300554,335.59967,0.002997002997002997,0.006894659744400677,True
262,CD8 T Cell,other,Nicotinate,201.3305,0.9361071157672002,0.17460901985047528,0.3825071702614022,208.89209,0.023976023976023976,0.04258141858141858,True
264,CD8 T Cell,other,O-Deethylated candesartan,106.971085,0.9947463578446454,0.15992982080222606,0.3604509666811592,175.58784,0.028971028971028972,0.047465449679471826,True
266,CD8 T Cell,other,Oxalic acid,15.459765,0.14376357327899728,0.44284358415753966,0.6371649306050271,112.197,0.005994005994005994,0.012673041244469815,True
279,CD8 T Cell,other,Testosterone,343.71204,1.5981248455404444,0.05500759760372301,0.14983664623345408,351.63275,0.001998001998001998,0.005510017932378181,True
296,other,other,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",32316.105,19.228451292098672,1.0696076747934101e-82,7.306243193973448e-82,7862.5366,0.000999000999000999,0.0029768888829291512,True
297,other,other,17a-Ethynylestradiol,22253.178,22.93390206510919,1.0666167412131982e-116,1.18394458274665e-115,7150.6216,0.000999000999000999,0.0029768888829291512,True
298,other,other,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",32316.105,19.228451292098672,1.0696076747934101e-82,7.306243193973448e-82,7862.5366,0.000999000999000999,0.0029768888829291512,True
299,other,other,2-Hydroxychlorpropamide,22253.178,22.93390206510919,1.0666167412131982e-116,1.18394458274665e-115,7150.6216,0.000999000999000999,0.0029768888829291512,True
300,other,other,25-Hydroxycholesterol,13342.339,13.750480787600292,2.5296096854048166e-43,1.3370794051425458e-42,27741.219,0.000999000999000999,0.0029768888829291512,True
301,other,other,"3',4'-Dihydrodiol",22253.178,22.93390206510919,1.0666167412131982e-116,1.18394458274665e-115,7150.6216,0.000999000999000999,0.0029768888829291512,True
302,other,other,3-Sulfodeoxycholic acid,32316.105,19.228451292098672,1.0696076747934101e-82,7.306243193973448e-82,7862.5366,0.000999000999000999,0.0029768888829291512,True
303,other,other,"3alpha,7alpha-Dihydroxycoprostanic acid",32316.105,19.228451292098672,1.0696076747934101e-82,7.306243193973448e-82,7862.5366,0.000999000999000999,0.0029768888829291512,True
304,other,other,3b-Hydroxy-5-cholenoic acid,32316.105,19.228451292098672,1.0696076747934101e-82,7.306243193973448e-82,7862.5366,0.000999000999000999,0.0029768888829291512,True
305,other,other,4'-Hydroxydiclofenac,119620.3,55.13225938337825,0.0,0.0,2.1916622e+06,0.000999000999000999,0.0029768888829291512,True
306,other,other,4-Hydroxycyclophosphamide,22253.178,22.93390206510919,1.0666167412131982e-116,1.18394458274665e-115,7150.6216,0.000999000999000999,0.0029768888829291512,True
307,other,other,4-Hydroxyvalsartan,26840.146,19.55941227520032,1.7150400740116074e-85,1.6553865062198995e-84,7380.6904,0.000999000999000999,0.0029768888829291512,True
308,other,other,4-ene-Valproic acid,16317.381,9.70902769742853,1.3797843616886425e-22,6.315713985461416e-22,85497.07,0.000999000999000999,0.0029768888829291512,True
309,other,other,5-Hydroxyomeprazole,80255.0,41.35499954669804,0.0,0.0,20584.922,0.000999000999000999,0.0029768888829291512,True
