,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,Effector CD8 T cell,Effector CD8 T cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",-2.9220386,-0.06469502101396796,0.5257915864126655,0.6412770403576286,0.0,0.000999000999000999,0.002193652045284093,False
1,Effector CD8 T cell,Effector CD8 T cell,17a-Ethynylestradiol,-7.613108,-0.29194937067899335,0.6148373326867862,0.6499708945546026,0.0,0.3516483516483517,0.38551078551078555,False
2,Effector CD8 T cell,Effector CD8 T cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",-2.9220386,-0.06469502101396796,0.5257915864126655,0.6412770403576286,0.0,0.000999000999000999,0.002193652045284093,False
3,Effector CD8 T cell,Effector CD8 T cell,2-Hydroxychlorpropamide,-7.613108,-0.29194937067899335,0.6148373326867862,0.6499708945546026,0.0,0.3516483516483517,0.38551078551078555,False
4,Effector CD8 T cell,Effector CD8 T cell,25-Hydroxycholesterol,-3.1887386,-0.12228254264561797,0.5486623714068233,0.6412770403576286,0.0,0.026973026973026972,0.041154721567092704,False
5,Effector CD8 T cell,Effector CD8 T cell,"3',4'-Dihydrodiol",-7.613108,-0.29194937067899335,0.6148373326867862,0.6499708945546026,0.0,0.3516483516483517,0.38551078551078555,False
6,Effector CD8 T cell,Effector CD8 T cell,3-Sulfodeoxycholic acid,-2.9220386,-0.06469502101396796,0.5257915864126655,0.6412770403576286,0.0,0.000999000999000999,0.002193652045284093,False
7,Effector CD8 T cell,Effector CD8 T cell,"3alpha,7alpha-Dihydroxycoprostanic acid",-2.9220386,-0.06469502101396796,0.5257915864126655,0.6412770403576286,0.0,0.000999000999000999,0.002193652045284093,False
8,Effector CD8 T cell,Effector CD8 T cell,3b-Hydroxy-5-cholenoic acid,-2.9220386,-0.06469502101396796,0.5257915864126655,0.6412770403576286,0.0,0.000999000999000999,0.002193652045284093,False
9,Effector CD8 T cell,Effector CD8 T cell,4'-Hydroxydiclofenac,19.499565,0.3344147829747969,0.3690332928565497,0.6412770403576286,45.685978,0.2677322677322677,0.30293865156250477,False
