,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
0,SLC2A1,SLC2A1,11394.206853703045,8.594436478790946,4.1837199665665955e-18,5.80142502030568e-17,0.01788224182667506,42812.70979125028,0.000999001,0.0032215845272984614,0.07589451501762504,True
3,SLC2A9,SLC2A9,6643.896470076077,5.01136647042483,2.702243960123131e-07,2.341944765440047e-06,0.007654242556318173,787.0824162147869,0.000999001,0.0032215845272984614,0.012380527535474596,True
10,SLC2A3,SLC2A4,17129.82937569673,8.307304319569267,4.8950320173707e-17,6.36354162258191e-16,0.022472962324204943,9963.686754961305,0.000999001,0.0032215845272984614,0.006588037497220456,True
11,SLC2A3,SLC2A3,111368.73717139778,84.00334921352372,0.0,0.0,0.14610685136759033,288018.93381379824,0.000999001,0.0032215845272984614,0.19043950121474174,True
13,SLC2A3,SLC2A9,10186.754252180755,4.940181582987299,3.902492608776041e-07,3.3131365821445576e-06,0.01336420459855756,13324.26013498329,0.000999001,0.0032215845272984614,0.008810064743181552,True
15,SLC1A5,SLC38A7,-306.50146577880986,-0.19293012818959462,0.5764931553016168,0.9505941972897578,-0.0004811785055825561,47863.81811263054,0.000999001,0.0032215845272984614,0.022947346155201626,True
16,SLC1A5,SLC3A2,6034.481087851297,3.7387559349227666,9.24665793962452e-05,0.0006411016171473001,0.009473568370840825,266435.3395879647,0.000999001,0.0032215845272984614,0.1277370716877752,True
17,SLC38A7,SLC38A7,1628.7040755035036,1.2285009302875347,0.10962949018976081,0.35630111970462086,0.0024939449464404335,1685.8775472972754,0.000999001,0.0032215845272984614,0.014737291876942595,True
19,SLC7A7,SLC7A7,8580.545171787358,6.4721442553376285,4.8310903769320786e-11,4.901789260496939e-10,0.010231230683532645,1615.9609827014547,0.000999001,0.0032215845272984614,0.016163863060104606,True
20,SLC38A7,SLC3A2,954.3115700037667,0.5912584684870534,0.2771736261910044,0.6848811813756566,0.0014612848049789327,15443.618868659145,0.000999001,0.0032215845272984614,0.13500216505555904,True
24,SLC1A5,SLC1A5,13902.317289223334,10.48625712911259,4.995402520191153e-26,8.658697701664664e-25,0.021825332026929243,439823.68478693196,0.000999001,0.0032215845272984614,0.21086463094758168,True
26,SLC7A5,SLC7A5,13742.343533738553,10.365591926396812,1.7777510719118363e-25,2.9581777836612956e-24,0.013113229186228677,1676.4962693788648,0.000999001,0.0032215845272984614,0.01773168663156719,True
28,SLC3A2,SLC3A2,7107.698709250562,5.361203798681746,4.1334593735584936e-08,3.738084998696377e-07,0.01037695529587455,46754.38355188069,0.000999001,0.0032215845272984614,0.07023190859996056,True
30,SLC43A2,SLC7A11,624.2824638287057,0.3894476111827545,0.34847252889251074,0.7799671279872068,0.0009007432059548902,1503.4540213646178,0.007992008,0.02261683831409532,0.008642155704348552,True
32,SLC1A5,SLC43A2,-4072.205479251451,-2.5403736097494374,0.9944632945583651,1.0,-0.006392980020348007,62719.54734697564,0.000999001,0.0032215845272984614,0.030069627130076614,True
33,SLC43A2,SLC43A2,3596.548809018933,2.7128092967645916,0.0033357744244026945,0.016922953177457574,0.00518926462348596,3626.223635916961,0.000999001,0.0032215845272984614,0.020844261836447022,True
34,SLC1A5,SLC7A11,496.7446917530575,0.3126804526493844,0.3772617239787924,0.8174004019540501,0.000779842497087101,17220.909957880183,0.000999001,0.0032215845272984614,0.008256219363468513,True
36,SLC16A1,SLC16A1,9087.621345884741,6.854622300904439,3.5750589000918244e-12,3.9137486906268394e-11,0.014609341168944957,39098.75780510454,0.000999001,0.0032215845272984614,0.07446258150184841,True
37,SLC16A4,SLC16A4,9615.468101392144,7.252767206380674,2.0417079203858043e-13,2.2955418780553907e-12,0.009001631030244954,2642.647081810295,0.000999001,0.0032215845272984614,0.01584585154399284,True
39,SLC16A1,SLC22A5,8206.23642822887,5.288511016828834,6.165803161042803e-08,5.457391734029375e-07,0.013192418910291643,52516.8488025143,0.000999001,0.0032215845272984614,0.10001699168219944,True
40,SLC22A5,SLC22A5,3670.704455664997,2.7687435098981843,0.0028136458172562514,0.015006111025366675,0.0062092473874723235,20307.069183620806,0.000999001,0.0032215845272984614,0.055535816105149245,True
43,SLCO2B1,SLCO2B1,19303.56300653558,14.56031544837992,2.5112752606314792e-48,5.803836157903864e-47,0.027365211955195087,12795.735278321634,0.000999001,0.0032215845272984614,0.0419570894796268,True
44,SLC1A1,SLC3A2,-2155.0064620778858,-1.2650499739915746,0.8970732929284475,1.0,-0.0027880864422074794,18501.243206901134,0.000999001,0.0032215845272984614,0.11277718119497453,True
45,SLC16A1,SLC7A11,3145.613473597293,2.027191350785261,0.021321423678459937,0.08781893317068647,0.005056916290006229,5282.6550006955495,0.000999001,0.0032215845272984614,0.010060680968337165,True
47,SLC1A1,SLC7A11,1855.8894110593783,1.0894597730941986,0.13797559245542268,0.4129442305670905,0.0024010972571385566,1489.1632969017783,0.002997003,0.00916730338597999,0.00907742453225808,True
