,Metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",34135.72601243838,6.607472316681641,1.954686285901844e-11,3.514042761171854e-11,9387.195375277845,0.000999001,0.0012018056796457533,True
1,17a-Ethynylestradiol,27692.2632266778,6.914435172654028,2.3486557650808017e-12,6.061047135692391e-12,10084.622808236047,0.000999001,0.0012018056796457533,True
2,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",34135.72601243838,6.607472316681641,1.954686285901844e-11,3.514042761171854e-11,9387.195375277845,0.000999001,0.0012018056796457533,True
3,2-Hydroxychlorpropamide,22624.649609721433,8.45686224127539,1.3733403833892059e-17,4.225662718120634e-17,7949.1921721781955,0.000999001,0.0012018056796457533,True
4,25-Hydroxycholesterol,13437.667401012124,10.135780435088844,1.9165022040862857e-24,6.132807053076114e-24,27971.066653578127,0.000999001,0.0012018056796457533,True
5,"3',4'-Dihydrodiol",32306.52748108234,8.07510292326556,3.370987694123971e-16,9.522687687323885e-16,11124.053125772632,0.000999001,0.0012018056796457533,True
6,3-Sulfodeoxycholic acid,34135.72601243838,6.607472316681641,1.954686285901844e-11,3.514042761171854e-11,9387.195375277845,0.000999001,0.0012018056796457533,True
7,"3alpha,7alpha-Dihydroxycoprostanic acid",34135.72601243838,6.607472316681641,1.954686285901844e-11,3.514042761171854e-11,9387.195375277845,0.000999001,0.0012018056796457533,True
8,3b-Hydroxy-5-cholenoic acid,34135.72601243838,6.607472316681641,1.954686285901844e-11,3.514042761171854e-11,9387.195375277845,0.000999001,0.0012018056796457533,True
9,4'-Hydroxydiclofenac,66105.14168182813,12.544300366307906,2.1358519815704903e-36,1.0355645971250863e-35,2633459.0675300653,0.000999001,0.0012018056796457533,True
10,4-Hydroxycyclophosphamide,22679.859781920655,17.1069927680183,6.58109508706926e-66,4.049904668965699e-65,7463.951596049939,0.000999001,0.0012018056796457533,True
11,4-Hydroxyvalsartan,26320.15257771428,10.208454282760718,9.086841295919183e-25,2.9671318517287126e-24,7857.352922643797,0.000999001,0.0012018056796457533,True
12,4-ene-Valproic acid,20964.562229778607,8.614117810160876,3.52410944830662e-18,1.105602964174626e-17,111922.67579123966,0.000999001,0.0012018056796457533,True
13,5-Hydroxyomeprazole,104122.26522822928,25.888203136397557,4.521530116722146e-148,6.028706822296195e-147,29382.55801058252,0.000999001,0.0012018056796457533,True
14,5-Methyltetrahydrofolic acid,1981.9023163622896,1.4949117375035728,0.067468739292315,0.0760211146955662,168.4158147981443,0.000999001,0.0012018056796457533,True
15,8-Hydroxycarvedilol,22679.859781920655,17.1069927680183,6.58109508706926e-66,4.049904668965699e-65,7463.951596049939,0.000999001,0.0012018056796457533,True
16,ADP,5505.855430200978,2.2423145015289556,0.01247052658556567,0.015467319796050443,21194.05939685572,0.000999001,0.0012018056796457533,True
17,Acetate,32313.643777245972,8.066305282316906,3.622874810149218e-16,9.994137407308188e-16,81776.3254499677,0.000999001,0.0012018056796457533,True
18,Acetyl-L-Carnitine,3321.664755184187,1.2790287641381948,0.10044346346318622,0.1093262187354408,21081.233866626957,0.000999001,0.0012018056796457533,True
19,Acetylcholine,777.5530420909948,0.5864936730519251,0.27877190601511304,0.2915261762249548,138.32642878669344,0.1048951,0.11041589473423205,False
20,Adenine,1004.1311484935602,0.7573972881928702,0.22440594015070564,0.23621677910600594,1360.9124954894046,0.000999001,0.0012018056796457533,True
21,Adenosine,15877.95822040503,11.976446021235628,2.360665902099414e-33,9.93964590357648e-33,11639.795889376146,0.000999001,0.0012018056796457533,True
22,Adenosine diphosphate ribose,27010.674651961803,20.373645180061825,1.432676102483164e-92,1.432676102483164e-91,183197.68357275447,0.000999001,0.0012018056796457533,True
