sample_id,tier,cell_type_1,cell_type_2,gene1,gene2,tcell_involvement,metabolites,FDR_np,pval_np,C_np
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,SLC2A3,SLC2A4,Tcell_interface,D-Glucose | Dehydroascorbic acid | Docosahexaenoic acid,0.0030550095066224,0.0009990009990009,3857.1306
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,SLC40A1,SLC40A1,Tcell_interface,Iron,0.0030550095066224,0.0009990009990009,2313.4233
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,SLC16A4,SLCO2B1,Tcell_interface,Acetate,0.0030550095066224,0.0009990009990009,98.4053
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,MSR1,MSR1,Tcell_interface,Fatty acid,0.0030550095066224,0.0009990009990009,161.9585
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,FOLR2,FOLR2,Tcell_interface,Folic acid,0.0030550095066224,0.0009990009990009,81.00695
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,ABCB1,SLCO2B1,Tcell_interface,Estradiol | Taurocholic acid,0.0030550095066224,0.0009990009990009,392.26764
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,CPT1A,CPT1A,Tcell_interface,Fatty acid,0.0119577392304665,0.0049950049950049,278.00873
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,SLCO2B1,SLCO2B1,Tcell_interface,Acetate | Citric acid | Estradiol | Nicotinate | Oxalic acid | Taurocholic acid,0.0135293278150421,0.0059940059940059,112.197
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,SCNN1G,SCNN1G,Tcell_interface,Amiloride-sensitive sodium transport,0.0151355493821247,0.0069930069930069,26.678585
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,AQP9,AQP9,Tcell_interface,Water,0.0179820179820179,0.0089910089910089,24.48905
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,SLC16A1,SLC1A5,Tcell_interface,L-Glutamate,0.028186099614671,0.0149850149850149,20.009583
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,SLC2A3,SLC2A3,Tcell_interface,D-Galactose | D-Glucose | D-Maltose | D-Mannose | D-Xylose | Dehydroascorbic acid | Docosahexaenoic acid,0.0297114650055826,0.0159840159840159,202.1429
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,SLC5A7,SLC5A7,Tcell_interface,Chloride ion | Choline | Sodium,0.0387270721843212,0.0219780219780219,18.012146
Human_Prostate_Adenocarcinoma,Tier1,T Cell,other,ABCB1,ABCB1,Tcell_interface,"17a-Ethynylestradiol | 2-Hydroxychlorpropamide | 3',4'-Dihydrodiol | 4'-Hydroxydiclofenac | 4-Hydroxycyclophosphamide | 5-Hydroxyomeprazole | 8-Hydroxycarvedilol | Cholesterol | Cholic acid | Cortisol | E-3179 | Estradiol | Estriol | Glycerol | Hydroxylansoprazole | N-Desmethylcitalopram | N-Desmethyleletriptan | N-Desmethyltamoxifen | N-desmethylimatinib | O-Deethylated candesartan | O-Desmethylverapamil (D-702) | Progesterone | Taurocholic acid | Testosterone",0.0485239142482958,0.0289710289710289,175.58784
Human_Prostate_Adenocarcinoma,Tier1,T Cell,T Cell,ABCC3,SLCO2B1,within_Tcell,Taurocholic acid,0.0098651348651348,0.0039960039960039,21.738579
Human_Prostate_Adenocarcinoma,Tier1,T Cell,T Cell,SLCO2B1,SLCO2B1,within_Tcell,Acetate | Citric acid | Estradiol | Nicotinate | Oxalic acid | Taurocholic acid,0.0163284990871197,0.0079920079920079,43.477158
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC2A1,SLC2A1,within_other,D-Galactose | D-Glucose | D-Mannose | Dehydroascorbic acid | Docosahexaenoic acid | Glucosamine,0.0030550095066224,0.0009990009990009,42589.67
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC2A3,SLC2A9,within_other,D-Glucose,0.0030550095066224,0.0009990009990009,787.0824
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC2A9,SLC2A9,within_other,D-Glucose,0.0030550095066224,0.0009990009990009,4976.988
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC2A3,SLC2A4,within_other,D-Glucose | Dehydroascorbic acid | Docosahexaenoic acid,0.0030550095066224,0.0009990009990009,280196.25
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A5,SLC38A7,within_other,L-Glutamine,0.0030550095066224,0.0009990009990009,23587.871
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A5,SLC3A2,within_other,L-Glutamate | L-Glutamine | L-Leucine | L-Serine,0.0030550095066224,0.0009990009990009,131929.02
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC7A5,SLC7A5,within_other,L-Arginine | L-Glutamine | L-Histidine | L-Leucine | L-Methionine | L-Phenylalanine | L-Tyrosine,0.0030550095066224,0.0009990009990009,1685.8776
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC3A2,SLC3A2,within_other,Iron | L-Cystine | L-Glutamate | L-Glutamine | L-Leucine | L-Serine,0.0030550095066224,0.0009990009990009,1531.2981
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC38A7,SLC38A7,within_other,L-Glutamine,0.0030550095066224,0.0009990009990009,7772.896
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC38A7,SLC3A2,within_other,L-Glutamine,0.0030550095066224,0.0009990009990009,438651.8
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC7A7,SLC7A7,within_other,L-Glutamine,0.0030550095066224,0.0009990009990009,1467.388
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A5,SLC1A5,within_other,L-Alanine | L-Asparagine | L-Cysteine | L-Glutamate | L-Glutamine | L-Leucine | L-Serine | L-Threonine | Sodium,0.0030550095066224,0.0009990009990009,46405.695
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A5,SLC43A2,within_other,L-Cysteine | L-Leucine,0.0030550095066224,0.0009990009990009,30950.85
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC43A2,SLC43A2,within_other,L-Cysteine | L-Isoleucine | L-Leucine | L-Methionine | L-Phenylalanine | L-Valine,0.0030550095066224,0.0009990009990009,3597.0535
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A5,SLC7A11,within_other,L-Cysteine | L-Glutamate,0.0030550095066224,0.0009990009990009,8551.376
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC16A1,SLC16A1,within_other,4-ene-Valproic acid | Acetate | Butyrate | D-Lactate | Ketone bodies | L-Glutamate | L-Lactate | Nicotinate | Pyruvate | Taurocholic acid | alpha-Ketoisovaleric acid,0.0030550095066224,0.0009990009990009,39098.758
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC16A4,SLC16A4,within_other,Acetate | L-Lactate,0.0030550095066224,0.0009990009990009,2622.0576
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC16A1,SLC22A5,within_other,4-ene-Valproic acid | Nicotinate,0.0030550095066224,0.0009990009990009,26179.02
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC22A5,SLC22A5,within_other,4-ene-Valproic acid | Acetyl-L-Carnitine | Choline | Creatine | Dopamine | Histamine | L-Carnitine | Nicotinate | Norepinephrine | O-Desmethylverapamil (D-702) | Sodium,0.0030550095066224,0.0009990009990009,20219.293
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLCO2B1,SLCO2B1,within_other,Acetate | Citric acid | Estradiol | Nicotinate | Oxalic acid | Taurocholic acid,0.0030550095066224,0.0009990009990009,12510.808
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A1,SLC7A11,within_other,L-Glutamate,0.0030550095066224,0.0009990009990009,9270.511
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC16A1,SLC1A1,within_other,L-Glutamate,0.0030550095066224,0.0009990009990009,2542.9077
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC16A1,SLC1A5,within_other,L-Glutamate,0.0030550095066224,0.0009990009990009,721.822
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC16A1,SLC3A2,within_other,L-Glutamate,0.0030550095066224,0.0009990009990009,9060.704
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A1,SLC3A2,within_other,L-Glutamate,0.0030550095066224,0.0009990009990009,3335.9824
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A1,SLC1A1,within_other,L-Glutamate,0.0030550095066224,0.0009990009990009,114998.65
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A2,SLC7A11,within_other,L-Glutamate,0.0030550095066224,0.0009990009990009,29913.934
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A1,SLC1A5,within_other,L-Glutamate,0.0030550095066224,0.0009990009990009,35661.312
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A3,SLC1A3,within_other,D-Aspartate | L-Aspartate | L-Glutamate | Malic acid,0.0030550095066224,0.0009990009990009,1198.9873
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC39A8,SLC39A8,within_other,Cadmium | Manganese | Zinc,0.0030550095066224,0.0009990009990009,12810.152
Human_Prostate_Adenocarcinoma,Tier1,other,other,CUBN,SLC11A2,within_other,Iron,0.0030550095066224,0.0009990009990009,76414.1
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC11A2,SLC40A1,within_other,Iron,0.0030550095066224,0.0009990009990009,149349.7
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC11A2,SLC3A2,within_other,Iron,0.0030550095066224,0.0009990009990009,79600.37
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC40A1,SLC40A1,within_other,Iron,0.0030550095066224,0.0009990009990009,228545.16
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC3A2,SLC40A1,within_other,Iron,0.0030550095066224,0.0009990009990009,162885.19
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC22A4,SLC22A5,within_other,L-Carnitine | O-Desmethylverapamil (D-702) | Sodium,0.0030550095066224,0.0009990009990009,4796.4927
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLCO1B1,SLCO1B1,within_other,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid | 1b,3a,12a-Trihydroxy-5b-cholanoic acid | 3-Sulfodeoxycholic acid | 3alpha,7alpha-Dihydroxycoprostanic acid | 3b-Hydroxy-5-cholenoic acid | 4-Hydroxyvalsartan | Bilirubin | Chenodeoxycholic acid | Chenodeoxycholic acid 3-sulfate | Cholic acid | Coprocholic acid | Dehydroepiandrosterone | Deoxycholic acid | Digoxin | Estradiol | Estrone | Estrone sulfate | Glycochenodeoxycholate-3-sulfate | Hyodeoxycholic acid | Isoursodeoxycholic acid | L-Carnitine | Lithocholic acid | O-Desmethylverapamil (D-702) | Prostaglandins | Sulfolithocholic acid | Taurocholic acid | Thyroxine | Trihydroxycoprostanoic acid | Ursocholic acid | Ursodeoxycholic acid | Ursodeoxycholic acid 3-sulfate | Varanic acid",0.0030550095066224,0.0009990009990009,9398.887
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC16A9,SLC22A4,within_other,L-Carnitine,0.0030550095066224,0.0009990009990009,7812.476
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC16A9,SLC22A5,within_other,L-Carnitine,0.0030550095066224,0.0009990009990009,11529.956
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC22A4,SLC22A4,within_other,L-Carnitine | O-Desmethylverapamil (D-702) | Putrescine | Sodium | Spermine | Testosterone,0.0030550095066224,0.0009990009990009,4034.6843
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC5A1,SLC5A1,within_other,Sodium | Urea,0.0030550095066224,0.0009990009990009,4414.182
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC29A1,SLC29A1,within_other,Adenosine | Cytidine | Ethanol | Guanosine | Inosine | Sodium | Thymidine | Uridine,0.0030550095066224,0.0009990009990009,11639.796
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC12A2,SLC1A5,within_other,Sodium,0.0030550095066224,0.0009990009990009,291445.56
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC22A5,SLC5A1,within_other,Sodium,0.0030550095066224,0.0009990009990009,3495.9763
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC12A2,SLC22A5,within_other,Sodium,0.0030550095066224,0.0009990009990009,63690.63
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A5,SLC6A4,within_other,Sodium,0.0030550095066224,0.0009990009990009,5103.7656
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC22A4,SLC5A1,within_other,Sodium,0.0030550095066224,0.0009990009990009,1778.2329
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC5A1,SLC5A3,within_other,Sodium,0.0030550095066224,0.0009990009990009,2760.5088
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A5,SLC22A4,within_other,Sodium,0.0030550095066224,0.0009990009990009,34640.023
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC22A5,SLC5A3,within_other,Sodium,0.0030550095066224,0.0009990009990009,13060.441
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC12A2,SLC22A4,within_other,Sodium,0.0030550095066224,0.0009990009990009,26129.062
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A5,SLC5A3,within_other,Sodium,0.0030550095066224,0.0009990009990009,62604.902
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC5A1,SLC5A5,within_other,Sodium | Urea,0.0030550095066224,0.0009990009990009,300.71817
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC5A3,SLC5A3,within_other,Sodium,0.0030550095066224,0.0009990009990009,10772.282
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC12A2,SLC5A1,within_other,Sodium,0.0030550095066224,0.0009990009990009,12516.017
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC22A4,SLC5A3,within_other,Sodium,0.0030550095066224,0.0009990009990009,5512.414
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC12A2,SLC12A2,within_other,Chloride ion | Sodium,0.0030550095066224,0.0009990009990009,253062.98
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A5,SLC22A5,within_other,Sodium,0.0030550095066224,0.0009990009990009,86734.14
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC12A2,SLC5A3,within_other,Sodium,0.0030550095066224,0.0009990009990009,43119.47
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC1A5,SLC5A1,within_other,Sodium,0.0030550095066224,0.0009990009990009,14474.376
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC16A4,SLCO2B1,within_other,Acetate,0.0030550095066224,0.0009990009990009,3925.9255
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC3A2,SLC43A2,within_other,L-Leucine,0.0030550095066224,0.0009990009990009,10382.018
Human_Prostate_Adenocarcinoma,Tier1,other,other,MSR1,MSR1,within_other,Fatty acid,0.0030550095066224,0.0009990009990009,7211.926
Human_Prostate_Adenocarcinoma,Tier1,other,other,CPT1A,CPT1A,within_other,Fatty acid,0.0030550095066224,0.0009990009990009,40569.22
Human_Prostate_Adenocarcinoma,Tier1,other,other,CD36,CD36,within_other,Cholesterol | Fatty acid | Vitamin D3,0.0030550095066224,0.0009990009990009,1269.3497
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC6A1,SLC6A1,within_other,GABA,0.0030550095066224,0.0009990009990009,323.2089
Human_Prostate_Adenocarcinoma,Tier1,other,other,SLC22A2,SLC22A5,within_other,Choline | Dopamine | Histamine | Norepinephrine,0.0030550095066224,0.0009990009990009,1697.4879
Human_Prostate_Adenocarcinoma,Tier1,other,other,ABCA1,ABCA1,within_other,25-Hydroxycholesterol,0.0030550095066224,0.0009990009990009,27741.219
Human_Prostate_Adenocarcinoma,Tier1,other,other,ABCB1,CD36,within_other,Cholesterol,0.0030550095066224,0.0009990009990009,1663.8981
