group,left,right,count
lr,-1.4683545e-06,-1.4369386e-06,1
lr,-1.4369386e-06,-1.4055228e-06,0
lr,-1.4055228e-06,-1.3741069e-06,0
lr,-1.3741069e-06,-1.342691e-06,0
lr,-1.342691e-06,-1.3112751e-06,0
lr,-1.3112751e-06,-1.2798592e-06,0
lr,-1.2798592e-06,-1.2484434e-06,0
lr,-1.2484434e-06,-1.2170276e-06,0
lr,-1.2170276e-06,-1.1856117e-06,0
lr,-1.1856117e-06,-1.1541958e-06,0
lr,-1.1541958e-06,-1.12278e-06,0
lr,-1.12278e-06,-1.0913641e-06,0
lr,-1.0913641e-06,-1.0599482e-06,0
lr,-1.0599482e-06,-1.0285323e-06,0
lr,-1.0285323e-06,-9.971164e-07,0
lr,-9.971164e-07,-9.657006e-07,0
lr,-9.657006e-07,-9.342847e-07,0
lr,-9.342847e-07,-9.0286886e-07,0
lr,-9.0286886e-07,-8.71453e-07,0
lr,-8.71453e-07,-8.400371e-07,0
lr,-8.400371e-07,-8.086212e-07,0
lr,-8.086212e-07,-7.7720534e-07,0
lr,-7.7720534e-07,-7.4578946e-07,0
lr,-7.4578946e-07,-7.143736e-07,0
lr,-7.143736e-07,-6.8295776e-07,0
lr,-6.8295776e-07,-6.515419e-07,0
lr,-6.515419e-07,-6.20126e-07,0
lr,-6.20126e-07,-5.887101e-07,0
lr,-5.887101e-07,-5.5729424e-07,0
lr,-5.5729424e-07,-5.2587836e-07,0
lr,-5.2587836e-07,-4.944625e-07,0
lr,-4.944625e-07,-4.6304663e-07,0
lr,-4.6304663e-07,-4.3163075e-07,0
lr,-4.3163075e-07,-4.002149e-07,0
lr,-4.002149e-07,-3.6879902e-07,0
lr,-3.6879902e-07,-3.3738314e-07,0
lr,-3.3738314e-07,-3.0596726e-07,0
lr,-3.0596726e-07,-2.745514e-07,0
lr,-2.745514e-07,-2.4313553e-07,0
lr,-2.4313553e-07,-2.1171965e-07,0
lr,-2.1171965e-07,-1.8030379e-07,0
lr,-1.8030379e-07,-1.4888792e-07,0
lr,-1.4888792e-07,-1.1747204e-07,0
lr,-1.1747204e-07,-8.605617e-08,0
lr,-8.605617e-08,-5.46403e-08,0
lr,-5.46403e-08,-2.3224427e-08,2
lr,-2.3224427e-08,8.191445e-09,9
lr,8.191445e-09,3.9607315e-08,0
lr,3.9607315e-08,7.102319e-08,1
lr,7.102319e-08,1.0243906e-07,1
tf,-3.7989404,-3.6469495,1
tf,-3.6469495,-3.4949586,0
tf,-3.4949586,-3.3429677,0
tf,-3.3429677,-3.1909769,0
tf,-3.1909769,-3.038986,1
tf,-3.038986,-2.886995,0
tf,-2.886995,-2.735004,0
tf,-2.735004,-2.583013,0
tf,-2.583013,-2.4310222,1
tf,-2.4310222,-2.2790313,1
tf,-2.2790313,-2.1270404,1
tf,-2.1270404,-1.9750495,0
tf,-1.9750495,-1.8230586,0
tf,-1.8230586,-1.6710677,0
tf,-1.6710677,-1.5190768,0
tf,-1.5190768,-1.3670858,0
tf,-1.3670858,-1.2150949,2
tf,-1.2150949,-1.063104,2
tf,-1.063104,-0.91111314,1
tf,-0.91111314,-0.75912225,4
tf,-0.75912225,-0.6071313,4
tf,-0.6071313,-0.4551404,5
tf,-0.4551404,-0.3031495,12
tf,-0.3031495,-0.15115859,36
tf,-0.15115859,0.00083231926,918
tf,0.00083231926,0.15282322,1171
tf,0.15282322,0.30481413,46
tf,0.30481413,0.45680505,15
tf,0.45680505,0.60879594,8
tf,0.60879594,0.7607869,6
tf,0.7607869,0.9127778,5
tf,0.9127778,1.0647687,3
tf,1.0647687,1.2167596,2
tf,1.2167596,1.3687505,1
tf,1.3687505,1.5207415,1
tf,1.5207415,1.6727324,2
tf,1.6727324,1.8247232,1
tf,1.8247232,1.9767141,1
tf,1.9767141,2.128705,1
tf,2.128705,2.280696,4
tf,2.280696,2.4326868,0
tf,2.4326868,2.5846777,0
tf,2.5846777,2.7366686,3
tf,2.7366686,2.8886597,0
tf,2.8886597,3.0406506,0
tf,3.0406506,3.1926415,0
tf,3.1926415,3.3446324,1
tf,3.3446324,3.4966233,0
tf,3.4966233,3.6486142,1
tf,3.6486142,3.800605,1
